Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,41.220001,42.830002,41.189999,42.709999,38.222889,2959800
2015-01-23,42.400002,42.689999,41.669998,41.869999,37.471138,2062000
2015-01-26,41.810001,42.540001,41.630001,42.480000,38.017052,1509900
2015-01-27,41.759998,42.490002,41.380001,42.320000,37.873859,2501500
2015-01-28,42.349998,42.560001,41.110001,41.139999,36.817837,2712400
2015-01-29,41.310001,42.299999,41.080002,42.240002,37.802269,2454800
2015-01-30,41.540001,42.250000,41.259998,41.500000,37.140011,2689100
2015-02-02,41.919998,43.099998,41.650002,42.950001,38.437672,2454700
2015-02-03,43.110001,44.060001,43.060001,43.930000,39.314716,2847300
2015-02-04,43.730000,44.029999,43.450001,43.529999,38.956730,1924100
2015-02-05,43.980000,44.820000,43.939999,44.730000,40.030670,2277600
2015-02-06,45.020000,46.560001,45.020000,46.139999,41.292526,2626600
2015-02-09,45.650002,45.730000,44.970001,45.150002,40.406540,2185400
2015-02-10,45.540001,45.619999,44.820000,45.410000,40.639225,1223200
2015-02-11,45.259998,45.389999,44.790001,45.250000,40.496029,1413300
2015-02-12,45.529999,46.599998,45.450001,46.520000,41.632610,1759200
2015-02-13,46.590000,47.000000,46.230000,46.419998,41.543118,1701200
2015-02-17,46.250000,46.630001,45.910000,46.630001,41.731052,2080600
2015-02-18,46.430000,46.560001,45.419998,45.570000,40.782413,2101200
2015-02-19,45.169998,45.560001,44.470001,45.439999,40.666069,1931100
2015-02-20,45.209999,45.860001,44.700001,45.830002,41.015102,1545600
2015-02-23,45.590000,45.750000,45.369999,45.650002,40.854012,1380200
2015-02-24,45.680000,46.110001,45.509998,45.990002,41.158287,1232800
2015-02-25,46.040001,46.259998,45.810001,46.070000,41.229885,909000
2015-02-26,45.990002,46.180000,45.630001,45.959999,41.131447,785600
2015-02-27,45.840000,46.080002,45.639999,45.779999,40.970348,1069500
2015-03-02,45.900002,46.220001,45.549999,46.139999,41.292526,1039900
