Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,23.075001,23.334999,22.795000,23.225000,20.086369,3166200
2015-01-23,23.250000,23.395000,23.105000,23.145000,20.017178,2904600
2015-01-26,23.125000,23.275000,23.004999,23.049999,19.935017,2557400
2015-01-27,22.735001,22.735001,22.340000,22.700001,19.632317,3359200
2015-01-28,22.639999,22.745001,22.334999,22.365000,19.462624,3602200
2015-01-29,22.270000,22.565001,22.105000,22.495001,19.575754,4510600
2015-01-30,22.315001,22.559999,22.135000,22.200001,19.319036,5082600
2015-02-02,22.215000,22.575001,21.985001,22.485001,19.567047,5426800
2015-02-03,22.645000,22.905001,22.615000,22.889999,19.919487,3721000
2015-02-04,22.320000,22.325001,21.020000,21.110001,18.370485,18199600
2015-02-05,21.059999,21.184999,20.825001,21.030001,18.300875,9580000
2015-02-06,21.115000,21.334999,20.924999,21.170000,18.422705,8371200
2015-02-09,21.094999,21.410000,21.070000,21.129999,18.387888,4964600
2015-02-10,21.309999,21.309999,20.879999,21.254999,18.496666,5251000
2015-02-11,21.205000,21.309999,21.045000,21.100000,18.361780,5272600
2015-02-12,21.090000,21.170000,20.490000,21.120001,18.379198,11185800
2015-02-13,21.240000,21.650000,21.120001,21.250000,18.492319,8728600
2015-02-17,21.264999,21.424999,21.170000,21.305000,18.540182,5629600
2015-02-18,21.309999,21.655001,21.290001,21.530001,18.735987,4381600
2015-02-19,21.514999,21.674999,21.455000,21.480000,18.692467,3911400
2015-02-20,21.465000,21.465000,21.245001,21.385000,18.609800,5296400
2015-02-23,21.375000,21.440001,21.065001,21.105000,18.366131,4502600
2015-02-24,21.100000,21.170000,20.910000,21.049999,18.318272,7368600
2015-02-25,21.070000,21.260000,20.980000,21.215000,18.461861,8608800
2015-02-26,21.240000,21.254999,21.080000,21.105000,18.366131,3142400
2015-02-27,21.190001,21.230000,20.770000,20.775000,18.078960,4820400
2015-03-02,20.750000,20.775000,20.465000,20.750000,18.057205,15282800
2015-03-03,20.639999,20.770000,20.514999,20.549999,17.883154,15703600
2015-03-04,19.995001,20.195000,19.730000,19.910000,17.326218,20691800
2015-03-05,19.879999,20.375000,19.805000,20.309999,17.674305,11060200
