Date,Open,High,Low,Close,Adj Close,Volume
2015-01-22,64.800003,65.419998,63.919998,64.669998,52.870602,2551600
2015-01-23,64.720001,65.050003,64.330002,64.550003,52.772499,1896400
2015-01-26,64.300003,65.230003,64.279999,65.209999,53.312073,1542200
2015-01-27,64.180000,64.489998,63.509998,64.120003,52.420948,1297300
2015-01-28,64.550003,64.959999,63.259998,63.439999,51.865025,2100400
2015-01-29,63.689999,64.320000,63.369999,64.050003,52.363720,3030200
2015-01-30,62.200001,62.250000,59.990002,60.110001,49.142593,4799300
2015-02-02,60.410000,61.480000,59.330002,61.410000,50.205399,3434800
2015-02-03,62.189999,63.070000,61.889999,62.750000,51.300915,2786600
2015-02-04,62.389999,62.970001,62.090000,62.459999,51.063828,1966700
2015-02-05,62.970001,63.340000,61.849998,62.250000,50.892139,2296600
2015-02-06,62.520000,63.279999,62.439999,62.750000,51.300915,1846500
2015-02-09,62.439999,63.349998,62.419998,63.160000,51.636112,1646900
2015-02-10,63.090000,63.720001,62.799999,63.160000,51.636112,1937900
2015-02-11,62.779999,63.200001,62.220001,62.840000,51.554070,2067500
2015-02-12,63.099998,63.290001,62.619999,63.240002,51.882233,1234000
2015-02-13,63.450001,64.489998,63.330002,64.220001,52.686226,1507000
2015-02-17,64.330002,64.660004,63.970001,64.459999,52.883114,1115600
2015-02-18,64.199997,64.730003,64.199997,64.500000,52.915932,1003200
2015-02-19,64.330002,64.989998,64.000000,64.500000,52.915932,1341300
2015-02-20,64.449997,64.599998,63.529999,64.589996,52.989761,1705600
2015-02-23,64.510002,64.680000,63.630001,63.910000,52.431900,1619900
2015-02-24,63.759998,64.190002,63.610001,63.790001,52.333447,1258900
2015-02-25,64.029999,64.669998,63.880001,64.610001,53.006180,1733800
2015-02-26,64.720001,65.080002,64.360001,64.650002,53.039001,1501300
2015-02-27,64.650002,64.790001,63.930000,64.050003,52.546753,1493600
2015-03-02,64.260002,65.230003,64.120003,64.910004,53.252308,2120900
2015-03-03,64.570000,64.989998,64.339996,64.540001,52.948757,1112300
2015-03-04,64.000000,64.459999,62.590000,62.709999,51.447422,2287500
2015-03-05,62.220001,62.830002,62.130001,62.450001,51.234119,1618900
2015-03-06,62.180000,62.520000,61.509998,61.660000,50.585995,1881300
2015-03-09,61.660000,62.360001,61.650002,62.259998,51.078236,1853200
2015-03-10,61.480000,61.720001,60.500000,60.500000,49.634327,1601400
2015-03-11,60.400002,61.080002,60.279999,60.990002,50.036320,1867900
2015-03-12,61.419998,62.419998,61.349998,62.360001,51.160275,1088800
2015-03-13,62.040001,62.430000,61.060001,61.730000,50.643417,1301900
2015-03-16,62.119999,62.700001,62.119999,62.529999,51.299744,1188200
2015-03-17,62.430000,62.790001,62.150002,62.570000,51.332569,1054900
2015-03-18,62.250000,63.939999,61.889999,63.740002,52.292427,2135500
2015-03-19,63.490002,63.730000,62.500000,62.590000,51.348972,1310000
2015-03-20,63.070000,63.840000,62.580002,63.610001,52.185780,2828500
2015-03-23,63.980000,64.260002,63.560001,63.750000,52.300636,1667100
2015-03-24,64.029999,64.349998,63.750000,64.110001,52.595982,1611000
2015-03-25,64.059998,64.160004,62.610001,62.630001,51.381779,1216500
2015-03-26,62.599998,63.169998,62.160000,62.320000,51.127472,1654400
2015-03-27,62.000000,62.259998,61.509998,62.169998,51.004402,1277600
2015-03-30,62.480000,63.599998,62.240002,63.450001,52.054508,1019700
2015-03-31,63.130001,63.599998,62.980000,63.139999,51.800194,1580200
2015-04-01,63.009998,63.150002,61.689999,61.900002,50.782898,1332800
2015-04-02,61.900002,62.279999,60.779999,61.200001,50.208607,2632700
2015-04-06,60.680000,62.389999,60.500000,62.049999,50.905945,1532400
2015-04-07,61.959999,62.310001,61.740002,62.150002,50.987988,1261100
2015-04-08,62.349998,62.770000,62.070000,62.759998,51.488434,1535700
2015-04-09,62.470001,63.230000,62.470001,63.189999,51.841213,1690800
2015-04-10,63.180000,63.580002,63.060001,63.240002,51.882233,1125500
2015-04-13,63.130001,63.360001,62.660000,62.799999,51.521252,1180200
2015-04-14,62.580002,63.500000,62.349998,63.279999,51.915047,1312700
2015-04-15,63.450001,64.519997,63.200001,64.190002,52.661617,1790800
2015-04-16,64.029999,64.239998,63.619999,63.950001,52.464714,1039900
2015-04-17,63.270000,63.480000,62.369999,62.770000,51.496643,1553200
2015-04-20,63.450001,64.120003,63.290001,63.880001,52.407299,1660700
2015-04-21,65.879997,66.860001,64.099998,66.720001,54.737228,4606600
2015-04-22,67.260002,68.440002,66.830002,67.410004,55.303318,3673800
2015-04-23,67.260002,67.389999,66.459999,66.489998,54.548534,2254800
2015-04-24,66.660004,66.720001,66.000000,66.139999,54.261383,1747800
2015-04-27,66.589996,66.870003,66.209999,66.489998,54.548534,2181100
2015-04-28,66.160004,66.940002,66.010002,66.900002,54.884918,1716500
2015-04-29,66.910004,67.000000,65.949997,66.260002,54.359837,1363800
2015-04-30,65.790001,66.209999,64.970001,65.349998,53.613281,1962900
2015-05-01,65.400002,65.809998,65.230003,65.570000,53.793758,1814500
2015-05-04,65.800003,66.470001,65.800003,66.059998,54.195763,1465300
2015-05-05,65.730003,66.089996,65.019997,65.129997,53.432800,1641400
2015-05-06,65.449997,65.459999,64.379997,64.820000,53.178467,1348600
2015-05-07,64.820000,65.849998,64.309998,65.690002,53.892216,1820800
2015-05-08,66.250000,66.690002,66.010002,66.489998,54.548534,1789400
2015-05-11,66.330002,67.019997,66.150002,66.750000,54.761841,1571800
2015-05-12,66.440002,66.559998,65.699997,66.099998,54.228561,1089200
2015-05-13,66.080002,66.739998,65.940002,66.570000,54.614170,1306000
2015-05-14,67.029999,67.169998,66.610001,66.820000,54.819267,1456800
2015-05-15,66.919998,66.949997,65.900002,66.449997,54.695801,1210300
2015-05-18,66.120003,66.639999,65.360001,65.769997,54.136078,1597300
2015-05-19,65.760002,65.980003,65.070000,65.540001,53.946774,1026800
2015-05-20,65.459999,65.699997,65.089996,65.389999,53.823296,770900
