"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,663727053,663727053,1,33471000000,5855000000,26932000000,4357000000,3234000000,3305000000,0,1526000000,18445000000,2650000000,154000000,154000000,0.23,0.23,0.1365,690000000,-663000000,402000000,372000000,2375000000,504000000,16.25,18.52,13.97,0.2062,0.0205,4.87,3.36,8.98,2.34,0.5183,5.7035,0.0966,0.0632,0.32,0.28,1.3438
2018-12-31,662358244,662358244,1,32521000000,5015000000,26038000000,4399000000,3208000000,3275000000,0,4185000000,17636000000,2622000000,128000000,128000000,0.19,0.19,0.13,662000000,-315000000,-480000000,-119000000,2003000000,-665000000,14.92,16.28,13.55,0.3697,0.037,4.84,2.99,None,2.2,0.2861,5.4975,0.0986,0.1121,0.33,2,1.14
2018-09-30,662297479,662297479,1,32489000000,5015000000,25901000000,4047000000,3305000000,3283000000,0,1459000000,18088000000,2837000000,101000000,101000000,0.15,0.15,0.13,767000000,-310000000,-434000000,-20000000,2122000000,598000000,13.33,14.11,12.55,-0.087,-0.0082,4.99,2.67,None,2.07,None,5.4729,0.1017,None,0.35,0.26,1.2392
2018-06-30,661683466,661683466,1,32597000000,5287000000,26077000000,3994000000,3309000000,3211000000,0,1400000000,18356000000,2537000000,290000000,290000000,0.44,0.44,0.13,399000000,-296000000,-99000000,-26000000,2142000000,484000000,12.37,13.55,11.19,-0.0711,-0.0063,5,2.56,None,1.94,None,5.5473,0.1015,None,0.36,-0.13,1.3237
2018-03-31,661399753,661399753,1,32573000000,5438000000,26197000000,4876000000,3193000000,3183000000,0,1421000000,17661000000,2740000000,684000000,684000000,1.04,1.03,0.13,515000000,416000000,-630000000,380000000,2168000000,495000000,10.91,11.95,9.87,-0.1527,-0.0129,4.83,2.92,None,1.81,None,5.5312,0.098,None,0.37,0.03,1.1153
2017-12-31,660449495,660449495,1,33112000000,6398000000,27430000000,6028000000,2465000000,3217000000,0,1428000000,17801000000,3261000000,-1342000000,-1342000000,-2.03,-2.03,0.12,800000000,-467000000,-635000000,-388000000,949000000,603000000,10.67,11.34,10,-0.3982,-0.032,3.73,2.21,None,1.68,None,7.2215,0.0744,None,0.29,0.3,1.0614
2017-09-30,660386566,660386566,1,38834000000,6660000000,31688000000,6736000000,3186000000,3960000000,0,1631000000,19776000000,3632000000,152000000,152000000,0.23,0.23,0.12,735000000,-1174000000,614000000,185000000,1398000000,464000000,11.13,11.66,10.6,-0.274,-0.0208,4.82,2.43,None,1.56,None,6.2072,0.082,None,0.29,0.41,0.9887
2017-06-30,660256748,660256748,1,36469000000,6318000000,29604000000,6411000000,3021000000,3844000000,0,1554000000,18195000000,3470000000,53000000,53000000,0.08,0.08,0,251000000,-768000000,143000000,-375000000,1213000000,649000000,11.5,12.05,10.95,-0.2732,-0.0204,4.58,2.54,None,1.44,None,6.0228,0.0828,None,0.29,-0.6,0.9855
2017-03-31,660144428,660144428,1,36508000000,6401000000,29605000000,5243000000,2991000000,3912000000,0,1510000000,19197000000,167000000,-24000000,-24000000,-0.04,-0.04,0.12,703000000,-340000000,-79000000,283000000,1588000000,474000000,11.5,12.06,10.93,-0.4807,-0.0349,4.53,3.77,None,1.44,None,6.4183,0.0819,None,0.28,0.35,1.2209
2016-12-31,659183208,659183208,1,36119000000,6411000000,29637000000,5272000000,2012000000,4470000000,0,1516000000,19160000000,3344000000,-949000000,-949000000,-1.44,-1.44,0.12,702000000,-239000000,-489000000,-20000000,1305000000,575000000,11.87,12.75,10.98,-0.4162,-0.0307,3.05,2.72,None,1.32,None,9.5229,0.0557,None,0.37,0.19,1.216
2016-09-30,659175940,659175940,1,37108000000,7294000000,30565000000,5713000000,2882000000,3661000000,0,1384000000,14796000000,3542000000,175000000,175000000,0.26,0.26,0.11,819000000,-543000000,-215000000,60000000,1325000000,515000000,12.59,13.32,11.85,-0.0887,-0.0072,4.37,3,None,1.2,None,5.1339,0.0777,None,0.37,0.46,1.2767
2016-06-30,659089478,659089478,1,36974000000,7381000000,30548000000,6216000000,2766000000,3660000000,0,1376000000,19170000000,3229000000,-482000000,-482000000,-0.73,-0.73,0.11,723000000,-778000000,137000000,85000000,1265000000,615000000,11.48,12.48,10.49,-0.0823,-0.0071,4.2,2.36,27.33,1.09,None,6.9306,0.0748,None,0.37,0.16,1.1874
2016-03-31,659001121,659001121,1,36900000000,6947000000,30044000000,6572000000,3201000000,3655000000,0,1366000000,18337000000,3471000000,126000000,126000000,0.19,0.19,0.11,640000000,-548000000,-180000000,-77000000,1185000000,640000000,10.01,11.8,8.22,0.0842,0.0078,4.86,2.1,23.28,0.98,0.9677,5.7285,0.0867,0.0201,0.39,0,1.0571
2015-12-31,659733335,659733335,1,36850000000,6866000000,30679000000,6950000000,3149000000,3022000000,0,1371000000,18278000000,3400000000,-85000000,-85000000,-0.13,-0.13,0.11,629000000,-727000000,-58000000,-175000000,1262000000,621000000,9.98,11.21,8.76,0.0838,0.0081,4.77,1.88,11.88,0.87,0.9098,5.8044,0.0855,0.0205,0.4,0.01,0.9879
2015-09-30,672862161,672862161,1,37000000000,7220000000,30539000000,6534000000,3567000000,2894000000,0,1724000000,18398000000,3721000000,180000000,180000000,0.27,0.26,0.1,915000000,-569000000,97000000,415000000,1437000000,519000000,11.41,13.4,9.42,0.1519,0.0157,5.3,2.02,9.13,0.76,0.5213,5.1578,0.0964,0.0336,0.47,0.59,1.105
2015-06-30,682826854,682826854,1,38584000000,7515000000,31500000000,6563000000,3864000000,3220000000,0,1714000000,18632000000,3858000000,69000000,69000000,0.1,0.1,0.1,153000000,-350000000,-124000000,-315000000,1022000000,549000000,13.33,14.02,12.64,0.2187,0.0234,5.66,2.33,10.02,0.66,0.3089,4.8219,0.1001,0.0551,0.42,-0.58,1.1451
2015-03-31,702441162,702441162,1,37997000000,7642000000,30962000000,6582000000,4022000000,3013000000,0,1726000000,18570000000,3984000000,142000000,142000000,0.2,0.2,0.1,437000000,-720000000,113000000,-202000000,1337000000,619000000,12.7,13.87,11.53,0.2293,0.0249,5.73,2.09,12.1,0.56,0.2554,4.6171,0.1059,0.0574,0.43,-0.26,1.161
2014-12-31,702634251,702634251,1,38966000000,7826000000,31641000000,6997000000,4272000000,3053000000,0,1739000000,18725000000,6195000000,206000000,206000000,0.29,0.28,0.15,575000000,-292000000,-418000000,-131000000,1539000000,627000000,13.44,14.49,12.38,0.1802,0.0194,6.08,2.18,26.88,0.46,0.2304,4.3832,0.1096,0.0449,0.43,-0.07,1.1185
2014-09-30,713046356,713046356,1,38983000000,7887000000,31417000000,7073000000,4397000000,3169000000,0,1751000000,18719000000,2378000000,488000000,488000000,0.68,0.67,0.05,763000000,27000000,-594000000,155000000,1670000000,481000000,14.82,15.64,14.01,0.0834,0.0089,6.17,2.55,None,0.31,0.3026,4.2572,0.1128,0.0246,0.36,0.4,1.1151
2014-06-30,723269141,723269141,1,39433000000,7407000000,31925000000,6667000000,4211000000,3297000000,0,1767000000,19628000000,4311000000,133000000,133000000,0.18,0.18,0.05,232000000,-65000000,-118000000,102000000,1515000000,509000000,14.54,15.65,13.42,-0.0137,-0.0015,5.82,2.52,None,0.26,None,4.6611,0.1068,None,0.4,-0.38,1.111
2014-03-31,725334337,725334337,1,40973000000,7989000000,33332000000,7840000000,4193000000,3448000000,0,1761000000,19410000000,4262000000,-58000000,-58000000,-0.08,-0.08,0,221000000,-326000000,-132000000,-229000000,1413000000,399000000,14.18,14.94,13.42,-0.0058,-0.0006,5.78,2.37,94.53,0.21,None,4.6291,0.1023,None,0.39,-0.25,1.019
2013-12-31,723927523,723927523,1,40411000000,7739000000,32760000000,7653000000,4330000000,3321000000,0,1919000000,18869000000,3555000000,-206000000,-206000000,-0.27,-0.27,0.05,675000000,-507000000,-501000000,-380000000,1642000000,658000000,14.35,15.54,13.16,0.0246,0.0028,5.98,2.21,21.74,0.21,1.1001,4.3577,0.1071,0.0072,0.38,0.02,1.0112
2013-09-30,742327115,742327115,1,41250000000,8251000000,33284000000,8009000000,4813000000,3153000000,0,2266000000,18533000000,4003000000,71000000,71000000,0.09,0.09,0.04,855000000,-561000000,164000000,477000000,2031000000,464000000,12.7,13.77,11.62,0.1055,0.0119,6.48,1.98,None,0.16,0.2405,3.8506,0.1167,0.0292,0.41,0.53,1.0302
2013-06-30,741577577,741577577,1,40836000000,7810000000,33029000000,8273000000,4749000000,3058000000,0,2407000000,18029000000,4068000000,167000000,167000000,0.22,0.22,0.04,567000000,20000000,-1254000000,-690000000,1611000000,320000000,12.59,14,11.17,-0.249,-0.0274,6.4,2.03,None,0.12,None,3.7964,0.1163,None,0.42,0.33,0.944
2013-03-31,746540903,746540903,1,42718000000,9258000000,34977000000,9286000000,4633000000,3108000000,0,2416000000,18269000000,4265000000,82000000,82000000,0.11,0.11,0.04,618000000,-726000000,455000000,335000000,2301000000,546000000,11.7,12.73,10.66,-0.2372,-0.0278,6.21,1.91,None,0.08,None,3.9432,0.1085,None,0.42,0.1,0.997
