"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,869753584,869753584,1,512922000000,None,450829000000,None,60787000000,1306000000,485000000,0,35776000000,12456000000,654000000,654000000,0.75,0.75,0,-976000000,-1979000000,2764000000,-179000000,3179000000,0,41.84,45,38.67,-0.0049,-0.0006,69.33,0.65,None,99.85,None,0.5933,0.1176,None,0.1,-1.12,None
2018-12-31,869486334,869486334,1,491984000000,None,434675000000,None,56361000000,948000000,0,4442000000,34540000000,12560000000,-622000000,-622000000,-0.7,-0.7,0.32,99000000,694000000,-539000000,235000000,3358000000,0,45.3,54.44,36.16,-0.0001,-0,64.82,0.68,None,99.85,None,0.6128,0.1146,None,0.1,0.11,None
2018-09-30,884648470,884648470,1,504860000000,None,445683000000,None,58586000000,591000000,0,0,34594000000,11486000000,-1259000000,-1259000000,-1.41,-1.41,0.32,302000000,553000000,-90000000,743000000,3123000000,0,53.8,56.36,51.23,-0.0976,-0.0121,66.23,0.78,None,99.53,None,0.5905,0.116,None,0.09,0.34,None
2018-06-30,888446269,888446269,1,496829000000,None,435032000000,None,61186000000,611000000,0,0,33784000000,11631000000,937000000,937000000,1.04,1.02,0.32,598000000,502000000,-1063000000,9000000,2380000000,0,53.18,56.79,49.57,-0.0997,-0.0131,68.87,0.76,None,99.21,None,0.5522,0.1232,None,0.1,0.67,None
2018-03-31,897683367,897683367,1,499143000000,None,435786000000,None,62792000000,565000000,0,0,33619000000,11712000000,938000000,938000000,1.03,1.01,0.32,-938000000,-1972000000,2486000000,-366000000,2371000000,0,59.2,65.05,53.34,-0.0924,-0.0127,69.95,0.82,None,98.89,None,0.5354,0.1258,None,0.1,-1.04,None
2017-12-31,902468889,902468889,1,498301000000,None,432593000000,None,65171000000,537000000,0,1594000000,31640000000,12635000000,-6660000000,-6660000000,-7.35,-7.35,0.32,610000000,-103000000,-571000000,-71000000,2362000000,0,61.62,65.13,58.11,-0.0853,-0.0122,72.21,0.76,None,98.57,None,0.4855,0.1308,None,0.1,0.68,None
2017-09-30,898959371,898959371,1,503073000000,None,430061000000,None,72468000000,544000000,0,0,31039000000,11751000000,-1739000000,-1739000000,-1.91,-1.91,0.32,90000000,-145000000,-99000000,-84000000,2433000000,0,62.17,66.06,58.27,-0.0332,-0.0049,80.61,0.76,None,98.25,None,0.4283,0.1441,None,0.1,0.1,None
2017-06-30,903405681,903405681,1,499762000000,None,425438000000,None,73732000000,592000000,0,0,31812000000,12502000000,1130000000,1130000000,1.22,1.19,0.32,1074000000,432000000,-979000000,599000000,2517000000,0,61.61,64.25,58.98,-0.0034,-0.0005,81.62,0.77,198.74,97.93,None,0.4315,0.1475,None,0.1,1.19,None
2017-03-31,925772114,925772114,1,500162000000,None,425495000000,None,74069000000,598000000,0,0,30747000000,12632000000,1185000000,1185000000,1.21,1.18,0.32,-10359000000,14487000000,-4048000000,50000000,1918000000,0,64.03,67.2,60.85,0.0063,0.001,80.01,0.82,None,97.61,2.4682,0.4151,0.1481,0.0098,0.11,-11.19,None
2016-12-31,979560020,979560020,1,498264000000,None,421406000000,None,76300000000,558000000,0,1528000000,30912000000,13010000000,-3041000000,-3041000000,-2.97,-2.97,0.32,630000000,4419000000,-5536000000,-523000000,1868000000,0,62.04,66.7,57.38,-0.0099,-0.0017,77.89,0.72,141,97.29,None,0.4051,0.1531,None,0.1,0.64,None
2016-09-30,1027135119,1027135119,1,514568000000,None,425403000000,None,88663000000,502000000,0,0,32277000000,12854000000,462000000,462000000,0.43,0.42,0.32,1182000000,589000000,-1107000000,714000000,2498000000,0,55.53,59.86,51.21,0.0039,0.0007,86.32,0.66,None,96.97,3.8497,0.364,0.1723,0.0066,0.11,1.15,None
2016-06-30,1070659944,1070659944,1,510349000000,None,419812000000,None,89946000000,591000000,0,0,33329000000,14724000000,1913000000,1913000000,1.72,1.68,0.32,1539000000,-649000000,-643000000,285000000,1784000000,0,53.55,58.32,48.79,-0.0037,-0.0007,84.01,0.68,None,96.65,None,0.3705,0.1762,None,0.11,1.44,None
2016-03-31,1119032377,1119032377,1,502777000000,None,413696000000,None,88518000000,563000000,0,0,31952000000,11779000000,-183000000,-183000000,-0.16,-0.16,0.32,-968000000,385000000,453000000,-130000000,1499000000,0,55.42,60.64,50.2,-0.0048,-0.0009,79.1,0.71,39.03,96.33,None,0.361,0.1761,None,0.11,-0.87,None
2015-12-31,1149448256,1149448256,1,496943000000,None,406733000000,None,89658000000,552000000,0,0,0,13831000000,-1841000000,-1841000000,-1.5,-1.5,0.28,643000000,1782000000,-2365000000,60000000,1629000000,0,60.52,64.12,56.92,0.0219,0.0043,78,0.76,17.91,96.01,0.4538,0,0.1804,0.0376,0.11,0.56,None
2015-09-30,1237012512,1237012512,1,501985000000,None,402366000000,None,98999000000,620000000,0,0,0,12822000000,-231000000,-231000000,-0.18,-0.18,0.28,1741000000,1394000000,-3498000000,-368000000,1569000000,0,60.1,64.54,55.66,0.0449,0.0092,80.03,0.75,11.83,95.73,0.1818,0,0.1972,0.0782,0.12,1.41,None
2015-06-30,1293886920,1293886920,1,509987000000,None,405345000000,None,104258000000,384000000,0,0,0,15699000000,1800000000,1800000000,1.35,1.32,0.125,105000000,4972000000,-4962000000,114000000,1937000000,0,59.06,63.32,54.81,0.0665,0.0137,80.58,0.73,10.08,95.45,0.0958,0,0.2044,0.1114,0.12,0.08,None
2015-03-31,1333395436,1333395436,1,520701000000,None,412334000000,None,107979000000,388000000,0,0,0,15975000000,2468000000,2468000000,1.81,1.78,0.125,388000000,314000000,-604000000,65000000,1823000000,0,52.64,56.42,48.87,0.0777,0.016,80.98,0.68,10.18,95.33,0.0833,0,0.2074,0.1305,0.12,0.29,None
2014-12-31,1372435893,1372435893,1,515581000000,None,408309000000,None,106898000000,374000000,0,1454000000,0,15535000000,655000000,655000000,0.48,0.46,0.13,650000000,9417000000,-10187000000,-175000000,1758000000,0,52.95,56.51,49.4,0.0705,0.0142,77.89,0.68,8.75,95.2,0.0946,0,0.2073,0.1169,0.12,0.47,None
