"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,61474682,61474682,1,42237000000,None,36765300000,None,5440600000,31100000,2900000,2937700000,2006600000,2435600000,165700000,165700000,2.57,2.52,0.6,246700000,-447200000,220900000,20200000,1274200000,32400000,96.62,104.93,88.31,0.0835,0.0073,88.45,1.17,23.51,15.08,0.327,0.369,0.1287,0.0497,0.21,3.49,None
2018-12-31,61696055,61696055,1,41089300000,None,35955400000,None,5112000000,21900000,2900000,622400000,2006000000,2317000000,159000000,159000000,0.28,0.3,0.6,202100000,-298100000,47600000,-52600000,1254000000,23800000,95.61,108.9,82.31,0.0756,0.0063,82.81,1.14,9.96,14.48,0.3589,0.3926,0.1243,0.0472,0.2,2.89,None
2018-09-30,62053935,62053935,1,43443100000,None,38203400000,None,5219400000,20300000,2900000,0,2000000000,2270300000,53000000,53000000,0.76,0.76,0.56,282300000,-389600000,145900000,30600000,1306600000,20800000,105.79,111.43,100.15,0.1108,0.0108,84.06,1.25,13.58,13.88,0.2412,0.3834,0.1201,0.072,0.2,4.21,None
2018-06-30,62839361,62839361,1,42361300000,None,37028400000,None,5312500000,20400000,2900000,0,2000000000,1831700000,-67000000,62200000,1.09,1.09,0.56,248000000,-1593900000,300500000,-1066000000,1253700000,21600000,95.44,105.99,84.88,0.0931,0.0085,84.49,1.12,10.77,13.32,0.2893,0.3767,0.1253,0.0629,0.19,3.6,None
2018-03-31,52689972,52689972,1,32427900000,None,27926900000,None,4489800000,11200000,2900000,1198900000,2004400000,1638600000,106000000,106000000,1.99,1.96,0.56,-75700000,79100000,1344000000,1345200000,2342000000,16500000,92.91,101.47,84.34,0.1126,0.0152,85.16,1.14,9.85,12.76,0.2407,0.4467,0.1384,0.0741,0.21,-1.75,None
2017-12-31,52475408,52475408,1,31843000000,None,27561500000,None,4270600000,10900000,0,2100000,1068200000,1676600000,312900000,312900000,5.8,5.79,0.56,164000000,-299200000,143000000,4000000,996800000,-7500000,98.55,101.8,95.29,0.1238,0.0168,81.38,1.28,23.52,12.2,0.2223,0.2501,0.1341,0.081,0.21,3.27,None
2017-09-30,53811707,53811707,1,32405200000,None,28267000000,None,4138200000,0,0,1222600000,1067900000,1586400000,-57300000,-57300000,-1.05,-1.05,0.53,366700000,-245700000,22600000,144600000,992800000,12300000,97,106.27,87.74,0.0573,0.0078,76.9,1.24,12.75,11.64,0.4857,0.2581,0.1277,0.0367,0.21,6.59,None
2017-06-30,53886783,53886783,1,30058900000,None,25834300000,None,4224600000,0,0,1222000000,1136600000,1600500000,120200000,120200000,2.18,2.16,0.53,-24500000,62500000,-64600000,-26300000,848200000,16300000,98.99,105.3,92.68,0.1035,0.0147,78.4,1.3,12.15,11.11,0.2629,0.269,0.1405,0.0652,0.23,-0.76,None
2017-03-31,54787998,54787998,1,29567700000,None,25408900000,None,4158800000,0,0,1224500000,1067300000,1551500000,143800000,143800000,2.56,2.53,0.53,24200000,-58800000,-127700000,-157500000,874500000,14800000,95.65,100.85,90.45,0.1126,0.0164,75.91,1.3,10.68,10.58,0.2396,0.2566,0.1407,0.0705,0.23,0.17,None
2016-12-31,55636312,55636312,1,29709128000,None,25611028000,None,4098100000,0,0,1071266000,1067020000,1752292000,31316000,31316000,0.55,0.55,0.53,177581000,94356000,-345892000,-84652000,1031971000,18442000,86.23,93.74,78.72,0.1272,0.0188,73.66,1.09,9.2,10.05,0.2106,0.2604,0.1379,0.0751,0.25,2.86,None
2016-09-30,57012647,57012647,1,30283836000,None,25778922000,None,4504914000,0,0,1102965000,1165557000,1834168000,144367000,144367000,2.4,2.37,0.5,None,None,None,-110193000,1116623000,19070000,87.63,92.25,83.01,0.1318,0.0199,79.02,1.14,12.7,9.52,0.2034,0.2587,0.1488,0.072,0.28,None,None
2016-06-30,60204445,60204445,1,29804213000,None,25196142000,None,4608071000,0,0,1084592000,1165255000,1797793000,169349000,169349000,2.72,2.7,0.5,37325000,-387353000,-476231000,-828141000,1232674000,24971000,82.88,88.67,77.09,0.0976,0.0149,76.54,1.12,17.75,9.02,0.2525,0.2529,0.1546,0.0497,0.3,0.21,None
2016-03-31,61936907,61936907,1,30287195000,None,25722550000,None,4564645000,0,0,1113897000,1414704000,2147527000,220318000,220318000,3.38,3.34,0.5,-339030000,1132988000,-26792000,772510000,2060815000,22750000,73.77,81.31,66.23,0.0671,0.0102,73.7,1.06,36.16,8.52,0.3308,0.3099,0.1507,0.0316,0.32,-5.84,None
2015-12-31,64777357,64777357,1,30043128000,None,25519161000,None,4523967000,0,0,1110675000,0,2547834000,65744000,65744000,0.98,0.96,0.5,-274902000,193919000,-161795000,-255631000,1288305000,25463000,82.53,86.81,78.25,0.0295,0.0046,69.84,1.16,46.63,8.02,0.6395,0,0.1506,0.0137,0.34,-4.64,None
2015-09-30,65839094,65839094,1,30586091000,None,25902492000,None,4683599000,0,0,1141964000,0,2534156000,-7022000,-7022000,-0.1,-0.1,0.3,None,None,None,246500000,1543936000,27182000,73.87,79.6,68.14,0.0253,0.0041,71.14,1.02,19.49,7.52,0.6111,0,0.1531,0.0121,0.34,None,None
2015-06-30,66818458,66818458,1,30842082000,None,26014122000,None,4827960000,0,0,1174572000,0,2644894000,32789000,32789000,0.48,0.47,0.3,None,None,None,232271000,1297436000,40094000,64.37,68.87,59.86,0.0533,0.0088,72.25,0.85,12.21,7.22,0.2783,0,0.1565,0.0258,0.34,None,None
2015-03-31,67916445,67916445,1,30800356000,None,25672144000,None,5128212000,0,0,1159902000,0,2598610000,50044000,50044000,0.72,0.71,0.27,-177666000,54015000,-104350000,-253491000,1065165000,22157000,63.99,67.77,60.22,0.0731,0.0124,75.51,0.85,9.97,6.92,0.1959,0,0.1665,0.0364,0.34,-2.94,None
2014-12-31,68865622,68865622,1,31562466000,None,26381159000,None,5181307000,0,0,1223199000,0,2622692000,49755000,49755000,0.7,0.69,0.27,None,None,None,-92610000,1318656000,24724000,65.16,69.52,60.81,0.0898,0.0154,75.24,0.86,9.06,6.65,0.1587,0,0.1642,0.0454,0.34,None,None
2014-09-30,70255038,70255038,1,30673129000,None,25330566000,None,5342563000,0,0,1185839000,0,2702488000,140297000,140297000,1.94,1.92,0.27,252896000,-178123000,-52495000,12396000,1411266000,28012000,65.1,66.84,63.36,0.1028,0.0176,76.05,0.87,9.37,6.38,0.1397,0,0.1742,0.0522,0.34,3.2,None
2014-06-30,71379490,71379490,1,30617173000,None,25267466000,None,5349707000,0,0,1175165000,0,2608101000,143610000,143610000,1.98,1.95,0.27,134590000,225732000,-71611000,292958000,1398870000,17762000,57.19,69.39,44.98,0.1034,0.0174,74.95,0.8,8.54,6.11,0.1413,0,0.1747,0.0534,0.33,1.64,None
