"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,297448178,297448178,1,10634000000,4222100000,6430800000,2052900000,4148300000,54900000,0,5441900000,3569400000,2015300000,288400000,288400000,0.97,0.93,0.23,322400000,-428000000,126600000,12600000,982300000,74200000,96.05,105.51,86.58,0.2971,0.1192,13.95,6.96,25.48,4.27,0.2272,0.8604,0.3901,0.1454,0.82,0.83,2.0567
2019-03-31,298732261,298732261,1,10208100000,4127500000,6037700000,1649200000,4123100000,47300000,0,5148600000,3554800000,1958500000,267500000,267500000,0.9,0.87,0.23,343600000,-475100000,-181600000,-309600000,969700000,70200000,85.97,97,74.95,0.3034,0.1222,13.8,6.38,22.99,4.04,0.2284,0.8622,0.4039,0.1455,0.84,0.92,2.5027
2018-12-31,298087210,298087210,1,10044900000,4571600000,5980700000,2451300000,4017000000,47200000,0,4597500000,2806400000,2224700000,338000000,338000000,1.13,0.98,0.23,378200000,-91500000,-1500000,281000000,1279300000,101200000,85.03,94.94,75.12,0.307,0.1245,13.48,6.39,34.99,3.81,0.2193,0.6986,0.3999,0.1469,0.85,0.93,1.865
2018-09-30,301327138,301327138,1,9742600000,4281500000,5689300000,2543200000,4008900000,44400000,0,4523500000,2468300000,2129000000,316600000,316600000,1.05,1.01,0.23,339200000,-67200000,-222700000,33900000,998300000,71800000,91.56,97.56,85.55,0.1949,0.079,13.3,7.31,39.81,3.58,0.3322,0.6157,0.4115,0.0964,0.82,0.89,1.6835
2018-06-30,300352562,300352562,1,9510300000,4021400000,5697700000,2340800000,3761100000,51500000,0,4550500000,2668200000,1981400000,284800000,284800000,0.95,0.91,0.23,265100000,-140800000,-117700000,-35800000,964400000,78500000,86.19,91.97,80.42,0.1842,0.0752,12.52,6.64,39.36,3.35,0.3346,0.7094,0.3955,0.0949,0.79,0.62,1.718
2018-03-31,301435822,301435822,1,9403700000,3937100000,5435800000,2184700000,3913900000,54000000,0,4580500000,2489400000,1866900000,265600000,265600000,0.87,0.84,0.19,130200000,-142300000,-728200000,-718900000,1000200000,54100000,87.89,93.62,82.15,0.1745,0.0724,12.98,6.73,42.67,3.12,0.3215,0.636,0.4162,0.0945,0.77,0.25,1.8021
2017-12-31,305483780,305483780,1,10003900000,4656000000,5960500000,1579400000,3989800000,53600000,0,4484200000,3541500000,1943900000,-103400000,-103400000,-0.33,-0.33,0.19,427800000,-87200000,-92400000,266900000,1719100000,68700000,87.82,91.26,84.38,0.1664,0.0694,13.06,6.59,27.97,2.93,0.3287,0.8876,0.3988,0.0928,0.75,1.18,2.948
2017-09-30,305339096,305339096,1,9608800000,4352900000,5499500000,1433700000,4067200000,42100000,0,4416100000,3559700000,1840800000,277500000,277500000,0.91,0.88,0.19,198200000,-92500000,17000000,135300000,1452200000,54300000,78.61,84.87,72.35,0.2578,0.1098,13.32,6.19,26.47,2.74,0.2076,0.8752,0.4233,0.147,0.75,0.47,3.0361
2017-06-30,305444890,305444890,1,9172900000,3992400000,5257000000,1713900000,3874900000,41000000,0,4362100000,3020600000,1666500000,251500000,251500000,0.82,0.8,0.16,280400000,-209400000,-11000000,74000000,1316900000,51100000,72.62,76.67,68.56,0.2498,0.1076,12.69,5.99,25.75,2.55,0.2035,0.7795,0.4224,0.1435,0.75,0.75,2.3294
2017-03-31,305615575,305615575,1,8707400000,3722400000,4956300000,1583300000,3704200000,46900000,0,4028000000,2862100000,1560100000,224900000,224900000,0.73,0.71,0.16,237800000,8900000,-53700000,208300000,1242900000,48400000,68.99,71.98,66,0.2433,0.1059,12.12,5.78,26.43,2.39,0.2075,0.7727,0.4254,0.1391,0.76,0.62,2.351
2016-12-31,307664328,307664328,1,8498700000,3591200000,4775600000,1635200000,3674900000,48200000,0,3967100000,2635500000,1651100000,233700000,233700000,0.76,0.75,0.16,348900000,-67800000,-65500000,181000000,1034600000,54500000,65.94,68.83,63.05,0.2296,0.1004,11.94,5.49,26.48,2.23,0.2177,0.7172,0.4324,0.1306,0.77,0.96,2.1962
