"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-06-30,62100839,62100839,1,9912000000,2911000000,7178000000,1671000000,2734000000,0,0,3653000000,4087000000,1290000000,71000000,71000000,1.15,1.14,0.39,174000000,-83000000,-17000000,79000000,1215000000,78000000,113.44,118.54,108.33,0.0699,0.0195,44.03,2.59,32.79,21.13,0.5137,1.4949,0.2758,0.0388,0.5,1.55,1.7421
2016-03-31,62060722,62060722,1,9901000000,2912000000,7178000000,1702000000,2723000000,0,0,3688000000,4077000000,1247000000,87000000,87000000,1.39,1.38,0.39,175000000,-80000000,2000000,97000000,1136000000,48000000,99.64,110.98,88.3,0.0798,0.0231,43.88,2.47,18.66,20.74,0.4423,1.4972,0.275,0.0453,0.51,2.05,1.7109
2015-12-31,63225021,63225021,1,9673000000,2932000000,7126000000,1594000000,2547000000,0,0,3576000000,4037000000,1163000000,89000000,89000000,1.37,1.35,0.39,56000000,-44000000,-219000000,-218000000,1039000000,52000000,106.47,113.96,98.98,0.1244,0.0371,40.28,2.34,23.93,20.35,0.2734,1.585,0.2633,0.0709,0.52,0.06,1.8394
2015-09-30,66805186,66805186,1,10064000000,3248000000,7027000000,1448000000,3037000000,0,0,3628000000,3729000000,1279000000,-54000000,-54000000,-0.83,-0.83,0.39,232000000,-87000000,4000000,144000000,1257000000,117000000,110.59,123.6,97.58,0.0985,0.0308,45.46,2.36,17.84,19.96,0.3202,1.2279,0.3018,0.0574,0.54,1.72,2.2431
2015-06-30,67624467,67624467,1,9955000000,3092000000,6788000000,1374000000,3167000000,0,0,3689000000,3698000000,1367000000,107000000,107000000,1.58,1.56,0.39,-271000000,-17000000,498000000,202000000,1113000000,60000000,127.1,132.38,121.83,0.1317,0.042,46.83,2.84,21.58,19.57,0.2239,1.1677,0.3181,0.0827,0.51,-4.89,2.2504
2015-03-31,67576297,67576297,1,9796000000,2902000000,6777000000,1250000000,3019000000,0,0,3668000000,3185000000,1350000000,224000000,224000000,3.3,3.26,0.34,407000000,-351000000,-377000000,-345000000,911000000,43000000,123.16,130.66,115.66,0.117,0.0391,44.68,2.57,59.79,19.18,0.2285,1.055,0.3082,0.0776,0.5,5.39,2.3216
2014-12-31,69264646,69264646,1,10349000000,3241000000,7024000000,1374000000,3325000000,0,0,3840000000,2943000000,1391000000,32000000,32000000,0.47,0.46,0.34,-34000000,62000000,-155000000,-137000000,1256000000,42000000,108.28,121.35,95.21,0.0387,0.0136,48,2.1,36.09,18.84,0.6463,0.8851,0.3213,0.0275,0.49,-1.1,2.3588
2014-09-30,69368070,69368070,1,10951000000,3561000000,7368000000,1687000000,3583000000,0,0,3952000000,2942000000,1103000000,68000000,68000000,0.94,0.92,0.34,191000000,1520000000,-886000000,823000000,1393000000,102000000,104.28,110.02,98.55,0.0537,0.0197,51.65,1.8,14.52,18.5,0.4424,0.8211,0.3272,0.0381,0.52,1.28,2.1108
2014-06-30,78052592,78052592,1,12126000000,3203000000,7597000000,1751000000,4529000000,0,0,4079000000,2941000000,1605000000,99000000,99000000,1.27,1.25,0.34,238000000,23000000,-183000000,79000000,570000000,51000000,101.28,108.93,93.62,0.1245,0.0471,58.02,1.73,13.54,18.16,0.1857,0.6494,0.3735,0.0823,0.57,2.4,1.8292
2014-03-31,77931564,77931564,1,12188000000,3142000000,7618000000,1754000000,4570000000,0,0,4105000000,2949000000,1545000000,-44000000,-44000000,-0.57,-0.57,0.34,189000000,-57000000,64000000,196000000,491000000,41000000,94.81,100.87,88.76,0.1331,0.0492,58.64,1.58,10.89,17.82,0.1775,0.6453,0.375,0.0806,0.61,1.9,1.7913
