"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,443332735,443332735,1,2971200000,1543700000,3423800000,1756700000,-964500000,511900000,0,0,1197000000,1174800000,-19500000,-19500000,-0.06,-0.06,0,2500000,19200000,-28100000,-2400000,428600000,10900000,3.32,4.08,2.56,None,-0.0051,-2.18,None,None,10.96,None,None,None,None,1.72,-0.02,0.8787
2019-03-31,443221115,443221115,1,2997500000,1567500000,3440700000,1775200000,-948600000,505400000,0,0,1196400000,1186900000,-32700000,-32700000,-0.09,-0.09,0,-142700000,25600000,18000000,-105400000,431000000,20800000,2.44,3.41,1.46,None,-0.0105,-2.14,None,None,10.96,None,None,None,None,1.76,-0.37,0.883
2018-12-31,442426520,442426520,1,3010000000,1762000000,3414700000,1496500000,-904500000,499800000,0,87400000,1584800000,1401700000,-77600000,-77600000,-0.16,-0.16,0,161000000,-21400000,-51800000,83800000,536400000,21400000,1.81,2.18,1.43,None,-0.0061,-2.04,None,6.7,10.96,None,None,None,None,1.74,0.32,1.1774
2018-09-30,442360153,442360153,1,3074600000,1773300000,3391600000,1418200000,-810400000,493400000,0,92800000,1630800000,1424200000,114500000,114500000,0.21,0.21,0,38400000,-22100000,-2800000,8700000,452600000,22100000,1.96,2.54,1.38,None,0.0443,-1.83,None,28,10.96,0,None,None,0.0261,1.7,0.04,1.2504
2018-06-30,442344872,442344872,1,3086400000,1783400000,3517100000,1383600000,-918900000,488200000,0,94900000,1630300000,1351900000,-36100000,-36100000,-0.09,-0.09,0,-10400000,-22900000,-252700000,-328600000,443900000,19600000,2.24,2.99,1.48,None,0.0137,-2.08,None,56,10.96,0,None,None,0.0083,1.64,-0.07,1.289
2018-03-31,441680315,441680315,1,3640400000,2149500000,3913200000,1750800000,-756300000,483500000,0,100900000,1629600000,1393500000,-20300000,-20300000,-0.06,-0.06,0,-96300000,-27000000,400000,-109000000,772500000,27000000,2.51,2.99,2.03,None,0.0107,-1.71,None,None,10.96,0,None,None,0.0066,1.61,-0.28,1.2277
2017-12-31,440373865,440373865,1,3697900000,2233300000,3944800000,1559600000,-725000000,478100000,0,95700000,1869300000,1568800000,91500000,91500000,0.21,0.21,0,235100000,-28100000,9800000,217700000,881500000,28000000,2.13,2.4,1.87,None,0.0062,-1.65,None,None,10.96,0,None,None,0.0038,1.62,0.47,1.432
2017-09-30,439997691,439997691,1,3516600000,2092500000,3864100000,1471500000,-820500000,473000000,0,96800000,1873000000,1417800000,12500000,12500000,0.01,0.01,0,22700000,-1100000,3200000,30000000,663800000,23100000,3.04,3.75,2.33,None,-0.0232,-1.86,None,None,10.96,None,None,None,None,1.65,-0,1.422
2017-06-30,439949643,439949643,1,3467500000,2015200000,3852800000,1487500000,-853100000,467800000,0,94600000,1873800000,1395900000,-45500000,-45500000,-0.12,-0.12,0,88500000,-18100000,-7700000,73800000,633800000,18000000,4.1,4.85,3.35,None,-0.016,-1.94,None,None,10.96,None,None,None,None,1.61,0.16,1.3548
2017-03-31,439847678,439847678,1,3426200000,1948900000,3784400000,1450900000,-820500000,462300000,0,97100000,1874900000,1333100000,-36500000,-36500000,-0.1,-0.1,0,-83700000,-22300000,-5300000,-94400000,560000000,22300000,5.07,5.93,4.21,None,0.0061,-1.87,None,None,10.96,0,None,None,0.0038,1.6,-0.24,1.3432
