"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,24528705,24528705,1,9773740000,4971340000,11363253000,5316889000,-1589513000,0,0,309546000,5151917000,2783006000,405949000,405949000,16.35,15.99,0,469566000,-109089000,-381929000,-21607000,174058000,118015000,973,1074.67,871.33,None,0.1513,-64.8,None,18.17,0,0,None,None,0.127,1.19,14.33,0.935
2019-02-09,24887568,24887568,1,9745095000,4997072000,11339457000,5334303000,-1594362000,0,0,310509000,5111201000,2450568000,294638000,294638000,11.71,11.49,0,367887000,-84304000,-345940000,-56421000,195665000,97664000,844.54,896.03,793.06,None,0.1491,-64.06,None,16.1,0,0,None,None,0.1249,1.19,10.86,0.9368
2018-11-17,25205125,25205125,1,9523581000,4814329000,11182197000,5168172000,-1658616000,0,0,311472000,5156037000,2641733000,351406000,351406000,13.71,13.47,0,449182000,-91899000,-315608000,34262000,252086000,98168000,768.84,832.67,705.01,None,0.1499,-65.8,None,15.7,0,0,None,None,0.1249,1.2,13.93,0.9315
2018-08-25,25559353,25559353,1,9346980000,4635869000,10867335000,5028681000,-1520355000,0,0,312434000,5160230000,3558768000,400282000,400282000,15.42,15.17,0,823936000,-219200000,-606980000,-562000,217824000,194527000,686.68,771.37,602,None,0.1429,-59.48,None,13.96,0,0,None,None,0.1192,1.2,24.63,0.9219
2018-05-05,26436100,26436100,1,9301769000,4671277000,10663372000,4918336000,-1361603000,0,0,313718000,4954697000,2660152000,366721000,366721000,13.62,13.42,0,504013000,-72053000,-500867000,-70136000,218386000,77235000,670.61,750.45,590.76,None,0.1468,-51.51,None,14.21,0,0,None,None,0.1227,1.2,16.14,0.9498
2018-02-10,26900873,26900873,1,9403719000,4826307000,10734266000,4947228000,-1330547000,0,0,314681000,5043541000,2413026000,289530000,289530000,10.58,10.38,0,187326000,-95954000,-60603000,30845000,288522000,104469000,711.41,797.89,624.94,None,0.1441,-49.46,None,15.84,0,0,None,None,0.12,1.2,3.08,0.9756
2017-11-18,27353015,27353015,1,9397084000,4717192000,10922183000,5067640000,-1525099000,0,0,442955000,4982984000,2589131000,281003000,281003000,10.17,10,0,565017000,-134653000,-463704000,-35593000,257677000,110278000,576.33,633.24,519.41,None,0.1403,-55.76,None,13.02,0,0,None,None,0.1166,1.2,16.62,0.9308
2017-08-26,27492520,27492520,1,9259781000,4611255000,10688158000,4766301000,-1428377000,0,0,444386000,5231738000,3512605000,433899000,433899000,15.6,15.38,0,561382000,-194366000,-302484000,66129000,293270000,195898000,601.57,709.98,493.15,None,0.1426,-51.96,None,13.9,0,0,None,None,0.1176,1.21,13.29,0.9675
2017-05-06,28030696,28030696,1,9028264000,4507249000,10742478000,4793540000,-1714214000,0,0,446971000,5152843000,2619007000,331700000,331700000,11.7,11.44,0,445332000,-156519000,-275277000,16492000,227141000,141831000,712.02,741.05,682.99,None,0.1444,-61.15,None,16.71,0,0,None,None,0.1182,1.22,10.83,0.9403
2017-02-11,28407150,28407150,1,8902630000,4492767000,10730070000,4784272000,-1827440000,0,0,448910000,5151862000,2289219000,237145000,237145000,8.29,8.08,0,157398000,-103063000,-38642000,15111000,210649000,118186000,762.43,809.87,714.99,None,0.1463,-64.33,None,18.17,0,0,None,None,0.1181,1.24,1.38,0.9391
2016-11-19,28620620,28620620,1,8742544000,4368686000,10637769000,4850219000,-1895225000,0,0,450850000,4997446000,2467845000,278125000,278125000,9.61,9.36,0,406500000,-99651000,-297926000,5804000,195538000,97917000,751.03,779.61,722.44,None,0.1476,-66.22,None,18.37,0,0,None,None,0.1177,1.25,10.78,0.9007
