"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,49229938,49229938,1,880365000,384598000,482407000,167063000,397958000,0,0,0,0,201313000,15092000,15092000,0.31,0.31,0.25,29274000,-1497000,-12309000,15468000,183939000,2462000,18.39,19.92,16.85,0.2296,0.1471,8.08,2.3,9.34,34.17,1.065,0,0.452,0.1047,1.4,0.54,2.3021
2019-02-02,49240345,49240345,1,527302000,370432000,133425000,90218000,393877000,0,0,0,0,264412000,41135000,41135000,0.85,0.85,1.25,60109000,-8468000,-61088000,-9447000,168471000,2074000,19.91,22.8,17.03,0.2375,0.1763,8,2.36,10.06,33.92,1.0284,0,0.747,0.108,1.63,1.18,4.106
2018-11-03,49017975,49017975,1,559095000,397124000,146245000,102154000,412850000,0,0,0,0,215107000,20476000,20476000,0.42,0.42,0.25,17746000,3367000,-12144000,8969000,177918000,1700000,23.84,29.65,18.03,0.2402,0.177,8.42,2.89,12.1,32.67,1.3974,0,0.7384,0.107,1.66,0.33,3.8875
2018-08-04,49018195,49018195,1,545092000,379408000,140985000,93461000,404107000,0,0,0,0,201080000,15659000,15659000,0.32,0.32,0.25,11541000,1272000,-12251000,562000,168949000,2618000,25.43,28.8,22.05,0.2339,0.1737,8.24,3.12,13.46,32.42,1.4053,0,0.7414,0.1053,1.65,0.18,4.0595
2018-05-05,49044895,49044895,1,538156000,367511000,138958000,90660000,399198000,0,0,0,0,204897000,18338000,18338000,0.38,0.38,0.25,19331000,-3769000,-12261000,3301000,168387000,3479000,20.9,24,17.8,0.2193,0.164,8.14,2.62,11.3,32.17,1.4688,0,0.7418,0.1013,1.62,0.32,4.0537
2018-02-03,49044895,49044895,1,538116000,360584000,146868000,97906000,391248000,0,0,0,0,281172000,42035000,42035000,0.87,0.86,2,61101000,-3963000,-97299000,-40161000,165086000,2240000,21.28,25.11,17.45,0.2098,0.1571,7.98,2.33,12.23,31.92,1.5018,0,0.7271,0.0982,1.6,1.2,3.683
2017-10-28,48841280,48841280,1,588123000,405834000,142210000,92177000,445913000,0,0,0,0,224307000,19904000,19904000,0.41,0.41,0.25,29573000,-7788000,-12152000,9633000,205247000,3792000,15.5,17.5,13.5,0.1913,0.1439,9.13,1.73,8.56,29.92,1.0217,0,0.7582,0.0917,1.57,0.53,4.4028
2017-07-29,48844700,48844700,1,573562000,388004000,136449000,86046000,437113000,0,0,0,0,195650000,11483000,11483000,0.24,0.24,0.25,841000,-885000,-12210000,-12254000,195614000,3294000,18.23,20.4,16.05,0.1996,0.1504,8.95,2.04,9.65,29.67,0.9801,0,0.7621,0.094,1.6,-0.05,4.5093
2017-04-29,48848555,48848555,1,583724000,396400000,147467000,96508000,436257000,0,0,0,0,212251000,16285000,16285000,0.34,0.34,0.25,28206000,-4661000,-12213000,11332000,207868000,3873000,18.93,21.85,16,0.2095,0.1568,8.93,2.15,9.33,29.42,0.9366,0,0.7474,0.0966,1.62,0.5,4.1074
2017-01-28,48848725,48848725,1,579847000,386457000,149308000,98616000,430539000,0,0,0,0,279960000,35995000,35995000,0.75,0.75,1,84718000,-2754000,-48434000,33530000,196536000,4607000,23.52,27.1,19.95,0.2265,0.1699,8.81,2.58,9.76,29.17,0.8709,0,0.7425,0.1005,1.69,1.64,3.9188
2016-10-29,48622780,48622780,1,581571000,381933000,138417000,87244000,443154000,0,0,0,0,239213000,23397000,23397000,0.49,0.48,0.25,19699000,-12762000,-12104000,-5167000,163006000,9699000,24.64,28.67,20.6,0.2717,0.2023,9.11,2.78,9.19,28.17,0.8362,0,0.762,0.1133,1.79,0.21,4.3778
2016-07-30,48623080,48623080,1,579967000,373870000,149241000,95230000,430726000,0,0,0,0,212157000,15472000,15472000,0.32,0.32,0.25,32130000,-5216000,-12156000,14758000,168173000,9207000,25.59,29.19,22,0.3053,0.2233,8.86,2.92,9.01,27.92,0.7473,0,0.7427,0.1206,1.85,0.47,3.926
2016-04-30,48623190,48623190,1,564819000,357486000,139318000,85482000,425501000,0,0,0,0,243543000,23097000,23097000,0.48,0.48,0.25,12319000,-7933000,-12156000,-7770000,153415000,7832000,31.28,35.02,27.54,0.3314,0.2387,8.75,3.69,10.22,27.67,0.6963,0,0.7533,0.1253,1.91,0.09,4.182
2016-01-30,48633690,48633690,1,572773000,362897000,160130000,107626000,412643000,0,0,0,0,332031000,54339000,54339000,1.13,1.13,1.25,105731000,-3071000,-62905000,39755000,161185000,3653000,31.1,36.16,26.05,0.3669,0.2593,8.48,3.6,9.78,27.42,0.64,0,0.7204,0.1315,1.97,2.1,3.3718
2015-10-31,48452970,48452970,1,589893000,367235000,171289000,108487000,418604000,0,0,0,0,280187000,35893000,35893000,0.74,0.75,0.23,22828000,-12099000,-11757000,-1028000,121430000,9903000,39.45,45.45,33.44,0.3954,0.2731,8.64,4.85,12.06,26.17,1.1698,0,0.7096,0.1341,2.04,0.27,3.3851
2015-08-01,48531973,48531973,1,564920000,336829000,170402000,106253000,394518000,0,0,0,0,236053000,23481000,23481000,0.49,0.48,0.23,9008000,-10019000,-11163000,-12174000,122458000,9693000,43.95,47.36,40.54,0.4024,0.278,8.13,5.61,13.32,25.94,1.1316,0,0.6984,0.1368,2.03,-0.01,3.1701
2015-05-02,48532213,48532213,1,544575000,321229000,164554000,100881000,380021000,0,0,0,0,271345000,33570000,33570000,0.7,0.7,0.23,21755000,-9669000,-11162000,924000,134632000,11329000,49.05,53.41,44.7,0.4018,0.2792,7.83,6.7,14.51,25.71,1.1213,0,0.6978,0.1377,2.03,0.21,3.1842
2015-01-31,48532963,48532963,1,542993000,324589000,187715000,122271000,355278000,0,0,0,0,353541000,60133000,60133000,1.25,1.25,3,104120000,-8128000,-144551000,-48559000,133708000,9177000,51.87,56.13,47.61,0.4086,0.2847,7.32,5.72,15.39,25.48,1.092,0,0.6543,0.141,2.02,1.96,2.6547
2014-11-01,48379703,48379703,1,617653000,400018000,179002000,114924000,438651000,0,0,0,0,292201000,40616000,40616000,0.85,0.84,0.22,45990000,-22541000,-10642000,12807000,182267000,13551000,47.29,50.04,44.54,0.4048,0.2829,9.07,5.62,14.03,22.48,0.6221,0,0.7102,0.142,1.99,0.67,3.4807
2014-08-02,48374622,48374622,1,569927000,357918000,163183000,99701000,406744000,0,0,0,0,235725000,24473000,24473000,0.51,0.51,0.22,15746000,-5358000,-10644000,-256000,169460000,12580000,45.55,49.15,41.96,0.4224,0.292,8.41,5.64,13.44,22.26,0.6162,0,0.7137,0.1427,2.05,0.07,3.5899
2014-05-03,48374622,48374622,1,553204000,344406000,162306000,100081000,390898000,0,0,0,0,271675000,37342000,37342000,0.78,0.78,0.22,29912000,-14592000,-10472000,4848000,169716000,10146000,44.95,48.44,41.45,0.4439,0.302,8.08,6.01,13.26,22.04,0.6076,0,0.7066,0.1437,2.1,0.41,3.4413
2014-02-01,48374802,48374802,1,546293000,342137000,184363000,123381000,361930000,0,0,0,0,338999000,59304000,59304000,1.24,1.24,1.42,104706000,-2646000,-68033000,34027000,164868000,3650000,48.51,53.57,43.45,0.467,0.3122,7.48,6.31,14.14,21.82,0.6009,0,0.6625,0.1441,2.17,2.09,2.773
2013-11-02,48331077,48331077,1,545783000,339469000,173919000,113373000,371864000,0,0,0,0,286761000,40584000,40584000,0.86,0.84,0.2,43143000,-5746000,-9610000,27787000,130841000,6269000,51.97,57.68,46.26,0.4988,0.3269,7.69,7.42,14.98,20.4,1.5557,0,0.6813,0.1432,2.28,0.76,2.9943
2013-08-03,48326124,48326124,1,505368000,296823000,166916000,105591000,338452000,0,0,0,0,232529000,25144000,25144000,0.52,0.53,0.2,5036000,-8973000,-9610000,-13547000,103054000,7735000,52.98,57.39,48.56,0.4752,0.319,7,7.99,15.45,20.2,1.5428,0,0.6697,0.1447,2.2,-0.06,2.8111
2013-05-04,48325331,48325331,1,485607000,280743000,165282000,103620000,320325000,0,0,0,0,269712000,37552000,37552000,0.79,0.78,0.2,21141000,-12656000,-9492000,-1007000,116601000,11157000,46.19,49.28,43.09,0.4458,0.3075,6.63,7.71,13.43,20,1.5604,0,0.6596,0.1452,2.12,0.21,2.7094
2013-02-02,48323299,48323299,1,477974000,276873000,188325000,128956000,289649000,0,0,0,0,360615000,61356000,61356000,1.29,1.28,4.7,128590000,-126000,-223892000,-95428000,117608000,4168000,46.62,51.74,41.5,0.4241,0.299,5.99,5,13.96,19.8,1.5575,0,0.606,0.1462,2.05,2.57,2.147
2012-10-27,48049452,48049452,1,611896000,405233000,163411000,103902000,448485000,0,0,0,0,284147000,41917000,41917000,0.89,0.88,0.2,60751000,-4591000,-9144000,47016000,213036000,6492000,42.3,47.8,36.8,0.3919,0.2825,9.33,4.9,12.94,15.1,0.2413,0,0.7329,0.1445,1.95,1.13,3.9001
2012-07-28,47940699,47940699,1,558407000,347147000,144766000,84555000,413641000,0,0,0,0,215483000,23223000,23223000,0.49,0.49,0.2,-6163000,-4926000,-9584000,-20673000,166020000,10865000,41.91,47.49,36.33,0.4179,0.2948,8.63,5.04,12.78,14.9,0.9323,0,0.7408,0.1427,2.07,-0.36,4.1056
2012-04-28,47921437,47921437,1,549941000,336869000,151951000,91364000,397990000,0,0,0,0,263762000,37809000,37809000,0.8,0.79,0.2,37763000,-12023000,-5558000,20182000,186693000,8772000,46.38,50,42.75,0.4258,0.2999,8.31,6.12,14.49,14.7,0.9296,0,0.7237,0.1434,2.09,0.6,3.6871
2012-01-28,47921437,47921437,1,531539000,320127000,168392000,109831000,363147000,0,0,0,0,337076000,56080000,56080000,1.19,1.18,0.2,123439000,4149000,-9033000,118555000,166511000,5165000,41.28,45.98,36.58,0.4212,0.2965,7.58,6.25,13.49,14.5,0.9555,0,0.6832,0.1425,2.08,2.47,2.9147
2011-10-29,47423165,47423165,1,469364000,243250000,156049000,103463000,313315000,0,0,0,0,273400000,38349000,38349000,0.82,0.81,2.45,53249000,-4591000,-115605000,-66947000,47956000,8292000,39.93,45.89,33.97,0.4077,0.2888,6.61,4.86,13.4,14.3,1.8145,0,0.6675,0.1408,2.05,0.95,2.3511
2011-07-30,47353305,47353305,1,526978000,290835000,138024000,84554000,388954000,0,0,0,0,212378000,23558000,23558000,0.5,0.5,0.2,-6347000,-8949000,-9093000,-24389000,114903000,12580000,43.25,47.97,38.54,0.3708,0.2708,8.21,5.5,14.81,11.85,1.1736,0,0.7381,0.141,1.92,-0.4,3.4396
2011-04-30,47355775,47355775,1,515033000,277582000,142159000,88387000,372874000,0,0,0,0,240092000,33469000,33469000,0.72,0.71,0.2,38932000,-8182000,-7928000,22822000,139292000,10590000,40.45,46.38,34.51,0.3628,0.2677,7.87,5.53,14.19,11.65,1.1288,0,0.724,0.1416,1.89,0.6,3.1405
2011-01-29,47281314,47281314,1,494844000,257036000,149179000,96373000,345665000,0,0,0,0,303056000,49454000,49454000,1.09,1.04,2.7,95840000,-163000,-118387000,-22710000,116470000,7567000,34.38,39.84,28.92,0.3527,0.262,7.31,3.9,12.78,11.45,1.1561,0,0.6985,0.1418,1.85,1.87,2.6671
2010-10-30,46739247,46739247,1,543578000,294528000,131428000,86456000,412150000,0,0,0,0,243346000,34371000,34371000,0.75,0.73,0.4,63506000,-2700000,-14708000,46098000,139180000,9886000,27.2,31.41,23,0.3317,0.2485,8.82,3.24,10.19,8.75,0.2934,0,0.7582,0.1383,1.8,1.15,3.4067
2010-07-31,46650516,46650516,1,509177000,261506000,117746000,73031000,391431000,0,0,0,0,188639000,20747000,20747000,0.45,0.44,0,-13023000,-16955000,-8357000,-38335000,93082000,16792000,32.58,38.3,26.85,0.3503,0.2581,8.39,4.03,11.76,8.35,0.8809,0,0.7688,0.1389,1.86,-0.64,3.5808
2010-05-01,46730695,46730695,1,508594000,263300000,130330000,86578000,378264000,0,0,0,0,214797000,30110000,30110000,0.65,0.64,0.2,33612000,-29838000,-7697000,-3923000,131417000,20700000,33.95,40.35,27.56,0.366,0.2684,8.09,4.47,12.53,8.35,0.9232,0,0.7437,0.1429,1.88,0.28,3.0412
2010-01-30,46659195,46659195,1,488903000,264809000,134644000,92030000,354259000,0,0,0,0,274446000,42142000,42142000,0.94,0.88,0.2,87703000,-18232000,-8126000,61345000,135340000,15931000,30.05,33.72,26.39,0.3625,0.2646,7.59,4.37,11.83,8.15,0.9458,0,0.7246,0.1417,1.87,1.54,2.8774
2009-10-31,46294580,46294580,1,451138000,237641000,132912000,91271000,318226000,0,0,0,0,231238000,33305000,33305000,0.73,0.71,2,39144000,-18683000,-92202000,-71741000,73995000,8589000,31.51,37.49,25.52,0.3445,0.2515,6.87,3.88,12.86,7.95,1.0067,0,0.7054,0.1365,1.84,0.66,2.6037
2009-08-01,46276564,46276564,1,497342000,295131000,121366000,79719000,375976000,0,0,0,0,192906000,24994000,24994000,0.55,0.54,0.2,-4409000,-14424000,-6338000,-25171000,145736000,11176000,33.92,39.09,28.75,0.3321,0.2432,8.12,4.39,14.19,5.95,1.1203,0,0.756,0.1349,1.8,-0.34,3.7021
2009-05-02,46121455,46121455,1,486946000,294622000,130819000,90161000,356127000,0,0,0,0,199697000,26862000,26862000,0.59,0.58,0.2,35521000,-17889000,-9188000,8444000,170907000,14865000,29.42,38.3,20.54,0.3228,0.2364,7.72,4.02,13.27,5.75,1.1334,0,0.7313,0.1354,1.75,0.45,3.2677
2009-01-31,46149905,46149905,1,465340000,286965000,128118000,89426000,337222000,0,0,0,0,251414000,34340000,34340000,0.77,0.71,0.2,82957000,5617000,-18530000,70044000,162463000,6794000,20.38,27.2,13.57,0.2973,0.2222,7.31,2.95,9.67,5.55,1.2068,0,0.7247,0.1318,1.69,1.65,3.209
2008-11-01,46106508,46106508,1,446018000,259695000,126885000,87902000,319133000,0,0,0,0,210567000,29076000,29076000,0.64,0.62,2.2,25245000,-23442000,-93528000,-91725000,92419000,25610000,32.83,44.57,21.08,0.2821,0.2126,6.92,3.96,16.69,5.35,1.2547,0,0.7155,0.1326,1.6,-0.01,2.9544
2008-08-02,30726303,46089454,1.5,506443000,331834000,124071000,84634000,382372000,0,0,0,0,169765000,22276000,22276000,0.74,0.72,0.25,23325000,26592000,-6947000,42970000,184144000,7459000,32.5,35.98,29.03,0.2601,0.199,8.3,4.08,18.68,3.15,0.3302,0,0.755,0.1309,1.52,0.34,3.9208
2008-05-03,30629654,45944481,1.5,462132000,273032000,96195000,58449000,365937000,0,0,0,0,160300000,18717000,18717000,0.63,0.61,0.25,12202000,57706000,6973000,76881000,141174000,7585000,29.2,33.67,24.72,0.2421,0.1866,7.96,3.94,18.25,2.98,0.3524,0,0.7918,0.1241,1.5,0.1,4.6713
2008-02-02,30441007,45661510,1.5,450657000,None,112337000,None,338320000,0,0,0,0,206961000,29064000,29064000,1,0.9,0.25,None,None,None,None,None,0,24.46,28.9,20.03,0.2333,0.1802,7.41,3.32,16.6,2.82,0.3611,0,0.7507,0.1214,1.48,None,None
2007-11-03,30052022,45078033,1.5,434984000,300718000,102880000,66665000,332104000,0,0,0,0,167559000,22198000,22198000,0.75,0.72,0.25,33134000,-12481000,-6139000,14514000,40092000,4847000,25.3,29.14,21.46,0.2205,0.1719,7.37,3.64,18.22,2.65,1.2189,0,0.7635,0.1161,1.48,0.63,4.5109
2007-08-04,30193991,45290986,1.5,405345000,272117000,90448000,55946000,314897000,0,0,0,0,124257000,11792000,11792000,0.4,0.38,0.2,5817000,-10908000,-2833000,-7924000,25578000,8590000,25.17,27.63,22.71,0.2092,0.1651,6.95,3.72,19.63,2.48,1.2483,0,0.7769,0.1131,1.46,-0.06,4.8639
2007-05-05,30049114,45073671,1.5,379706000,249192000,74920000,42072000,304786000,0,0,0,0,121111000,12193000,12193000,0.41,0.4,0.2,11044000,-17664000,4370000,-2250000,33502000,6348000,23.27,24.91,21.63,0.1931,0.1539,6.76,3.64,19,2.35,1.3114,0,0.8027,0.1081,1.42,0.1,5.923
2007-02-03,29876089,44814133,1.5,368198000,238226000,81611000,49209000,286587000,0,0,0,0,174986000,22072000,22072000,0.78,0.71,2.13,61620000,16687000,-52608000,25699000,35752000,4825000,20.63,24.43,16.83,0.1833,0.147,6.4,2.87,18.49,2.22,1.3302,0,0.7784,0.1051,1.4,1.27,4.8411
2006-10-28,19272685,43363541,2.25,390326000,254590000,78279000,45756000,312047000,0,0,0,0,143084000,17661000,17661000,0.92,0.89,0.2,16573000,1033000,-16035000,1571000,10053000,6122000,16.3,17.78,14.83,0.1718,0.1387,7.2,2.3,15.03,0.8,0.261,0,0.7995,0.1038,1.34,0.24,5.5641
2006-07-29,19426708,43710093,2.25,383579000,247039000,73811000,42882000,309768000,0,0,0,0,102398000,6639000,6639000,0.34,0.33,0.17,-5984000,-128000,-4795000,-10907000,8482000,5502000,17.98,19.26,16.69,0.1721,0.1387,7.09,2.58,16.25,0.71,0.2561,0,0.8076,0.1027,1.35,-0.26,5.7609
2006-04-29,19595389,44089625,2.25,374152000,235608000,66233000,35824000,307919000,0,0,0,0,109606000,9354000,9354000,0.48,0.47,0.17,8182000,-10808000,-1423000,-4049000,19389000,5408000,17.21,19.11,15.32,0.181,0.1443,6.98,2.5,16,0.63,0.2446,0,0.823,0.1042,1.39,0.06,6.5768
2006-01-28,19368405,43578911,2.25,374266000,238559000,74473000,45131000,299793000,0,0,0,0,153357000,19142000,19142000,0.93,0.82,0.17,62849000,40021000,-12519000,90351000,23438000,5650000,15.94,17.77,14.11,0.1865,0.1472,6.88,2.46,15.2,0.56,0.2278,0,0.801,0.1036,1.42,1.31,5.2859
2005-10-29,19541048,43967358,2.25,359421000,228680000,74954000,46016000,284467000,0,0,0,0,138067000,16590000,16590000,0.85,0.82,0.17,15289000,-3328000,-3532000,8429000,90788000,6098000,16.84,19.29,14.4,0.1741,0.1384,6.47,2.73,17.14,0.48,0.2159,0,0.7915,0.1012,1.37,0.21,4.9696
2005-07-30,19541065,43967396,2.25,350848000,219280000,79524000,51533000,271324000,0,0,0,0,104130000,7553000,7553000,0.39,0.38,0.15,-6277000,-3398000,5762000,-3913000,82359000,6742000,17.86,20.62,15.1,0.1638,0.1314,6.17,2.96,19.41,0.4,0.2085,0,0.7733,0.0986,1.33,-0.3,4.2551
2005-04-30,18967273,42676364,2.25,326265000,194473000,68508000,41074000,257757000,0,0,0,0,105547000,8621000,8621000,0.42,0.4,0.12,4272000,-7938000,-83959000,-87625000,86272000,7135000,14.27,15.95,12.58,0.1522,0.123,6.04,1.8,16.55,0.34,0.2016,0,0.79,0.0954,1.29,-0.07,4.7347
2005-01-29,18712956,42104151,2.25,405543000,275330000,72615000,45736000,332928000,0,0,0,0,145593000,17146000,17146000,0.79,0.76,0.12,52652000,-825000,-1403000,50424000,173897000,4352000,12.81,14.21,11.41,0.1383,0.113,7.91,1.98,15.58,0.28,0.2117,0,0.8209,0.0918,1.23,1.15,6.02
2004-10-30,21619290,48643402,2.25,385029000,252154000,70287000,43635000,314742000,0,0,0,0,133722000,14878000,14878000,0.7,0.67,0.12,19663000,-2673000,-3682000,13308000,123473000,3119000,11.93,12.67,11.18,0.1354,0.1108,6.47,1.91,15.43,0.23,0.221,0,0.8175,0.0892,1.24,0.34,5.7787
2004-07-31,21509333,48395999,2.25,378349000,240737000,75485000,49252000,302864000,0,0,0,0,96848000,5317000,5317000,0.25,0.24,0.1,1851000,-5660000,-2929000,-6738000,110165000,3466000,12.09,12.89,11.29,0.13,0.1079,6.26,1.96,16.29,0.18,0.2241,0,0.8005,0.0857,1.26,-0.03,4.8879
2004-05-01,21593699,48585822,2.25,360855000,220610000,61065000,35113000,299790000,0,0,0,0,94774000,5888000,5888000,0.28,0.27,0.1,-1586000,-858000,-629000,-3073000,116903000,5700000,12.16,13.21,11.11,0.1276,0.1077,6.17,2.01,17.77,0.13,0.1758,0,0.8308,0.0839,1.28,-0.15,6.2829
2004-01-31,21550980,48489705,2.25,356222000,217146000,62377000,36468000,293845000,0,0,0,0,134099000,14913000,14913000,0.72,0.67,0.1,48378000,-13044000,-2696000,32638000,119976000,8732000,10.32,11.45,9.2,0.121,0.104,6.06,1.74,16.47,0.09,0.1268,0,0.8249,0.0797,1.31,0.82,5.9544
