"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2010-07-02,502596046,502596046,1,16269000000,5724000000,15025000000,4556000000,1228000000,16000000,0,3815000000,7571000000,5884000000,356000000,356000000,0.71,0.69,0.09,433000000,-159000000,-70000000,188000000,1160000000,192000000,26.61,28.93,24.29,0.8699,0.0503,2.44,14.08,17.06,2.55,0.206,6.1653,0.0755,0.038,1.32,0.48,1.2564
2010-04-02,500426714,500426714,1,16014000000,5190000000,15050000000,4270000000,948000000,16000000,0,3891000000,7843000000,4968000000,106000000,106000000,0.21,0.21,0.09,-42000000,-163000000,162000000,-64000000,972000000,179000000,23.5,28.16,18.84,None,0.0474,1.89,13.43,15.88,2.46,0.2031,8.2732,0.0592,0.036,1.32,-0.44,1.2155
2009-12-31,491629395,491629395,1,16416000000,5170000000,15534000000,4588000000,859000000,23000000,0,4095000000,7891000000,5117000000,110000000,110000000,0.22,0.21,0.08,344000000,-297000000,48000000,91000000,1036000000,295000000,20.14,21.53,18.75,None,0.045,1.75,13.43,None,2.37,0.2008,9.1863,0.0523,0.0338,1.33,0.1,1.1269
2009-10-02,488929833,488929833,1,16446000000,5261000000,15691000000,4076000000,731000000,24000000,0,4082000000,8326000000,5569000000,247000000,247000000,0.5,0.5,0.08,908000000,-224000000,-403000000,289000000,945000000,216000000,18.8,21.44,16.17,None,-0.0517,1.5,19.18,None,2.29,None,11.3899,0.0444,None,1.36,1.42,1.2907
2009-07-03,487949084,487949084,1,16579000000,5366000000,16079000000,4565000000,477000000,23000000,0,4092000000,8333000000,5909000000,313000000,313000000,0.64,0.64,0.07,421000000,-214000000,-58000000,158000000,656000000,216000000,15.71,17.83,13.59,None,-0.0517,0.98,None,None,2.21,None,17.4696,0.0288,None,1.32,0.42,1.1755
2009-04-03,487866231,487866231,1,15486000000,4503000000,15471000000,4327000000,-9000000,24000000,0,3835000000,9996000000,5050000000,61000000,61000000,0.13,0.13,0.07,107000000,-259000000,-69000000,-224000000,498000000,189000000,12.13,14.55,9.7,None,-0.248,-0.02,None,None,2.14,None,None,None,None,1.26,-0.17,1.0407
2008-12-31,487828230,487828230,1,15589000000,4583000000,15620000000,5074000000,-31000000,0,0,3838000000,9384000000,5237000000,-1450000000,-1450000000,-2.99,-2.99,0.07,657000000,-233000000,-126000000,286000000,722000000,225000000,12.37,17.48,7.25,None,-0.2223,-0.06,2.39,None,2.07,None,None,None,None,1.1,0.89,0.9032
2008-09-26,487932561,487932561,1,19038000000,4780000000,16511000000,6281000000,2527000000,0,0,6858000000,7881000000,5743000000,214000000,214000000,0.44,0.44,0.07,616000000,-228000000,-133000000,248000000,383000000,228000000,17.8,19.6,15.99,-0.6768,-0.1273,5.18,3.42,None,2,None,3.1187,0.1327,None,1,0.8,0.761
2008-06-27,487830243,487830243,1,19891000000,5142000000,17351000000,6309000000,2540000000,0,0,7178000000,8625000000,5935000000,-3166000000,-3166000000,-6.52,-6.52,0.07,408000000,-279000000,-55000000,75000000,135000000,280000000,20.92,24.81,17.03,-0.5654,-0.118,5.21,1.79,14.43,1.93,None,3.3957,0.1277,None,0.93,0.26,0.815
2008-03-28,487581958,487581958,1,24549000000,4494000000,18839000000,5931000000,5710000000,0,0,12456000000,8642000000,4892000000,8000000,8000000,0.02,0.02,0.07,-63000000,-235000000,188000000,-110000000,60000000,230000000,24.39,26.99,21.8,0.1295,0.029,11.71,2.09,16.71,1.86,0.1725,1.5135,0.2326,0.0331,0.88,-0.6,0.7577
