"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2014-12-31,204279051,204279051,1,9198000000,3275000000,3691000000,693000000,5507000000,0,0,4284000000,1992000000,1069000000,173000000,173000000,0.85,0.83,0,138000000,-33000000,24000000,110000000,1846000000,28000000,52.21,59.62,44.8,0.0908,0.0538,26.96,2,26.5,0,0,0.3617,0.5987,0.1203,0.45,0.54,4.7258
2014-09-30,203918151,203918151,1,9007000000,3106000000,3676000000,626000000,5331000000,0,0,4312000000,1988000000,922000000,76000000,76000000,0.37,0.37,0,68000000,-57000000,-555000000,-567000000,1736000000,21000000,44.23,47.06,41.39,0.0773,0.0462,26.14,1.66,22.57,0,0,0.3729,0.5919,0.1055,0.44,0.23,4.9617
2014-06-30,202863748,202863748,1,9655000000,3721000000,4265000000,1195000000,5390000000,0,0,4327000000,2444000000,1122000000,140000000,140000000,0.68,0.67,0,230000000,-44000000,846000000,1034000000,2303000000,32000000,41.22,44.68,37.76,0.0774,0.0471,26.57,1.58,23.03,0,0,0.4534,0.5583,0.1085,0.43,0.98,3.1138
2014-03-31,207312079,207312079,1,8663000000,2739000000,3262000000,1074000000,5401000000,0,0,4350000000,1456000000,968000000,102000000,102000000,0.49,0.48,0,158000000,-135000000,-65000000,-40000000,1269000000,24000000,39.92,41.98,37.87,0.0717,0.045,26.05,1.55,23.76,0,0,0.2696,0.6235,0.1065,0.42,0.65,2.5503
2013-12-31,208383924,208383924,1,8631000000,2829000000,3273000000,1072000000,5358000000,0,0,4322000000,1455000000,922000000,97000000,97000000,0.46,0.45,0,223000000,-521000000,-168000000,-464000000,1309000000,19000000,38.5,40.28,36.73,0.068,0.0428,25.71,1.51,22.51,0,0,0.2716,0.6208,0.1035,0.41,0.98,2.639
2013-09-30,211339469,211339469,1,8492000000,3168000000,3090000000,973000000,5402000000,0,0,3859000000,1451000000,830000000,78000000,78000000,0.36,0.36,0,74000000,-18000000,-91000000,-25000000,1773000000,18000000,37.2,39.38,35.02,0.0697,0.0443,25.56,1.48,21.63,0,0,0.2686,0.6361,0.107,0.41,0.26,3.2559
2013-06-30,214376904,214376904,1,8553000000,3133000000,3167000000,592000000,5386000000,0,0,3874000000,1446000000,903000000,109000000,109000000,0.49,0.5,0,187000000,-28000000,-268000000,-108000000,1798000000,0,35.48,38.48,32.48,0.071,0.0454,25.12,1.42,21.25,0,0,0.2685,0.6297,0.1085,0.42,0.87,5.2922
2013-03-31,219809208,219809208,1,8728000000,3334000000,3234000000,600000000,5494000000,0,0,3887000000,1447000000,901000000,84000000,84000000,0.38,0.37,0,168000000,-40000000,228000000,347000000,1905000000,0,31.88,35,28.77,0.0698,0.0444,24.99,1.3,22.29,0,0,0.2634,0.6295,0.1054,0.42,0.76,5.5567
2012-12-31,222590735,222590735,1,8412000000,3013000000,2939000000,595000000,5473000000,0,0,3892000000,1153000000,909000000,108000000,108000000,0.49,0.48,0,179000000,-83000000,0,97000000,1558000000,0,27.55,29.07,26.04,0.0607,0.0385,24.59,1.15,20.11,0,0,0.2107,0.6506,0.0901,0.43,0.8,5.0639
2012-09-30,222590735,222590735,1,8253000000,2885000000,2911000000,565000000,5342000000,0,0,3863000000,1153000000,837000000,84000000,84000000,0.38,0.37,0,79000000,-20000000,-259000000,-186000000,1461000000,0,26.33,28.73,23.93,0.0589,0.037,24,1.12,20.25,0,0,0.2158,0.6473,0.0863,0.43,0.35,5.1062
2012-06-30,222590735,222590735,1,8488000000,3118000000,3257000000,933000000,5231000000,0,0,3870000000,1402000000,920000000,100000000,100000000,0.45,0.45,0,305000000,-37000000,-46000000,206000000,1647000000,0,25.54,27.28,23.79,0.0563,0.035,23.5,1.08,20.93,0,0,0.268,0.6163,0.0814,0.43,1.37,3.3419
2012-03-31,221916131,221916131,1,8410000000,3034000000,3159000000,838000000,5251000000,0,0,3851000000,1402000000,919000000,31000000,31000000,0.14,0.13,0,159000000,-25000000,-47000000,94000000,1441000000,0,24.46,26.38,22.55,0.0537,0.0334,23.66,1.05,18.96,0,0,0.267,0.6244,0.0811,0.41,0.72,3.6205
2011-12-31,224760527,224760527,1,8363000000,2905000000,3145000000,837000000,5218000000,0,0,3952000000,1402000000,915000000,95000000,95000000,0.42,0.42,0,189000000,-22000000,2000000,161000000,1347000000,0,24.33,26,22.66,0.0572,0.0353,23.22,1.07,20.11,0,0,0.2687,0.6239,0.0865,0.41,0.84,3.4707
2011-09-30,224615402,224615402,1,8264000000,2775000000,3135000000,828000000,5129000000,0,0,3978000000,1402000000,844000000,67000000,67000000,0.3,0.3,0,1000000,-155000000,-18000000,-185000000,1186000000,0,25.13,28.24,22.01,0.0544,0.0333,22.83,1.1,23.27,0,0,0.2733,0.6206,0.0788,0.42,0,3.3514
2011-06-30,223610302,223610302,1,8221000000,2868000000,3128000000,619000000,5093000000,0,0,3841000000,1387000000,751000000,85000000,85000000,0.38,0.37,0,110000000,61000000,7000000,179000000,1371000000,0,28.06,29.97,26.15,0.0494,0.0301,22.78,1.26,30.17,0,0,0.2723,0.6195,0.0692,0.43,0.49,4.6333
2011-03-31,223437364,223437364,1,8194000000,2850000000,3218000000,685000000,4976000000,0,0,3841000000,1387000000,867000000,45000000,45000000,0.2,0.2,0,100000000,-13000000,1000000,105000000,1192000000,0,26.78,28.61,24.95,0.0436,0.0262,22.27,1.22,38.81,0,0,0.2787,0.6073,0.0554,0.47,0.45,4.1606
2010-12-31,223079474,223079474,1,8110000000,2697000000,3219000000,698000000,4891000000,0,0,3910000000,1387000000,1002000000,76000000,76000000,0.34,0.34,0,119000000,-33000000,1000000,84000000,1087000000,0,24.38,26.24,22.53,0.0329,0.0198,21.92,1.13,36.39,0,0,0.2836,0.6031,0.0403,0.49,0.53,3.8639
2010-09-30,222942874,222942874,1,7947000000,2525000000,3151000000,649000000,4796000000,0,0,3925000000,1386000000,908000000,38000000,38000000,0.17,0.17,0,-7000000,-33000000,-9000000,-16000000,1003000000,0,22.99,25.35,20.63,0.0319,None,21.51,1.09,26.43,0,0,0.289,0.6035,0.0386,0.5,-0.03,3.8906
2010-06-30,222900000,222900000,1,7943000000,2508000000,3239000000,753000000,4704000000,0,0,3941000000,1386000000,1035000000,52000000,52000000,0.23,0.22,0,170000000,-189000000,1000000,-75000000,1019000000,0,26.37,30.06,22.67,0.0413,None,21.1,1.24,None,0,0,0.2946,0.5922,0.0494,0.51,0.76,3.3307
2010-03-31,222304416,222304416,1,7772000000,2571000000,3058000000,723000000,4714000000,0,0,3757000000,1386000000,952000000,-9000000,-9000000,-0.04,-0.04,0,185000000,-28000000,-1000000,124000000,1094000000,0,26.28,28.33,24.23,None,None,21.21,1.23,None,0,None,0.294,0.6065,None,None,0.83,3.556
2009-12-31,221644890,221644890,1,7720000000,2482000000,2984000000,713000000,4736000000,0,0,3770000000,0,1019000000,70000000,70000000,0.32,0.32,0,191000000,-18000000,3000000,173000000,970000000,0,23.82,26.99,20.65,None,None,21.37,1.14,None,0,None,0,0.6135,None,None,0.86,3.4811
2009-09-30,221384194,221384194,1,7570000000,2338000000,2935000000,662000000,4635000000,0,0,3783000000,0,923000000,81000000,81000000,0.37,0.37,0,158000000,-22000000,-136000000,14000000,797000000,0,20.37,22.42,18.32,None,None,20.94,0.83,None,0,None,0,0.6123,None,None,0.71,3.5317
2009-06-30,221234601,221234601,1,8349000000,2390000000,2898000000,762000000,5451000000,0,0,4404000000,0,None,None,None,None,None,0,None,None,None,None,783000000,0,None,None,None,None,None,24.64,None,None,0,None,0,0.6529,None,None,None,3.1365
