"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,218325839,218325839,1,12863000000,1488000000,7045000000,1042000000,3066000000,2752000000,0,111000000,4701000000,1502000000,283000000,283000000,1.28,1.28,0.3,387000000,-16000000,-184000000,187000000,858000000,16000000,43.55,47.92,39.17,0.1456,0.0418,14.04,3.26,31.79,7.63,0.5928,1.5333,0.2384,0.0967,0.36,1.7,1.428
2019-03-31,221077667,221077667,1,12942000000,1412000000,7272000000,826000000,2955000000,2715000000,0,115000000,4700000000,1001000000,90000000,90000000,0.4,0.4,0.3,306000000,-75000000,-242000000,-11000000,671000000,75000000,42.7,46.51,38.9,0.0983,0.0332,13.37,3.22,34.44,7.33,0.8595,1.5905,0.2283,0.0709,0.35,1.04,1.7094
2018-12-31,222890557,222890557,1,12661000000,1274000000,6930000000,705000000,2958000000,2773000000,0,2468000000,4698000000,1132000000,95000000,49000000,0.22,0.21,0.3,254000000,-137000000,-456000000,-340000000,682000000,137000000,48.25,56.51,39.99,0.0856,0.0327,13.27,3.24,16.08,7.03,0.9523,1.5882,0.2336,0.0655,0.34,0.52,1.8071
2018-09-30,230791461,230791461,1,13156000000,1597000000,6993000000,788000000,3436000000,2727000000,0,2480000000,4697000000,1040000000,71000000,30000000,0.13,0.13,0.3,645000000,-120000000,-231000000,294000000,1022000000,130000000,48.48,55.47,41.49,0.1994,0.0629,14.89,3.18,19.39,6.73,0.3956,1.367,0.2612,0.1606,0.33,2.23,2.0266
2018-06-30,233468663,233468663,1,12987000000,1348000000,6665000000,482000000,3556000000,2766000000,0,2485000000,4695000000,1300000000,174000000,148000000,0.63,0.63,0.3,316000000,-63000000,-456000000,-208000000,728000000,69000000,40.95,46.2,35.7,0.1695,0.0508,15.23,2.66,21.78,6.43,0.4754,1.3203,0.2738,0.1394,0.31,1.06,2.7967
2018-03-31,233359653,233359653,1,13522000000,1660000000,6857000000,626000000,3594000000,3071000000,0,2512000000,4693000000,957000000,88000000,63000000,0.27,0.27,0.3,282000000,-55000000,-127000000,101000000,936000000,60000000,40.45,45,35.9,0.1305,0.0385,15.4,2.64,26.79,6.13,0.6305,1.3058,0.2658,0.1096,0.29,0.95,2.6518
2017-12-31,233292049,233292049,1,13463000000,1465000000,6779000000,580000000,3579000000,3105000000,0,2500000000,4692000000,1099000000,503000000,465000000,1.98,1.97,0.3,230000000,-157000000,-1229000000,-1157000000,835000000,176000000,38.46,43.42,33.5,0.1077,0.0308,15.34,2.83,None,5.83,0.7818,1.311,0.2658,0.0867,0.28,0.23,2.5259
2017-09-30,233260048,233260048,1,14857000000,2651000000,8617000000,1551000000,3167000000,3073000000,0,2499000000,4988000000,870000000,-68000000,-87000000,-0.37,-0.37,0.3,214000000,-94000000,-136000000,-9000000,1992000000,104000000,31.89,36.51,27.27,-0.1307,-0.0282,13.58,2.27,None,5.53,None,1.575,0.2132,None,0.26,0.47,1.7092
2017-06-30,233247225,233247225,1,14936000000,2675000000,8546000000,1441000000,3270000000,3120000000,0,2489000000,4986000000,1124000000,24000000,3000000,0.01,0.01,0.3,831000000,-72000000,-75000000,689000000,2001000000,87000000,27.55,30.07,25.04,-0.1076,-0.0234,14.02,1.96,None,5.23,None,1.5248,0.2189,None,0.24,3.19,1.8563
2017-03-31,233184609,233184609,1,15185000000,2805000000,8802000000,853000000,3279000000,3104000000,0,2478000000,5780000000,1037000000,-9000000,-23000000,-0.1,-0.1,0.3,356000000,-85000000,-124000000,148000000,1312000000,86000000,32.76,37.17,28.35,-0.0901,-0.0216,14.06,2.28,None,4.93,None,1.7627,0.2159,None,0.24,1.16,3.2884
