"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,163336240,163336240,1,24337000000,None,15206000000,None,9131000000,0,0,0,847000000,1913000000,428000000,428000000,2.62,2.59,0.56,276000000,-160000000,-115000000,1000000,803000000,8000000,95.61,106.4,84.82,0.1443,0.0532,55.9,1.81,15.55,32.29,0.2904,0.0928,0.3752,0.1828,0.29,1.64,None
2019-03-31,163229828,163229828,1,23352000000,None,14722000000,None,8630000000,0,0,0,845000000,2159000000,695000000,695000000,4.27,4.22,0.56,200000000,-56000000,-126000000,18000000,802000000,5000000,80.86,87.46,74.26,0.1239,0.0453,52.87,1.68,46.47,31.73,0.3457,0.0979,0.3696,0.1597,0.28,1.19,None
2018-12-31,162937899,162937899,1,21935000000,None,14102000000,None,7833000000,0,0,0,834000000,710000000,-452000000,-452000000,-2.77,-2.77,0.53,355000000,-71000000,-116000000,168000000,784000000,6000000,76.94,82.86,71.01,0.0358,0.0131,48.07,1.5,9.17,31.17,1.2049,0.1065,0.3571,0.0531,0.25,2.14,None
2018-09-30,162737705,162737705,1,22480000000,None,14146000000,None,8334000000,0,0,0,830000000,1915000000,553000000,553000000,3.4,3.38,0.53,362000000,-115000000,-152000000,95000000,616000000,5000000,73.12,79.67,66.56,0.1703,0.0631,51.21,1.5,13.01,30.64,0.3066,0.0996,0.3707,0.2261,0.28,2.19,None
2018-06-30,162652281,162652281,1,21760000000,None,13844000000,None,7916000000,0,0,0,828000000,1558000000,217000000,217000000,1.33,1.32,0.53,310000000,-211000000,-182000000,-83000000,521000000,6000000,71.14,75.96,66.33,0.1176,0.0429,48.67,1.47,14.52,30.11,0.4508,0.1046,0.3638,0.1659,0.26,1.87,None
2018-03-31,164145978,164145978,1,21470000000,None,13524000000,None,7946000000,0,0,0,829000000,1224000000,-31000000,-31000000,-0.19,-0.19,0.53,154000000,-54000000,-153000000,-53000000,604000000,3000000,73.95,78.04,69.86,0.1046,0.0378,48.41,1.47,11.74,29.58,0.5105,0.1043,0.3701,0.1496,0.25,0.92,None
2017-12-31,163988318,163988318,1,21843000000,None,13600000000,None,8243000000,0,0,0,827000000,1411000000,642000000,642000000,3.91,3.88,1,306000000,-99000000,-224000000,-17000000,657000000,2000000,73.91,77.76,70.07,0.1375,0.0489,50.27,1.61,24.47,29.05,0.3927,0.1003,0.3774,0.1823,0.27,1.85,None
2017-09-30,164071775,164071775,1,21592000000,None,14069000000,None,7523000000,0,0,0,826000000,1412000000,102000000,102000000,0.62,0.61,0.5,301000000,-126000000,-107000000,68000000,674000000,5000000,76.79,81.98,71.6,0.0689,0.024,45.85,1.71,22,28.05,0.647,0.1098,0.3484,0.0893,0.27,1.8,None
2017-06-30,163982422,163982422,1,21238000000,None,13865000000,None,7373000000,0,0,0,826000000,1386000000,100000000,100000000,0.61,0.6,0.5,309000000,-87000000,-159000000,63000000,606000000,7000000,71.23,73.98,68.49,0.0807,0.0281,44.96,1.62,19.62,27.55,0.555,0.112,0.3472,0.1033,0.27,1.84,None
2017-03-31,164688145,164688145,1,20753000000,None,13497000000,None,7256000000,0,0,0,825000000,1523000000,201000000,201000000,1.22,1.21,0.5,136000000,-246000000,-124000000,-234000000,543000000,2000000,72.47,76.71,68.24,0.085,0.0296,44.06,1.69,20.41,27.05,0.5289,0.1137,0.3496,0.1077,0.27,0.81,None
2016-12-31,164717550,164717550,1,20386000000,None,13326000000,None,7060000000,0,0,0,826000000,1312000000,100000000,100000000,0.61,0.6,0.48,279000000,-70000000,-132000000,77000000,777000000,4000000,73.85,79.6,68.11,0.0848,0.0294,42.86,1.71,18.94,26.55,0.5348,0.117,0.3463,0.1085,0.27,1.67,None
2016-09-30,164748584,164748584,1,20455000000,None,13334000000,None,7121000000,0,0,0,827000000,1402000000,180000000,180000000,1.09,1.08,0.48,334000000,-79000000,-102000000,153000000,700000000,2000000,75.98,78.09,73.88,0.095,0.0328,43.22,1.79,19.63,26.07,0.6,0.1161,0.3481,0.1198,0.27,2.02,None
2016-06-30,164575858,164575858,1,20151000000,None,13180000000,None,6971000000,0,0,0,825000000,1371000000,123000000,123000000,0.75,0.74,0.48,233000000,-199000000,-100000000,-66000000,547000000,4000000,69.38,74.89,63.87,0.0968,0.0332,42.36,1.69,16.56,25.59,0.5999,0.1183,0.3459,0.1215,0.27,1.39,None
2016-03-31,164479622,164479622,1,19447000000,None,12712000000,None,6735000000,0,0,0,825000000,1364000000,188000000,188000000,1.14,1.13,0.48,257000000,-108000000,-80000000,69000000,613000000,3000000,59.8,65.97,53.64,0.1067,0.0365,40.95,1.53,15.61,25.11,0.549,0.1225,0.3463,0.1329,0.27,1.54,None
2015-12-31,164339638,164339638,1,18888000000,None,12461000000,None,6427000000,0,0,0,0,1263000000,156000000,156000000,0.96,0.95,0.92,309000000,-4000000,-180000000,125000000,544000000,3000000,57.11,61.59,52.63,0.098,0.0336,39.11,1.47,14.68,24.63,0.5957,0,0.3403,0.1233,0.27,1.86,None
2015-09-30,163851889,163851889,1,18751000000,None,12401000000,None,6350000000,0,0,0,0,1278000000,174000000,174000000,1.06,1.05,0.46,285000000,-231000000,-122000000,-68000000,419000000,2000000,53.33,56.94,49.72,0.0991,0.0343,38.75,1.35,13.5,23.71,0.4631,0,0.3386,0.1255,0.27,1.73,None
2015-06-30,164092853,164092853,1,18888000000,None,12391000000,None,6497000000,0,0,0,0,1316000000,176000000,176000000,1.07,1.06,0.46,255000000,-301000000,-107000000,-153000000,487000000,4000000,52,54.25,49.74,0.1004,0.0349,39.59,1.29,15.29,23.25,0.4515,0,0.344,0.1272,0.27,1.53,None
2015-03-31,164358202,164358202,1,18897000000,None,12289000000,None,6608000000,0,0,0,0,1285000000,128000000,128000000,0.78,0.77,0.46,215000000,-88000000,-78000000,49000000,640000000,1000000,52.52,54.92,50.12,0.0868,0.0302,40.2,1.31,16.52,22.79,0.5192,0,0.3497,0.1115,0.27,1.3,None
2014-12-31,164166327,164166327,1,18753000000,None,12180000000,None,6573000000,0,0,0,0,1262000000,167000000,167000000,1.02,1.01,0.44,240000000,20000000,-81000000,179000000,591000000,3000000,50.22,55.35,45.09,0.0825,0.0286,40.04,1.29,17.32,22.33,0.5488,0,0.3505,0.1062,0.27,1.44,None
2014-09-30,163490441,163490441,1,18474000000,None,12098000000,None,6376000000,0,0,0,0,1280000000,183000000,183000000,1.12,1.11,0.44,282000000,-234000000,-98000000,-50000000,412000000,1000000,47.27,48.86,45.69,0.0769,0.0265,39,1.22,18.32,21.89,0.5928,0,0.3451,0.0989,0.27,1.72,None
2014-06-30,163651181,163651181,1,18335000000,None,11992000000,None,6343000000,0,0,0,0,1214000000,84000000,84000000,0.51,0.51,0.44,222000000,-136000000,-145000000,-59000000,462000000,2000000,48.36,49.73,47,0.0702,0.024,38.76,1.28,17.71,21.45,0.6576,0,0.346,0.0905,0.27,1.34,None
2014-03-31,163519128,163519128,1,17942000000,None,11774000000,None,6168000000,0,0,0,0,1189000000,91000000,91000000,0.56,0.55,0.44,129000000,39000000,-80000000,88000000,521000000,3000000,48.55,52.19,44.9,0.0765,0.026,37.72,1.31,15.56,21.01,0.6082,0,0.3438,0.0983,0.26,0.77,None
2013-12-31,163506115,163506115,1,17662000000,None,11592000000,None,6070000000,0,0,0,0,1172000000,122000000,122000000,0.74,0.73,0.42,258000000,-189000000,-147000000,-78000000,433000000,2000000,50.17,53.74,46.61,0.0885,0.0299,37.12,1.41,14.13,20.57,0.5237,0,0.3437,0.1141,0.26,1.57,None
2013-09-30,163830717,163830717,1,17339000000,None,11523000000,None,5816000000,0,0,0,0,1152000000,131000000,131000000,0.8,0.79,0.42,287000000,-90000000,-68000000,129000000,511000000,2000000,46.81,50.01,43.62,0.1032,0.0346,35.5,1.34,13.61,20.15,0.4583,0,0.3354,0.1325,0.26,1.74,None
2013-06-30,163668282,163668282,1,17034000000,None,11335000000,None,5699000000,0,0,0,0,1104000000,110000000,110000000,0.67,0.66,0.4075,194000000,-128000000,-64000000,2000000,382000000,2000000,47.56,50.6,44.53,0.1017,0.0338,34.82,1.34,15.96,19.73,0.47,0,0.3346,0.1315,0.26,1.17,None
2013-03-31,163435801,163435801,1,17037000000,None,11252000000,None,5785000000,0,0,0,0,1103000000,154000000,154000000,0.95,0.94,0.4075,57000000,-102000000,-62000000,-107000000,380000000,1000000,43.48,47.35,39.6,0.09,0.0296,35.4,1.3,16.92,19.32,0.5424,0,0.3396,0.1157,0.26,0.34,None
2012-12-31,163227008,163227008,1,16548000000,None,11095000000,None,5453000000,0,0,0,0,1070000000,192000000,192000000,1.17,1.16,0.41,205000000,-47000000,-87000000,71000000,487000000,1000000,38.96,40.96,36.96,0.0796,0.0259,33.41,1.18,17.39,18.91,0.6271,0,0.3295,0.1024,0.25,1.25,None
