"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,94684642,94684642,1,50557600000,None,44641600000,None,5916000000,0,325000000,369900000,0,591900000,137600000,128200000,1.33,1.33,0.35,86000000,377800000,-112200000,352200000,1672400000,168900000,50.65,54.02,47.28,0.0826,0.0096,59.05,0.87,12.48,7.93,0.2121,0,0.1106,0.1486,0.06,-0.88,None
2019-03-31,96355938,96355938,1,50781500000,None,44872000000,None,5909500000,0,325000000,369900000,0,595400000,118900000,118900000,1.18,1.18,0.25,105600000,-2515300000,1932400000,-475400000,1320200000,102400000,44.69,51.82,37.56,0.0786,0.0095,57.96,0.8,12.35,7.58,0.2065,0,0.11,0.1419,0.07,0.03,None
2018-12-31,100808992,100808992,1,48537400000,None,42590800000,None,5946600000,0,325000000,459100000,8118800000,1368900000,91800000,91800000,0.79,0.79,0.16,290600000,646700000,-502800000,428000000,1795500000,185000000,43.98,52.46,35.5,0.0711,0.009,55.76,0.77,21.25,7.33,0.2082,1.4442,0.1158,0.1337,0.07,1.05,None
2018-09-30,105592774,105592774,1,49262400000,None,42942100000,None,6320300000,0,325000000,369900000,8674200000,610200000,131500000,131500000,1.17,1.15,0.25,191000000,-1435300000,-864400000,-2108500000,1367500000,166000000,52.81,55.48,50.14,0.0397,0.0053,56.78,0.96,20.87,7.17,0.372,1.4468,0.1217,0.0784,0.07,0.24,None
2018-06-30,113133036,113133036,1,49855000000,None,43329300000,None,6525700000,0,325000000,369900000,8859600000,665100000,126800000,117400000,0.95,0.94,0.25,373800000,777200000,-1771800000,-630100000,3476000000,156300000,52.53,55.78,49.27,0.051,0.0071,54.81,0.98,21.53,6.92,0.2579,1.4288,0.1244,0.1057,0.07,1.92,None
2018-03-31,127065926,127065926,1,51542500000,None,44415700000,None,7126800000,0,325000000,369900000,10437300000,629000000,97000000,97000000,0.74,0.74,0.16,127100000,55200000,2196900000,2379700000,4106100000,148300000,52.61,56.14,49.08,0.0551,0.0077,53.53,0.98,20.39,6.67,0.2109,1.5345,0.132,0.1199,0.06,-0.17,None
2017-12-31,130769978,130769978,1,49278700000,None,41958700000,None,7320000000,0,325000000,482900000,8974400000,1386500000,-88000000,-88000000,-0.76,-0.76,0.16,131100000,-1890000000,391100000,-1367400000,1594000000,133100000,48.1,51.51,44.69,0.0598,0.0088,53.49,0.89,None,6.51,0.1951,1.283,0.1419,0.146,0.06,-0.02,None
2017-09-30,131258836,131258836,1,49335500000,None,41884200000,None,7451300000,0,325000000,625500000,8531200000,592900000,219600000,219600000,1.64,1.61,0.15,166400000,-674500000,-1665100000,-2168000000,2961400000,56000000,46.73,50.16,43.3,-0.0683,-0.0103,54.29,0.9,None,6.35,None,1.1971,0.1444,None,0.04,0.84,None
2017-06-30,135428246,135428246,1,50478900000,None,43127400000,None,7351200000,300000,325000000,750900000,8621400000,604800000,156700000,156700000,0.86,0.85,0.15,-67200000,9698700000,-10736100000,-1098400000,5129400000,204700000,45.59,48.72,42.46,-0.07,-0.011,51.88,0.91,None,6.2,None,1.227,0.1392,None,0.04,-2.01,None
2017-03-31,202736786,202736786,1,63094400000,None,52928900000,None,10165200000,300000,0,820400000,14736300000,623000000,179900000,179900000,0.89,0.88,0.15,289500000,621000000,-1061700000,-147400000,6227800000,399500000,42.07,43.93,40.21,-0.0767,-0.0125,50.14,0.85,None,6.05,None,1.4497,0.1611,None,0.05,-0.54,None
