"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-09-30,243534265,243534265,1,82956000000,None,67371000000,None,15555000000,30000000,0,6129000000,25041000000,11457000000,774000000,772000000,3.18,3.14,0,624000000,125000000,19657000000,20398000000,24032000000,126000000,187.81,208.73,166.88,0.1895,0.0408,63.87,3.1,18.25,4.58,0.0035,1.6098,0.1875,0.0615,0.66,2.04,None
2018-06-30,243364579,243364579,1,63102000000,None,48320000000,None,14743000000,39000000,0,6147000000,5195000000,11477000000,808000000,806000000,3.32,3.29,0,995000000,-99000000,-12000000,863000000,3634000000,117000000,172.95,182.1,163.8,0.1793,0.0409,60.58,2.96,17.04,4.58,0.0038,0.3524,0.2336,0.0582,0.7,3.61,None
2018-03-31,243268191,243268191,1,63141000000,None,48897000000,None,14195000000,49000000,0,6170000000,5191000000,11380000000,917000000,915000000,3.78,3.72,0.04,2025000000,-1700000000,-530000000,-201000000,2771000000,103000000,195.07,227.13,163.02,0.1804,0.0411,58.35,3.45,22.34,4.58,0.0038,0.3657,0.2248,0.0599,0.69,7.9,None
2017-12-31,242875357,242875357,1,61753000000,None,47969000000,None,13735000000,49000000,0,6655000000,5199000000,10531000000,267000000,266000000,1.08,1.07,0,575000000,-603000000,-683000000,-684000000,2972000000,131000000,197.77,212.46,183.08,0.1579,0.0362,56.55,3.45,21.69,4.54,0.0046,0.3785,0.2224,0.0538,0.68,1.83,None
2017-09-30,246549706,246549706,1,61936000000,None,47739000000,None,14145000000,52000000,0,6001000000,5207000000,10382000000,562000000,560000000,2.25,2.21,0,1235000000,-368000000,-825000000,45000000,3656000000,146000000,177.59,188.36,166.81,0.1662,0.0383,57.37,3.07,20.48,4.54,0.0044,0.3681,0.2284,0.0573,0.67,4.42,None
2017-06-30,251778121,251778121,1,61738000000,None,47133000000,None,14546000000,59000000,0,6000000000,4622000000,10318000000,810000000,813000000,3.2,3.15,0,697000000,-615000000,-628000000,-544000000,3611000000,103000000,159.95,173.21,146.7,0.1593,0.0367,57.77,2.88,21.36,4.54,0.0046,0.3178,0.2356,0.0555,0.67,2.36,None
2017-03-31,256014619,256014619,1,61147000000,None,46862000000,None,14226000000,59000000,0,8232000000,4621000000,10385000000,593000000,598000000,2.34,2.3,0.04,1579000000,-117000000,-515000000,970000000,4155000000,91000000,144.18,154.83,133.52,0.1408,0.0319,55.57,2.7,20.05,4.54,0.0053,0.3248,0.2327,0.0484,0.67,5.81,None
2016-12-31,257052404,257052404,1,59360000000,None,45575000000,None,13723000000,62000000,0,8207000000,4756000000,9944000000,374000000,382000000,1.49,1.46,0,952000000,-985000000,30000000,-39000000,3185000000,99000000,128.51,142,115.03,0.139,0.0309,53.39,2.36,17.44,4.5,0.0055,0.3466,0.2312,0.0471,0.67,3.32,None
2016-09-30,256738638,256738638,1,60762000000,None,46712000000,None,13974000000,76000000,0,8618000000,4780000000,9880000000,452000000,456000000,1.78,1.76,0,1878000000,-1088000000,-32000000,770000000,3224000000,108000000,136.26,148.99,123.53,0.1469,0.032,54.43,2.62,17.67,4.5,0.0054,0.3421,0.23,0.0487,0.66,6.89,None
2016-06-30,256570151,256570151,1,59506000000,None,46071000000,None,13356000000,79000000,0,8634000000,4789000000,9960000000,503000000,510000000,2,1.97,0,302000000,-168000000,-77000000,53000000,2454000000,142000000,132.39,142.91,121.87,0.1607,0.0341,52.06,2.68,16.55,4.5,0.0051,0.3586,0.2244,0.0516,0.67,0.62,None
