"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,413605377,413605377,1,34368000000,13596000000,22098000000,12653000000,12154000000,116000000,0,9289000000,7134000000,18356000,495000000,495000000,1.2,1.18,0,917000000,-556000000,178000000,539000000,6892000000,160000000,51.84,58.25,45.44,0.1128,0.0393,29.39,1.86,19.82,0,0,0.587,0.3536,0.0249,1.58,1.83,1.0745
2019-03-31,413320160,413320160,1,33569000000,13616000000,21925000000,13143000000,11540000000,104000000,0,9189000000,6815000000,18444000000,522000000,522000000,1.26,1.24,0,1316000000,-373000000,58000000,1001000000,6351000000,176000000,94.03,138.49,49.56,0.099,0.0348,27.92,3.56,40.36,0,0,0.5906,0.3438,0.0166,2.1,2.76,1.036
2018-12-31,413170382,413170382,1,30901000000,11998000000,19878000000,11971000000,10917000000,106000000,0,9254000000,6686000000,16559000000,241000000,241000000,0.59,0.58,0,-634000000,-1022000000,152000000,-1504000000,5350000000,186000000,128.74,148.98,108.5,0.0907,0.031,26.42,4.96,53.64,0,0,0.6124,0.3533,0.015,2.07,-1.98,1.0023
2018-09-30,205355367,410710734,2,31157000000,13088000000,20396000000,12741000000,10653000000,108000000,0,9226000000,6383000000,16182000000,19000000,19000000,0.09,0.09,0,548000000,-2310000000,82000000,-1680000000,6854000000,127000000,134.63,148.24,121.01,0.0998,0.0333,25.94,5.21,45.87,0,0,0.5992,0.3419,0.0158,2.11,1.03,1.0272
2018-06-30,205256671,410513342,2,28743000000,12377000000,18035000000,9862000000,10610000000,98000000,0,6847000000,6279000000,14181000000,300000000,300000000,1.53,1.5,0,-526000000,-489000000,3865000000,2850000000,8534000000,144000000,57.64,63.15,52.14,0.1361,0.044,25.85,2.74,19.84,0,0,0.5918,0.3691,0.0206,2.13,-1.63,1.255
2018-03-31,178533259,357066518,2,25170000000,10976000000,17582000000,10890000000,7503000000,85000000,0,6814000000,5176000000,13194000000,340000000,340000000,1.95,1.91,0,1846000000,-764000000,513000000,1595000000,5684000000,218000000,52.5,56.21,48.8,0.1504,0.0453,21.01,2.66,22.39,0,0,0.6899,0.2981,0.0206,2.19,4.56,1.0079
2017-12-31,173495595,346991190,2,21855000000,8703000000,14979000000,9332000000,6850000000,26000000,0,6147000000,4699000000,12806000000,230000000,230000000,1.33,1.3,0,450000000,-579000000,-79000000,-209000000,4072000000,121000000,47.05,52.33,41.78,0.1277,0.038,19.74,2.45,19.4,0,0,0.686,0.3134,0.0171,2.22,0.95,0.9326
2017-09-30,172566531,345133062,2,22000000000,9660000000,15327000000,9709000000,6640000000,33000000,0,6140000000,4721000000,11898000000,205000000,205000000,1.19,1.16,0,97000000,-200000000,-42000000,-145000000,4281000000,120000000,44.45,49.36,39.53,0.1382,0.0404,19.24,2.4,19.67,0,0,0.711,0.3018,0.0182,2.22,-0.07,0.995
2017-06-30,172475653,344951306,2,21840000000,9648000000,15312000000,8966000000,6378000000,150000000,0,6178000000,4720000000,11954000000,254000000,254000000,1.47,1.44,0,-306000000,-157000000,49000000,-414000000,4425000000,98000000,38.75,42.9,34.6,0.1335,0.0387,18.49,2.2,19.14,0,0,0.74,0.292,0.0173,2.24,-1.17,1.0761
2017-03-31,172277703,344555406,2,21362000000,9408000000,15140000000,9202000000,6070000000,152000000,0,6216000000,4647000000,11724000000,139000000,139000000,0.81,0.79,0,1248000000,-329000000,-10000000,909000000,4839000000,83000000,32.31,36.62,28,0.1238,0.0356,17.62,1.89,20.71,0,0,0.7656,0.2841,0.0158,2.25,3.38,1.0224
2016-12-31,172028161,344056322,2,20197000000,8365000000,14143000000,8623000000,5895000000,159000000,0,6257000000,4655000000,11911000000,265000000,265000000,1.55,1.46,0,1596000000,-765000000,119000000,948000000,3930000000,95000000,29.35,33.7,25,0.1002,0.0288,17.13,1.76,23.02,0,0,0.7897,0.2919,0.0138,2.08,4.36,0.9701
2016-09-30,170892049,341784098,2,19634000000,7755000000,13762000000,9023000000,5710000000,162000000,0,6296000000,4589000000,10846000000,145000000,145000000,0.85,0.83,0,480000000,-313000000,104000000,271000000,2982000000,117000000,34.73,37.78,31.68,0.0873,0.0251,16.71,2.15,28.01,0,0,0.8037,0.2908,0.0117,2.15,1.06,0.8595
2016-06-30,170736886,341473772,2,19496000000,7853000000,13809000000,8814000000,5529000000,158000000,0,6316000000,4494000000,10897000000,169000000,169000000,0.99,0.97,0,-420000000,-483000000,177000000,-726000000,2710000000,49000000,31.79,35.77,27.8,0.0947,0.027,16.19,2.05,28.51,0,0,0.8128,0.2836,0.0119,2.27,-1.37,0.891
2016-03-31,170473015,340946030,2,18652000000,7551000000,13199000000,7871000000,5297000000,156000000,0,6088000000,4280000000,6953000000,-17000000,-17000000,-0.14,-0.14,0,195000000,-836000000,2317000000,1676000000,3436000000,45000000,28.95,34.21,23.68,0.0961,0.0273,15.54,3.26,20.1,0,0,0.808,0.284,0.0112,2.44,0.44,0.9593
2015-12-31,121654923,243309846,2,7339000000,3605000000,5015000000,3629000000,2157000000,167000000,0,997000000,1221000000,6302000000,111000000,111000000,0.93,0.89,0,201000000,-44000000,-62000000,95000000,1760000000,49000000,29.83,33.77,25.88,0.1778,0.05,8.87,3.47,20.86,0,0,0.5661,0.2939,0.0156,3.21,0.62,0.9934
2015-09-30,119202788,238405576,2,7322000000,3596000000,5113000000,3563000000,2051000000,158000000,0,1010000000,1281000000,5821000000,93000000,93000000,0.78,0.76,0,62000000,-470000000,106000000,-302000000,1665000000,43000000,33.48,41.5,25.46,0.1852,0.0522,8.6,4.11,24.09,0,0,0.6246,0.2801,0.0165,3.15,0.08,1.0093
2015-06-30,119090635,238181270,2,7022000000,3838000000,4927000000,3458000000,1940000000,155000000,0,959000000,1144000000,5506000000,88000000,88000000,0.74,0.72,0,350000000,-74000000,25000000,301000000,1967000000,31000000,36.01,41.09,30.93,0.1902,0.0544,8.15,4.66,29.16,0,0,0.5897,0.2763,0.0173,3.15,1.34,1.1099
2015-03-31,118914646,237829292,2,6696000000,3590000000,4704000000,3343000000,1837000000,155000000,0,917000000,1128000000,5131000000,63000000,63000000,0.53,0.51,0,45000000,-225000000,236000000,56000000,1666000000,27000000,30.84,35.83,25.86,0.18,0.0531,7.72,4.2,27.54,0,0,0.614,0.2743,0.0165,3.22,0.08,1.0739
2014-12-31,118820237,237640474,2,5838000000,3034000000,3947000000,2900000000,1744000000,147000000,0,874000000,893000000,4724551000,106534000,106534000,0.91,0.87,0,369266000,-266555000,-75099000,27101000,1610000000,34472000,22.95,27.12,18.77,0.173,0.0531,7.34,3.3,25.01,0,0,0.512,0.2987,0.0164,3.24,1.41,1.0462
2014-09-30,58668982,234675928,4,5446345000,2767711000,3664795000,2634293000,1632903000,148647000,0,880357000,954851000,4351861000,82620000,82620000,1.41,1.36,0,441845000,-191868000,74687000,324664000,1582972000,26960000,19.38,21,17.75,0.1513,0.0481,6.96,3.08,24.38,0,0,0.5848,0.2998,0.015,3.21,1.77,1.0506
