"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2014-09-30,220853283,220853283,1,1849871000,641611000,767591000,460488000,1065619000,16661000,0,727911000,0,170893000,9151000,9151000,0.04,0.04,0,-10294000,-11394000,5500000,-20244000,255270000,3734000,9.83,10.72,8.94,0.0509,0.0281,4.83,2.04,36.41,0.63,1.5299,0,0.5761,0.0907,0.31,-0.06,1.3933
2014-06-30,220139809,220139809,1,1866088000,632463000,788779000,460513000,1061362000,15947000,0,744313000,0,164510000,52000,52000,0,0,0.125,22064000,-17223000,-30114000,-24545000,275514000,2189000,10.2,10.75,9.64,0.0576,0.0313,4.82,2.07,31.87,0.63,1.7906,0,0.5688,0.0938,0.33,0.09,1.3734
2014-03-31,219677822,219677822,1,1997109000,752554000,896075000,537354000,1080778000,20256000,0,747308000,0,14624000,20254000,20254000,0.08,0.09,0.13,102282000,107112000,-18871000,191162000,300059000,4017000,10.52,11.38,9.66,0.0679,0.0362,4.92,2.13,None,0.51,1.533,0,0.5412,0.0993,0.36,0.45,1.4005
2013-12-31,218183424,218183424,1,2037108000,661577000,940849000,555913000,1075406000,20853000,0,845059000,0,250514000,25022000,25022000,0.12,0.11,0.125,32160000,-12795000,39521000,58525000,108897000,5565000,10.85,11.39,10.3,-0.0119,-0.0063,4.93,2.21,None,0.38,None,0,0.5279,None,0.48,0.12,1.1901
2013-09-30,216586425,216586425,1,1970480000,581542000,886169000,516007000,1063202000,21109000,0,843427000,14000000,228102000,16340000,16340000,0.08,0.07,0.125,-1566000,-10190000,-20838000,-30957000,50372000,4286000,11.02,11.72,10.31,-0.0117,-0.0061,4.91,2.36,None,0.25,None,0.0132,0.5396,None,0.48,-0.03,1.127
2013-06-30,214648639,214648639,1,1897536000,519202000,898297000,515736000,999239000,0,0,838548000,15000000,227516000,9967000,9967000,0.05,0.05,0.125,28650000,-7687000,-27246000,-8544000,81329000,1667000,11.25,12.3,10.19,-0.0174,-0.0089,4.66,2.4,None,0.13,None,0.015,0.5266,None,0.47,0.13,1.0067
2013-03-31,213430384,213430384,1,1973282000,593239000,975056000,555080000,998226000,0,0,838705000,18000000,239924000,-63653000,-63653000,-0.3,-0.3,0,83444000,-10801000,-45877000,24989000,89873000,6033000,11.71,12.74,10.69,-0.0167,-0.0085,4.68,2.37,34.44,0,None,0.018,0.5059,None,0.47,0.36,1.0687
2012-12-31,212214825,212214825,1,2084924000,589587000,1034832000,540009000,1050092000,0,0,918864000,70000000,257866000,25340000,25340000,0.12,0.12,0,32646000,-14498000,-16930000,1368000,64884000,5264000,9.56,11.16,7.97,0.0702,0.0354,4.95,1.96,29.88,0,0,0.0667,0.5037,0.0757,0.47,0.13,1.0918
2012-09-30,213245119,213245119,1,2015078000,509886000,973192000,504278000,1041886000,0,0,912384000,59300000,220598000,10594000,10594000,0.05,0.05,0,-1803000,-18270000,-1185000,-19991000,63516000,10733000,9.29,10.25,8.32,0.0671,0.0333,4.89,1.91,25.11,0,0,0.0569,0.517,0.0722,0.46,-0.06,1.0111
2012-06-30,215559325,215559325,1,2037853000,528860000,991093000,510330000,1046760000,0,0,910289000,36500000,226161000,10468000,10468000,0.05,0.05,0,18125000,-11690000,-19240000,-15673000,83507000,2244000,8.73,9.38,8.08,0.0797,0.0386,4.86,1.81,21.82,0,0,0.0349,0.5137,0.0814,0.47,0.07,1.0363
