"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,102487039,102487039,1,7436662000,2236280000,4433941000,1127733000,3002721000,0,0,3337036000,2537507000,1793730000,226119000,226119000,2.13,2.07,0,397145000,-72624000,-308007000,15786000,96645000,68914000,209.77,227.64,191.91,0.2819,0.1197,29.3,6.9,27.67,14.4,0.2422,0.8451,0.4038,0.1284,0.93,3.2,1.983
2019-02-28,104570866,104570866,1,7433673000,2223756000,4254181000,994351000,3179492000,0,0,3356185000,2536958000,1682330000,203334000,203334000,1.91,1.85,0,326150000,-76374000,-257919000,-7620000,80859000,70191000,181.66,207.33,155.98,0.2689,0.1162,30.41,6.27,21.52,14.4,0.2536,0.7979,0.4277,0.1249,0.93,2.45,2.2364
2018-11-30,104543895,104543895,1,7405083000,2215870000,4377839000,1114686000,3027244000,0,0,3366749000,2536408000,1718268000,243013000,243013000,2.25,2.18,2.05,181582000,-15855000,-194871000,-29877000,88479000,73086000,192.68,217.34,168.02,0.3073,0.1321,28.96,6.16,25.72,14.4,0.2271,0.8379,0.4088,0.1414,0.93,1.04,1.9879
2018-08-31,106895748,106895748,1,7287204000,2104378000,3941236000,679094000,3345968000,0,0,3385947000,2535859000,1697975000,212515000,212515000,1.96,1.89,0,162985000,-70785000,-112508000,-20368000,118356000,64528000,198.47,214.75,182.2,0.2838,0.119,31.3,6.99,26.25,12.35,0.2059,0.7579,0.4592,0.1277,0.93,0.92,3.0988
2018-05-31,106279307,106279307,1,6958214000,1977932000,3941688000,775857000,3016526000,0,0,3392656000,2535309000,1669550000,186171000,186171000,1.71,1.66,0,303296000,-45715000,-271850000,-13839000,138724000,75659000,173.17,184.22,162.11,0.3056,0.1216,28.38,6.39,26,12.35,0.2047,0.8405,0.4335,0.1301,0.93,2.14,2.5494
2018-02-28,106720902,106720902,1,6928593000,1979576000,4034596000,917573000,2893997000,0,0,3377344000,2534760000,1589138000,302095000,302095000,2.79,2.71,0,281855000,-83765000,-282769000,-83439000,152563000,63574000,160.14,172.91,147.38,0.2872,0.1073,27.12,6.68,31.9,12.35,0.2329,0.8759,0.4177,0.1183,0.91,2.05,2.1574
2017-11-30,106488799,106488799,1,6978801000,2043449000,4425768000,1154371000,2553033000,0,0,3377370000,2534222000,1606441000,137109000,137109000,1.26,1.23,1.62,124643000,-78840000,1912000,44588000,236002000,69949000,144.78,157.81,131.75,0.2319,0.0892,23.97,6,28.5,12.35,0.31,0.9926,0.3658,0.0935,0.95,0.51,1.7702
2017-08-31,106304385,106304385,1,6851606000,1924553000,4285725000,1044795000,2565881000,0,0,3392135000,2533672000,1611503000,217211000,217211000,2.02,1.96,0,254366000,72622000,-311433000,22148000,191414000,62517000,131.37,139.74,123,0.2468,0.101,24.14,6.02,29.99,10.73,0.2495,0.9874,0.3745,0.0992,1.02,1.8,1.842
2017-05-31,105435865,105435865,1,6844057000,1954478000,4541264000,1130852000,2302793000,0,0,3369323000,2770624000,1451193000,84235000,84235000,0.78,0.76,0,280129000,-2144874000,1886136000,22022000,169266000,54696000,123.03,128.85,117.21,0.2264,0.0986,21.84,5.95,25.42,10.73,0.2906,1.2032,0.3365,0.0903,1.09,2.14,1.7283
2017-02-28,105322553,105322553,1,4271164000,1629941000,2092906000,943968000,2178258000,0,0,1386758000,745189000,1281135000,118005000,118005000,1.1,1.07,0,182037000,-73430000,-104562000,3671000,147244000,63448000,117.58,122.21,112.96,0.2626,0.1259,20.68,6.1,24.39,10.73,0.2649,0.3421,0.51,0.1025,1.23,1.13,1.7267
2016-11-30,105039128,105039128,1,4214579000,1600662000,2188874000,748757000,2025705000,0,0,1386908000,1044834000,1296923000,140377000,140377000,1.32,1.29,1.33,144133000,8561000,-106044000,44364000,143573000,76593000,111,119.94,102.07,0.2699,0.126,19.29,5.86,16.84,10.73,0.2652,0.5158,0.4806,0.1037,1.22,0.64,2.1378
2016-08-31,104935651,104935651,1,4167145000,1594748000,2179743000,710859000,1987402000,0,0,1383167000,1044628000,1294130000,138091000,138091000,1.29,1.26,0,157588000,-100606000,-97028000,-40148000,99209000,78580000,104.47,117.69,91.24,0.3797,0.1726,18.94,5.91,16.82,9.4,0.1552,0.5256,0.4769,0.1463,1.18,0.75,2.2434
2016-05-31,104207491,104207491,1,4104393000,1590035000,2261734000,815555000,1842659000,0,0,1375308000,1050000000,1271405000,130898000,130898000,1.24,1.22,0,168691000,-73397000,-272409000,-175759000,139357000,67883000,89.91,95.49,84.32,0.3667,0.1641,17.68,4.93,15.26,9.4,0.1637,0.5698,0.4489,0.1414,1.16,0.97,1.9496
2016-02-29,107003201,107003201,1,4231210000,1758824000,2281104000,858804000,1950106000,0,0,1370814000,1050000000,1216083000,117341000,117341000,1.07,1.05,0,32117000,-111490000,-210096000,-291669000,315116000,85685000,86.82,93.64,80,0.3489,0.1572,18.22,4.88,15.39,9.4,0.17,0.5384,0.4609,0.1398,1.12,-0.5,2.048
2015-11-30,108130453,108130453,1,4450792000,2043280000,2526264000,1130981000,1924528000,0,0,1343777000,1050000000,1219080000,345100000,345100000,3.11,3.06,1.05,121954000,515130000,-174500000,459925000,606785000,59186000,88.53,94.35,82.71,0.333,0.1516,17.8,5.17,24.73,9.4,0.1759,0.5456,0.4324,0.1382,1.1,0.58,1.8066
2015-08-31,107959511,107959511,1,4122949000,1733952000,2274280000,959326000,1848669000,0,0,1347809000,1050000000,1198890000,100181000,100181000,0.89,0.88,0,143083000,-201862000,-209719000,-270213000,146860000,62631000,83.87,89.74,78,0.2095,0.0974,17.12,4.78,23.1,8.35,0.4741,0.568,0.4484,0.092,1.06,0.75,1.8075
2015-05-31,110211359,110211359,1,4192460000,1735807000,2260005000,621058000,1932455000,0,0,1238046000,1300000000,1142583000,105215000,105215000,0.91,0.9,0,202630000,88063000,-230610000,58753000,417073000,54680000,83.87,88.23,79.51,0.2037,0.0972,17.53,4.69,22.31,8.35,0.4632,0.6727,0.4609,0.0962,1.01,1.34,2.7949
2015-02-28,114394731,114394731,1,4266346000,1710125000,2218680000,579231000,2047666000,0,0,1239213000,1300000000,1108847000,94883000,94883000,0.81,0.8,0,85073000,-109259000,-442243000,-468404000,358320000,50015000,77.4,84.18,70.61,0.2077,0.1007,17.9,4.12,21.21,8.35,0.4407,0.6349,0.48,0.1008,1,0.31,2.9524
2014-11-30,117327890,117327890,1,4697571000,2145980000,2494237000,851764000,2203334000,0,0,1230950000,1300000000,1123379000,120412000,120412000,1.02,1,1.7,144372000,105002000,1491000,245271000,826724000,44975000,69.87,73.95,65.79,0.1985,0.0977,18.78,3.6,20.86,8.35,0.4509,0.59,0.469,0.098,1,0.85,2.5195
2014-08-31,116979108,116979108,1,4556270000,2012949000,2284296000,636011000,2271974000,0,0,1234153000,1300000000,1102077000,110108000,110108000,0.94,0.93,0,148201000,-38819000,-41198000,68165000,581453000,68050000,64.1,66.5,61.7,0.1837,0.0915,19.42,3.4,21.02,6.65,0.2269,0.5722,0.4986,0.0897,1.02,0.69,3.165
2014-05-31,116403688,116403688,1,4462452000,1805681000,2269594000,630131000,2192858000,0,0,1323086000,1300477000,1157479000,127224000,127224000,1.04,1.03,0,222196000,144605000,-203574000,164429000,513288000,31965000,58.95,62.26,55.65,0.1706,0.0854,18.84,3.16,21.75,6.65,0.2465,0.5931,0.4914,0.0823,1.04,1.63,2.8656
2014-02-28,120192562,120192562,1,4400441000,1664909000,2156408000,552802000,2244033000,0,0,1616540000,1300523000,1130237000,84602000,84602000,0.7,0.69,0,163493000,-40621000,-81758000,39525000,348859000,36830000,58.55,63.28,53.83,0.1516,0.0765,18.67,3.27,22.35,6.65,0.277,0.5795,0.51,0.0737,1.04,1.05,3.0118
2013-11-30,119850031,119850031,1,4365398000,1618782000,2217426000,614561000,2147972000,0,0,1621355000,1300615000,1143753000,84862000,84862000,0.71,0.7,0.77,139721000,-53523000,-55470000,30664000,309334000,39323000,52.81,57.99,47.64,0.1491,0.075,17.92,2.95,20.71,6.65,0.2854,0.6055,0.492,0.0723,1.04,0.84,2.634
2013-08-31,122520572,122520572,1,4311177000,1572289000,2115166000,515695000,2196011000,0,0,1624125000,1300799000,1120343000,77754000,77754000,0.63,0.63,0,82559000,-67004000,-88933000,-73603000,278670000,37462000,46.98,49.42,44.55,0.147,0.074,17.92,2.61,18.64,5.88,0.2493,0.5923,0.5094,0.0722,1.03,0.37,3.0489
2013-05-31,122320408,122320408,1,4345632000,1624826000,2144140000,556256000,2201492000,0,0,1609713000,1300979000,1129086000,85977000,85977000,0.69,0.69,0,184405000,-29348000,-19537000,134803000,352273000,44687000,44.19,46.27,42.11,0.1473,0.0745,18,2.54,18.19,5.88,0.2501,0.591,0.5066,0.0731,1.02,1.14,2.921
2013-02-28,122520572,122520572,1,4221299000,1509452000,2091053000,500752000,2130246000,0,0,1613560000,1308656000,1075674000,74705000,74705000,0.6,0.6,0,141080000,-63254000,-101915000,-25017000,217470000,52737000,42.71,45.29,40.13,0.1449,0.0736,17.39,2.53,17.72,5.88,0.2561,0.6143,0.5046,0.0726,1.01,0.72,3.0144
2012-11-30,123286223,123286223,1,4217882000,1519662000,2137238000,555179000,2080644000,0,0,1612891000,1308829000,1060386000,78027000,78027000,0.63,0.63,0.64,132398000,-130338000,-79127000,-76730000,242487000,51624000,42.41,45.6,39.22,0.1444,0.0737,16.88,2.46,18.05,5.88,0.255,0.629,0.4933,0.0741,1,0.66,2.7372
2012-08-31,124902787,124902787,1,4152235000,1523877000,1997820000,384111000,2154415000,0,0,1561401000,1309012000,1051325000,76733000,76733000,0.61,0.6,0,94865000,-61241000,-55479000,-20608000,319217000,47438000,38.52,41.64,35.41,0.1423,0.0729,17.25,2.28,16.97,5.24,0.2291,0.6076,0.5189,0.0739,0.99,0.38,3.9673
2012-05-31,126529863,126529863,1,4160906000,1541568000,2021771000,670891000,2139135000,0,0,1562197000,1059166000,1053582000,78614000,78614000,0.6,0.6,0,162148000,88900000,-127603000,121842000,339825000,43086000,38.5,40.61,36.4,0.1392,0.071,16.91,2.28,17.58,5.24,0.2354,0.4951,0.5141,0.0726,0.98,0.94,2.2978
2012-02-29,129795443,129795443,1,4253167000,1625536000,2056540000,648561000,2196627000,0,0,1486465000,1059276000,1012112000,76035000,76035000,0.58,0.58,0,131756000,-51218000,-70919000,10211000,217983000,37884000,34.33,39.34,29.31,0.133,0.0684,16.92,2.12,17,5.24,0.2417,0.4822,0.5165,0.0714,0.96,0.72,2.5064
2011-11-30,129732772,129732772,1,4215312000,1591868000,2112693000,720201000,2102619000,0,0,1483635000,1059490000,1019126000,74350000,74350000,0.57,0.57,0.54,119396000,-59640000,104000,57460000,207772000,35411000,29.43,32.48,26.39,0.1214,0.0655,16.21,1.81,16.08,5.24,0.2568,0.5039,0.4988,0.0684,0.96,0.65,2.2103
