"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,552291064,552291064,1,15517000000,7206000000,4960000000,2824000000,10557000000,0,0,4812000000,718000000,4141000000,509000000,509000000,0.9,0.9,0.2,575000000,1267000000,-1137000000,710000000,1660000000,96000000,65.78,74.84,56.73,0.1882,0.1322,19.11,3.36,18.85,1.65,0.2193,0.068,0.6804,0.1261,1.05,0.87,2.5517
2019-03-31,569282940,569282940,1,16096000000,7883000000,4960000000,2720000000,11136000000,0,0,4823000000,727000000,4110000000,441000000,441000000,0.77,0.77,0.2,269000000,356000000,-839000000,-211000000,950000000,106000000,67.85,74.69,61.01,0.183,0.1303,19.56,3.42,18.85,1.45,0.2279,0.0653,0.6918,0.1239,1.05,0.29,2.8982
2018-12-31,575099275,575099275,1,15913000000,8677000000,4489000000,2777000000,11424000000,0,0,4631000000,736000000,4129000000,648000000,648000000,1.12,1.12,0.2,702000000,-550000000,-325000000,-178000000,1161000000,96000000,68.67,77.87,59.47,0.1908,0.1377,19.86,3.62,28.03,1.25,0.2209,0.0644,0.7179,0.1303,1.06,1.05,3.1246
2018-09-30,579028009,579028009,1,15274000000,8727000000,4296000000,2693000000,10978000000,0,0,4058000000,624000000,4078000000,477000000,477000000,0.82,0.82,0.2,862000000,-266000000,-146000000,438000000,1339000000,94000000,78.69,83.35,74.02,0.1326,0.0951,18.96,4.29,31.86,1.05,0.3047,0.0568,0.7187,0.0907,1.05,1.33,3.2406
2018-06-30,580233834,580233834,1,14806000000,8303000000,4158000000,2537000000,10648000000,0,0,4096000000,649000000,4006000000,456000000,456000000,0.78,0.78,0.2,640000000,-584000000,-734000000,-698000000,901000000,91000000,78.6,83.24,73.97,0.1343,0.0974,18.35,4.19,31.57,0.85,0.2821,0.061,0.7192,0.0937,1.04,0.95,3.2728
2018-03-31,585898903,585898903,1,15045000000,8990000000,4057000000,2469000000,10988000000,0,0,3668000000,673000000,3912000000,520000000,520000000,0.89,0.88,0.2,388000000,-227000000,-488000000,-326000000,1599000000,96000000,77.82,85.1,70.54,0.1361,0.0998,18.75,4.29,30.76,0.65,0.2607,0.0612,0.7303,0.0967,1.03,0.5,3.6412
2017-12-31,588051333,588051333,1,15221000000,9111000000,4552000000,2839000000,10669000000,0,0,3685000000,698000000,3828000000,-18000000,-18000000,-0.03,-0.03,0.15,836000000,-160000000,-333000000,348000000,1925000000,80000000,73.1,76.51,69.69,0.1429,0.1049,18.14,3.93,22.49,0.45,0.1764,0.0654,0.7009,0.1016,1.03,1.29,3.2092
2017-09-30,589645636,589645636,1,14580000000,8557000000,3601000000,2600000000,10979000000,0,0,3565000000,723000000,3766000000,495000000,495000000,0.84,0.84,0.15,773000000,-124000000,-231000000,420000000,1577000000,78000000,69.53,73,66.05,0.1837,0.1374,18.62,3.92,22.14,0.3,0.0914,0.0659,0.753,0.1341,1.02,1.18,3.2912
2017-06-30,590622691,590622691,1,13938000000,8099000000,3455000000,2415000000,10483000000,0,0,3470000000,747000000,3670000000,470000000,470000000,0.8,0.8,0.15,521000000,-389000000,-297000000,-151000000,1157000000,60000000,62.84,68.18,57.5,0.1819,0.1358,17.75,3.71,22.85,0.15,0.047,0.0713,0.7521,0.1335,1.02,0.78,3.3536
2017-03-31,588996873,588996873,1,13629000000,7842000000,3646000000,2585000000,9983000000,0,0,3486000000,772000000,3546000000,557000000,557000000,0.92,0.92,0,277000000,91000000,-1124000000,-726000000,1308000000,66000000,55.95,60.39,51.52,0.1633,0.1219,16.95,3.17,21.94,0,0,0.0773,0.7325,0.1207,1.01,0.36,3.0337
