"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-12-29,1490776763,1490776763,1,99941000000,17537000000,44424000000,17619000000,50316000000,5201000000,0,38036000000,20665000000,15303000000,2788000000,2788000000,1.87,1.86,0.88,2099000000,-1336000000,-411000000,308000000,4463000000,1195000000,110.28,120.2,100.35,0.2304,0.1109,33.75,3.37,13.21,19.67,0.4619,0.4107,0.5035,0.1846,0.6,0.61,0.9953
2018-09-29,1488670964,1488670964,1,98598000000,16825000000,44643000000,17860000000,48773000000,5182000000,0,38081000000,17226000000,14307000000,2322000000,2322000000,1.55,1.54,0.84,3853000000,-193000000,-3862000000,-176000000,4155000000,1201000000,110.7,117.9,103.5,0.2749,0.1282,32.76,3.57,13.96,18.79,0.3981,0.3532,0.4947,0.212,0.6,1.78,0.942
2018-06-30,1487242596,1487242596,1,98792000000,17729000000,47584000000,20214000000,46088000000,5120000000,0,38198000000,23673000000,15228000000,2916000000,2916000000,1.96,1.95,0.84,3679000000,-1338000000,-2099000000,136000000,4331000000,1220000000,103.59,109.49,97.68,0.2735,0.1232,30.99,3.42,13.83,17.95,0.4111,0.5136,0.4665,0.2076,0.59,1.65,0.8771
2018-03-31,1490523320,1490523320,1,97943000000,16808000000,48142000000,19728000000,45151000000,4650000000,0,38312000000,24684000000,14548000000,2937000000,2937000000,1.95,1.95,0.84,4526000000,-2762000000,-2298000000,-500000000,4195000000,1063000000,105.67,113.19,98.15,0.2664,0.1194,30.29,3.67,15.01,17.11,0.4268,0.5467,0.461,0.2016,0.59,2.32,0.852
2017-12-30,1503675479,1503675479,1,97734000000,17274000000,49509000000,19875000000,43289000000,4936000000,0,38360000000,26091000000,15351000000,4423000000,4423000000,2.93,2.91,0.84,2237000000,-1043000000,-584000000,631000000,4695000000,981000000,104.73,112.67,96.8,0.2557,0.1156,28.79,3.83,18.44,16.27,0.4454,0.6027,0.4429,0.1961,0.59,0.84,0.8691
2017-09-30,1510312194,1510312194,1,95789000000,15889000000,49637000000,19595000000,41315000000,4837000000,0,38421000000,19248000000,12779000000,1747000000,1747000000,1.14,1.12,0.78,3512000000,-821000000,-3167000000,-422000000,4064000000,895000000,103.52,110.83,96.2,0.2103,0.0966,27.36,3.76,18.29,15.43,0.5385,0.4659,0.4313,0.1629,0.59,1.73,0.8109
2017-07-01,1543480961,1543480961,1,92752000000,17151000000,46701000000,17094000000,42531000000,3520000000,0,34632000000,22187000000,14238000000,2366000000,2366000000,1.51,1.51,0.78,4133000000,-900000000,-2743000000,536000000,4336000000,805000000,109.63,116.1,103.17,0.2084,0.0978,27.56,3.92,19.1,14.65,0.5317,0.5217,0.4585,0.1622,0.6,2.16,1.0033
2017-04-01,1564879056,1564879056,1,91807000000,16270000000,44540000000,17365000000,43784000000,3483000000,0,34676000000,21653000000,13336000000,2388000000,2388000000,1.51,1.5,0.78,3438000000,-1355000000,-2062000000,64000000,3800000000,883000000,109.46,113.71,105.21,0.2117,0.1008,27.98,4.01,19.76,13.87,0.5116,0.4945,0.4769,0.1663,0.61,1.63,0.9369
2016-12-31,1581248242,1581248242,1,91576000000,16665000000,44399000000,19317000000,43210000000,3967000000,0,34685000000,20490000000,14784000000,2479000000,2479000000,1.56,1.55,0.78,1260000000,-1035000000,-987000000,-874000000,3736000000,1040000000,98.29,106.26,90.32,0.2057,0.0986,27.33,3.61,17.18,13.09,0.5179,0.4742,0.4718,0.1629,0.6,0.14,0.8627
2016-10-01,1591460982,1591460982,1,92033000000,16966000000,44710000000,16842000000,43265000000,4058000000,0,34759000000,16657000000,13142000000,1771000000,1771000000,1.1,1.1,0.71,3827000000,-1532000000,-2900000000,-617000000,4610000000,1082000000,96,100.8,91.19,0.214,0.1034,27.19,3.49,17.24,12.31,0.4878,0.385,0.4701,0.1688,0.61,1.72,1.0074
2016-07-02,1607101183,1607101183,1,90914000000,17617000000,42768000000,18072000000,44193000000,3953000000,0,34797000000,20441000000,14277000000,2597000000,2597000000,1.6,1.59,0.71,3624000000,-1188000000,-2110000000,212000000,5227000000,1135000000,100.38,106.75,94,0.2088,0.1027,27.5,3.69,18.49,11.6,0.4922,0.4625,0.4861,0.1648,0.62,1.55,0.9748
2016-04-02,1622440708,1622440708,1,90264000000,16999000000,42254000000,17073000000,44124000000,3886000000,0,34869000000,21122000000,12969000000,2143000000,2143000000,1.31,1.3,0.71,3400000000,-1240000000,-1513000000,714000000,5015000000,1150000000,94.84,103.43,86.25,0.2035,0.1024,27.2,3.52,17.69,10.89,0.3732,0.4787,0.4888,0.1663,0.62,1.39,0.9957
2016-01-02,1631570150,1631570150,1,90121000000,17768000000,41923000000,18796000000,43958000000,4240000000,0,34922000000,18915000000,15244000000,2880000000,2880000000,1.74,1.73,0.71,2362000000,-1798000000,-468000000,32000000,4301000000,1406000000,111.63,120.65,102.61,0.2006,0.1034,26.94,4.15,22.78,10.18,0.2477,0.4303,0.4878,0.1672,0.62,0.59,0.9453
2015-10-03,1653177887,1653177887,1,88182000000,16758000000,39527000000,16334000000,44525000000,4130000000,0,34998000000,12968000000,13512000000,1609000000,1609000000,0.97,0.95,0.66,3328000000,-1190000000,-2273000000,-206000000,4269000000,1204000000,106.04,122.08,90,0.185,0.0963,26.93,3.85,22,9.47,0.3633,0.2913,0.5049,0.1598,0.6,1.28,1.026
2015-06-27,1687857933,1687857933,1,87367000000,16512000000,36860000000,14826000000,46519000000,3988000000,0,35085000000,15273000000,13101000000,2483000000,2483000000,1.46,1.45,0,2808000000,-1228000000,-896000000,730000000,4475000000,1156000000,109.77,115.28,104.25,0.1821,0.0961,27.56,4.05,23.61,8.81,0.2363,0.3283,0.5325,0.1611,0.6,0.98,1.1137
2015-03-28,1696761250,1696761250,1,85715000000,15646000000,35978000000,13410000000,46038000000,3699000000,0,35157000000,14957000000,12461000000,2108000000,2108000000,1.24,1.23,0,2918000000,-836000000,-3242000000,-1332000000,3745000000,907000000,99.5,108.94,90.06,0.1779,0.0943,27.13,3.83,22.11,8.81,0.2433,0.3249,0.5371,0.1584,0.6,1.19,1.1667
