"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,2246387858,2246387858,1,189785000000,49248000000,95687000000,28580000000,92444000000,1654000000,0,89415000000,34966000000,19649000000,520000000,519000000,0.23,0.23,0.52,26000000,-1000000000,-1032000000,-1956000000,12066000000,1164000000,55.45,60.07,50.83,0.0339,0.0174,41.15,1.35,33.61,31.38,1.169,0.3782,0.4871,0.0386,0.45,-0.51,1.7232
2018-12-31,2303312652,2303312652,1,188030000000,49603000000,91851000000,24715000000,94571000000,1608000000,0,89997000000,37662000000,20099000000,475000000,473000000,0.21,0.21,0.38,5101000000,-1023000000,2566000000,6546000000,14022000000,1337000000,57.33,65.76,48.89,0.039,0.0204,41.06,1.34,63.7,30.86,0.9174,0.3982,0.503,0.0445,0.46,1.63,2.007
2018-09-30,2294243816,2294243816,1,184453000000,45405000000,84709000000,27680000000,98090000000,1654000000,0,90870000000,27293000000,20123000000,497000000,495000000,0.22,0.21,0,-323000000,-1049000000,-882000000,-2329000000,7476000000,1008000000,68.02,71.93,64.11,0.0209,0.0111,42.75,1.6,67.35,30.48,1.6918,0.2782,0.5318,0.0242,0.45,-0.58,1.6404
2018-06-30,2307376875,2307376875,1,187367000000,47897000000,87485000000,28110000000,98262000000,1620000000,0,91506000000,26850000000,24245000000,1768000000,1761000000,0.76,0.76,0.76,2090000000,-680000000,-2059000000,-1028000000,9805000000,828000000,65.84,70.4,61.27,0.0208,0.011,42.59,1.51,49.88,30.48,2.1921,0.2732,0.5244,0.0258,0.42,0.55,1.7039
2018-03-31,2320786686,2320786686,1,192441000000,49733000000,89517000000,26617000000,101260000000,1664000000,0,93459000000,29343000000,21510000000,1104000000,1098000000,0.47,0.47,0.38,-2137000000,290000000,-1543000000,-3182000000,10833000000,804000000,69.69,77.08,62.31,0.0199,0.0101,43.63,1.62,44.39,29.72,2.0556,0.2898,0.5262,0.0234,0.43,-1.27,1.8685
2017-12-31,2329023478,2329023478,1,192164000000,49893000000,90237000000,26128000000,100330000000,1597000000,0,92801000000,30056000000,20066000000,-1263000000,-1273000000,-0.54,-0.54,0.38,4226000000,1140000000,-5244000000,290000000,13438000000,1477000000,70.92,73.85,68,0.0224,0.0105,43.08,1.61,33.93,29.34,2.1328,0.2996,0.5221,0.0232,0.45,1.18,1.9096
2017-09-30,2339990261,2339990261,1,198527000000,54801000000,93993000000,27278000000,102946000000,1588000000,0,94118000000,29819000000,15354000000,514000000,511000000,0.32,0.32,0.46,2654000000,4887000000,-620000000,6967000000,13148000000,784000000,66.97,70.7,63.24,0.0583,0.0252,43.99,2.88,27.9,28.96,1.0115,0.2897,0.5185,0.0485,0.5,0.8,2.009
2017-06-30,1223444930,1223444930,1,82247000000,25935000000,52658000000,13429000000,28421000000,1168000000,0,21251000000,20072000000,13834000000,1321000000,1321000000,1.08,1.07,0.46,1339000000,-693000000,-428000000,370000000,6218000000,825000000,62.38,65.47,59.29,0.1087,0.0379,23.23,2.82,15.83,28.5,0.7452,0.7062,0.3456,0.0551,0.65,0.42,1.9313
2017-03-31,1221702737,1221702737,1,80828000000,24640000000,52494000000,13193000000,27060000000,1274000000,0,21262000000,20471000000,13230000000,888000000,888000000,0.74,0.72,0.46,476000000,-1060000000,-231000000,-759000000,5848000000,792000000,60.97,65.42,56.52,0.1824,0.0614,22.15,2.64,18.09,28.04,0.4499,0.7565,0.3348,0.0927,0.63,-0.26,1.8677
2016-12-31,1123496434,1123496434,1,79511000000,23659000000,52282000000,12604000000,25987000000,1242000000,0,21298000000,21091000000,13020000000,52000000,-33000000,-0.02,-0.02,0.46,1863000000,-981000000,-1204000000,-425000000,6607000000,959000000,55.47,59.33,51.6,0.1631,0.0557,23.13,2.48,8.76,27.58,0.5197,0.8116,0.3268,0.0826,0.62,0.8,1.8771
2016-09-30,1121380831,1121380831,1,80624000000,24778000000,50275000000,12655000000,29035000000,1314000000,4000000000,21817000000,20423000000,12483000000,804000000,719000000,0.64,0.63,0.46,1345000000,-435000000,-1206000000,-277000000,7032000000,1141000000,51.05,54.59,47.51,0.3244,0.1055,22.33,2.31,7.52,27.12,0.2762,0.8158,0.3105,0.1618,0.62,0.18,1.958
2016-06-30,1126830305,1126830305,1,81524000000,26310000000,51290000000,12881000000,28936000000,1298000000,4000000000,21905000000,20852000000,11952000000,3208000000,3123000000,2.79,2.61,0.46,2218000000,-900000000,-611000000,699000000,7309000000,997000000,50.86,53.98,47.75,0.3676,0.1174,22.13,2.64,9.88,26.66,0.2531,0.8362,0.3059,0.1757,0.64,1.08,2.0425
2016-03-31,1122827921,1122827921,1,68440000000,23334000000,42006000000,11682000000,25599000000,835000000,4000000000,15805000000,16229000000,10703000000,254000000,169000000,0.15,0.15,0.46,52000000,-1163000000,-871000000,-1967000000,6610000000,820000000,46.24,52.23,40.26,0.2953,0.0937,19.24,2.5,7.48,26.2,0.3301,0.7514,0.3156,0.1299,0.68,-0.68,1.9974
2015-12-31,1154841365,1154841365,1,68026000000,24475000000,41843000000,11215000000,25374000000,809000000,4000000000,15771000000,16215000000,11462000000,3612000000,3527000000,3.17,2.94,0.46,2341000000,-110000000,-1200000000,954000000,8577000000,892000000,49.63,57.1,42.15,0.3693,0.1118,18.51,2.83,12.79,25.74,0.2707,0.7586,0.3142,0.1506,0.71,1.25,2.1823
2015-09-30,1158614590,1158614590,1,69884000000,24852000000,44610000000,13205000000,24333000000,941000000,4000000000,16004000000,17462000000,12036000000,1375000000,1290000000,1.12,1.09,0.42,2511000000,-478000000,-561000000,1399000000,7623000000,956000000,44.16,53.2,35.11,0.2377,0.0709,17.55,2.61,12.62,25.28,0.4303,0.8588,0.291,0.088,0.75,1.34,1.882
2015-06-30,1158101934,1158101934,1,69334000000,24764000000,44567000000,12765000000,23612000000,1155000000,4000000000,16329000000,17833000000,12910000000,1220000000,1135000000,0.99,0.97,0.42,1406000000,-1082000000,-379000000,-64000000,6224000000,998000000,50.49,53.77,47.21,0.211,0.0647,16.93,3.19,15.49,24.86,0.4638,0.9093,0.2829,0.0761,0.79,0.35,1.94
2015-03-31,1152880868,1152880868,1,67789000000,24394000000,44373000000,12387000000,22237000000,1179000000,4000000000,15801000000,17867000000,12370000000,1478000000,1393000000,1.22,1.18,0.42,1258000000,320000000,-901000000,634000000,6288000000,903000000,46.09,50.22,41.95,0.1903,0.0611,15.82,2.99,16.06,24.44,0.4827,0.9797,0.269,0.0689,0.82,0.31,1.9693
2014-12-31,1194093171,1194093171,1,68796000000,24267000000,45240000000,11593000000,22423000000,1133000000,4000000000,16400000000,18838000000,14384000000,819000000,734000000,0.65,0.64,0.42,2757000000,-1206000000,-1626000000,-114000000,5654000000,1106000000,47.63,53.8,41.45,0.1603,0.0546,15.43,2.58,15.67,24.02,0.5317,1.0225,0.2678,0.059,0.84,1.38,2.0932
2014-09-30,1178560644,1178560644,1,69573000000,25730000000,42671000000,12087000000,25731000000,1171000000,4000000000,16664000000,19001000000,14405000000,937000000,852000000,0.72,0.71,0.37,1775000000,-431000000,632000000,1925000000,5768000000,930000000,52.66,54.97,50.34,0.1625,0.0578,18.44,2.76,18.67,23.6,0.4673,0.8744,0.3123,0.0629,0.84,0.72,2.1287
2014-06-30,1194093171,1194093171,1,68756000000,24283000000,40830000000,11879000000,26753000000,1173000000,4000000000,16938000000,17036000000,14917000000,967000000,882000000,0.74,0.73,0.37,1395000000,-814000000,-1137000000,-542000000,3843000000,864000000,49.95,53.35,46.56,0.154,0.0539,19.05,2.64,12.61,23.23,0.4886,0.7487,0.3309,0.0592,0.83,0.44,2.0442
2014-03-31,1204058248,1204058248,1,69233000000,25062000000,41327000000,12226000000,26741000000,1165000000,4000000000,17021000000,16936000000,14461000000,1049000000,964000000,0.8,0.79,0.37,575000000,-654000000,-1452000000,-1555000000,4385000000,672000000,46.39,50.96,41.82,0.2291,0.0745,18.89,2.45,12.78,22.86,0.3308,0.7447,0.3285,0.085,0.82,-0.08,2.0499
2013-12-31,1210213904,1210213904,1,69501000000,24977000000,41421000000,11971000000,26898000000,1182000000,4000000000,17112000000,16820000000,14386000000,1048000000,963000000,0.8,0.81,0.32,2233000000,-229000000,-1320000000,668000000,5940000000,884000000,41.52,44.99,38.04,0.2248,0.0686,18.92,2.52,18.79,22.49,0.3485,0.7346,0.3295,0.0779,0.82,1.11,2.0865
2013-09-30,1212865976,1212865976,1,70206000000,25009000000,45041000000,11993000000,24005000000,1160000000,4000000000,17150000000,17487000000,13734000000,679000000,594000000,0.5,0.49,0.32,1402000000,-528000000,-550000000,389000000,5272000000,566000000,36.56,41.08,32.05,0.1515,0.0445,16.49,2.3,17.08,22.17,0.558,0.8741,0.2849,0.0489,0.81,0.69,2.0853
2013-06-30,1210213904,1210213904,1,70142000000,25327000000,45795000000,12613000000,23211000000,1136000000,4000000000,17175000000,17475000000,14577000000,2425000000,2340000000,1.96,1.87,0.32,3741000000,-477000000,-1859000000,1369000000,4883000000,506000000,32.91,36,29.81,0.1465,0.0433,15.87,2.34,40.13,21.85,0.5766,0.9096,0.2739,0.0473,0.81,2.67,2.008
2013-03-31,1209588981,1209588981,1,69304000000,24248000000,47161000000,12440000000,20998000000,1145000000,4000000000,17272000000,18753000000,14383000000,635000000,550000000,0.46,0.46,0.32,447000000,-235000000,-1002000000,-804000000,3514000000,346000000,32.73,34.83,30.63,0.0538,0.0191,14.05,2.31,46.1,21.53,1.5676,1.1032,0.2453,0.0174,0.81,0.08,1.9492
2012-12-31,1193921926,1193921926,1,69605000000,23684000000,47591000000,11493000000,20877000000,1137000000,4000000000,17450000000,19919000000,13917000000,-631000000,-716000000,-0.61,-0.61,0.32,1551000000,-943000000,-173000000,433000000,4318000000,1009000000,30.2,32.95,27.45,0.045,0.017,14.14,1.83,23.41,21.21,1.7198,1.1802,0.2425,0.0148,0.82,0.45,2.0607
2012-09-30,1199231590,1199231590,1,69368000000,23465000000,44260000000,12795000000,23830000000,1278000000,4000000000,17782000000,18216000000,13637000000,582000000,497000000,0.42,0.42,0.32,1103000000,-629000000,-748000000,-243000000,3885000000,622000000,30.46,32.48,28.45,0.0807,0.0271,16.54,1.91,19.53,20.89,0.8845,0.9186,0.2859,0.027,0.82,0.4,1.8339
2012-06-30,1198107132,1198107132,1,68842000000,23198000000,44471000000,12629000000,23121000000,1250000000,4000000000,17794000000,18304000000,14513000000,734000000,649000000,0.55,0.55,0.32,1472000000,-653000000,-221000000,520000000,4128000000,179000000,32.67,36.08,29.27,0.0969,0.032,15.96,2.05,17.66,20.57,0.6854,0.9573,0.2778,0.0318,0.85,1.08,1.8369
