"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2015-06-30,504514734,504514734,1,24100000000,8394000000,28671000000,7608000000,-4946000000,375000000,0,4720000000,17157000000,8441000000,-358000000,-361000000,-0.72,-0.72,0,1602000000,-744000000,-40000000,818000000,4473000000,673000000,89.61,94.41,84.81,None,0.0733,-9.8,None,15.58,0,0,None,None,0.0519,1.41,1.84,1.1033
2015-03-31,504062549,504062549,1,24301000000,8046000000,28581000000,7564000000,-4647000000,367000000,0,4831000000,17058000000,8143000000,730000000,730000000,1.45,1.44,0,1636000000,-716000000,-1271000000,-351000000,4284000000,709000000,86.45,88.99,83.91,None,0.1243,-9.22,None,16.01,0,0,None,None,0.0872,1.42,1.84,1.0637
2014-12-31,502801382,502801382,1,25459000000,8819000000,30287000000,6959000000,-5213000000,385000000,0,4923000000,19485000000,8922000000,781000000,778000000,1.54,1.51,0,1643000000,-979000000,1073000000,1737000000,4635000000,829000000,85.06,88.08,82.04,None,0.1197,-10.37,None,15.69,0,0,None,None,0.0829,1.44,1.62,1.2673
2014-09-30,502236708,502236708,1,22594000000,6515000000,28151000000,6472000000,-5945000000,388000000,0,4838000000,18311000000,8374000000,615000000,611000000,1.22,1.21,0,1662000000,-875000000,-112000000,608000000,2898000000,870000000,85.69,88.25,83.14,None,0.1261,-11.84,None,15.61,0,0,None,None,0.0847,1.48,1.58,1.0066
2014-06-30,502228914,502228914,1,22126000000,5869000000,28253000000,6493000000,-6521000000,394000000,0,4895000000,18439000000,8109000000,810000000,806000000,1.6,1.59,0,1474000000,-802000000,-1396000000,-724000000,2290000000,822000000,81.5,89.46,73.54,None,0.1334,-12.98,None,16.04,0,0,None,None,0.0887,1.49,1.3,0.9039
2014-03-31,503824432,503824432,1,22520000000,6449000000,29032000000,7378000000,-6898000000,386000000,0,4893000000,18338000000,7855000000,569000000,561000000,1.1,1.09,0,1590000000,-707000000,267000000,834000000,3014000000,704000000,74.28,80.77,67.8,None,0.1283,-13.69,None,14.31,0,0,None,None,0.0852,1.49,1.76,0.8741
2013-12-31,509472638,509472638,1,21905000000,5953000000,28074000000,6530000000,-6544000000,375000000,0,4890000000,18284000000,8594000000,816000000,810000000,1.55,1.53,0,2039000000,-941000000,-540000000,558000000,2180000000,1039000000,63.28,69.15,57.4,None,0.1373,-12.84,None,12.15,0,0,None,None,0.09,1.51,1.96,0.9116
2013-09-30,525442022,525442022,1,20588000000,5029000000,26796000000,5329000000,-6608000000,400000000,0,4915000000,18635000000,7880000000,710000000,699000000,1.29,1.28,0,1345000000,-1133000000,-955000000,-743000000,1622000000,973000000,62.45,67.85,57.05,None,0.1459,-12.58,None,12.96,0,0,None,None,0.0958,1.51,0.71,0.9437
2013-06-30,548994971,548994971,1,20921000000,5880000000,26609000000,5258000000,-6088000000,400000000,0,4773000000,18516000000,7700000000,661000000,660000000,1.19,1.18,0,1474000000,-861000000,73000000,686000000,2365000000,948000000,59.66,65.81,53.5,None,0.1396,-11.09,None,12.61,0,0,None,None,0.0929,1.49,0.96,1.1183
2013-03-31,558552413,558552413,1,20650000000,5616000000,26398000000,5547000000,-6148000000,400000000,0,4764000000,17866000000,7580000000,698000000,690000000,1.21,1.2,0,1536000000,-818000000,-754000000,-223000000,1679000000,826000000,52.67,57.64,47.71,None,0.1445,-11.01,None,11.45,0,0,None,None,0.0961,1.49,1.27,1.0124
