"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,120884329,120884329,1,7473500000,813800000,4885600000,1497900000,2543400000,44500000,0,4377400000,2833300000,880000000,66800000,66800000,0.55,0.55,0.39,217000000,-303700000,89700000,2600000,135800000,93700000,125.8,136.21,115.38,-0.1492,-0.0584,21.04,5.93,None,32.14,None,1.114,0.3403,None,0.47,1.02,0.5433
2019-03-31,120823986,120823986,1,7335700000,864700000,4724800000,1523000000,2561700000,49200000,0,5348600000,2656900000,846100000,-555900000,-555900000,-4.6,-4.6,0.39,31000000,-164600000,40100000,-90400000,133200000,114800000,104.82,118.95,90.69,-0.1149,-0.0483,21.2,4.07,42.44,31.75,None,1.0372,0.3492,None,0.47,-0.69,0.5678
2018-12-31,120699888,120699888,1,7153200000,902300000,3997500000,826800000,3107800000,47900000,0,5323700000,2630600000,835300000,25700000,25700000,0.21,0.21,0.39,164800000,-136300000,-55000000,-29800000,223600000,113800000,110.78,132.88,88.68,0.0938,0.0419,25.75,4.19,30.1,31.36,0.627,0.8465,0.4345,0.0879,0.48,0.42,1.0913
2018-09-30,120575077,120575077,1,7134000000,887500000,3892500000,744200000,3184500000,57000000,0,5390500000,2629400000,834200000,38400000,38400000,0.32,0.32,0.39,152600000,-175800000,-51000000,-74000000,253400000,83800000,129.77,138.69,120.85,0.1389,0.0623,26.41,4.85,31.27,30.97,0.4206,0.8257,0.4464,0.1307,0.48,0.57,1.1926
2018-06-30,120412168,120412168,1,7116900000,948800000,3837200000,677600000,3222600000,57100000,0,5385600000,2628400000,876900000,144800000,144800000,1.2,1.19,0.39,235200000,-79300000,-66700000,78100000,327400000,62500000,119.69,128.53,110.86,0.1579,0.0704,26.76,4.4,27.71,30.58,0.3719,0.8156,0.4528,0.1476,0.48,1.43,1.4002
2018-03-31,120284441,120284441,1,7196100000,917400000,3859200000,1538900000,3274700000,62200000,0,5535500000,1739600000,865700000,90900000,90900000,0.76,0.75,0.39,119600000,-70100000,-138300000,-87100000,249300000,56200000,118.03,127.73,108.33,0.167,0.0734,27.22,4.47,24.44,30.19,0.3573,0.5312,0.4551,0.1546,0.47,0.53,0.5961
2017-12-31,120123872,120123872,1,7233400000,998400000,3994400000,1673500000,3174400000,64600000,0,5526000000,1739000000,838500000,172300000,172300000,1.44,1.42,0.39,207300000,-123300000,-60900000,21000000,336400000,60700000,113.04,120.77,105.31,0.1928,0.0833,26.43,4.38,25.52,29.8,0.3193,0.5478,0.4389,0.1747,0.48,1.22,0.5966
2017-09-30,120079376,120079376,1,7115700000,899300000,3950000000,1336300000,3100400000,65300000,0,5550200000,2038700000,834800000,96300000,96300000,0.8,0.79,0.39,279600000,-125300000,-247100000,-88500000,315400000,57600000,118.31,147.02,89.59,0.1844,0.0779,25.82,4.71,25.01,29.41,0.335,0.6576,0.4357,0.1618,0.48,1.85,0.673
2017-06-30,120372509,120372509,1,7058300000,1000700000,3976900000,1343400000,3021000000,60400000,0,5431500000,2038100000,856700000,165400000,165400000,1.37,1.36,0.39,225400000,-51900000,107600000,280700000,403900000,49600000,137.81,144,131.62,0.203,0.0841,25.1,5.73,30.97,29.02,0.301,0.6746,0.428,0.1744,0.48,1.46,0.7449
2017-03-31,120211795,120211795,1,6789000000,705200000,3836800000,1201300000,2888100000,64100000,0,5369800000,2037400000,832200000,153300000,153300000,1.28,1.26,0.39,103700000,-49000000,-63300000,-6100000,123200000,41700000,127.03,137.76,116.31,0.1993,0.0803,24.03,5.72,31.44,28.63,0.3062,0.7054,0.4254,0.1662,0.48,0.52,0.587
2016-12-31,119853740,119853740,1,6664000000,672900000,3942700000,1259600000,2662700000,58600000,0,5392900000,2086800000,801200000,123000000,123000000,1.03,1.02,0.33,271300000,-41700000,-204900000,17800000,129300000,42500000,122.58,133.61,111.54,0.1873,0.0728,22.22,5.35,31.11,28.24,0.3227,0.7837,0.3996,0.1554,0.47,1.91,0.5342
2016-09-30,119761309,119761309,1,6806600000,661800000,4019200000,1297700000,2746100000,41300000,0,5477900000,2136300000,804100000,132800000,132800000,1.11,1.09,0.33,245000000,-112800000,-125800000,14700000,111500000,48200000,131.76,135.72,127.8,0.1895,0.0774,22.93,6.19,34.4,27.91,0.3195,0.7779,0.4034,0.1587,0.49,1.64,0.51
2016-06-30,119335337,119335337,1,6640800000,627200000,4057400000,961900000,2541500000,41900000,0,5376500000,2498700000,811300000,130900000,130900000,1.1,1.08,0.33,189200000,-42600000,-146000000,0,96800000,42600000,120.16,127.73,112.58,0.1935,0.0826,21.3,5.75,32.74,27.58,0.3186,0.9832,0.3827,0.1611,0.51,1.23,0.652
2016-03-31,119013907,119013907,1,6732900000,630100000,4200100000,1729400000,2487300000,45500000,0,5494100000,1883800000,728300000,102100000,102100000,0.86,0.85,0.33,90300000,-1778800000,1664200000,3500000,96800000,40200000,102.79,113.39,92.19,0.1927,0.087,20.9,5.28,28.95,27.25,0.3214,0.7574,0.3694,0.1616,0.54,0.42,0.3643
2015-12-31,118706565,118706565,1,4509000000,561600000,2158600000,603800000,2310900000,39500000,0,3493600000,1145900000,666300000,111900000,111900000,0.93,0.92,0.29,205300000,-52600000,-161000000,-15200000,93300000,52600000,105.34,114.46,96.22,0.1939,0.0941,19.47,5.6,30.71,26.92,0.3206,0.4959,0.5125,0.1611,0.58,1.29,0.9301
2015-09-30,118475619,118475619,1,4541400000,582100000,2273900000,690700000,2227900000,39600000,0,3440700000,1145900000,667400000,117900000,117900000,1,0.98,0.29,247200000,-35500000,-182900000,24300000,108500000,38400000,98.4,105.86,90.94,0.19,0.0903,18.8,5.37,30.75,26.63,0.3204,0.5143,0.4906,0.1584,0.57,1.76,0.8428
2015-06-30,118244321,118244321,1,4585500000,591200000,2378900000,784500000,2167600000,39000000,0,3495900000,1145800000,678100000,111000000,111000000,0.94,0.92,0.29,186700000,-33600000,-164500000,-10800000,84200000,33600000,96.37,101.13,91.61,0.1763,0.084,18.33,5.34,31.81,26.34,0.3303,0.5286,0.4727,0.1519,0.55,1.29,0.7536
2015-03-31,119006496,119006496,1,4595000000,585000000,2405300000,790800000,2147300000,42400000,0,3510100000,1145800000,651800000,88300000,88300000,0.74,0.73,0.29,102900000,-26100000,-103600000,-33300000,95000000,21600000,87.26,94.9,79.62,0.1637,0.0793,18.04,4.74,29.38,26.05,0.3361,0.5336,0.4673,0.1485,0.53,0.68,0.7398
2014-12-31,119486858,119486858,1,4674200000,605100000,2439600000,823100000,2200100000,34500000,0,3655900000,1145700000,624600000,98000000,98000000,0.81,0.8,0.25,202800000,-29800000,-156700000,13300000,128300000,22500000,75.84,82.63,69.04,0.1581,0.0778,18.41,3.92,27.18,25.76,0.3293,0.5207,0.4707,0.1508,0.52,1.51,0.7351
2014-09-30,120586530,120586530,1,4707100000,550400000,2336100000,766100000,2334000000,37000000,0,3616400000,1145700000,613400000,92700000,92700000,0.77,0.75,0.25,195600000,-31900000,-137200000,23300000,115000000,26200000,75.97,79.94,72,0.1474,0.0738,19.36,3.85,28.03,25.51,0.3408,0.4909,0.4958,0.1448,0.51,1.4,0.7184
2014-06-30,121777256,121777256,1,4766300000,554200000,2325100000,759800000,2403200000,38000000,0,3676600000,1145600000,613900000,92800000,92800000,0.76,0.75,0.25,152800000,-19700000,-144400000,-9700000,91700000,19200000,69.07,73.39,64.75,0.146,0.0731,19.73,3.58,25.68,25.26,0.3401,0.4767,0.5042,0.1434,0.51,1.1,0.7294
2014-03-31,122029620,122029620,1,4750100000,524500000,2354600000,794600000,2355200000,40300000,0,3694600000,1145600000,584500000,83900000,83900000,0.69,0.67,0.25,65000000,-347900000,154900000,-134500000,101400000,18500000,69.94,72.9,66.97,0.1499,0.0741,19.3,3.71,24.63,25.01,0.3312,0.4864,0.4958,0.1441,0.51,0.38,0.6601
2013-12-31,122040727,122040727,1,4539900000,648400000,2198900000,662500000,2300700000,40300000,0,3463800000,1145500000,578500000,76700000,76700000,0.62,0.62,0.22,191900000,-85700000,800000,104000000,235900000,21800000,64.25,69.64,58.86,0.1638,0.0795,18.85,3.6,24.71,24.76,0.3037,0.4979,0.5068,0.1527,0.52,1.39,0.9787
2013-09-30,121685513,121685513,1,4390400000,526500000,2197000000,332400000,2174000000,19400000,0,3322300000,1427800000,572000000,83500000,83500000,0.69,0.67,0.22,167600000,-52800000,-86500000,27000000,131900000,25300000,62.2,65.65,58.74,0.1564,0.0728,17.87,3.6,24.2,24.54,0.3163,0.6568,0.4952,0.1407,0.52,1.17,1.5839
2013-06-30,121283658,121283658,1,4373600000,512600000,2253600000,375800000,2096300000,23700000,0,3166700000,1429100000,586900000,90500000,90500000,0.75,0.73,0.22,140500000,-20100000,-119000000,-2700000,104900000,17500000,59.89,63.91,55.87,0.1598,0.0748,17.28,3.58,24.35,24.32,0.3053,0.6817,0.4793,0.14,0.53,1.01,1.364
2013-03-31,120609723,120609723,1,4387200000,484800000,2342700000,449700000,2018500000,26000000,0,3199200000,1445600000,566500000,101100000,101100000,0.84,0.82,0.22,66300000,25000000,-128400000,-39200000,107600000,18700000,56.31,59.83,52.79,0.1585,0.0753,16.74,3.51,25.36,24.1,0.3027,0.7162,0.4601,0.1369,0.55,0.39,1.0781
2012-12-31,120452130,120452130,1,4511100000,529700000,2551900000,646500000,1933200000,26000000,0,3532600000,1447400000,558100000,46300000,46300000,0.38,0.38,0.18,144200000,-1025800000,759900000,-120400000,146800000,16700000,51.07,55.52,46.62,0.1471,0.0718,16.05,3.29,20.93,23.88,0.3177,0.7487,0.4285,0.1259,0.57,1.06,0.8193
2012-09-30,119598117,119598117,1,3605900000,605700000,1722700000,325500000,1858800000,24400000,0,2462100000,951400000,543900000,77900000,77900000,0.65,0.64,0.18,151700000,-22200000,-44700000,84100000,267200000,14800000,47.32,49.49,45.15,0.1675,0.0848,15.54,3.14,20.22,23.7,0.2796,0.5118,0.5155,0.1421,0.6,1.14,1.8608
2012-06-30,119863893,119863893,1,3521100000,517000000,1693200000,293800000,1805300000,22600000,0,2467200000,951800000,535800000,76400000,76400000,0.64,0.62,0.18,152100000,-15400000,-78200000,50400000,183100000,14300000,45.27,48.03,42.5,0.1634,0.0822,15.06,3.02,22.64,23.52,0.283,0.5272,0.5127,0.1404,0.59,1.15,1.7597
2012-03-31,120383336,120383336,1,3518400000,475100000,1693800000,272900000,1802500000,22100000,0,2497900000,965300000,522700000,71500000,71500000,0.6,0.58,0.18,48300000,-20200000,-30700000,5000000,132700000,20200000,41.25,44.6,37.89,0.1401,0.0705,14.97,2.9,21.94,23.34,0.323,0.5355,0.5123,0.1229,0.57,0.23,1.7409
2011-12-31,119845979,119845979,1,3508600000,452300000,1786500000,362800000,1702400000,19700000,0,2511400000,966000000,509700000,74400000,74400000,0.61,0.6,0.16,149700000,-31000000,-97000000,25700000,127700000,15800000,34.16,39.26,29.07,0.133,0.0666,14.2,2.34,19.19,23.16,0.3342,0.5674,0.4852,0.1188,0.56,1.12,1.2467
2011-09-30,121081365,121081365,1,3512500000,430200000,1728400000,344200000,1766100000,18000000,0,2521300000,967800000,490400000,66700000,66700000,0.55,0.54,0.16,112000000,-98300000,-15000000,-6700000,102000000,15300000,32.17,35.75,28.59,0.1263,0.0635,14.59,2.21,17.39,23,0.3547,0.548,0.5028,0.1153,0.55,0.8,1.2499
2011-06-30,122410187,122410187,1,3489300000,436500000,1686700000,298700000,1784300000,18300000,0,2478900000,963900000,487100000,34500000,34500000,0.28,0.28,0.16,123900000,-15200000,-85500000,21800000,108700000,17700000,36.67,39.9,33.44,0.1329,0.0669,14.58,2.58,17.22,22.84,0.277,0.5402,0.5114,0.1215,0.55,0.87,1.4613
2011-03-31,123071084,123071084,1,3468800000,427200000,1699000000,303500000,1750600000,19200000,0,2532700000,974800000,472600000,57300000,57300000,0.47,0.46,0.16,23100000,-59600000,1600000,-32500000,86900000,26200000,36.68,38.88,34.48,0.1568,0.0778,14.22,2.66,17.38,22.68,0.1843,0.5568,0.5047,0.1429,0.54,-0.03,1.4076
2010-12-31,122739885,122739885,1,3433600000,429200000,1725200000,319500000,1691400000,17000000,0,2508600000,978900000,463700000,62200000,62200000,0.5,0.5,0.16,145200000,-84500000,-56600000,3800000,119400000,17400000,33.33,36.13,30.53,0.1589,0.0775,13.78,2.4,16.1,22.52,0.1299,0.5788,0.4926,0.1434,0.54,1.04,1.3433
2010-09-30,123401588,123401588,1,3400000000,437100000,1671600000,305300000,1711500000,16900000,0,2460100000,986400000,473800000,76500000,76500000,0.62,0.61,0.04,68500000,99400000,-124400000,45500000,115600000,15500000,29.96,32.29,27.64,0.1598,0.0762,13.87,2.25,15.52,22.36,0.0758,0.5763,0.5034,0.1423,0.54,0.43,1.4317
2010-06-30,125018220,125018220,1,3432100000,473000000,1753200000,369700000,1663700000,15200000,0,2465900000,979400000,460700000,71300000,71300000,0.57,0.56,0.04,101200000,42100000,-148800000,-7000000,70100000,16900000,32.1,36.22,27.98,0.1534,0.0718,13.31,2.47,17.45,22.32,0.0814,0.5887,0.4847,0.1349,0.53,0.67,1.2794
2010-03-31,126612204,126612204,1,3505600000,446800000,1842400000,429400000,1647900000,15300000,0,2561900000,990600000,461300000,56700000,56700000,0.45,0.44,0.04,37700000,-56000000,-5500000,-26000000,77100000,50000000,33.78,36.63,30.93,0.1506,0.069,13.02,2.67,18.46,22.28,0.0857,0.6011,0.4701,0.1289,0.54,-0.1,1.0405
2009-12-31,126363227,126363227,1,3550500000,416800000,1935500000,492200000,1601200000,13800000,0,2038700000,1019900000,464300000,60200000,60200000,0.48,0.46,0.04,149600000,-217200000,92800000,25400000,103100000,19500000,29.43,31.64,27.21,0.1562,0.0694,12.67,2.4,15.82,22.24,0.0864,0.637,0.451,0.1282,0.54,1.03,0.8468
2009-09-30,126471445,126471445,1,3326500000,385600000,1763000000,578700000,1550700000,12800000,0,1909300000,769400000,451900000,59700000,59700000,0.47,0.47,0.04,123200000,-20400000,-90100000,14100000,77700000,17200000,26.86,29.33,24.39,0.1667,0.0721,12.26,2.3,13.77,22.2,0.0851,0.4962,0.4662,0.1316,0.55,0.84,0.6663
2009-06-30,126373895,126373895,1,3315800000,370800000,1828300000,615300000,1475800000,11700000,0,1898800000,820300000,455400000,59600000,59600000,0.47,0.47,0.04,101100000,-18500000,-83300000,3600000,63600000,19000000,26.81,29.62,24,0.1791,0.0752,11.68,2.48,13.27,22.16,0.0808,0.5558,0.4451,0.1361,0.55,0.65,0.6026
2009-03-31,126235165,126235165,1,3281900000,369400000,1906500000,584100000,1363600000,11800000,0,1860800000,935300000,452900000,54400000,54400000,0.43,0.43,0.04,44500000,-14000000,-27700000,1800000,60000000,15000000,24.03,28.43,19.63,0.1869,0.0773,10.8,2.32,11.5,22.12,0.0776,0.6859,0.4155,0.1387,0.56,0.23,0.6324
2008-12-31,126478384,126478384,1,3260300000,353800000,1947900000,318000000,1312400000,0,0,1855100000,1187400000,446600000,64000000,64000000,0.5,0.49,0.04,119900000,-30100000,-94600000,-10800000,58200000,21200000,26.79,34.2,19.38,0.1923,0.079,10.38,2.35,12.82,22.08,0.0749,0.9048,0.4025,0.1409,0.56,0.78,1.1126
2008-09-30,126307943,126307943,1,3450600000,395000000,2013000000,362800000,1437600000,0,0,1908400000,1252900000,484100000,72300000,72300000,0.57,0.56,0.04,138000000,-37700000,-98500000,-3600000,69000000,30900000,34.86,37.29,32.43,0.1906,0.078,11.38,3.02,17.34,22.04,0.0749,0.8715,0.4166,0.1386,0.56,0.85,1.0888
2008-06-30,128247757,128247757,1,3546600000,433300000,2064600000,434300000,1482000000,0,0,1947900000,1213200000,501900000,70800000,70800000,0.55,0.54,0.04,111700000,-37800000,-86300000,-12400000,72600000,28400000,36.69,39.95,33.43,0.1895,0.0766,11.56,3.29,18.53,22,0.0769,0.8186,0.4179,0.1358,0.56,0.65,0.9977
2008-03-31,129521169,129521169,1,3549900000,445300000,2106900000,329200000,1443000000,0,0,1939900000,1363800000,503100000,65700000,65700000,0.51,0.5,0.04,75100000,-36000000,-36300000,3400000,85000000,30000000,34.38,37.28,31.49,0.1812,0.0761,11.14,3.19,17.02,21.96,0.079,0.9451,0.4065,0.1388,0.55,0.35,1.3527
2007-12-31,129644930,129644930,1,3523900000,425000000,2124700000,546900000,1399200000,0,0,1930300000,1165200000,490900000,65700000,65700000,0.51,0.49,0.04,178100000,-42200000,-141200000,-5400000,81600000,33200000,37.72,40.21,35.22,0.2008,0.0876,10.79,3.61,18.58,21.92,0.0774,0.8328,0.3971,0.148,0.59,1.12,0.7771
2007-09-30,131838520,131838520,1,3480700000,444400000,2103200000,471300000,1377500000,0,0,1886700000,1240900000,492500000,67900000,67900000,0.49,0.48,0.04,118700000,-53800000,-244100000,-177200000,87000000,53500000,41.11,46.3,35.93,0.2218,0.1008,10.45,3.35,19.03,21.88,0.0774,0.9008,0.3958,0.155,0.65,0.49,0.9429
2007-06-30,140824139,140824139,1,3613700000,625800000,1886500000,716600000,1727200000,0,0,1874000000,778600000,454500000,70100000,70100000,0.52,0.51,0.04,88200000,-307800000,412800000,194600000,264200000,17200000,40.69,44.88,36.5,0.2549,0.1232,12.26,5.49,18.67,21.84,0.0734,0.4508,0.478,0.171,0.72,0.5,0.8733
