"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,297261219,297261219,1,8957000000,6381000000,3626000000,2265000000,5331000000,0,0,1979000000,994000000,1238000000,209000000,209000000,0.69,0.69,0,599000000,500000000,-282000000,821000000,4708000000,35000000,93,108.8,77.2,0.1918,0.1181,17.93,5.21,20.48,0,0,0.1865,0.5952,0.2059,0.57,1.9,2.8172
2018-12-31,299595570,299595570,1,8857000000,6247000000,3513000000,2090000000,5344000000,0,0,1984000000,994000000,1289000000,262000000,262000000,0.87,0.86,0,954000000,373000000,-312000000,1006000000,3887000000,21000000,97.6,121.3,73.91,0.2763,0.166,17.84,5.55,31.69,0,0,0.186,0.6034,0.2677,0.62,3.11,2.989
2018-09-30,302128696,302128696,1,8450000000,5803000000,3133000000,1649000000,5317000000,0,0,1994000000,993000000,1286000000,255000000,255000000,0.84,0.83,0,-126000000,-601000000,-271000000,-995000000,2881000000,31000000,130.89,151.26,110.53,0.2013,0.1143,17.6,7.58,60.04,0,0,0.1868,0.6292,0.1876,0.61,-0.52,3.5191
2018-06-30,304818260,304818260,1,8247000000,5624000000,2987000000,1464000000,5260000000,0,0,1993000000,993000000,1137000000,293000000,293000000,0.96,0.95,0,120000000,-103000000,-388000000,-382000000,3876000000,32000000,131,147.13,114.88,0.151,0.0829,17.26,8.74,39.82,0,0,0.1888,0.6378,0.143,0.58,0.29,3.8415
2018-03-31,306832936,306832936,1,8584000000,6004000000,3989000000,2491000000,4595000000,0,0,1954000000,992000000,1582000000,607000000,607000000,1.99,1.9,0,615000000,1215000000,-135000000,1692000000,4258000000,20000000,118.16,129.12,107.19,0.2377,0.1283,14.98,8.87,38.49,0,0,0.2159,0.5353,0.2025,0.63,1.94,2.4103
2017-12-31,306727995,306727995,1,8642000000,5966000000,4556000000,3107000000,4086000000,0,0,1960000000,992000000,1160000000,-186000000,-186000000,-0.6,-0.6,0,849000000,-185000000,-157000000,499000000,2566000000,24000000,109.96,120.29,99.63,0.2355,0.1266,13.32,7.72,29.96,0,0,0.2428,0.4728,0.1967,0.64,2.69,1.9202
2017-09-30,307925453,307925453,1,7922000000,5415000000,3534000000,2272000000,4388000000,0,0,1716000000,991000000,959000000,-22000000,-22000000,-0.07,-0.07,0,52000000,-120000000,-136000000,-181000000,2067000000,30000000,114,122.79,105.21,0.2881,0.1545,14.25,7.85,31.58,0,0,0.2258,0.5539,0.2335,0.66,0.07,2.3834
2017-06-30,308727719,308727719,1,7375000000,4902000000,2889000000,1629000000,4486000000,0,0,1715000000,991000000,1449000000,644000000,644000000,2.08,2.06,0,176000000,-288000000,-215000000,-317000000,2248000000,33000000,101.99,116.04,87.94,0.2983,0.1577,14.53,7.79,34.57,0,0,0.2209,0.6083,0.2331,0.68,0.46,3.0092
2017-03-31,310028355,310028355,1,7718000000,5199000000,3658000000,2415000000,4060000000,0,0,1715000000,990000000,1527000000,566000000,566000000,1.84,1.68,0,407000000,-261000000,-74000000,82000000,2565000000,29000000,85.08,91.51,78.64,0.259,0.1337,13.1,7.39,22.69,0,0,0.2438,0.526,0.1996,0.67,1.22,2.1528
2016-12-31,308264527,308264527,1,7719000000,5101000000,4170000000,2937000000,3549000000,0,0,1713000000,990000000,1149000000,-1000000,-1000000,0,0,0,1115000000,-249000000,-109000000,737000000,2483000000,25000000,80.57,85.56,75.58,0.3644,0.184,11.51,6.74,22.32,0,0,0.279,0.4598,0.281,0.65,3.54,1.7368
2016-09-30,301755509,301755509,1,6892000000,4260000000,3284000000,2050000000,3608000000,0,0,1737000000,990000000,898000000,-38000000,-38000000,-0.13,-0.13,0,109000000,-168000000,-232000000,-296000000,1746000000,29000000,80.39,85.4,75.38,0.3659,0.186,11.96,6.5,24.43,0,0,0.2744,0.5235,0.2762,0.67,0.27,2.078
2016-06-30,300764884,300764884,1,6605000000,3972000000,2889000000,1650000000,3716000000,0,0,1750000000,1125000000,1271000000,440000000,440000000,1.46,1.4,0,-248000000,-81000000,-119000000,-451000000,2042000000,40000000,69.55,77.25,61.85,0.3479,0.1767,12.36,6.18,21.67,0,0,0.3027,0.5626,0.2585,0.68,-0.96,2.4073
2016-03-31,301609583,301609583,1,7050000000,4354000000,3652000000,2418000000,3396000000,2000000,0,1767000000,989000000,1308000000,899000000,899000000,2.94,2.48,0,396000000,-401000000,212000000,230000000,2493000000,30000000,63.16,70.83,55.5,0.3587,0.1832,11.26,6.48,33.07,0,0,0.2912,0.4817,0.263,0.7,1.21,1.8007
2015-12-31,309309470,309309470,1,6470000000,4152000000,3458000000,3145000000,3012000000,0,0,1779000000,0,1070000000,-45000000,-45000000,-0.14,-0.14,0,889000000,-3000000,-211000000,665000000,2263000000,21000000,70.73,76.92,64.54,0.2081,0.1072,9.74,6.99,28.41,0,0,0,0.4655,0.1526,0.7,2.81,1.3202
2015-09-30,310807842,310807842,1,6000000000,3646000000,2854000000,2525000000,3146000000,0,0,1793000000,0,815000000,-140000000,-140000000,-0.45,-0.45,0,9000000,60000000,-260000000,-212000000,1598000000,18000000,67.62,75.76,59.47,0.275,0.1396,10.12,6.32,22.92,0,0,0,0.5243,0.1938,0.72,-0.03,1.444
2015-06-30,311745886,311745886,1,5721000000,3326000000,2385000000,2029000000,3336000000,0,0,1811000000,0,1203000000,442000000,442000000,1.42,1.32,0,-71000000,-140000000,-47000000,-258000000,1810000000,24000000,61.89,68.27,55.52,0.3349,0.1632,10.7,6.41,23.18,0,0,0,0.5831,0.218,0.75,-0.3,1.6392
2015-03-31,314608354,314608354,1,6147000000,3720000000,3111000000,2747000000,3036000000,0,0,1824000000,0,1185000000,395000000,395000000,1.28,1.18,0,198000000,-210000000,-60000000,-98000000,2068000000,32000000,52.1,58.24,45.96,0.3151,0.1469,9.65,6.01,19.44,0,0,0,0.4939,0.1938,0.76,0.53,1.3542
2014-12-31,310035894,310035894,1,6167000000,3754000000,3480000000,3069000000,2687000000,0,0,1845000000,0,1126000000,142000000,142000000,0.46,0.44,0,682000000,-27000000,-90000000,542000000,2166000000,15000000,40.47,48.33,32.62,0.3229,0.1448,8.67,4.71,32.64,0,0,0,0.4357,0.1902,0.76,2.15,1.2232
