"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,197872156,197872156,1,18440100000,2222500000,8717900000,1898800000,9720600000,1600000,0,14900000,6020100000,583900000,405500000,405500000,2.09,2.09,0.04,-269000000,940300000,-10600000,660700000,959100000,-29000000,10.62,17.35,3.89,-0.0157,-0.0088,49.13,0.27,None,44.66,None,0.6193,0.5271,None,0.12,-1.21,1.1705
2019-03-31,197536254,197536254,1,13863000000,1211900000,5962700000,516900000,7900500000,-200000,0,0,5018500000,405900000,-190400000,-190400000,-1.75,-1.75,0.04,-24400000,55300000,-7300000,23300000,298400000,29000000,4.12,4.89,3.34,-0.0844,-0.0489,40,0.06,None,44.62,None,0.6352,0.5699,None,0.12,-0.27,2.3446
2018-12-31,437071204,109267801,0.25,14023700000,1309700000,5934900000,528500000,8091400000,-2600000,0,2500000,5010400000,399000000,-203600000,-203600000,-0.47,-0.47,0.01,None,None,None,79100000,275100000,37000000,6.35,9.51,3.19,-0.0766,-0.0448,74.05,0.08,None,44.58,None,0.6192,0.577,None,0.12,None,2.4781
2018-09-30,437100203,109275050,0.25,14218600000,1382500000,5928400000,535800000,8292400000,-2200000,0,5400000,5002600000,430900000,-145000000,-145000000,-0.33,-0.33,0.01,-64200000,-218700000,-6600000,-289500000,196000000,46800000,29.54,34.96,24.12,-0.0755,-0.0446,75.89,0.38,None,44.54,None,0.6033,0.5832,None,0.12,-1.02,2.5803
2018-06-30,437121391,109280347,0.25,14340600000,1462800000,5906700000,549800000,8436200000,-2300000,0,8200000,4994900000,458500000,-151000000,-151000000,-0.35,-0.35,0.01,-57500000,84200000,-6200000,20100000,485500000,62600000,23.56,30.4,16.72,-0.0617,-0.0366,77.2,0.3,None,44.5,None,0.5921,0.5883,None,0.13,-1.1,2.6606
2018-03-31,437107546,109276886,0.25,14533700000,1578700000,5942600000,573300000,8593600000,-2500000,0,14200000,4987300000,417000000,-140100000,-140100000,-0.32,-0.32,0.01,39500000,-228200000,206500000,20000000,465400000,269300000,23.26,30.12,16.4,-0.0497,-0.0296,78.64,0.29,None,44.46,None,0.5804,0.5913,None,0.13,-2.1,2.7537
2017-12-31,436009156,109002289,0.25,14625900000,1612000000,5895900000,758500000,8732100000,-2100000,0,15700000,4750700000,454200000,-207100000,-207100000,-0.46,-0.46,0.01,39800000,-304200000,-14100000,-279000000,445400000,59800000,22.36,25.68,19.04,-0.0365,-0.0217,80.11,0.3,None,44.42,None,0.5441,0.597,None,0.13,-0.18,2.1252
2017-09-30,436019178,109004794,0.25,13682900000,2461500000,5515600000,488700000,8165200000,2100000,0,0,4747700000,460200000,-25400000,-25400000,-0.08,-0.08,0.01,89100000,469900000,-4100000,554800000,724400000,141500000,20.36,24.32,16.4,-0.007,-0.0041,74.91,0.19,19.58,44.38,None,0.5815,0.5967,None,0.14,-0.48,5.0368
2017-06-30,303873924,75968481,0.25,13723900000,2531800000,5533600000,503000000,8184600000,5700000,0,0,4744700000,457500000,-45500000,-45500000,-0.15,-0.15,0.01,25900000,76700000,-205600000,-102100000,169600000,50000000,28.78,38,19.56,0.0065,0.0038,107.74,0.27,2.94,44.34,0.2285,0.5797,0.5964,0.0268,0.14,-0.32,5.0334
2017-03-31,303500188,75875047,0.25,13972300000,2713600000,5746500000,546100000,8221200000,4600000,0,0,4905900000,471100000,-25700000,-25700000,-0.09,-0.09,0.01,104600000,-645400000,-346700000,-888000000,271700000,282600000,40.38,48.16,32.6,0.0853,0.0495,108.35,0.37,3.08,44.3,0.0176,0.5967,0.5884,0.2832,0.17,-2.35,4.9691
