"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,260808410,260808410,1,54403000000,13086000000,36646000000,9013000000,17757000000,0,0,7300000000,16617000000,17807000000,-1969000000,-1966000000,-7.56,-7.56,0,2290000000,-1778000000,-1032000000,-553000000,2319000000,1733000000,176.56,199.32,153.79,0.0283,0.0101,68.08,2.31,13.01,12.82,1.2646,0.9358,0.3264,0.0077,1.3,2.14,1.4519
2019-02-28,260574612,260574612,1,54464000000,13500000000,34570000000,9256000000,19894000000,0,0,6916000000,17218000000,17010000000,739000000,738000000,2.83,2.8,0.65,1144000000,-1114000000,695000000,749000000,2872000000,1123000000,192.72,234.49,150.94,0.1867,0.0686,76.35,2.61,10.5,12.82,0.1877,0.8655,0.3653,0.0525,1.31,0.08,1.4585
2018-11-30,261043625,261043625,1,53289000000,13438000000,33995000000,9496000000,19294000000,0,0,6908000000,16399000000,17824000000,935000000,933000000,3.56,3.51,0.65,1478000000,-1480000000,-230000000,-246000000,2123000000,1455000000,233.57,259.25,207.9,0.2586,0.095,73.91,3.21,13.2,12.17,0.1301,0.85,0.3621,0.0722,1.31,0.09,1.4151
2018-08-31,263515857,263515857,1,51901000000,12641000000,32728000000,9606000000,19173000000,0,0,6869000000,15241000000,17052000000,835000000,834000000,3.15,3.1,1.3,701000000,-1101000000,-472000000,-896000000,2369000000,1179000000,244.56,266.67,222.44,0.2579,0.0933,72.76,3.35,14.57,11.52,0.127,0.7949,0.3694,0.0715,1.3,-1.81,1.3159
2018-05-31,265924840,265924840,1,52330000000,13341000000,32914000000,9627000000,19416000000,0,0,7453000000,15243000000,17314000000,1127000000,1126000000,4.23,4.16,0,3512000000,-1660000000,-1350000000,476000000,3265000000,1669000000,243.45,258,228.9,0.2537,0.0897,73.01,3.44,14.86,10.22,0.1173,0.7851,0.371,0.0698,1.28,6.93,1.3858
2018-02-28,267215207,267215207,1,51851000000,13575000000,32957000000,9503000000,18894000000,0,0,7464000000,16017000000,16526000000,2074000000,2071000000,7.74,7.59,0.5,-336000000,-1364000000,1685000000,21000000,2789000000,1373000000,250.42,274.66,226.17,0.2598,0.0893,70.71,3.93,23.06,10.22,0.1202,0.8477,0.3644,0.0698,1.28,-6.4,1.4285
2017-11-30,267889623,267889623,1,50281000000,12881000000,33226000000,8227000000,17055000000,0,0,7325000000,15180000000,16313000000,775000000,774000000,2.89,2.84,0.5,908000000,-1615000000,-20000000,-735000000,2768000000,1577000000,221.78,233.89,209.67,0.1816,0.0606,63.66,3.58,20.9,9.72,0.1727,0.8901,0.3392,0.0473,1.28,-2.5,1.5657
2017-08-31,268147668,268147668,1,49350000000,12722000000,32732000000,7790000000,16618000000,0,0,7382000000,15137000000,15297000000,596000000,595000000,2.22,2.19,1,590000000,-1038000000,-88000000,-466000000,3503000000,1044000000,206.97,219.99,193.94,0.1842,0.0603,61.97,3.45,18.7,9.22,0.1676,0.9109,0.3367,0.0472,1.28,-1.69,1.6331
2017-05-31,268257434,268257434,1,48552000000,12628000000,32479000000,7918000000,16073000000,0,0,7683000000,14909000000,15728000000,1020000000,1018000000,3.81,3.76,0,2285000000,-1314000000,-203000000,796000000,3969000000,1326000000,191.03,199.17,182.89,0.1998,0.064,59.92,3.36,27.06,8.22,0.1424,0.9276,0.331,0.0496,1.29,3.57,1.5948
2017-02-28,267374954,267374954,1,46781000000,11938000000,31597000000,7450000000,15184000000,0,0,7000000000,14713000000,14997000000,562000000,561000000,2.11,2.07,0.4,10000000,-1086000000,1162000000,114000000,3173000000,1109000000,192.72,201.57,183.87,0.1323,0.0413,56.79,3.53,28.22,8.22,0.2584,0.969,0.3246,0.0331,1.25,-4.11,1.6024
2016-11-30,266509290,266509290,1,46348000000,12052000000,31817000000,7807000000,14531000000,0,0,6921000000,13553000000,14931000000,700000000,700000000,2.63,2.59,0.4,1664000000,-1375000000,-118000000,70000000,3059000000,1466000000,175.39,192.58,158.2,0.1304,0.0421,54.52,3.3,26.26,7.82,0.2446,0.9327,0.3135,0.0335,1.26,0.74,1.5437
2016-08-31,265759372,265759372,1,45575000000,11401000000,31433000000,7474000000,14142000000,0,0,6783000000,13735000000,14663000000,715000000,714000000,2.69,2.65,0.8,971000000,-1206000000,-313000000,-545000000,2989000000,1215000000,157.28,169.57,145,0.1286,0.0439,53.21,3.03,24.38,7.42,0.2254,0.9712,0.3103,0.0349,1.26,-0.92,1.5254
2016-05-31,265524323,265524323,1,46064000000,11989000000,32280000000,8008000000,13784000000,0,0,6747000000,13838000000,12979000000,-70000000,-69000000,-0.25,-0.25,0.25,1912000000,-5867000000,4672000000,693000000,3534000000,1256000000,153.3,169.3,137.3,0.1246,0.0456,51.91,2.87,38.13,6.62,0.1502,1.0039,0.2992,0.0361,1.26,2.47,1.4971
2016-02-29,268423762,268423762,1,37819000000,10237000000,23492000000,5939000000,14327000000,0,0,3764000000,8477000000,12654000000,507000000,506000000,1.86,1.84,0.25,1342000000,-1029000000,-1094000000,-806000000,2841000000,1000000000,140.19,160.67,119.71,0.0763,0.0302,53.37,2.58,33.46,6.37,0.2316,0.5917,0.3788,0.0229,1.32,1.27,1.7237
2015-11-30,275615246,275615246,1,38371000000,11152000000,23381000000,5951000000,14990000000,0,0,3806000000,8481000000,12453000000,691000000,690000000,2.47,2.44,0.25,1213000000,-1351000000,257000000,104000000,3647000000,1353000000,152.47,164.94,140.01,0.0789,0.0326,54.39,2.82,39.2,6.12,0.209,0.5658,0.3907,0.0249,1.31,-0.51,1.874
2015-08-31,282379446,282379446,1,37245000000,10703000000,21962000000,5844000000,15283000000,0,0,3792000000,7244000000,12279000000,692000000,691000000,2.45,2.42,0.25,1241000000,-1199000000,-224000000,-220000000,3543000000,1209000000,157.66,185.19,130.13,0.0733,0.0317,54.12,2.97,44.16,5.87,0.2121,0.474,0.4103,0.0236,1.34,0.11,1.8315
2015-05-31,282430208,282430208,1,37069000000,10941000000,22076000000,5957000000,14993000000,0,0,4017000000,7249000000,12114000000,-752000000,-751000000,-2.68,-2.68,0.2,1893000000,-1370000000,-234000000,285000000,3763000000,1378000000,171.19,178.79,163.6,0.068,0.0303,53.09,3.03,19.65,5.62,0.2162,0.4835,0.4045,0.0221,1.37,1.82,1.8367
2015-02-28,283756646,283756646,1,36108000000,10482000000,20096000000,5243000000,16012000000,0,0,3805000000,7228000000,11716000000,580000000,579000000,2.05,2.01,0.2,1322000000,-2499000000,2433000000,1212000000,3478000000,1079000000,173.54,183.51,163.57,0.1631,0.0752,56.43,3.16,21.88,5.42,0.0673,0.4514,0.4434,0.0536,1.4,0.86,1.9992
2014-11-30,283312620,283312620,1,32984000000,9212000000,17421000000,5173000000,15563000000,0,0,2734000000,4735000000,11939000000,616000000,615000000,2.17,2.14,0.2,1169000000,-1167000000,-109000000,-150000000,2266000000,1170000000,164.08,179.79,148.37,0.152,0.0709,54.93,3.07,22.29,5.22,0.0678,0.3042,0.4718,0.0497,1.42,-0,1.7808
2014-08-31,283246379,283246379,1,32587000000,9250000000,17466000000,5153000000,15121000000,0,0,2775000000,4735000000,11684000000,606000000,605000000,2.13,2.1,0.2,982000000,-716000000,-741000000,-492000000,2416000000,720000000,146.81,155.31,138.3,0.1399,0.0671,53.38,2.74,21.62,5.02,0.0669,0.3131,0.464,0.0478,1.4,0.92,1.7951
2014-05-31,285423144,285423144,1,33070000000,9683000000,17793000000,5312000000,15277000000,0,0,2847000000,4736000000,11839000000,730000000,728000000,2.5,2.46,0,1686000000,-1020000000,-807000000,-134000000,2908000000,979000000,137.75,144.85,130.64,0.1274,0.0631,53.52,2.67,26.14,4.82,0.0889,0.31,0.462,0.0459,1.37,2.48,1.8229
2014-02-28,295516371,295516371,1,32729000000,9781000000,17502000000,5019000000,15227000000,0,0,2739000000,4735000000,11301000000,378000000,377000000,1.24,1.23,0.15,969000000,-860000000,-995000000,-893000000,3042000000,864000000,136.28,144.39,128.17,0.0984,0.05,51.53,2.43,26.36,4.82,0.1382,0.311,0.4652,0.0369,1.35,0.36,1.9488
2013-11-30,312228182,312228182,1,33542000000,10866000000,16009000000,5406000000,17533000000,0,0,2737000000,2739000000,11403000000,500000000,499000000,1.58,1.57,0.15,680000000,-1109000000,-736000000,-1161000000,3935000000,1118000000,123.47,140.55,106.38,0.0961,0.0499,56.15,2.21,24.74,4.67,0.1396,0.1562,0.5227,0.0368,1.35,-1.4,2.01
2013-08-31,316642256,316642256,1,33673000000,11493000000,16018000000,5523000000,17655000000,0,0,2712000000,2739000000,11024000000,489000000,489000000,1.54,1.53,0.3,929000000,-562000000,-181000000,179000000,5096000000,572000000,103.97,113.34,94.6,0.0953,0.0488,55.76,1.89,21.18,4.52,0.1433,0.1551,0.5243,0.0357,1.37,1.13,2.0809
2013-05-31,316584465,316584465,1,33567000000,11274000000,16169000000,5750000000,17398000000,0,0,2827000000,2739000000,11435000000,303000000,303000000,0.96,0.94,0.14,1712000000,-935000000,767000000,1545000000,4917000000,945000000,100.13,109.66,90.61,0.0973,0.049,54.96,1.97,17.57,4.22,0.1134,0.1574,0.5183,0.0352,1.39,2.42,1.9607
2013-02-28,316868914,316868914,1,31830000000,9745000000,15718000000,5099000000,16112000000,0,0,2765000000,1991000000,10953000000,361000000,360000000,1.14,1.13,0.14,1258000000,-517000000,127000000,855000000,3372000000,542000000,97.75,107.5,87.99,0.1176,0.0584,50.85,1.98,15.72,4.08,0.0961,0.1236,0.5062,0.0412,1.42,2.26,1.9112
