"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-03-31,120680030,120680030,1,14336000000,1537000000,10266000000,2489000000,4032000000,38000000,0,1918000000,3273000000,1334000000,182000000,182000000,1.52,1.51,0.53,841000000,-238000000,-602000000,1000000,20000000,235000000,None,None,None,0.0867,0.0239,33.41,None,None,29.17,0.7249,0.8118,0.2813,0.0962,0.25,5.02,0.6175
2015-12-31,120384325,120384325,1,14754000000,2115000000,10779000000,3000000000,3929000000,46000000,0,1922000000,3275000000,962000000,107000000,107000000,0.89,0.89,0.51,-29000000,-286000000,315000000,0,19000000,282000000,62.27,63.99,60.55,0.0901,0.0248,32.64,1.94,18.93,28.64,0.6944,0.8335,0.2663,0.0896,0.28,-2.58,0.705
2015-09-30,120239934,120239934,1,14206000000,1776000000,10296000000,2802000000,3869000000,41000000,0,1926000000,3150000000,584000000,11000000,11000000,0.09,0.09,0.51,-75000000,-294000000,363000000,-6000000,19000000,293000000,54.86,63.37,46.36,0.1015,0.0276,32.18,1.67,17.53,28.13,0.6151,0.8142,0.2723,0.0891,0.31,-3.06,0.6338
2015-06-30,120087776,120087776,1,13835000000,1572000000,9846000000,2047000000,3948000000,41000000,0,1939000000,3452000000,674000000,42000000,42000000,0.35,0.34,0.51,365000000,-263000000,-118000000,-16000000,25000000,264000000,49.17,51.88,46.45,0.0973,0.0264,32.88,1.5,14.99,27.62,0.639,0.8744,0.2854,0.0847,0.31,0.84,0.768
2015-03-31,119934611,119934611,1,14138000000,2079000000,10174000000,2371000000,3926000000,38000000,0,1943000000,3524000000,1721000000,193000000,193000000,1.62,1.62,0.51,1120000000,-184000000,-926000000,10000000,41000000,188000000,52.13,57.75,46.5,0.1023,0.0274,32.73,1.65,12.9,27.11,0.606,0.8976,0.2777,0.0842,0.32,7.77,0.8768
2014-12-31,119656937,119656937,1,14909000000,2890000000,11081000000,3219000000,3784000000,44000000,0,1952000000,3602000000,1445000000,148000000,148000000,1.25,1.24,0.49,-219000000,-221000000,439000000,-1000000,31000000,451000000,53.39,56.67,50.1,0.1271,0.0331,31.62,1.7,16.03,26.6,0.4859,0.9519,0.2538,0.0895,0.37,-5.6,0.8978
2014-09-30,119572999,119572999,1,13953000000,2093000000,10151000000,2462000000,3760000000,42000000,0,1957000000,3605000000,589000000,-8000000,-8000000,-0.07,-0.07,0.49,-301000000,16000000,180000000,-105000000,32000000,-14000000,52.01,55.3,48.72,0.1065,0.0275,31.45,1.63,14.29,26.11,0.5815,0.9588,0.2695,0.0819,0.34,-2.4,0.8501
2014-06-30,119478539,119478539,1,14181000000,2384000000,10321000000,2595000000,3818000000,42000000,0,1962000000,3607000000,889000000,58000000,58000000,0.49,0.49,0.49,322000000,-136000000,-342000000,-156000000,137000000,171000000,51.7,55.1,48.29,0.118,0.03,31.96,1.62,14.52,25.62,0.5269,0.9447,0.2692,0.0877,0.34,1.26,0.9187
2014-03-31,119257873,119257873,1,15264000000,3589000000,11421000000,3754000000,3803000000,40000000,0,1967000000,3610000000,2462000000,284000000,284000000,2.39,2.38,0.49,853000000,-164000000,-501000000,188000000,293000000,161000000,47.51,49.84,45.17,0.1178,0.0296,31.89,1.58,19.08,25.13,0.5315,0.9493,0.2491,0.0857,0.35,5.8,0.956
2013-12-31,118901889,118901889,1,14550000000,2895000000,10937000000,3118000000,3568000000,45000000,0,1972000000,3813000000,921000000,64000000,64000000,0.54,0.53,0.47,-99000000,-215000000,288000000,-26000000,105000000,350000000,46.94,49.31,44.56,0.0833,0.021,30.01,1.58,16.82,24.64,0.7559,1.0687,0.2452,0.0701,0.3,-3.78,0.9285
2013-09-30,118788590,118788590,1,13904000000,2091000000,10341000000,2407000000,3525000000,38000000,0,2063000000,3816000000,675000000,28000000,28000000,0.24,0.24,0.47,-91000000,-248000000,286000000,-53000000,131000000,217000000,44.47,47,41.94,0.094,0.0236,29.67,1.49,16.91,24.17,0.6728,1.0826,0.2535,0.073,0.32,-2.59,0.8687
2013-06-30,118592240,118592240,1,13795000000,2063000000,10240000000,2349000000,3539000000,16000000,0,2067000000,3819000000,904000000,49000000,49000000,0.41,0.41,0.47,311000000,-157000000,-119000000,35000000,184000000,170000000,43.03,44.85,41.21,0.0895,0.0224,29.84,1.44,17.14,23.7,0.7087,1.0791,0.2565,0.0697,0.32,1.19,0.8782
2013-03-31,118180688,118180688,1,13940000000,2361000000,10399000000,3060000000,3526000000,15000000,0,2039000000,3324000000,1709000000,154000000,154000000,1.31,1.31,0.47,850000000,-256000000,-576000000,18000000,149000000,148000000,40.61,42.37,38.86,0.0859,0.0215,29.84,1.4,17.58,23.23,0.739,0.9427,0.2529,0.0698,0.31,5.94,0.7716
2012-12-31,117876484,117876484,1,14141000000,2668000000,10706000000,3338000000,3413000000,22000000,0,1933000000,3327000000,1218000000,98000000,98000000,0.84,0.83,0.46,-21000000,-217000000,278000000,40000000,131000000,213000000,39.3,41.71,36.9,0.0796,0.02,28.95,1.37,21.36,22.76,0.7553,0.9748,0.2414,0.0691,0.29,-1.99,0.7993
2012-09-30,117782207,117782207,1,13595000000,2135000000,10197000000,2764000000,3381000000,17000000,0,1817000000,3330000000,614000000,9000000,9000000,0.08,0.08,0.46,-58000000,-219000000,281000000,4000000,91000000,219000000,40.2,41.95,38.45,0.0609,0.0153,28.71,1.38,23.37,22.3,1.0431,0.9849,0.2487,0.059,0.26,-2.35,0.7724
2012-06-30,117515999,117515999,1,13274000000,1880000000,9845000000,2460000000,3412000000,17000000,0,1813000000,3334000000,686000000,34000000,34000000,0.28,0.29,0.46,266000000,-179000000,-71000000,16000000,87000000,179000000,38.44,40.29,36.59,0.0646,0.0162,29.03,1.32,23.02,21.84,1.0105,0.9771,0.257,0.0611,0.27,0.74,0.7642
2012-03-31,117310372,117310372,1,13239000000,2022000000,9813000000,2348000000,3410000000,16000000,0,1813000000,3558000000,1404000000,130000000,130000000,1.12,1.11,0.36,816000000,-171000000,-643000000,2000000,71000000,171000000,40.65,42.88,38.42,0.0679,0.017,29.07,1.43,18.91,21.38,0.996,1.0434,0.2576,0.0622,0.27,5.5,0.8612
