"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,361543268,361543268,1,7876892000,3656442000,6742042000,2069817000,1134850000,0,0,2782159000,3671066000,1760927000,153972000,153972000,0.42,0.42,0.15,136928000,-32634000,-135928000,-29456000,280663000,32634000,16.85,19.1,14.6,0.5646,0.0744,3.14,5.87,11.09,2.45,0.3827,3.2348,0.1441,0.0813,0.92,0.29,1.7666
2019-03-30,361471010,361471010,1,7848025000,3621887000,6809987000,2182435000,1038038000,0,0,2788370000,3615493000,1588024000,79482000,79482000,0.22,0.22,0.15,-194291000,-25133000,71707000,-145613000,310119000,25133000,15.74,19.38,12.11,0.6068,0.0738,2.87,5.87,10.36,2.3,0.3916,3.483,0.1323,0.0799,0.92,-0.61,1.6596
2018-12-29,361424006,361424006,1,7255958000,3517589000,6285675000,2030242000,970283000,0,0,2797108000,3534183000,1768301000,161621000,161621000,0.44,0.44,0.15,502113000,-22042000,-455079000,34025000,455732000,22043000,15.15,18.73,11.57,0.6676,0.0751,2.68,6.29,505,2.15,0.3914,3.6424,0.1337,0.0813,0.92,1.33,1.7326
2018-09-29,360732707,360732707,1,7455506000,3737205000,6584918000,2027128000,870588000,0,0,2838672000,3863580000,1848707000,171421000,171421000,0.47,0.47,0.15,205687000,-22893000,-163301000,196000,421707000,22893000,19.92,22.52,17.33,0.009,0.0009,2.41,9.35,181.09,2,31.5642,4.4379,0.1168,0.001,0.92,0.51,1.8436
2018-06-30,360507281,360507281,1,7427886000,3616746000,6660695000,1790811000,767191000,0,0,2869577000,4149201000,1715443000,140633000,140633000,0.39,0.39,0.15,63745000,-20503000,-41201000,21031000,421511000,20502000,19.48,22.57,16.38,0.0458,0.0054,2.13,9.94,102.53,1.85,5.5909,5.4083,0.1033,0.0058,0.92,0.12,2.0196
2018-03-31,360370371,360370371,1,7327775000,3399826000,6622080000,1677760000,705695000,0,0,2951380000,4185252000,1471504000,79409000,79409000,0.22,0.22,0.15,-128143000,-353213000,459084000,-21086000,400480000,18298000,20.8,23.33,18.27,0.0764,0.0098,1.96,10.95,130,1.7,3.0763,5.9307,0.0963,0.0108,0.91,-0.41,2.0264
2017-12-30,360243037,360243037,1,6894775000,3386370000,6208573000,1778745000,686202000,0,0,2569864000,3702054000,1645175000,-384611000,-384611000,-1.05,-1.05,0.15,324628000,-88254000,-218170000,21521000,421566000,26529000,21.95,25,18.9,0.0626,0.0087,1.9,6.49,13.63,1.55,3.5225,5.395,0.0995,0.0096,0.91,0.83,1.9038
2017-09-30,364584181,364584181,1,7280723000,3560026000,6049556000,1896629000,1231167000,0,0,2512949000,3566547000,1799270000,203356000,203356000,0.56,0.55,0.15,296840000,-29560000,-312387000,-49370000,400045000,29560000,24.05,25.73,22.38,0.5376,0.0848,3.38,8.13,15.93,1.4,0.3407,2.8969,0.1691,0.0943,0.9,0.73,1.877
2017-07-01,364478783,364478783,1,7236971000,3578002000,6158645000,1778588000,1078326000,0,0,2479350000,3797245000,1646610000,172532000,172532000,0.47,0.47,0.15,57048000,-12163000,-59722000,-14208000,449415000,15014000,21.68,23.32,20.04,0.5164,0.0806,2.96,8.24,15.71,1.25,0.3353,3.5214,0.149,0.0902,0.89,0.12,2.0117
2017-04-01,364151859,364151859,1,7055928000,3458807000,6097868000,1762494000,958060000,0,0,2437413000,3763119000,1380355000,70617000,70617000,0.19,0.19,0.15,-22798000,25464000,4511000,3378000,463623000,11446000,21.45,23.98,18.91,0.4796,0.076,2.63,6.64,15.32,1.1,0.3387,3.9279,0.1358,0.0856,0.89,-0.09,1.9625
2016-12-31,378721050,378721050,1,6907734000,3298420000,5683820000,1602922000,1223914000,0,0,2383998000,3507685000,1575309000,157112000,157112000,0.4,0.4,0.11,397316000,-6776000,-368871000,10032000,460245000,5828000,24.23,27.07,21.4,0.489,0.081,3.23,7.72,18.64,0.95,0.3083,2.866,0.1772,0.0895,0.9,1.03,2.0578
2016-10-01,377945180,377945180,1,7304334000,3562127000,6117809000,1872880000,1186525000,0,0,2490059000,3684408000,1761019000,173858000,173858000,0.46,0.45,0.11,337369000,-739432000,189244000,-210784000,450213000,-30299000,26.19,28.24,24.14,0.4493,0.0791,3.14,9.42,20.95,0.84,0.3267,3.1052,0.1624,0.0855,0.92,0.97,1.902
2016-07-02,377798188,377798188,1,6614650000,3633492000,5564958000,1550914000,1049692000,0,0,1786104000,3466525000,1472731000,128143000,128143000,0.34,0.34,0.11,155728000,-200798000,375997000,328575000,660997000,14464000,27.69,30.42,24.96,0.4326,0.082,2.78,10.99,24.29,0.73,0.3296,3.3024,0.1587,0.086,0.95,0.37,2.3428
2016-04-02,377517432,377517432,1,5822061000,3117680000,4870020000,1368512000,952041000,0,0,1550934000,2963424000,1219140000,80269000,80269000,0.21,0.21,0.11,-284806000,-19635000,314684000,13253000,332422000,12573000,27.3,31.36,23.25,0.3704,0.0789,2.52,8.37,25.75,0.62,0.3508,3.1127,0.1635,0.0795,0.99,-0.79,2.2782
2016-01-02,391670911,391670911,1,5619040000,2917867000,4343149000,1503909000,1275891000,0,0,1534830000,2254162000,1409557000,119163000,119163000,0.3,0.3,0.1,314161000,-25450000,-253422000,34574000,319169000,25450000,29.58,33.24,25.92,0.3188,0.0755,3.26,9.27,30.11,0.51,0.3702,1.7667,0.2271,0.0748,1.01,0.74,1.9402
2015-10-03,391821577,391821577,1,5819400000,3265454000,4569101000,1572137000,1250299000,0,0,1549192000,2361607000,1591038000,162154000,162154000,0.41,0.4,0.1,145914000,-6796000,-170297000,-30759000,284595000,7428000,30.5,34.67,26.32,0.2907,0.0715,3.19,8.45,34.96,0.41,0.3197,1.8888,0.2149,0.0683,1.05,0.35,2.0771
2015-07-04,402476788,402476788,1,5872381000,3296322000,4420609000,1513690000,1451772000,0,0,1548810000,2217760000,1522033000,94902000,94902000,0.23,0.23,0.1,26277000,-212921000,222947000,38287000,315354000,19460000,32.6,34.78,30.42,0.2495,0.0646,3.61,9.34,31.96,0.31,0.2695,1.5276,0.2472,0.0629,1.03,0.02,2.1777
2015-04-04,401666283,401666283,1,5407926000,3020688000,4004697000,1400746000,1403229000,0,0,1363024000,1973876000,1208921000,52636000,52636000,0.13,0.13,0.1,-259345000,-31633000,333754000,37212000,277067000,31633000,30.54,34.8,26.28,0.2951,0.0807,3.49,8.83,30.77,0.21,0.1519,1.4067,0.2595,0.0759,1.06,-0.72,2.1565
2015-01-03,100199650,400798600,4,5221781000,2765232000,3835009000,1486602000,1386772000,0,0,1414321000,1613997000,1522596000,89437000,89437000,0.89,0.89,0.08,292769000,44997000,-316466000,24023000,239855000,15644000,26.82,28.72,24.93,0.2955,0.0832,3.46,7.31,31.55,0.11,0.0753,1.1639,0.2656,0.076,1.09,0.69,1.8601
2014-09-27,99892128,399568512,4,5543494000,3154420000,4078824000,1675955000,1464670000,0,0,1436984000,1908733000,1400728000,118944000,118944000,1.18,1.16,0.075,210383000,-383645000,250083000,72215000,215832000,21880000,25.66,27.41,23.9,0.2612,0.0758,3.67,7.42,29.58,0.09,0.0789,1.3032,0.2642,0.0683,1.11,0.47,1.8822
2014-06-28,99631359,398525436,4,4415018000,2587736000,3036590000,1155338000,1378428000,0,0,994388000,1523000000,1342052000,154578000,154578000,1.54,1.51,0.075,67174000,-7498000,-67573000,-7519000,143617000,7498000,21.37,24.7,18.03,0.2825,0.0851,3.46,6.83,27.14,0.08,0.0703,1.1049,0.3122,0.0724,1.18,0.15,2.2398
2014-03-29,99576802,398307208,4,4273919000,2440951000,3027442000,1029363000,1246477000,0,0,999195000,1620000000,1059370000,41560000,41560000,0.41,0.41,0.075,-62236000,-12169000,110191000,35273000,151136000,12169000,17.5,19.11,15.89,0.2745,0.0799,3.13,5.66,21.54,0.06,0.0697,1.2997,0.2916,0.0676,1.18,-0.19,2.3713
2013-12-28,99461093,397844372,4,4090048000,2243666000,2859425000,999278000,1230623000,0,0,1004143000,1467000000,1285790000,32266000,32266000,0.32,0.32,0.05,334296000,-572568000,235176000,-16457000,115863000,-18008000,16.24,17.95,14.53,0.3021,0.0848,3.09,5.58,17.46,0.04,0.045,1.1921,0.3009,0.0714,1.19,0.89,2.2453
