"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,491110300,491110300,1,13713093000,None,7093821000,None,6054404000,564868000,0,317960000,6231752000,491567000,-13597000,-13597000,-0.03,-0.03,0.37,221978000,-928700000,716137000,9400000,156052000,917074000,31.22,33.58,28.86,0.1706,0.0747,12.33,2.56,13.94,45.02,0.7259,1.0293,0.4415,0.5351,0.14,-1.42,None
2019-03-31,477983011,477983011,1,12899501000,None,6500436000,None,5836882000,562183000,0,275565000,5674647000,436154000,61470000,61470000,0.13,0.13,0.37,158582000,-160277000,8521000,6806000,146652000,139494000,29.52,32.23,26.8,0.1964,0.083,12.21,2.37,13.48,44.65,0.6494,0.9722,0.4525,0.5988,0.14,0.04,None
2018-12-31,477771756,477771756,1,12718553000,None,6205962000,None,5944439000,568152000,0,352079000,5477123000,441919000,831548000,830156000,1.76,1.71,0.37,215791000,1011745000,-1196377000,31105000,139846000,-1049874000,27.37,30.27,24.47,0.1982,0.0796,12.44,2.54,76.03,44.28,0.6597,0.9214,0.4674,0.5731,0.14,2.65,None
2018-09-30,469918837,469918837,1,13083958000,None,7443583000,None,5071168000,569207000,0,305805000,6705759000,456022000,99371000,98946000,0.21,0.21,0.37,193244000,325766000,-532419000,-13188000,108741000,62028000,26.26,27.43,25.09,0.0327,0.0125,10.79,2.4,202,43.91,4.1037,1.3223,0.3876,0.0917,0.14,0.28,None
2018-06-30,469832569,469832569,1,13451387000,None,8034664000,None,5143494000,273229000,0,294056000,7309972000,469551000,89942000,89481000,0.19,0.19,0.37,243510000,481040000,-720502000,3961000,121929000,-145338000,23.86,25.91,21.8,0.0118,0.0046,10.95,2.15,None,43.54,11.0872,1.4212,0.3824,0.034,0.13,0.83,None
2018-03-31,469755917,469755917,1,14067571000,None,8586648000,None,5206291000,274632000,0,395298000,7871735000,479197000,40232000,39841000,0.08,0.08,0.37,196164000,10728000,-171238000,35765000,117968000,124623000,23.82,26.16,21.48,-0.0014,-0.0005,11.08,2.11,27.38,43.17,None,1.512,0.3701,None,0.13,0.15,None
2017-12-31,469443487,469443487,1,14088461000,None,8493523000,None,5301005000,293933000,0,457082000,7786301000,443259000,-58702000,-58857000,-0.12,-0.12,0.37,209145000,-509566000,206502000,-93944000,82203000,512623000,26.36,27.62,25.09,0.0738,0.0291,11.29,2.24,23.54,42.8,1.6807,1.4688,0.3763,0.2234,0.13,-0.65,None
2017-09-30,469108449,469108449,1,13904081000,None,8049850000,None,5531433000,322798000,0,447886000,7371385000,454023000,-7657000,-7788000,-0.02,-0.02,0.37,206307000,-201763000,-262796000,-258078000,133887000,185485000,30.06,32.65,27.47,0.0938,0.0363,11.79,2.47,20.59,42.43,3.9121,1.3326,0.3978,0.3363,0.11,0.04,None
2017-06-30,468963146,468963146,1,14102575000,None,8073634000,None,5702047000,326894000,0,461423000,7390525000,458928000,19383000,19283000,0.04,0.04,0.37,238460000,242369000,-853198000,-372149000,391965000,105465000,31.61,33.67,29.55,0.1049,0.0419,12.16,2.53,15.34,42.06,3.1496,1.2961,0.4043,0.3877,0.11,0.28,None
2017-03-31,468572028,468572028,1,14855868000,None,8682393000,None,5841348000,332127000,0,479128000,8050189000,492168000,461145000,460375000,0.98,0.97,0.37,193129000,1715217000,-1238969000,669384000,764114000,-1068406000,31.16,32.97,29.36,0.1301,0.0534,12.47,2.63,23.25,41.69,2.3329,1.3781,0.3932,0.4903,0.11,2.69,None
