"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,109433698,109433698,1,5897379000,1116238000,1802325000,390526000,4095054000,0,0,69093000,491651000,687974000,-154683000,-155455000,-1.42,-1.42,0.71,250353000,-81368000,-77986000,90999000,369106000,61922000,56.45,64.8,48.1,-0.0173,-0.0119,37.42,1.43,84.25,25,None,0.1201,0.6944,None,0.47,1.72,2.8583
2019-03-31,109414675,109414675,1,6144562000,1048004000,1825942000,373707000,4318620000,0,0,70531000,491227000,720868000,60891000,60107000,0.55,0.55,0.71,199536000,-105863000,-78156000,15517000,278107000,120936000,52.27,58.49,46.05,0.0166,0.012,39.47,1.32,None,24.29,4.2693,0.1137,0.7028,0.0259,0.45,0.72,2.8043
2018-12-31,109405326,109405326,1,6144341000,1042747000,1818103000,385913000,4326238000,0,0,71969000,490805000,740598000,18959000,18182000,0.17,0.17,0.71,209482000,-186730000,-86347000,-63595000,262590000,184485000,59.15,73.74,44.56,-0,0.0002,39.54,1.47,13.5,23.58,None,0.1134,0.7041,None,0.43,0.23,2.702
2018-09-30,109038462,109038462,1,6214867000,1115550000,1832132000,377168000,4382735000,0,0,137984000,493968000,696825000,2453000,3078000,0.03,0.03,0.71,186110000,-130178000,-78003000,-22071000,284355000,127594000,64.19,70.78,57.6,0.1068,0.0769,40.19,1.57,15.5,22.87,0.6422,0.1127,0.7052,0.1923,0.4,0.54,2.9577
2018-06-30,108943754,108943754,1,6265872000,1133478000,1823381000,381668000,4442491000,0,0,145060000,493700000,648872000,-8008000,-8725000,-0.08,-0.08,0.71,161427000,-116158000,-73607000,-28338000,306426000,121233000,67.86,74.36,61.35,0.1022,0.0723,40.78,1.64,16.92,22.16,0.6762,0.1111,0.709,0.1947,0.37,0.37,2.9698
2018-03-31,108881688,108881688,1,6261792000,1130983000,1758639000,340185000,4503153000,0,0,146497000,493433000,577484000,-11879000,-12596000,-0.12,-0.12,0.7,124779000,-97182000,-76497000,-48900000,334764000,90427000,68.16,75.02,61.3,0.1002,0.0694,41.36,1.62,18.52,21.45,0.694,0.1096,0.7191,0.2019,0.34,0.32,3.3246
2017-12-31,108866812,108866812,1,6362096000,1166346000,1771746000,355762000,4590350000,0,0,147983000,493168000,564087000,500106000,496569000,4.57,4.55,0.7,72215000,-128844000,-81082000,-137711000,383664000,82949000,57.73,65.77,49.69,0.0927,0.063,42.16,1.51,None,20.75,0.7567,0.1074,0.7215,0.201,0.31,-0.1,3.2784
2017-09-30,108605547,108605547,1,6439988000,1235267000,2275397000,344385000,4164591000,0,0,102490000,492902000,532304000,-22532000,-22994000,-0.21,-0.21,0.7,121083000,-96410000,-76085000,-51412000,521375000,91801000,50.4,58.64,42.16,-0.0302,-0.0196,38.35,1.29,None,20.05,None,0.1184,0.6467,None,0.28,0.27,3.5869
2017-06-30,108581547,108581547,1,6513891000,1250388000,2263987000,333929000,4249904000,0,0,103536000,492637000,498564000,-21799000,-22257000,-0.21,-0.21,0.7,89775000,-182835000,-75899000,-168959000,572787000,120510000,59.72,69.97,49.46,-0.0409,-0.0269,39.14,1.49,None,19.35,None,0.1159,0.6524,None,0.24,-0.28,3.7445
2017-03-31,108566974,108566974,1,6538184000,1363887000,2190790000,301417000,4347394000,0,0,0,492373000,405283000,-48818000,-49263000,-0.45,-0.45,0.7,75691000,-83700000,-76138000,-84147000,741746000,80926000,72.48,81.3,63.66,-0.0398,-0.0263,40.04,1.76,None,18.65,None,0.1133,0.6649,None,0.22,-0.05,4.5249
2016-12-31,108563000,108563000,1,6677637000,1445283000,2201722000,286628000,4475915000,0,0,0,492110000,368590000,-35063000,-35509000,-0.33,-0.33,0.7,70668000,-82043000,-68293000,-79668000,825893000,80918000,73.09,85.78,60.39,-0.0237,-0.0157,41.23,1.73,None,17.95,None,0.1099,0.6703,None,0.22,-0.09,5.0424
2016-09-30,108177217,108177217,1,6832019000,1572686000,2271094000,330120000,4560925000,0,0,0,491847000,331708000,-72835000,-73499000,-0.68,-0.68,0.7,138187000,-23197000,-116461000,-1471000,905561000,28579000,63.23,70.28,56.19,-0.0124,-0.0081,42.16,1.45,None,17.25,None,0.1078,0.6676,None,0.23,1.01,4.764
2016-06-30,108066141,108066141,1,6976519000,1537672000,2275057000,326609000,4701462000,0,0,0,493150000,366486000,-21200000,-21651000,-0.2,-0.2,0.7,122893000,-40063000,-73811000,9019000,907032000,35979000,62.48,69.2,55.75,-0.0012,-0.0007,43.51,1.41,63.76,16.55,None,0.1049,0.6739,None,0.26,0.8,4.708
2016-03-31,108039174,108039174,1,7025105000,1460377000,2243005000,371328000,4782100000,0,0,0,492919000,438191000,21205000,20722000,0.19,0.19,0.6875,184321000,-60229000,-74309000,49783000,898013000,62354000,52.04,64.06,40.02,0.0217,0.0149,44.26,1.16,24.09,15.85,2.7981,0.1031,0.6807,0.0493,0.3,1.13,3.9328
2015-12-31,108010599,108010599,1,7130274000,1476676000,2299981000,408790000,4830293000,0,0,0,492668000,487847000,16002000,15742000,0.15,0.15,0.6875,308196000,-110730000,-78620000,118846000,848230000,108412000,54.01,61.7,46.32,0.0474,0.0325,44.72,1.19,13.99,15.16,1.268,0.102,0.6774,0.0901,0.36,1.85,3.6123
2015-09-30,107787205,107787205,1,7152012000,1439007000,2254560000,351228000,4897452000,0,0,0,492443000,566110000,-21214000,-20627000,-0.19,-0.19,0.69,271205000,-202536000,-121610000,-52941000,717977000,156929000,58.25,70.34,46.16,0.0847,0.059,45.44,1.25,10.44,14.47,0.7058,0.1006,0.6848,0.1327,0.44,1.06,4.0971
