"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,215066629,215066629,1,2947633000,2058625000,700442000,367105000,2247191000,0,0,360189000,17862000,529932000,105318000,105318000,0.49,0.48,0,152960000,-45147000,9010000,116539000,1417238000,47294000,80.83,89.3,72.36,0.1518,0.1126,10.45,8.31,69.68,0,0,0.0079,0.7624,0.1525,0.74,0.49,5.6077
2019-03-31,214438549,214438549,1,2754161000,1904500000,668594000,364515000,2085567000,0,0,365573000,17647000,497857000,102312000,102312000,0.48,0.47,0,155663000,-24563000,4487000,135713000,1300699000,18267000,75.43,88.83,62.03,0.1341,0.0981,9.73,8.38,150.86,0,0,0.0085,0.7572,0.1266,0.77,0.64,5.2248
2018-12-31,214048325,214048325,1,2645762000,1832254000,719795000,425277000,1925967000,0,0,370957000,17434000,528402000,69063000,69063000,0.32,0.31,0,83838000,-36097000,4063000,51798000,1164986000,25281000,63.79,70.58,57,0.0618,0.0444,9,7.53,None,0,0,0.0091,0.7279,0.0582,0.76,0.27,4.3084
2018-09-30,212808148,212808148,1,2519947000,1700359000,717048000,422489000,1802899000,0,0,376341000,17224000,449683000,29176000,29176000,0.14,0.14,0,199148000,-17876000,2437000,183671000,1113188000,24821000,68.13,74.81,61.45,-0.0643,-0.0459,8.47,8.36,None,0,None,0.0096,0.7155,None,0.75,0.82,4.0246
2018-06-30,212577449,212577449,1,2397157000,1598084000,664234000,368239000,1732923000,0,0,381725000,17016000,521516000,52394000,52394000,0.25,0.24,0,32403000,-3922000,5562000,34143000,929517000,10791000,72.52,84.8,60.23,-0.0606,-0.0436,8.15,9.44,None,0,None,0.0098,0.7229,None,0.74,0.1,4.3398
2018-03-31,211969163,211969163,1,2306012000,1469555000,677968000,381072000,1628044000,0,0,387110000,16811000,382282000,-41140000,-41140000,-0.19,-0.19,0,20838000,-28528000,2595000,-5060000,895374000,12590000,91.74,102.63,80.85,-0.1107,-0.0776,7.68,11.91,None,0,None,0.0103,0.706,None,0.71,0.04,3.8564
2017-12-31,211663861,211663861,1,2302582000,1504854000,671953000,375396000,1630629000,0,0,629395000,16608000,444156000,-149629000,-149629000,-0.7,-0.7,0,-89267000,-143002000,3725000,-228537000,899509000,25251000,105.61,118.32,92.91,-0.2328,-0.1581,7.7,12.68,None,0,None,0.0102,0.7082,None,0.78,-0.54,4.0087
2017-09-30,211037309,211037309,1,2374301000,1541322000,616551000,319935000,1757750000,0,0,640163000,23711000,381534000,36054000,36054000,0.17,0.17,0,53123000,-30839000,654011000,676292000,1128046000,34304000,123.95,140.11,107.79,-0.1483,-0.0493,8.33,24.84,None,0,None,0.0135,0.7403,None,0.78,0.09,4.8176
2017-06-30,205704731,205704731,1,1639443000,844803000,612608000,293161000,1026835000,0,0,662931000,23428000,326444000,-12484000,-12484000,-0.06,-0.06,0,116794000,-37318000,10491000,89931000,451754000,30499000,129.18,144.32,114.03,-0.2211,-0.0957,4.99,27.37,None,0,None,0.0228,0.6263,None,0.81,0.42,2.8817
2017-03-31,204774409,204774409,1,1607347000,819175000,641413000,304716000,965934000,0,0,673699000,41604000,384082000,-187083000,-187083000,-0.96,-0.96,0,-173638000,-138819000,21944000,-290520000,361823000,20967000,126.78,153.15,100.41,-0.2084,-0.0689,4.72,57.37,234.78,0,None,0.0431,0.6009,None,0.79,-0.95,2.6883
2016-12-31,189408381,189408381,1,1638597000,994178000,1219130000,273501000,419467000,0,0,426030000,651481000,326498000,74050000,8873000,0.04,0.05,0,94378000,-36012000,13872000,72244000,652343000,15872000,95.69,108.1,83.28,0.3172,0.0731,2.21,48.82,121.13,0,0,1.5531,0.256,0.0943,0.78,0.41,3.635
2016-09-30,188385146,188385146,1,1544195000,886660000,1174209000,240545000,369986000,0,0,431523000,643434000,269469000,-28300000,36877000,0.2,0.19,0,95271000,-9952000,7126000,92445000,580099000,16629000,85.2,94.29,76.11,0.5649,0.0673,1.96,53.92,224.21,0,0,1.7391,0.2396,0.1471,0.81,0.42,3.686
2016-06-30,188002918,188002918,1,1417975000,792130000,1120912000,198986000,297063000,0,0,424930000,635491000,246288000,34425000,34425000,0.18,0.18,0,17572000,-215281000,27763000,-169946000,487654000,82214000,78.2,87.71,68.69,0.3776,0.0664,1.58,64.63,312.8,0,0,2.1392,0.2095,0.0787,0.84,-0.34,3.9808
2016-03-31,187619384,187619384,1,1103942000,935581000,876194000,200319000,227748000,0,0,12298000,627642000,263464000,24047000,24047000,0.13,0.12,0,97535000,28757000,9884000,136176000,657615000,5562000,83.42,103.8,63.05,0.3606,0.0493,1.21,91.67,4171,0,0,2.7559,0.2063,0.057,0.86,0.49,4.6705
2015-12-31,187199761,187199761,1,1007440000,842375000,836285000,168007000,171155000,0,0,12279000,619893000,243881000,55178000,55178000,0.31,0.3,0,70009000,-4529000,10158000,75638000,521439000,6896000,None,None,None,None,0.007,0.91,None,None,0,0,3.6218,0.1699,0.0087,0.81,0.34,5.0139
2015-09-30,186001815,186001815,1,931932000,757914000,843195000,155823000,88737000,0,0,19169000,623928000,187611000,-39582000,-39582000,-0.22,-0.22,0,7723000,-15215000,13612000,6120000,445801000,13358000,111.41,133.62,89.21,None,-0.0963,0.48,359.39,1856.83,0,None,7.0312,0.0952,None,0.71,-0.03,4.8639
2015-06-30,180482542,180482542,1,930337000,732990000,875163000,192472000,55174000,0,0,15938000,617025000,162984000,9294000,9294000,0.05,0.05,0,13390000,-26691000,31160000,17859000,439681000,2196000,100.37,113.55,87.18,None,0.0156,0.31,None,None,0,0,11.1833,0.0593,0.0206,0.76,0.06,3.8083
2015-03-31,179042841,179042841,1,862624000,692145000,904037000,225595000,-41413000,0,0,19087000,610210000,159275000,-18359000,-18359000,-0.11,-0.11,0,-4586000,-58575000,32686000,-30475000,421822000,3553000,84.03,99,69.05,None,-0.0417,-0.23,None,None,0,None,None,None,None,0.74,-0.05,3.0681
2014-12-31,171765591,171765591,1,830069000,699214000,911697000,221515000,-81628000,0,0,15987000,603478000,123974000,-36944000,-36944000,-0.21,-0.21,0,44720000,-3518000,29097000,70299000,452297000,10535000,62.32,80.78,43.86,None,-0.0655,-0.48,None,None,0,None,None,None,None,0.69,0.2,3.1565
2014-09-30,168941857,168941857,1,785265000,662614000,874856000,124660000,-89591000,0,0,15739000,730213000,198147000,59293000,59293000,0.35,0.33,0,27787000,-58691000,6644000,-24260000,382004000,19224000,51.2,57.34,45.06,None,-0.0788,-0.53,None,None,0,None,None,None,None,0.7,0.05,5.3154
