"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,287106811,287106811,1,13720982000,1215103000,11988888000,1616787000,1657821000,74273000,0,5940449000,8390183000,1066907000,92441000,92441000,0.32,0.32,0.611,312664000,-158456000,-148634000,521000,161996000,35025000,33.36,36.65,30.08,0.1919,0.0273,5.77,5.44,27.57,22.53,1.9972,5.061,0.1208,0.0818,0.33,0.97,0.7516
2019-03-31,286880641,286880641,1,13689363000,1209850000,11855527000,1515133000,1759401000,74435000,0,5960716000,8365737000,1053863000,30452000,29561000,0.1,0.1,0.611,117067000,-311217000,187736000,-4010000,161475000,500694000,34.45,37.32,31.58,0.1824,0.0285,6.13,5.24,27.13,21.92,1.9709,4.7549,0.1285,0.0822,0.34,-1.34,0.7985
2018-12-31,286365695,286365695,1,11852247000,1208114000,9896126000,1462678000,1884180000,71941000,0,5947552000,8016417000,1156819000,158831000,158118000,0.55,0.55,0.61,311006000,-119085000,-218881000,-32191000,165485000,282192000,32.7,35.18,30.22,0.1786,0.0307,6.58,4.83,40.88,21.31,1.8698,4.2546,0.159,0.086,0.36,0.1,0.826
2018-09-30,286219594,286219594,1,11805969000,1215975000,9772348000,1247352000,1937386000,96235000,0,5995608000,8109179000,965661000,67023000,67148000,0.23,0.23,0.5876,231214000,-181297000,-29194000,9484000,197676000,310114000,34.98,36.95,33.01,0.1066,0.0195,6.77,4.87,53,20.7,2.9901,4.1856,0.1641,0.0561,0.35,-0.28,0.9748
2018-06-30,286145783,286145783,1,11812534000,1244334000,9659747000,1273103000,2055940000,96847000,0,5997183000,7961761000,1060823000,93543000,93401000,0.33,0.33,0.5877,301761000,-359484000,-186499000,-254299000,188192000,492261000,33.62,35.37,31.87,0.0873,0.0164,7.18,4.26,53.37,20.11,3.5708,3.8726,0.174,0.0456,0.36,-0.67,0.9774
2018-03-31,285923945,285923945,1,11998149000,1524873000,9643997000,1231062000,2259747000,94405000,0,5917966000,8020873000,1042458000,45152000,44684000,0.16,0.16,0.5888,91568000,-1562012000,985252000,-483208000,442491000,1670219000,34.36,37.94,30.78,0.0823,0.016,7.9,4.27,49.8,19.53,3.7474,3.5495,0.1883,0.0431,0.37,-5.52,1.2387
2017-12-31,285311549,285311549,1,10972402000,1950315000,8582142000,1330173000,2297438000,92822000,0,6881562000,6896971000,991235000,21479000,22721000,0.08,0.08,0.62,202099000,-116047000,498945000,587813000,925699000,253815000,39.23,41.53,36.93,0.0928,0.0182,8.05,5.61,49.66,18.94,3.3484,3.002,0.2094,0.0478,0.38,-0.18,1.4662
2017-09-30,266937094,266937094,1,10260006000,1328224000,8323936000,1232369000,1866988000,69082000,0,6852326000,6700094000,965661000,24324000,24345000,0.09,0.09,0.5534,199192000,-262431000,103064000,46867000,337886000,363489000,36.78,40.64,32.92,0.1111,0.0218,6.99,5.24,50.38,18.32,2.7537,3.5887,0.182,0.0554,0.39,-0.62,1.0778
2017-06-30,264390702,264390702,1,9814693000,1205876000,7889312000,1474606000,1855788000,69593000,0,6594669000,6028985000,949806000,81122000,78630000,0.3,0.3,0.5504,197840000,-116667000,-98246000,-4609000,291019000,199877000,34.62,36.7,32.53,0.0986,0.0203,7.02,4.81,93.57,17.76,2.8971,3.2487,0.1891,0.0512,0.39,-0.01,0.8178
2017-03-31,264116522,264116522,1,9672134000,1198637000,7701052000,1418469000,1902725000,68357000,0,5247734000,5922748000,938876000,58507000,58125000,0.22,0.22,0.5504,121837000,-104303000,36662000,59144000,295628000,197060000,35.01,37.75,32.27,0.049,0.0106,7.2,4.77,77.8,17.21,5.4821,3.1128,0.1967,0.0271,0.38,-0.28,0.845
