"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,88226142,88226142,1,4919953000,None,2724743000,None,2195210000,0,0,0,1854556000,1021803000,47461000,47167000,0.54,0.51,0.025,17876000,-13957000,-336562000,-332643000,179764000,12239000,24.66,27.64,21.69,0.1237,0.052,24.88,1.01,9.45,6.91,0.0336,0.8448,0.4462,0.0591,0.88,0.06,None
2019-02-28,87134108,87134108,1,5173656000,None,3045159000,None,2128497000,0,0,0,2203589000,811483000,30011000,29821000,0.34,0.31,0.025,-198210000,-1747000,137245000,-62712000,512407000,4221000,21.17,24.1,18.24,0.1328,0.0535,24.43,0.88,14.3,6.89,0.0324,1.0353,0.4114,0.0603,0.88,-2.32,None
2018-11-30,86925192,86925192,1,5073571000,None,2986071000,None,2087500000,0,0,0,2060263000,1348609000,96836000,96664000,1.1,0.86,0.025,271020000,-10264000,-40613000,220143000,575119000,3233000,21.81,26.8,16.82,0.0861,0.0339,24.01,0.96,14.94,6.86,0.0517,0.987,0.4114,0.0373,0.9,3.08,None
2018-08-31,88387928,88387928,1,4974689000,None,2958740000,None,2015949000,0,0,0,2063127000,1225347000,87476000,86992000,0.99,0.87,0.025,-30139000,4085000,-289524000,-315578000,354976000,710000,25.66,28.34,22.99,0.0812,0.0315,22.81,1.18,23.33,6.84,0.056,1.0234,0.4052,0.034,0.92,-0.35,None
2018-05-31,87688801,87688801,1,5094736000,None,3180093000,None,1914643000,0,0,0,2353848000,1101423000,57308000,56986000,0.65,0.57,0.025,122311000,-5078000,-7485000,109748000,670554000,1503000,28.25,31.83,24.68,0.0634,0.0239,21.83,1.33,32.85,6.81,0.073,1.2294,0.3758,0.0264,0.9,1.38,None
2018-02-28,87506230,87506230,1,4957101000,None,3104379000,None,1852722000,0,0,0,2359570000,871623000,-71255000,-71255000,-0.82,-0.82,0.025,-141680000,-8850000,-9525000,-160055000,560806000,1924000,33.27,38.8,27.73,0.0509,0.019,21.17,1.5,18.18,6.79,0.0922,1.2736,0.3738,0.0213,0.88,-1.64,None
2017-11-30,87048265,87048265,1,5041515000,None,3115204000,None,1926311000,0,0,0,2324845000,1403138000,84346000,83804000,0.96,0.84,0.025,409949000,-2106000,-181789000,226054000,720861000,1442000,26.05,31.41,20.68,0.0986,0.0361,22.13,1.22,18.74,6.76,0.048,1.2069,0.3821,0.0411,0.87,4.69,None
2017-08-31,86500307,86500307,1,5099559000,None,3258617000,None,1840942000,0,0,0,2502379000,1144001000,50208000,49887000,0.58,0.51,0.025,167850000,-5391000,-17024000,145435000,494807000,2543000,22.62,24.37,20.86,0.0752,0.0266,21.28,1.09,17.53,6.74,0.0644,1.3593,0.361,0.032,0.83,1.91,None
2017-05-31,85548203,85548203,1,4958795000,None,3186407000,None,1772388000,0,0,0,2510121000,1002794000,31782000,31568000,0.37,0.33,0.025,12462000,411000,-15951000,-3078000,349372000,3085000,19.68,21.75,17.6,0.0707,0.0245,20.72,0.97,17.42,6.71,0.0697,1.4162,0.3574,0.0311,0.78,0.11,None
2017-02-28,85273440,85273440,1,4922580000,None,3186120000,None,1736460000,0,0,0,2504449000,818596000,14259000,14159000,0.17,0.15,0.025,-77042000,-8658000,-154850000,-240550000,352450000,1015000,16.45,17.86,15.03,0.0627,0.0214,20.36,0.81,14.69,6.69,0.0839,1.4423,0.3528,0.0284,0.75,-0.92,None
2016-11-30,85072695,85072695,1,5131624000,None,3408479000,None,1723145000,0,0,0,2640149000,1191942000,37528000,37302000,0.44,0.4,0.025,291267000,-5894000,-30095000,255278000,593000000,2104000,15.32,16.57,14.06,0.0631,0.0211,20.25,0.77,13.32,6.66,0.0845,1.5322,0.3358,0.0292,0.72,3.4,None
2016-08-31,84773093,84773093,1,5027761000,None,3345311000,None,1682450000,0,0,0,2674795000,913283000,39363000,39173000,0.47,0.41,0.025,64847000,3441000,-7115000,61173000,337722000,-196000,15.21,16.76,13.66,0.0674,0.0226,19.85,0.78,15.68,6.64,0.077,1.5898,0.3346,0.0329,0.68,0.77,None
2016-05-31,84246127,84246127,1,4915843000,None,3280674000,None,1635169000,0,0,0,2632127000,811050000,15597000,15520000,0.18,0.17,0.03,-24146000,-1922000,-22239000,-48307000,276549000,1463000,13.56,14.92,12.2,0.0581,0.0194,19.41,0.71,15.07,6.61,0.0918,1.6097,0.3326,0.0288,0.67,-0.3,None
2016-02-29,84121831,84121831,1,4922056000,None,3304998000,None,1617058000,0,0,0,2652705000,678371000,13127000,13067000,0.15,0.14,0.025,-143313000,-1704000,-90468000,-235485000,324856000,1413000,11.39,13.74,9.04,0.0546,0.0181,19.22,0.62,13.56,6.58,0.0954,1.6405,0.3285,0.0286,0.63,-1.72,None
2015-11-30,92275658,92275658,1,5015371000,None,3324537000,None,1690834000,0,0,0,2625536000,985783000,44017000,43842000,0.49,0.43,0.02,203269000,-2248000,4441000,205462000,560341000,2577000,14.13,15.53,12.72,0.0515,0.0169,18.32,0.79,1.61,6.56,0.1037,1.5528,0.3371,0.0278,0.61,2.17,None
2015-08-31,92071598,92071598,1,4948496000,None,3308270000,None,1640226000,0,0,0,2630732000,843157000,23254000,23184000,0.25,0.23,0.025,113816000,5779000,-206804000,-87209000,354879000,510000,15.46,17.42,13.5,0.5519,0.1811,17.81,0.88,1.75,6.54,0.0098,1.6039,0.3315,0.3134,0.58,1.23,None
2015-05-31,92017178,92017178,1,5039060000,None,3423224000,None,1615836000,0,0,0,2819510000,622969000,9573000,9541000,0.1,0.1,0.025,-86991000,-11834000,-7166000,-105991000,442088000,1004000,14.79,16.37,13.21,0.6444,0.1925,17.56,0.85,1.64,6.51,0.0097,1.7449,0.3207,0.3461,0.55,-0.96,None
2015-02-28,91952207,91952207,1,4989857000,None,3385287000,None,1604570000,0,0,0,2824170000,580121000,7799000,7770000,0.08,0.08,0.025,-48909000,-3000000,241220000,189311000,548079000,586000,14.66,17.57,11.76,0.7845,0.2097,17.45,0.84,1.62,6.49,0.0096,1.7601,0.3216,0.3608,0.58,-0.54,None
2014-11-30,91953911,91953911,1,4757550000,None,3161640000,None,1595910000,0,0,0,2576525000,796041000,852801000,850286000,9.24,8.37,0.02,85971000,-16700000,-9511000,59760000,358768000,1637000,15.93,18.1,13.75,None,0.2337,17.36,1.96,15.32,6.46,0.0093,1.6145,0.3354,0.3814,0.61,0.92,None
2014-08-31,91806488,91806488,1,3887391000,None,3142824000,None,744567000,0,0,0,2580800000,589214000,28361000,28282000,0.31,0.28,0.025,-162133000,-18938000,-7191000,-188262000,299008000,1146000,17.52,18.98,16.06,0.1474,0.0265,8.11,2.27,16.53,6.44,0.0894,3.4662,0.1915,0.042,0.63,-1.78,None
2014-05-31,91791488,91791488,1,3828026000,None,3118353000,None,709673000,0,0,0,2573980000,565007000,26624000,26552000,0.3,0.27,0.025,-333466000,-9060000,523346000,180820000,487270000,1436000,18.06,20.72,15.4,0.1614,0.028,7.73,2.77,24.08,6.42,0.0883,3.627,0.1854,0.0423,0.66,-3.65,None
2014-02-28,83744528,83744528,1,3248172000,None,2701838000,None,546334000,0,0,0,2175190000,450687000,10563000,10536000,0.13,0.12,0.025,-221063000,-84000,-4926000,-226073000,306450000,1576000,18.58,20.78,16.38,0.1226,0.0205,6.52,2.9,39.53,6.39,0.1265,3.9814,0.1682,0.0293,0.7,-2.66,None
2013-11-30,83744528,83744528,1,3193635000,None,2657549000,None,536086000,0,0,0,2150498000,618531000,28116000,28116000,0.36,0.37,0.02,-42027000,-5335000,193420000,146058000,532523000,1032000,17.23,18.98,15.48,0.0807,0.0134,6.4,2.9,86.15,6.37,0.1993,4.0115,0.1679,0.019,0.7,-0.51,None
2013-08-31,83716101,83716101,1,2964841000,None,2466835000,None,498006000,0,0,0,1937057000,548974000,27278000,27199000,0.32,0.3,0.025,-133859000,-5012000,-15870000,-154741000,386465000,607000,19.03,22.49,15.57,0.0429,0.0069,5.95,3.39,None,6.35,0.4346,3.8896,0.168,0.0095,0.73,-1.61,None
2013-05-31,83713479,83713479,1,2912121000,None,2441305000,None,470816000,0,0,0,1943275000,524406000,-2973000,-2973000,-0.04,-0.04,0.025,-56568000,-5669000,-22115000,-84352000,541206000,322000,21.68,25.14,18.21,-0.0105,-0.0016,5.62,3.83,None,6.32,None,4.1275,0.1617,None,0.71,-0.68,None
2013-02-28,83549685,83549685,1,2900637000,None,2427502000,None,473135000,0,0,0,1963753000,405219000,-12458000,-12458000,-0.16,-0.16,0.025,-211032000,-734000,311636000,99870000,625558000,430000,16.95,20.04,13.86,-0.0643,-0.0098,5.66,3.95,None,6.3,None,4.1505,0.1631,None,0.66,-2.53,None
2012-11-30,87837719,87837719,1,2561698000,None,2184892000,None,376806000,0,0,0,1722815000,578201000,7724000,7724000,0.1,0.1,0.025,110417000,-2573000,-5280000,102564000,525688000,697000,14.1,17.3,10.89,-0.1559,-0.0238,4.29,3.33,None,6.27,None,4.5722,0.1471,None,0.63,1.25,None
2012-08-31,87956519,87956519,1,2549464000,None,2177023000,None,372441000,0,0,0,1727679000,424504000,3261000,3261000,0.04,0.04,0.025,14081000,-2145000,93227000,105163000,423124000,460000,8.86,11.25,6.46,-0.1337,-0.0214,4.23,2.11,None,6.25,None,4.6388,0.1461,None,0.59,0.15,None
2012-05-31,87956519,87956519,1,2394005000,None,2024474000,None,369531000,0,0,0,1582788000,302852000,-24136000,-24136000,-0.31,-0.31,0.025,19703000,-2160000,-6957000,10586000,317961000,163000,9.95,13.12,6.77,-0.1604,-0.0262,4.2,2.22,None,6.22,None,4.2832,0.1544,None,0.56,0.22,None
2012-02-29,87956519,87956519,1,2406073000,None,2012205000,None,393868000,0,0,0,1587414000,254558000,-45802000,-45802000,-0.59,-0.59,0.0625,-109584000,6118000,-7233000,-110699000,307375000,429000,9.54,12.91,6.17,-0.2571,-0.0419,4.48,1.9,None,6.2,None,4.0303,0.1637,None,0.52,-1.25,None
2011-11-30,87956519,87956519,1,2512542000,None,2069885000,None,442657000,0,0,0,1583571000,479872000,13911000,13911000,0.18,0.18,0.0625,-37606000,-65454000,40861000,-62199000,418074000,168000,6.51,8,5.02,-0.3902,-0.065,5.03,1.33,None,6.13,None,3.5774,0.1762,None,0.48,-0.43,None
