"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,1442150501,1442150501,1,63573000000,7836000000,37399000000,17798000000,26093000000,81000000,0,38644000000,11764000000,6062000000,807000000,807000000,0.56,0.55,0.26,581000000,-44000000,-840000000,-294000000,1248000000,207000000,52.52,55.71,49.33,0.1491,0.0604,18.09,2.93,23.24,30.63,0.3913,0.4508,0.4104,0.1497,0.4,0.26,0.4403
2019-03-31,1440435771,1440435771,1,64162000000,8539000000,38253000000,17721000000,25828000000,81000000,0,38644000000,12437000000,6538000000,914000000,914000000,0.63,0.63,0.26,465000000,-223000000,201000000,442000000,1542000000,223000000,44.75,50.05,39.46,0.1315,0.0529,17.93,2.52,19.89,30.37,0.4321,0.4815,0.4025,0.1306,0.41,0.17,0.4819
2018-12-31,1444169449,1444169449,1,62729000000,7604000000,37016000000,16737000000,25637000000,76000000,0,38727000000,15250000000,6773000000,926000000,926000000,0.63,0.6,0.26,2063000000,-22000000,-2322000000,-273000000,1100000000,23000000,42.12,45.45,38.78,0.1316,0.0532,17.75,2.41,19.32,30.11,0.4143,0.5948,0.4087,0.1303,0.41,1.41,0.4543
2018-09-30,1453835415,1453835415,1,63918000000,8722000000,38386000000,15508000000,25457000000,75000000,0,39036000000,14852000000,6288000000,1194000000,1194000000,0.81,0.81,0.26,703000000,-161000000,-396000000,127000000,1373000000,161000000,42.44,44.35,40.52,0.1262,0.0512,17.51,2.47,21.01,29.85,0.4152,0.5834,0.3983,0.1246,0.41,0.37,0.5624
2018-06-30,1466560999,1466560999,1,62974000000,8202000000,37687000000,14832000000,25203000000,84000000,0,39364000000,14857000000,6112000000,323000000,323000000,0.22,0.22,0.22,775000000,-767000000,160000000,116000000,1246000000,239000000,39.94,42.46,37.42,0.1177,0.0481,17.19,2.23,18.84,29.59,0.4266,0.5895,0.4002,0.1158,0.42,0.37,0.553
2018-03-31,1475068042,1475068042,1,64503000000,8370000000,37953000000,16798000000,26452000000,98000000,0,40111000000,13180000000,6765000000,938000000,938000000,0.63,0.62,0.22,407000000,-274000000,229000000,369000000,1130000000,274000000,43.52,46.54,40.51,0.1239,0.0509,17.93,2.48,22.79,29.37,0.3922,0.4983,0.4101,0.1231,0.41,0.09,0.4983
2017-12-31,1487328466,1487328466,1,63109000000,7520000000,36918000000,15793000000,26111000000,80000000,0,39724000000,12972000000,6966000000,802000000,802000000,0.53,0.53,0.22,1796000000,-173000000,-1713000000,-83000000,761000000,261000000,41.58,43.98,39.19,0.1129,0.0465,17.56,2.39,28.88,29.15,0.4212,0.4968,0.4137,0.1128,0.41,1.03,0.4762
2017-09-30,1494388598,1494388598,1,63291000000,8155000000,37192000000,16035000000,26031000000,68000000,0,39709000000,12918000000,6530000000,992000000,992000000,0.66,0.65,0.22,535000000,158000000,-1272000000,-553000000,844000000,189000000,42.26,44.48,40.04,0.0863,0.0355,17.42,2.48,37.07,28.93,0.5393,0.4963,0.4113,0.0861,0.41,0.23,0.5086
2017-06-30,1507639931,1507639931,1,62757000000,8193000000,36965000000,15563000000,25720000000,72000000,0,39429000000,13226000000,5986000000,498000000,498000000,0.33,0.32,0.19,819000000,1000000,-754000000,90000000,1397000000,168000000,45.07,47.23,42.91,0.068,0.0283,17.06,2.67,40.6,28.71,0.6547,0.5142,0.4098,0.0692,0.41,0.43,0.5264
2017-03-31,1517278172,1517278172,1,62076000000,8415000000,36357000000,15057000000,25658000000,61000000,0,38812000000,12906000000,6414000000,630000000,630000000,0.41,0.41,0.19,-557000000,-287000000,378000000,-434000000,1307000000,287000000,43.39,45.48,41.3,0.0655,0.0277,16.91,2.63,41.32,28.52,0.6549,0.503,0.4133,0.067,0.41,-0.56,0.5589
2016-12-31,1526612169,1526612169,1,61538000000,8480000000,36323000000,14417000000,25161000000,54000000,0,38377000000,13217000000,6770000000,93000000,93000000,0.07,0.06,0.19,1700000000,-508000000,-1032000000,55000000,1741000000,290000000,43.45,46.4,40.5,0.0614,0.0263,16.48,2.44,81.98,28.33,0.6702,0.5253,0.4089,0.064,0.41,0.92,0.5882
2016-09-30,1544411707,1544411707,1,63265000000,8855000000,35688000000,13957000000,27509000000,68000000,0,39472000000,13105000000,6396000000,548000000,548000000,0.35,0.35,0.19,801000000,-16000000,-858000000,-69000000,1686000000,291000000,44.16,46.36,41.96,0.0302,0.0132,17.81,2.49,9.52,28.14,1.3004,0.4764,0.4348,0.0316,0.42,0.33,0.6344
