"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,162025878,162025878,1,14466000000,4635000000,9024000000,2792000000,5442000000,0,0,0,1855000000,4087000000,62000000,62000000,0.38,0.38,0.67,136000000,-238000000,-289000000,-391000000,543000000,238000000,69.45,75.91,63,0.1439,0.0584,33.59,2.05,14.32,14.35,0.521,0.3409,0.3762,0.0392,1.49,-0.63,1.6601
2019-02-02,163166004,163166004,1,12469000000,4835000000,6942000000,2730000000,5527000000,0,0,0,1523000000,6823000000,273000000,273000000,1.68,1.66,0.61,684000000,-120000000,-677000000,-113000000,934000000,120000000,70.97,83.28,58.66,0.1468,0.0611,33.87,2.15,11.83,13.68,0.5042,0.2756,0.4433,0.0396,1.54,3.46,1.7711
2018-11-03,165129371,165129371,1,14118000000,6337000000,8665000000,4007000000,5453000000,0,0,0,1528000000,4628000000,161000000,161000000,0.98,0.98,0.61,376000000,-146000000,-249000000,-19000000,1047000000,146000000,76.27,82.42,70.12,0.1834,0.0748,33.02,2.32,13.33,13.07,0.4914,0.2802,0.3862,0.0494,1.51,1.39,1.5815
2018-08-04,166712843,166712843,1,12915000000,5042000000,7428000000,2770000000,5487000000,0,0,0,1537000000,4570000000,292000000,292000000,1.77,1.76,0.61,660000000,-173000000,-243000000,244000000,1066000000,179000000,68.91,79.92,57.89,0.1788,0.0718,32.91,2.15,13.25,12.46,0.4083,0.2801,0.4249,0.0479,1.5,2.89,1.8202
2018-05-05,167096325,167096325,1,12916000000,4983000000,7560000000,2830000000,5356000000,0,0,0,1563000000,4208000000,75000000,75000000,0.46,0.45,0.61,387000000,-133000000,-740000000,-486000000,822000000,133000000,63.77,69.48,58.06,0.1666,0.0653,32.05,1.98,12.41,11.85,0.4375,0.2918,0.4147,0.0446,1.46,1.52,1.7608
2018-02-03,168236899,168236899,1,13340000000,5331000000,7914000000,2651000000,5426000000,0,0,0,1591000000,6776000000,468000000,468000000,2.85,2.81,1.1,822000000,-120000000,-130000000,572000000,1308000000,125000000,53.55,69.14,37.97,0.1678,0.0642,32.25,1.79,14.13,11.24,0.4325,0.2932,0.4067,0.045,1.43,4.14,2.0109
2017-10-28,168004787,168004787,1,13900000000,5700000000,8871000000,3505000000,5029000000,0,0,0,1622000000,4332000000,117000000,117000000,0.7,0.7,0,493000000,-146000000,-163000000,184000000,736000000,148000000,41.97,47.44,36.5,0.1273,0.0479,29.93,1.41,10.71,10.14,0.4234,0.3225,0.3618,0.0348,1.38,2.05,1.6262
2017-07-29,168579864,168579864,1,13038000000,4740000000,8010000000,2615000000,5028000000,0,0,0,1637000000,4144000000,208000000,208000000,1.24,1.24,0.55,330000000,-180000000,-223000000,-73000000,552000000,183000000,38.64,42.13,35.16,0.1326,0.0499,29.83,1.32,11.2,10.14,0.5363,0.3256,0.3856,0.0363,1.37,0.87,1.8126
2017-04-29,170481383,170481383,1,13244000000,4944000000,8250000000,2839000000,4994000000,0,0,0,1657000000,3843000000,66000000,66000000,0.39,0.39,0.55,46000000,-203000000,-292000000,-449000000,625000000,216000000,40.58,44.5,36.66,0.1181,0.0446,29.29,1.35,12.88,9.59,0.5917,0.3318,0.3771,0.0326,1.37,-1,1.7415
2017-01-28,172356294,172356294,1,13574000000,5247000000,8397000000,2974000000,5177000000,0,0,0,1685000000,6205000000,253000000,253000000,1.47,1.46,0.5,868000000,-172000000,-219000000,477000000,1074000000,177000000,49.22,59.43,39,0.1069,0.0409,30.04,1.7,15.1,9.04,0.6404,0.3255,0.3814,0.0298,1.38,4.01,1.7643
2016-10-29,176472956,176472956,1,14076000000,5654000000,8969000000,3526000000,5107000000,0,0,0,1702000000,4327000000,146000000,146000000,0.83,0.83,0.5,434000000,-247000000,-290000000,-103000000,597000000,251000000,41.92,46.15,37.7,0.1135,0.0441,28.94,1.44,13.7,8.54,0.5897,0.3333,0.3628,0.0317,1.39,1.04,1.6035
2016-07-30,179593056,179593056,1,13360000000,4955000000,8145000000,2803000000,5215000000,0,0,0,1709000000,4182000000,140000000,140000000,0.77,0.77,0.5,706000000,-163000000,-266000000,277000000,700000000,163000000,39.78,45.07,34.49,0.1067,0.0415,29.04,1.38,13.48,8.04,0.6115,0.3277,0.3903,0.0302,1.38,3.02,1.7677
2016-04-30,183709242,183709242,1,13304000000,4855000000,8007000000,2647000000,5297000000,0,0,0,1770000000,3972000000,17000000,17000000,0.09,0.09,0.5,140000000,-174000000,-250000000,-284000000,423000000,177000000,45.41,51.13,39.69,0.1026,0.0401,28.83,1.53,13.01,7.54,0.6183,0.3342,0.3982,0.0295,1.36,-0.2,1.8342
2016-01-30,185168909,185168909,1,13606000000,5076000000,8115000000,2714000000,5491000000,0,0,0,1789000000,6387000000,296000000,296000000,1.59,1.57,0.45,1067000000,-133000000,-728000000,206000000,707000000,139000000,46.86,50.86,42.85,0.1188,0.0469,29.65,1.62,12.5,7.04,0.5131,0.3258,0.4036,0.035,1.34,5.01,1.8703
2015-10-31,189820241,189820241,1,14898000000,6203000000,9424000000,3939000000,5474000000,0,0,0,1817000000,4427000000,120000000,120000000,0.63,0.63,0.45,54000000,-174000000,-313000000,-433000000,501000000,174000000,53.82,64.18,43.45,0.1287,0.0512,28.84,1.84,14.09,6.59,0.4578,0.3319,0.3674,0.0389,1.32,-0.63,1.5748
2015-08-01,194497789,194497789,1,14355000000,5626000000,8678000000,3178000000,5677000000,0,0,0,1821000000,4267000000,130000000,130000000,0.66,0.66,0.45,251000000,-199000000,-313000000,-261000000,934000000,201000000,67.9,75.24,60.56,0.1306,0.0525,29.19,2.23,15.83,6.14,0.436,0.3208,0.3955,0.0402,1.31,0.26,1.7703
2015-05-02,197876457,197876457,1,14563000000,5829000000,8546000000,2985000000,6017000000,0,0,0,1840000000,4123000000,127000000,127000000,0.64,0.63,0.45,102000000,-175000000,-139000000,-212000000,1195000000,176000000,69.6,79.6,59.61,0.1472,0.0598,30.41,2.36,16.34,5.69,0.376,0.3058,0.4132,0.0456,1.31,-0.37,1.9528
2015-01-31,202802328,202802328,1,14431000000,5698000000,8440000000,2859000000,5991000000,0,0,0,1858000000,6337000000,368000000,368000000,1.86,1.83,0.39,1094000000,-97000000,-221000000,776000000,1407000000,121000000,58.25,61.54,54.95,0.1478,0.0601,29.54,2.03,14.64,5.24,0.3674,0.3101,0.4151,0.0456,1.32,4.8,1.993
2014-11-01,202009115,202009115,1,15047000000,6078000000,9242000000,3655000000,5805000000,0,0,0,1886000000,4374000000,142000000,142000000,0.7,0.7,0.39,200000000,-128000000,-187000000,-115000000,631000000,187000000,58.12,62.5,53.74,0.1421,0.0578,28.74,2.05,14.21,4.85,0.3751,0.3249,0.3858,0.0443,1.3,0.06,1.6629
2014-08-02,204668449,204668449,1,14101000000,5077000000,8292000000,2684000000,5809000000,0,0,0,1896000000,4242000000,232000000,232000000,1.14,1.13,0.39,551000000,-196000000,-326000000,29000000,746000000,198000000,53.45,55.89,51,0.1473,0.06,28.38,1.89,13.36,4.46,0.3555,0.3264,0.412,0.046,1.3,1.72,1.8916
2014-05-03,207309047,207309047,1,14133000000,5115000000,8276000000,2621000000,5857000000,0,0,0,1919000000,4070000000,125000000,125000000,0.6,0.6,0.39,179000000,-172000000,-261000000,-254000000,717000000,176000000,53.49,57.89,49.09,0.1456,0.0599,28.25,1.87,13.17,4.07,0.3516,0.3276,0.4144,0.0459,1.31,0.01,1.9515
2014-02-01,208557520,208557520,1,14378000000,5292000000,8400000000,2736000000,5978000000,0,0,0,1930000000,6099000000,334000000,334000000,1.56,1.55,0.35,870000000,-172000000,-325000000,373000000,971000000,178000000,54.22,58.47,49.97,0.1483,0.0616,28.66,1.96,13,3.68,0.3391,0.3229,0.4158,0.0467,1.32,3.32,1.9342
2013-11-02,214139923,214139923,1,15245000000,5987000000,9321000000,3641000000,5924000000,0,0,0,1950000000,4444000000,177000000,177000000,0.82,0.81,0.35,252000000,-181000000,-65000000,6000000,598000000,181000000,53.44,57.04,49.84,0.155,0.0651,27.66,1.92,12.52,3.33,0.3214,0.3292,0.3886,0.0484,1.35,0.33,1.6443
2013-08-03,217185846,217185846,1,14097000000,4882000000,8044000000,2683000000,6053000000,0,0,0,1948000000,4289000000,231000000,231000000,1.05,1.04,0.35,457000000,-147000000,-236000000,74000000,592000000,149000000,50.58,54.16,47,0.1601,0.0679,27.87,1.86,11.96,2.98,0.3074,0.3218,0.4294,0.0502,1.35,1.42,1.8196
2013-05-04,221470296,221470296,1,14050000000,4911000000,8029000000,2699000000,6021000000,0,0,0,1938000000,4199000000,147000000,147000000,0.66,0.66,0.35,305000000,-123000000,-201000000,-19000000,518000000,135000000,47.27,49.32,45.21,0.1607,0.0688,27.19,1.74,11.25,2.63,0.3036,0.3219,0.4285,0.0509,1.35,0.77,1.8196
2013-02-02,222010520,222010520,1,13905000000,4719000000,7857000000,2535000000,6048000000,0,0,0,1956000000,6341000000,377000000,377000000,1.67,1.66,0.32,562000000,-92000000,-483000000,-13000000,537000000,144000000,48.46,55.11,41.81,0.1601,0.0691,27.24,1.83,11.17,2.28,0.3006,0.3234,0.435,0.0511,1.35,1.88,1.8615
2012-10-27,230010006,230010006,1,15128000000,5773000000,9022000000,3671000000,6106000000,0,0,0,1986000000,4490000000,215000000,215000000,0.92,0.91,0.32,121000000,-192000000,21000000,-50000000,550000000,212000000,51.75,53.77,49.72,0.1697,0.0744,26.55,1.96,12.23,1.96,0.2687,0.3253,0.4036,0.0562,1.32,-0.4,1.5726
2012-07-28,234507513,234507513,1,13829000000,4463000000,7641000000,2623000000,6188000000,0,0,0,1997000000,4205000000,240000000,240000000,1.01,1,0.32,165000000,-200000000,-394000000,-429000000,600000000,252000000,47.19,51.25,43.13,0.1666,0.0747,26.39,1.8,10.95,1.64,0.2601,0.3227,0.4475,0.0563,1.33,-0.37,1.7015
2012-04-28,239787419,239787419,1,14232000000,4849000000,7932000000,2889000000,6300000000,0,0,0,2008000000,4243000000,154000000,154000000,0.63,0.63,0.32,417000000,-176000000,-417000000,-176000000,1029000000,177000000,48.88,52.19,45.56,0.17,0.0788,26.27,1.83,11.19,1.32,0.2395,0.3187,0.4427,0.0593,1.33,1,1.6784
2012-01-28,243251944,243251944,1,14094000000,4775000000,7586000000,2590000000,6508000000,0,0,0,2009000000,6018000000,456000000,456000000,1.82,1.8,0.25,1043000000,-170000000,-428000000,445000000,1205000000,172000000,51.05,56.65,45.46,0.169,0.0819,26.75,2,12.07,1,0.2243,0.3087,0.4618,0.0621,1.32,3.58,1.8436
