"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,282397501,282397501,1,47840000000,18100000000,44944000000,15132000000,2850000000,46000000,0,14126000000,12637000000,14427000000,1420000000,1420000000,5.03,5,2.2,1668000000,-251000000,-1241000000,176000000,1167000000,249000000,329.94,363.75,296.14,None,0.1259,10.09,37.84,16.87,67.86,0.416,4.434,0.0596,0.1018,1.24,5.02,1.1961
2019-03-31,282538809,282538809,1,47684000000,18031000000,45162000000,15403000000,2465000000,57000000,0,14194000000,12621000000,14336000000,1704000000,1704000000,6.03,5.99,2.2,1663000000,-257000000,-1187000000,219000000,991000000,284000000,284.28,311.78,256.79,None,0.1221,8.72,57.66,16.16,65.66,0.4258,5.1201,0.0517,0.0991,1.23,4.88,1.1706
2018-12-31,282562534,282562534,1,44876000000,16103000000,43427000000,14398000000,1394000000,55000000,0,14263000000,12604000000,14411000000,1253000000,1253000000,4.43,4.38,2.2,2217000000,-402000000,-1940000000,-125000000,772000000,459000000,296.26,351.35,241.18,None,0.1108,4.93,89.23,27.03,63.46,0.462,9.0416,0.0311,0.0939,1.18,6.22,1.1184
2018-09-30,284425688,284425688,1,45495000000,16859000000,44493000000,15204000000,943000000,59000000,0,14358000000,13486000000,14318000000,1473000000,1473000000,5.18,5.14,2,361000000,-344000000,-301000000,-284000000,897000000,339000000,319.76,348,291.52,None,0.0686,3.32,219.01,35.29,61.26,0.7238,14.3012,0.0207,0.0578,1.19,0.08,1.1089
2018-06-24,284781066,284781066,1,45125000000,16504000000,44646000000,13881000000,416000000,63000000,0,14427000000,13479000000,13398000000,1163000000,1163000000,4.08,4.05,2,-72000000,-243000000,-897000000,-1212000000,1181000000,264000000,330.05,361.99,298.1,None,0.0559,1.46,None,40.05,59.26,0.8535,32.4014,0.0092,0.05,1.12,-1.18,1.189
2018-03-25,285529483,285529483,1,46634000000,17816000000,46745000000,13974000000,-182000000,71000000,0,14536000000,13473000000,11635000000,1157000000,1157000000,4.05,4.02,2,632000000,-86000000,-1014000000,-468000000,2393000000,216000000,340.25,363,317.5,None,0.0502,-0.64,None,49.82,57.26,0.9133,None,None,0.0464,1.08,1.46,1.2749
2017-12-31,285570742,285570742,1,46521000000,17461000000,47130000000,12637000000,-683000000,74000000,0,14604000000,13513000000,15137000000,-642000000,-642000000,-2.25,-2.25,2,1512000000,-492000000,-1100000000,-80000000,2861000000,507000000,313.63,323.94,303.31,None,0.0415,-2.39,42.85,24.54,55.26,1.0709,None,None,0.0392,1.06,3.52,1.3817
2017-09-24,286734181,286734181,1,48946000000,17208000000,46771000000,13084000000,2098000000,77000000,0,14689000000,14268000000,12169000000,939000000,939000000,3.27,3.24,1.82,1754000000,-216000000,-1049000000,489000000,2941000000,222000000,293.02,311.36,274.69,None,0.0769,7.32,66.75,16.77,53.26,0.5624,6.8008,0.0429,0.0795,0.97,5.34,1.3152
2017-06-25,287990865,287990865,1,48711000000,16566000000,47362000000,13641000000,1265000000,84000000,0,14724000000,14283000000,12685000000,942000000,942000000,3.27,3.23,1.82,1544000000,-273000000,-1035000000,236000000,2452000000,278000000,274.51,284.98,264.04,None,0.107,4.39,53.62,15.63,51.44,0.3973,11.2909,0.026,0.112,0.96,4.4,1.2144
2017-03-26,289443053,289443053,1,48836000000,16586000000,47251000000,13597000000,1483000000,102000000,0,14792000000,14276000000,11057000000,763000000,763000000,2.63,2.61,1.82,1666000000,-166000000,-1121000000,379000000,2216000000,170000000,261.28,274.57,248,None,0.1077,5.12,50.25,14.9,49.62,0.3867,9.6264,0.0304,0.1131,0.95,5.17,1.2198
