"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,200192690,200192690,1,322259000000,None,303804000000,None,18455000000,0,0,1778000000,0,345000000,111000000,111000000,0.57,0.57,0.37,-1231000000,1074000000,1878000000,1721000000,3314000000,0,63.31,67.52,59.11,0.0779,0.004,92.19,0.78,9.06,25.31,0.2356,0,0.0573,0.0955,0.04,-6.15,None
2019-03-31,202343277,202343277,1,314299000000,None,297882000000,None,16417000000,0,0,1778000000,0,3965000000,252000000,252000000,1.23,1.22,0.37,-1331000000,-1133000000,1712000000,-752000000,1593000000,0,56.95,64.19,49.7,0.1,0.005,81.13,0.81,7.69,24.94,0.1916,0,0.0522,0.0909,0.06,-6.58,None
2018-12-31,204293812,204293812,1,298147000000,None,283797000000,None,14350000000,0,0,1782000000,5686000000,4531000000,399000000,399000000,1.89,1.83,0.37,909000000,-1575000000,1551000000,885000000,2345000000,0,59.67,71.27,48.07,0.1083,0.0056,70.24,0.85,6.45,24.57,0.1766,0.3962,0.0481,0.0999,0.06,4.45,None
2018-09-30,213604724,213604724,1,303850000000,None,288780000000,None,15070000000,0,0,1757000000,0,4264000000,490000000,490000000,2.27,2.24,0.33,402000000,-1867000000,1150000000,-315000000,1460000000,0,66.53,71.2,61.87,0.1295,0.0071,70.55,0.95,7.49,24.2,0.1391,0,0.0496,0.1322,0.05,1.88,None
2018-06-30,216680606,216680606,1,298832000000,None,283655000000,None,15177000000,0,0,1750000000,0,4020000000,385000000,385000000,1.76,1.7,0.33,492000000,-1778000000,804000000,-482000000,1775000000,0,67.67,74.17,61.18,0.1225,0.007,70.04,0.93,7.53,23.87,0.1406,0,0.0508,0.134,0.05,2.27,None
2018-03-31,218706881,218706881,1,279237000000,None,263252000000,None,15985000000,0,0,1368000000,0,3609000000,367000000,367000000,1.68,1.64,0.33,140000000,-595000000,1084000000,629000000,2257000000,0,78.42,86.68,70.15,0.1226,0.0073,73.09,0.99,8.49,23.54,0.1352,0,0.0572,0.14,0.05,0.64,None
2017-12-31,218257548,218257548,1,281763000000,None,264441000000,None,17322000000,0,0,1368000000,5123000000,3669000000,815000000,815000000,3.73,3.67,0.33,179000000,-1404000000,888000000,-337000000,1628000000,0,75.64,78.74,72.54,0.1287,0.0076,79.36,1.01,11.75,23.21,0.1273,0.2958,0.0615,0.1458,0.05,0.82,None
2017-09-30,218829429,218829429,1,276785000000,None,260471000000,None,16314000000,0,0,2273000000,0,3511000000,418000000,418000000,1.89,1.87,0.29,407000000,-780000000,360000000,-13000000,1965000000,0,70.27,75.78,64.75,0.0943,0.0054,74.55,0.97,10.7,22.88,0.1772,0,0.0589,0.1052,0.05,1.86,None
2017-06-30,221444368,221444368,1,271651000000,None,255655000000,None,15996000000,0,0,2273000000,0,3577000000,411000000,411000000,1.84,1.81,0.29,93000000,-505000000,467000000,55000000,1978000000,0,65.98,69.29,62.67,0.0975,0.0056,72.23,0.99,10.8,22.59,0.1673,0,0.0589,0.1086,0.05,0.42,None
2017-03-31,224278433,224278433,1,267468000000,None,252495000000,None,14973000000,0,0,2273000000,0,3500000000,435000000,435000000,1.93,1.89,0.29,109000000,-1499000000,591000000,-799000000,1923000000,0,67.38,73.31,61.45,0.092,0.0054,66.76,1.05,13.37,22.3,0.1731,0,0.056,0.1044,0.05,0.49,None
2016-12-31,225213415,225213415,1,261627000000,None,247149000000,None,14478000000,0,0,2273000000,5123000000,3255000000,192000000,192000000,0.85,0.87,0.29,595000000,-2054000000,737000000,-722000000,2722000000,0,58.05,69.49,46.62,0.0777,0.0046,64.29,0.81,10.93,22.01,0.2017,0.3538,0.0553,0.0894,0.05,2.64,None
2016-09-30,228560352,228560352,1,266605000000,None,250282000000,None,16323000000,0,0,2273000000,0,3525000000,467000000,467000000,2.02,2,0.25,144000000,-1372000000,559000000,-669000000,3444000000,0,42.24,48.48,36,0.0848,0.0049,71.42,0.62,10.13,21.72,0.174,0,0.0612,0.0969,0.05,0.63,None
2016-06-30,232795337,232795337,1,263028000000,None,247108000000,None,15920000000,0,0,2273000000,0,3307000000,325000000,325000000,1.37,1.35,0.25,238000000,467000000,231000000,936000000,4113000000,0,40.98,46.69,35.27,0.0712,0.0041,68.39,0.67,9.83,21.47,0.2067,0,0.0605,0.0776,0.05,1.02,None
2016-03-31,239007140,239007140,1,255718000000,None,241060000000,None,14658000000,0,0,2273000000,0,3243000000,208000000,208000000,0.86,0.82,0.25,295000000,-707000000,443000000,31000000,3177000000,0,39.95,49.51,30.39,0.074,0.0042,61.33,0.71,8.88,21.22,0.1955,0,0.0573,0.0786,0.05,1.23,None
2015-12-31,240956843,240956843,1,251937000000,None,238320000000,None,13617000000,0,0,2273000000,0,3172000000,283000000,283000000,1.15,1.14,0.2,756000000,-2076000000,694000000,-626000000,3146000000,0,51.55,57.54,45.56,0.0783,0.0045,56.51,0.89,10.99,20.97,0.172,0,0.054,0.085,0.05,3.14,None
2015-09-30,247470994,247470994,1,249532000000,None,235131000000,None,14401000000,0,0,2273000000,0,3715000000,227000000,227000000,0.91,0.86,0.2,905000000,-13000000,553000000,1445000000,3772000000,0,53.48,61.2,45.77,0.0799,0.0048,58.19,0.91,9.76,20.77,0.1568,0,0.0577,0.0866,0.06,3.66,None
2015-06-30,250951872,250951872,1,255214000000,None,240515000000,None,14699000000,0,0,2273000000,0,3381000000,344000000,344000000,1.37,1.35,0.2,286000000,-1099000000,-347000000,-1160000000,2327000000,0,58.91,62.08,55.75,0.0922,0.0056,58.57,0.92,10.5,20.57,0.1281,0,0.0576,0.1039,0.05,1.14,None
2015-03-31,253021877,253021877,1,258485000000,None,242262000000,None,16223000000,0,0,2273000000,0,3304000000,300000000,300000000,1.17,1.15,0.2,296000000,-1035000000,307000000,-432000000,3487000000,0,55.34,60.84,49.83,0.0946,0.0059,64.12,0.9,9.76,20.37,0.1177,0,0.0628,0.1086,0.05,1.17,None
2014-12-31,256391046,256391046,1,253377000000,None,237637000000,None,15740000000,0,0,2273000000,0,3685000000,349000000,349000000,1.36,1.33,0.16,1431000000,-83000000,750000000,2098000000,3919000000,0,52.21,59.17,45.25,0.0991,0.0061,61.39,0.88,9.29,20.17,0.1099,0,0.0621,0.1118,0.05,5.58,None
2014-09-30,259789727,259789727,1,248446000000,None,232994000000,None,15452000000,0,0,2273000000,0,3412000000,439000000,439000000,1.68,1.65,0.16,724000000,-617000000,205000000,312000000,1821000000,0,53.3,56.52,50.08,0.1031,0.0062,59.48,0.9,10.25,20.01,0.1036,0,0.0622,0.1168,0.05,2.79,None
2014-06-30,261073946,261073946,1,249125000000,None,233674000000,None,15451000000,0,0,2273000000,0,3281000000,398000000,398000000,1.52,1.48,0.16,108000000,-728000000,280000000,-340000000,1509000000,0,49.35,53.09,45.61,0.0997,0.0059,59.18,0.9,10.13,19.85,0.104,0,0.062,0.1124,0.05,0.41,None
2014-03-31,263746176,263746176,1,241949000000,None,227463000000,None,14486000000,0,0,2273000000,0,3176000000,329000000,329000000,1.25,1.21,0.16,263000000,-377000000,-401000000,-515000000,1849000000,0,49.48,53.26,45.71,0.0977,0.0057,54.92,0.97,10.95,19.69,0.1027,0,0.0599,0.1084,0.05,1,None
