"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-09-30,135539192,135539192,1,7556412000,4103013000,2654193000,1260071000,4873819000,28400000,0,1872478000,1162141000,959787000,8559000,8559000,0.06,0.06,0,373277000,-398169000,2406000,-22694000,697113000,300617000,191.69,194.27,189.11,-0.0368,-0.0236,35.96,5.47,None,0,None,0.2384,0.645,None,0.5,0.54,3.2562
2016-06-30,134729607,134729607,1,7311440000,4104833000,2565958000,1187392000,4717636000,27846000,0,1893365000,1150132000,932714000,-119265000,-119265000,-0.89,-0.89,0,332423000,-408180000,37475000,-39644000,719807000,208479000,150.69,194.38,107,-0.0488,-0.0313,35.02,4.36,None,0,None,0.2438,0.6452,None,0.49,0.92,3.457
2016-03-31,133544222,133544222,1,7209367000,3968396000,2569802000,1206515000,4612244000,27321000,0,1931316000,1138264000,860650000,-45827000,-45827000,-0.35,-0.35,0,252187000,-41419000,125000,213214000,759451000,177480000,164.97,231.68,98.25,-0.0386,-0.0246,34.54,4.88,None,0,None,0.2468,0.6398,None,0.47,0.56,3.2891
2015-12-31,132074709,132074709,1,7011199000,3935089000,2515746000,1188084000,4468643000,26810000,0,1880180000,1126534000,861894000,-15325000,-15325000,-0.12,-0.12,0,176606000,-307289000,46456000,-85488000,546237000,178010000,220.87,258.39,183.34,-0.0406,-0.0257,33.83,6.73,None,0,None,0.2521,0.6374,None,0.46,-0.01,3.3121
2015-09-30,131086466,131086466,1,6716710000,3812737000,2388805000,1041534000,4301609000,26296000,0,1926996000,1115439000,779595000,-40523000,-40523000,-0.31,-0.31,0,239595000,-56865000,1255000,180734000,631725000,166653000,199.38,233.18,165.57,-0.0388,-0.0244,32.82,6.2,None,0,None,0.2593,0.6404,None,0.46,0.56,3.6607
2015-06-30,130359523,130359523,1,6556782000,3735898000,2335555000,996344000,4195443000,25784000,0,1949205000,1104010000,711735000,-67748000,-67748000,-0.53,-0.53,0,225642000,-799227000,3364000,-566296000,450991000,72462000,228.76,266.53,191,-0.032,-0.0208,32.18,8.43,None,0,None,0.2631,0.6399,None,0.48,1.18,3.7496
2015-03-31,125964524,125964524,1,5538164000,4219519000,2114161000,877742000,3418467000,5536000,0,482565000,1092715000,637687000,-42548000,-42548000,-0.34,-0.34,0,165132000,371304000,26739000,556400000,1017287000,90121000,242.89,276.18,209.6,-0.0142,-0.0096,27.14,9.14,None,0,None,0.3197,0.6173,None,0.51,0.6,4.8072
2014-12-31,125118124,125118124,1,5427257000,4122100000,2096438000,882785000,3325392000,5427000,0,487993000,1081553000,643432000,2995000,2995000,0.02,0.02,0,130431000,-1492638000,1299746000,-65950000,460887000,241611000,215.43,243.25,187.61,-0.0053,-0.0038,26.58,8.93,None,0,None,0.3252,0.6127,None,0.53,-0.89,4.6694
2014-09-30,124176688,124176688,1,3906012000,2784744000,905587000,759217000,2995098000,5327000,0,497171000,0,568265000,-4263000,-4263000,-0.03,-0.03,0,181226000,-320041000,24864000,-118255000,526837000,120721000,192.8,232.28,153.31,-0.0053,-0.0041,24.12,8.24,None,0,None,0,0.7668,None,0.56,0.49,3.6679
2014-06-30,122909886,122909886,1,3720886000,2870577000,840615000,736229000,2875045000,5226000,0,328118000,0,533877000,-1034000,-1034000,-0.01,-0.01,0,128436000,-32800000,39753000,136242000,645092000,96430000,163.01,190,136.02,-0.0052,-0.0041,23.39,7.19,None,0,None,0,0.7727,None,0.54,0.26,3.899
