"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,237521074,237521074,1,16121600000,1027300000,11422000000,1949000000,4699600000,0,0,0,5438100000,790200000,97100000,97100000,0.4,0.4,0.355,95800000,-242200000,302800000,156400000,174200000,300500000,47.95,50.17,45.72,0.1144,0.0333,19.79,2.43,21.8,23.18,0.6346,1.1571,0.2915,0.1433,0.23,-0.86,0.5271
2019-03-31,237394409,237394409,1,15713400000,815200000,11031000000,1587700000,4682400000,0,0,0,5362200000,987200000,127700000,125100000,0.53,0.53,0.355,181100000,-364800000,176000000,-7700000,17800000,406100000,44.33,47.91,40.75,0.1201,0.0345,19.72,2.39,20.24,22.83,0.6189,1.1452,0.298,0.1432,0.24,-0.95,0.5134
2018-12-31,236074475,236074475,1,15426000000,785100000,10840300000,1644100000,4585700000,0,200000000,0,5306300000,873500000,87800000,85300000,0.37,0.37,0.33,85500000,-251100000,-56700000,-222300000,25500000,571500000,43.63,46.58,40.68,0.1254,0.0351,18.58,2.47,19.57,22.47,0.6108,1.2099,0.2843,0.1449,0.24,-2.06,0.4775
2018-09-30,235936447,235936447,1,15269800000,1124800000,10699400000,1548300000,4570400000,0,400000000,0,5310200000,928600000,208100000,205500000,0.87,0.87,0.335,507200000,-637200000,365800000,235800000,247800000,394700000,42.78,44.18,41.39,0.134,0.0364,17.68,2.53,20.47,22.14,0.589,1.2733,0.2731,0.148,0.24,0.48,0.7265
2018-06-30,233772908,233772908,1,14615000000,805900000,10264300000,1257400000,4350700000,0,400000000,0,5191400000,816100000,102900000,100400000,0.43,0.43,0.335,-154300000,-93300000,231400000,-16200000,12000000,377800000,40.84,43.47,38.22,0.128,0.0346,16.9,2.47,19.73,21.81,0.6208,1.314,0.2703,0.1384,0.24,-2.28,0.6409
2018-03-31,231481828,231481828,1,14241800000,725900000,10010300000,2073500000,4231500000,0,400000000,0,4122600000,916300000,123500000,120900000,0.52,0.52,0.335,89300000,-85200000,-9800000,-5700000,28200000,355500000,39.78,42.72,36.84,0.129,0.0347,16.55,2.57,19.99,21.47,0.6172,1.076,0.269,0.1387,0.24,-1.15,0.3501
2017-12-31,231356336,231356336,1,14187800000,905100000,10005600000,2149000000,4182200000,0,600000000,0,4080800000,856100000,96300000,93800000,0.41,0.41,0.31,100000000,-424000000,342700000,18700000,27900000,602600000,43.3,45.55,41.05,0.1229,0.0337,15.48,2.67,23.28,21.14,0.6322,1.1392,0.2525,0.1352,0.24,-2.17,0.4212
2017-09-30,231204360,231204360,1,14114900000,751500000,9960700000,1470100000,4154200000,0,400000000,0,4327100000,906900000,171400000,168800000,0.73,0.73,0.315,381400000,-445900000,66400000,1900000,9200000,441900000,41.52,43.69,39.36,0.1124,0.0319,16.24,2.63,24.42,20.83,0.665,1.1526,0.266,0.1283,0.24,-0.26,0.5112
2017-06-30,231062417,231062417,1,13743400000,814700000,9693000000,1208200000,4050400000,0,400000000,0,4428100000,765300000,96800000,94300000,0.41,0.41,0.315,168300000,-322800000,153400000,-1100000,7300000,316000000,40.57,42.19,38.95,0.1011,0.0295,15.8,2.37,24.44,20.51,0.719,1.213,0.2656,0.1155,0.25,-0.64,0.6743
2017-03-31,227823278,227823278,1,13464900000,749800000,9368000000,1165000000,3896900000,200000000,0,0,4391600000,853900000,103000000,100400000,0.44,0.44,0.315,333700000,-303600000,-29900000,200000,8400000,291500000,38.44,40.32,36.56,0.0975,0.0293,17.1,2.27,23.37,20.2,0.723,1.1269,0.2894,0.1127,0.25,0.19,0.6436
