"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,39629695,39629695,1,1348693000,939303000,620393000,474250000,728300000,0,0,0,0,1045040000,61100000,61100000,1.53,1.53,0.17,62660000,-4058000,-73433000,-14413000,250212000,3559000,107.6,120.23,94.97,0.3622,0.1898,18.38,5.93,16.84,6.86,0.1031,0,0.54,0.0582,3.26,1.49,1.9806
2019-03-30,40162360,40162360,1,1350939000,944195000,622679000,473244000,728260000,0,0,38343000,0,1033000000,63317000,63317000,1.58,1.58,0.165,121416000,-3414000,-53625000,64889000,264625000,2446000,103.03,112.49,93.58,0.3734,0.1923,18.13,6.02,16.67,6.69,0.1003,0,0.5391,0.0568,3.39,2.96,1.9952
2018-12-29,40116864,40116864,1,1380564000,971429000,691431000,535818000,686824000,2309000,0,38232000,84864000,1182351000,68256000,68256000,1.69,1.68,0.16,93696000,-2374000,-104260000,-14238000,199736000,1946000,107,123.77,90.23,0.3685,0.1891,17.12,6.08,17.72,6.53,0.1014,0.1236,0.4975,0.0553,3.42,2.29,1.813
2018-09-29,41114477,41114477,1,1390712000,999137000,664502000,515176000,723841000,2369000,0,38560000,72887000,1202081000,66985000,66985000,1.62,1.63,0.17,91176000,-3384000,-23047000,65333000,213974000,2601000,117.15,128.7,105.6,0.3682,0.1875,17.61,7.32,21.61,6.37,0.3442,0.1007,0.5205,0.0561,3.34,2.15,1.9394
2018-06-30,41092882,41092882,1,1308895000,928215000,647962000,508874000,657708000,3225000,0,38704000,65093000,1182786000,62523000,62523000,1.51,1.5,0.15,41027000,-206000,-112107000,-71964000,148641000,-347000,107.69,116.9,98.47,0.3415,0.1733,16.01,6.45,22.39,6.2,0.369,0.099,0.5025,0.0538,3.22,1.01,1.8241
2018-03-31,42067995,42067995,1,1320273000,928700000,613993000,472943000,702742000,3538000,0,39363000,73350000,1047926000,57517000,57517000,1.37,1.37,0.15,72002000,-2230000,-91265000,-21811000,220605000,1529000,111.1,118.6,103.6,0.3095,0.1588,16.7,7.17,26.39,6.05,0.4029,0.1044,0.5323,0.0517,3.07,1.68,1.9637
2017-12-30,41991429,41991429,1,1352460000,961203000,698583000,548643000,650672000,3205000,0,39065000,83062000,1051592000,64752000,64752000,1.54,1.54,1.6,6699000,-7165000,-6757000,-7325000,242416000,6348000,101.2,107.6,94.8,0.2851,0.1451,15.5,6.53,28.03,5.9,0.4457,0.1277,0.4811,0.0486,2.99,0.01,1.752
2017-09-30,41965797,41965797,1,1263339000,877883000,609366000,446917000,650355000,3618000,0,39914000,76792000,943430000,42443000,42443000,1.01,1.01,0.1,52465000,-10202000,-15169000,27639000,249741000,1371000,90,100,80,0.2557,0.1314,15.5,6.19,26.01,4.3,0.1021,0.1181,0.5148,0.0436,3.02,1.22,1.9643
2017-07-01,41946994,41946994,1,1159274000,793545000,549784000,386504000,609490000,0,0,31134000,77639000,870434000,37510000,37510000,0.9,0.89,0.09,17851000,-873000,-10792000,6634000,222102000,522000,84.4,88.5,80.3,0.2611,0.1328,14.53,6.17,25.35,4.2,0.1034,0.1274,0.5258,0.0437,3.04,0.41,2.0531
2017-04-01,41924876,41924876,1,1106142000,749006000,532399000,368637000,573743000,0,0,31134000,82987000,780908000,32383000,32383000,0.77,0.77,0.09,61948000,-3836000,-21678000,36571000,215468000,3313000,84.92,89.14,80.7,0.2652,0.1334,13.69,6.55,26.13,4.11,0.1044,0.1446,0.5187,0.0434,3.07,1.4,2.0318
2016-12-31,41839818,41839818,1,1096591000,737407000,554034000,380311000,542557000,0,0,31134000,93257000,892829000,39574000,39574000,0.94,0.94,0.09,18945000,-3598000,-6975000,8092000,178897000,3222000,77.92,90.8,65.05,0.2708,0.1351,12.97,6.42,24.43,4.02,0.104,0.1719,0.4948,0.0434,3.12,0.38,1.939
2016-09-24,41775279,41775279,1,1027758000,668810000,521028000,350349000,506730000,0,0,31134000,90817000,787938000,36278000,36278000,0.87,0.86,0.09,66162000,-5482000,-43064000,17435000,170805000,5047000,68.89,72.97,64.82,0.2778,0.1367,12.13,5.83,21.33,3.93,0.1025,0.1792,0.493,0.0434,3.15,1.46,1.909
2016-06-25,42107783,42107783,1,984757000,656452000,487502000,334588000,497255000,0,0,31134000,76724000,775223000,32314000,32314000,0.76,0.76,0.08,33097000,-5978000,-30287000,-2914000,153370000,5609000,65.37,68.36,62.38,0.2883,0.1425,11.81,5.73,19.28,3.84,0.0981,0.1543,0.505,0.0437,3.26,0.65,1.962
2016-03-26,42326371,42326371,1,957492000,636788000,475103000,322068000,482389000,0,0,31134000,81385000,711644000,29184000,29184000,0.69,0.69,0.08,72038000,891000,-31748000,41764000,156284000,-1445000,60.32,67.61,53.03,0.3097,0.1524,11.4,5.49,17.9,3.76,0.0905,0.1687,0.5038,0.0449,3.39,1.74,1.9772
2015-12-26,42419537,42419537,1,998070000,662670000,531833000,369537000,466237000,0,0,31134000,81793000,848602000,37855000,37855000,0.88,0.88,0.08,67938000,-1236000,-60605000,5621000,114520000,888000,60.72,67.44,53.99,0.3111,0.1536,10.99,5.48,18.23,3.68,0.0881,0.1754,0.4671,0.0445,3.45,1.58,1.7932
2015-09-26,43186052,43186052,1,953022000,655257000,474321000,343954000,478701000,0,0,31134000,59959000,841726000,39348000,39348000,0.91,0.9,0.08,66067000,-2272000,-36392000,26473000,108899000,462000,68.66,73.6,63.71,0.3089,0.1524,11.08,6.38,21.13,3.6,0.388,0.1253,0.5023,0.0445,3.43,1.52,1.9051
2015-06-27,43575617,43575617,1,946944000,656880000,477442000,346453000,469502000,0,0,31134000,59020000,868383000,40471000,40471000,0.92,0.92,0.07,32747000,-2915000,-61875000,-32461000,82426000,-25000,64.81,69.12,60.51,0.3008,0.1487,10.77,5.94,20.71,3.52,0.3926,0.1257,0.4958,0.044,3.38,0.75,1.896
