"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,335248065,335248065,1,31171000000,11088000000,20312000000,7538000000,10721000000,138000000,0,2740000000,7582000000,9048000000,1003000000,1003000000,2.7,2.7,1.05,1186000000,-278000000,39000000,950000000,1308000000,622000000,84.56,95.19,73.94,0.3436,0.1228,31.98,3.09,7.67,19.93,0.4078,0.7072,0.3439,0.0983,1.25,1.68,1.4709
2019-03-31,370327226,370327226,1,29889000000,10286000000,19613000000,7012000000,10138000000,138000000,0,2748000000,7522000000,8778000000,817000000,814000000,2.19,2.19,1,657000000,-178000000,-521000000,-43000000,358000000,599000000,86.01,90.36,81.66,0.4066,0.1502,27.38,3.11,7.2,18.88,0.2633,0.742,0.3392,0.1124,1.34,0.16,1.4669
2018-12-31,371156998,371156998,1,28278000000,10566000000,17882000000,5513000000,10257000000,139000000,0,2779000000,8497000000,8876000000,692000000,692000000,1.76,1.76,1,1297000000,-658000000,-766000000,-131000000,401000000,698000000,92.06,106.61,77.52,0.4506,0.1692,27.64,3.2,6.15,17.88,0.2445,0.8284,0.3627,0.1202,1.41,1.61,1.9166
2018-09-30,383657690,383657690,1,28696000000,11383000000,17504000000,6242000000,11044000000,148000000,0,2801000000,7471000000,10155000000,1113000000,1113000000,2.86,2.85,1,1441000000,-2312000000,-977000000,-1854000000,532000000,482000000,107.87,116.63,99.11,0.5845,0.2166,28.79,3.96,7.29,16.88,0.1317,0.6765,0.3849,0.1501,1.44,2.5,1.8236
2018-06-30,389323996,389323996,1,27023000000,12349000000,16420000000,5451000000,10602000000,1000000,0,1090000000,7490000000,10206000000,1654000000,1654000000,4.23,4.22,0,1727000000,-400000000,-745000000,546000000,2386000000,496000000,107.79,119.39,96.19,0.6377,0.2215,27.23,4.34,8.05,15.88,0.0672,0.7065,0.3923,0.1551,1.43,3.16,2.2655
2018-03-31,392069274,392069274,1,26896000000,12068000000,17167000000,4598000000,9728000000,1000000,0,1145000000,8531000000,9767000000,1231000000,1231000000,3.12,3.11,1,1006000000,-189000000,-520000000,312000000,1840000000,429000000,112.13,121.95,102.32,0.6466,0.2074,24.81,4.94,9.15,15.88,0.0738,0.877,0.3617,0.1483,1.4,1.47,2.6246
2017-12-31,394556328,394556328,1,26206000000,11738000000,17256000000,4777000000,8949000000,1000000,0,1138000000,8549000000,9135000000,1894000000,1894000000,4.79,4.8,0,1482000000,-502000000,-668000000,317000000,1528000000,430000000,103.91,111.62,96.2,0.6593,0.1965,22.68,5.6,11.11,14.88,0.0702,0.9553,0.3415,0.1415,1.39,2.67,2.4572
2017-09-30,394460282,394460282,1,25243000000,11062000000,17916000000,4612000000,7326000000,1000000,0,1050000000,8531000000,8516000000,1057000000,1057000000,2.67,2.67,0,1486000000,-200000000,-832000000,471000000,1211000000,318000000,91.62,100.69,82.54,0.5615,0.1552,18.57,5.28,10.2,14.88,0.0914,1.1645,0.2902,0.1132,1.37,2.96,2.3985
2017-06-30,395803946,395803946,1,24118000000,10075000000,17250000000,4131000000,6866000000,2000000,0,1058000000,8496000000,8403000000,1131000000,1131000000,2.82,2.81,0,1625000000,-515000000,-887000000,252000000,740000000,407000000,85.02,92.03,78.01,0.5724,0.1538,17.35,5.3,9.74,14.88,0.094,1.2374,0.2847,0.114,1.35,3.08,2.4389
2017-03-31,402805018,402805018,1,23768000000,9681000000,17281000000,4379000000,6462000000,25000000,0,1048000000,8419000000,8430000000,797000000,797000000,1.98,1.98,0.85,613000000,-539000000,-472000000,-390000000,485000000,392000000,91.65,97.64,85.66,0.5794,0.1532,16.04,6.1,10.05,14.88,0.095,1.3028,0.2719,0.1167,1.31,0.55,2.2108
