"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,763556377,763556377,1,46466600000,4964400000,53017500000,3379600000,-6550900000,0,0,2317800000,32892000000,2240500000,1328400000,1328400000,1.74,1.72,1.16,2020600000,-771300000,220700000,1423100000,2289100000,493000000,181.97,190.52,173.41,None,0.161,-8.58,None,24.13,39.71,0.5687,None,None,0.3242,0.5,2,1.4689
2018-12-31,765317332,765317332,1,32811200000,4053200000,39069600000,2973500000,-6258400000,0,0,0,31075300000,5163000000,1415300000,1415300000,1.83,1.82,0,1511600000,-883900000,-2311200000,-1708500000,866000000,849200000,176.35,190.88,161.82,None,0.1778,-8.18,None,26.76,38.55,0.5485,None,None,0.2818,0.63,0.87,1.3631
2018-09-30,770910250,770910250,1,34053700000,5553100000,40846300000,3626700000,-6792600000,0,0,2345000000,31895200000,5369400000,1637300000,1637300000,2.12,2.1,2.17,2471100000,-721300000,-768000000,951000000,2574500000,692500000,160.48,167.83,153.13,None,0.1551,-8.81,None,23.57,38.55,0.624,None,None,0.3201,0.48,2.31,1.5312
2018-06-30,775800409,775800409,1,32708400000,4355600000,38559400000,2970300000,-5851000000,0,0,2347200000,30687700000,5353900000,1496300000,1496300000,1.92,1.9,1.01,1338800000,-490800000,-1564200000,-844500000,1623500000,558500000,163.28,171.56,155.01,None,0.1643,-7.54,None,24.7,36.38,0.5741,None,None,0.3905,0.42,1.01,1.4664
2018-03-31,785177398,785177398,1,33722900000,4909300000,38441700000,2821400000,-4718800000,0,0,2404800000,30869500000,5138900000,1375400000,1375400000,1.74,1.72,1.01,1645200000,-359100000,-1306200000,4200000,2468000000,481100000,162.77,178.7,146.84,None,0.1611,-6.01,None,25.59,35.37,0.5808,None,None,0.4394,0.37,1.48,1.74
2017-12-31,794497880,794497880,1,33803700000,5327200000,37071700000,2890600000,-3268000000,0,0,0,29536400000,409100000,698700000,698700000,0.88,0.87,0,1109300000,-604000000,-747100000,-207400000,2463800000,626900000,165.79,175.78,155.8,None,0.1582,-4.11,None,23.82,34.36,0.5936,None,None,0.4082,0.39,0.61,1.8429
2017-09-30,797185588,797185588,1,32559600000,4790300000,36037200000,3740200000,-3477600000,0,0,2373300000,28402600000,3064300000,1883700000,1883700000,2.34,2.32,1.95,1684500000,1174700000,-2810000000,278800000,2671200000,357700000,156.75,161.72,151.77,None,0.1779,-4.36,None,25.53,34.36,0.6742,None,None,0.3115,0.57,1.66,1.2808
2017-06-30,809996613,809996613,1,32785200000,5892500000,34785800000,2743300000,-2000600000,0,0,2345200000,28150900000,3569600000,1395100000,1395100000,1.72,1.7,0.94,1213400000,-146800000,-1166500000,-19800000,2392400000,339900000,142.06,155.46,128.65,None,0.159,-2.47,None,24.97,32.41,0.5948,None,None,0.2353,0.68,1.08,2.148
2017-03-31,815070168,815070168,1,32120300000,5907200000,34151100000,3220700000,-2030800000,0,0,2299200000,26984200000,5675900000,1214800000,1214800000,1.48,1.47,0.94,1544000000,138100000,-587200000,1188800000,2412200000,362400000,124.19,130.19,118.18,None,0.1492,-2.49,None,22.79,31.47,0.6319,None,None,0.1969,0.76,1.45,1.8341
2016-12-31,818993182,818993182,1,31023900000,4848600000,33228200000,3468300000,-2204300000,0,0,2336500000,25878500000,6028900000,1219600000,1219600000,1.47,1.47,0.94,841000000,-170900000,-1397300000,-869300000,1223400000,143800000,117.16,124,110.33,None,0.1437,-2.69,None,22.15,30.53,0.6507,None,None,0.1903,0.75,0.85,1.398
2016-09-30,830443627,830443627,1,32486900000,4302100000,34111000000,4476700000,-1624100000,0,0,2504700000,26007000000,6424100000,1275400000,1275400000,1.52,1.5,0.89,2251100000,-351100000,-2775700000,-861300000,2266700000,301400000,121.28,128.6,113.96,None,0.1361,-1.96,161.71,23.37,29.59,0.6596,None,None,0.1874,0.73,2.35,0.961
2016-06-30,853361988,853361988,1,33146500000,5046600000,32506500000,2667200000,640000000,0,0,2498600000,26010000000,6265000000,1092900000,1092900000,1.27,1.25,0.89,1248400000,-203700000,-1136800000,-182100000,3128000000,182800000,124.02,131.96,116.08,0.9461,0.1366,0.75,28.19,23.85,28.7,0.6636,40.6406,0.0193,0.1873,0.73,1.25,1.8921
