"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2010-12-31,157600000,157600000,1,4232352000,2074567000,2008255000,1562121000,2224097000,0,0,1496761000,0,549564000,60572000,60572000,0.39,0.39,0,163738000,-318389000,39031000,-122052000,738419000,32424000,46.68,47.44,45.92,0.0891,0.0467,14.11,3.45,41.68,0,0,0,0.5255,0.0892,0.52,0.83,1.328
2010-09-30,154143786,154143786,1,3999209000,1865471000,1913001000,1508330000,2086208000,0,0,1513953000,0,523259000,46560000,46560000,0.3,0.3,0,139180000,-62140000,60290000,180927000,860471000,18156000,38.45,47.38,29.53,0.0873,0.0459,13.53,3.02,36.62,0,0,0,0.5217,0.0872,0.53,0.79,1.2368
2010-06-30,151933086,151933086,1,3738375000,1586834000,1804575000,1413149000,1933800000,0,0,1518059000,0,489239000,39404000,39404000,0.26,0.25,0,134461000,94171000,-149008000,48198000,679544000,18836000,36.17,41.72,30.63,0.0832,0.0437,12.73,2.8,36.91,0,0,0,0.5173,0.084,0.52,0.76,1.1229
2010-03-31,156018166,156018166,1,3808407000,1645383000,1791101000,1399254000,2017306000,0,0,1536653000,0,502745000,37576000,37576000,0.24,0.23,0,157261000,-12396000,-165953000,-45791000,631346000,17489000,39.25,42,36.51,0.0779,0.0409,12.93,2.94,36.01,0,0,0,0.5297,0.0795,0.52,0.9,1.1759
2009-12-31,158693872,158693872,1,3963186000,1763317000,1845648000,1436085000,2117538000,0,0,1577157000,0,525666000,54522000,54522000,0.35,0.34,0,145165000,-20277000,-82391000,37764000,677137000,16134000,41.41,45.68,37.15,0.0879,0.0458,13.34,3.24,39.82,0,0,0,0.5343,0.09,0.51,0.81,1.2279
2009-09-30,157727804,157727804,1,3908543000,1763099000,1889873000,1512081000,2018670000,0,0,1610883000,0,485271000,36789000,36789000,0.23,0.23,0,151812000,-183443000,9507000,-7313000,639373000,20922000,42.08,45.52,38.64,0.0873,0.0449,12.8,3.41,37.57,0,0,0,0.5165,0.09,0.5,0.83,1.166
2009-06-30,157199850,157199850,1,3710919000,1707996000,1772670000,1403945000,1938249000,0,0,1464864000,0,468686000,28653000,28653000,0.18,0.18,0,53431000,-64135000,47504000,60889000,646686000,12450000,37.75,42.57,32.93,0.098,0.0507,12.33,3.22,30.44,0,0,0,0.5223,0.1008,0.5,0.26,1.2166
2009-03-31,155372744,155372744,1,3573276000,1574002000,1754527000,1404710000,1818749000,0,0,1451224000,0,447709000,53456000,53456000,0.35,0.34,0,145976000,-119977000,95494000,102495000,585797000,11029000,30.77,34.9,26.65,0.1119,0.0579,11.71,2.71,28.49,0,0,0,0.509,0.1165,0.5,0.87,1.1205
2008-12-31,154100000,154100000,1,3457881000,1404788000,1705393000,1328628000,1752488000,0,0,1485419000,0,423987000,45406000,45406000,0.29,0.29,0,69844000,-183667000,10004000,-127519000,483302000,14002000,29.85,34.98,24.72,0.0972,0.0515,11.37,2.7,34.71,0,0,0,0.5068,0.1076,0.48,0.36,1.0573
2008-09-30,152641880,152641880,1,3159945000,1463309000,1473345000,1158754000,1686600000,0,0,999165000,0,409679000,48808000,48808000,0.32,0.31,0,87476000,67695000,-98578000,8195000,610821000,13744000,35.8,40.97,30.63,0.0768,0.0417,11.05,3.12,38.09,0,0,0,0.5337,0.0907,0.46,0.48,1.2628
2008-06-30,151288497,151288497,1,3310466000,1537573000,1577389000,1247808000,1733077000,0,0,1011709000,0,396758000,47826000,47826000,0.3,0.3,0,79628000,293881000,-219410000,148314000,602626000,10508000,34.27,37.82,30.71,0.0827,0.046,11.46,2.88,36.85,0,0,0,0.5235,0.1063,0.43,0.46,1.2322
2008-03-31,160997535,160997535,1,3435184000,1471528000,1520422000,1189040000,1914762000,0,0,1031659000,0,369641000,30169000,30169000,0.19,0.18,0,71374000,22317000,-63978000,60154000,454312000,10493000,32.6,37.4,27.8,0.0821,0.0469,11.89,2.78,31.96,0,0,0,0.5574,0.1128,0.42,0.38,1.2376
2007-12-31,162300000,162300000,1,3414103000,1407746000,1508778000,1177601000,1905325000,0,0,970215000,0,356526000,12185000,12185000,0.07,0.07,0,91738000,-220038000,10873000,-106181000,394158000,7864000,38.17,41.66,34.69,0.0912,0.0527,11.74,3.25,32.62,0,0,0,0.5581,0.1276,0.41,0.52,1.1954
2007-09-30,159908615,159908615,1,3193751000,1425825000,1318395000,1034369000,1875356000,0,0,625474000,0,321986000,63401000,63401000,0.4,0.39,0,114576000,-175121000,0,-42245000,500339000,6854000,34.86,38.24,31.47,0.1117,0.0633,11.73,3.09,35.21,0,0,0,0.5872,0.1516,0.42,0.67,1.3784
2007-06-30,159908615,159908615,1,3079011000,1354108000,1277610000,1017092000,1801401000,0,0,635108000,0,314830000,48044000,48044000,0.3,0.29,0,85320000,-23334000,0,65705000,542584000,8700000,33.38,37.86,28.89,0.102,0.0561,11.27,3.07,38.81,0,0,0,0.5851,0.132,0.43,0.48,1.3314
2007-03-31,159908615,159908615,1,2994988000,1310109000,1254789000,991485000,1740199000,0,0,645596000,0,314878000,43350000,43350000,0.27,0.27,0,101781000,-18277000,-184000,87252000,476879000,10150000,29.77,31.8,27.74,0.0954,0.0508,10.88,3.33,35.44,0,0,0,0.581,0.1178,0.43,0.57,1.3214
2006-12-31,159908615,159908615,1,2800270000,1176632000,1373021000,1030379000,1427249000,0,0,644051000,0,308522000,36293000,36293000,0.23,0.22,0,86216000,-89545000,150000,7665000,389627000,13044000,27.26,30.5,24.01,0.1014,0.0525,8.93,3.17,32.07,0,0,0,0.5097,0.12,0.44,0.46,1.1419
2006-09-30,159908615,159908615,1,2652883000,1227476000,1276195000,942931000,1376688000,0,0,564573000,0,287063000,34090000,34090000,0.21,0.21,0,79275000,-77375000,2297000,8053000,381962000,8739000,22.34,25.15,19.52,0.1026,0.0542,8.61,2.7,29.01,0,0,0,0.5189,0.1283,0.42,0.44,1.3018
2006-06-30,159908615,159908615,1,2572040000,1333172000,1247677000,895929000,1324363000,0,0,573181000,0,277606000,26198000,26198000,0.16,0.16,0,76624000,-147903000,9360000,-56603000,373909000,11777000,24.76,27.52,22,0.0934,0.0506,8.28,3.05,28.79,0,0,0,0.5149,0.1215,0.42,0.41,1.488
