"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,662618001,662618001,1,96436000000,18151000000,52574000000,15147000000,33951000000,9911000000,0,20229000000,27565000000,28615000000,-7000000,-7000000,-0.01,-0.01,0.53,1623000000,-1520000000,-920000000,-817000000,908000000,1241000000,62.81,68.74,56.88,0.1102,0.0372,51.24,1.2,11.83,8.78,0.4338,0.8119,0.3521,0.0257,1.45,0.58,1.1983
2018-12-31,673619190,673619190,1,92940000000,18023000000,47887000000,13216000000,35175000000,9878000000,0,23498000000,26980000000,32333000000,951000000,951000000,1.38,1.34,0.46,2727000000,-4775000000,-1222000000,-3270000000,1725000000,-1348000000,70.42,86.56,54.29,0.1385,0.0448,52.22,3.21,8.74,8.25,0.377,0.767,0.3785,0.0287,1.56,6.05,1.3637
2018-09-30,690853526,690853526,1,53031000000,15873000000,32997000000,9634000000,15166000000,4868000000,0,3713000000,18423000000,23132000000,737000000,737000000,1.63,1.62,0.46,1182000000,-1377000000,186000000,-9000000,4995000000,1794000000,78.31,88.45,68.18,0.2598,0.0753,21.95,2.36,9.54,7.79,0.2416,1.2148,0.286,0.0449,1.68,-0.89,1.6476
2018-06-30,451004632,451004632,1,51736000000,15548000000,31915000000,9715000000,14958000000,4863000000,0,3586000000,17241000000,22445000000,1055000000,1054000000,2.3,2.27,0.46,2386000000,-740000000,-1299000000,347000000,5004000000,1629000000,76.18,83.33,69.03,0.2817,0.081,33.17,2.35,11.09,7.33,0.201,1.1526,0.2891,0.049,1.65,1.68,1.6004
2018-03-31,461878776,461878776,1,50364000000,14525000000,30501000000,8372000000,14988000000,4875000000,0,3586000000,17232000000,18984000000,37000000,37000000,0.08,0.08,0.46,-137000000,-778000000,2557000000,1642000000,4657000000,1503000000,68.19,74.92,61.46,0.2519,0.0718,32.45,2.31,9.95,6.87,0.2271,1.1497,0.2976,0.0442,1.62,-3.55,1.7349
2017-12-31,476059729,476059729,1,49047000000,13401000000,27219000000,10478000000,14033000000,7795000000,0,4312000000,12322000000,21055000000,2016000000,2014000000,4.14,4.09,0.4,2746000000,-779000000,-1044000000,923000000,3011000000,1760000000,61.16,67.07,55.25,0.2605,0.0734,29.48,2.31,19.17,6.41,0.2201,0.8781,0.2861,0.0456,1.61,2.07,1.279
2017-09-30,488412170,488412170,1,46806000000,11631000000,26004000000,7647000000,12930000000,7872000000,0,3586000000,12753000000,19386000000,903000000,903000000,1.79,1.77,0.4,1901000000,-603000000,-660000000,638000000,2088000000,1454000000,53.05,56.81,49.3,0.1259,0.036,26.47,2.13,31.39,6.01,0.4591,0.9863,0.2762,0.023,1.56,0.92,1.521
2017-06-30,506253878,506253878,1,45447000000,10443000000,24883000000,6758000000,12636000000,7928000000,0,3586000000,12577000000,18354000000,483000000,483000000,0.94,0.93,0.36,849000000,-656000000,-910000000,-717000000,1450000000,1439000000,51.49,55.2,47.78,0.0672,0.0198,24.96,2.04,22.68,5.61,0.8463,0.9953,0.278,0.0166,1.19,-1.17,1.5453
2017-03-31,518737401,518737401,1,45821000000,11042000000,25024000000,6866000000,13070000000,7727000000,0,3586000000,12570000000,16393000000,30000000,30000000,0.06,0.06,0.36,1113000000,-1356000000,1523000000,1280000000,2167000000,1935000000,50.73,54.59,46.88,0.0898,0.0271,25.2,1.97,22.95,5.25,0.6123,0.9617,0.2852,0.0332,0.81,-1.58,1.6082
2016-12-31,527782929,527782929,1,44413000000,10401000000,23210000000,7146000000,13557000000,7646000000,0,4312000000,10544000000,17155000000,227000000,227000000,0.43,0.43,0.36,991000000,-724000000,-89000000,178000000,887000000,1582000000,45.58,51.15,40.01,0.088,0.0271,25.69,1.8,21.3,4.89,0.6128,0.7778,0.3052,0.056,0.48,-1.12,1.4555
