"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,173626998,173626998,1,11983117000,2638244000,6656440000,1638230000,4948776000,377901000,0,0,3110098000,591004000,40182000,40182000,0.23,0.23,0.25,217197000,-270338000,-68986000,-73642000,286281000,270338000,26.8,31.13,22.47,0.0589,0.0263,28.5,0.96,11.36,32.28,0.612,0.6285,0.413,0.1099,0.24,-0.31,1.6104
2018-12-31,173058829,173058829,1,11052587000,879814000,5854945000,846058000,4829299000,368343000,0,0,1027423000,692007000,103379000,103379000,0.61,0.6,0.25,222451000,-1038817000,271630000,-560359000,387373000,244194000,29.02,36.53,21.51,0.0867,0.0401,27.91,1.05,322.44,32.03,0.421,0.2127,0.4369,0.1599,0.25,-0.13,1.0399
2018-09-30,173056234,173056234,1,10026620000,1381286000,5259692000,875514000,4766928000,0,0,0,2903899000,674797000,93944000,93944000,0.54,0.54,0.25,372399000,-242707000,-45779000,46424000,947732000,242707000,32,34.87,29.13,0.0045,0.0021,27.55,1.19,None,31.78,8.2638,0.6092,0.4754,0.0085,0.25,0.75,1.5777
2018-06-30,173047246,173047246,1,9945449000,1315355000,5273811000,903557000,4671638000,0,0,0,2897345000,618194000,45518000,45518000,0.26,0.26,0.25,346025000,-340880000,-45783000,-37307000,901308000,340880000,30.18,35.98,24.39,-0.0293,-0.0139,27,1.11,None,31.53,None,0.6202,0.4697,None,0.23,0.03,1.4558
2018-03-31,173038005,173038005,1,9938210000,1308043000,5245903000,866071000,4692307000,0,0,0,2898850000,585605000,168253000,168253000,0.97,0.96,0.25,278521000,-273641000,-52304000,-26373000,938615000,273641000,29.82,35.16,24.48,-0.0419,-0.0201,27.12,1.11,None,31.28,None,0.6178,0.4721,None,0.21,0.03,1.5103
2017-12-31,172572873,172572873,1,9860942000,1371603000,5240751000,834207000,4620191000,0,0,0,2906520000,587694000,-286789000,-286789000,-1.67,-1.67,0.25,308878000,-302890000,-45331000,-32219000,964988000,302890000,28.33,32.13,24.52,-0.0638,-0.0308,26.77,0.98,None,31.03,None,0.6291,0.4685,None,0.22,0.03,1.6442
2017-09-30,172572873,172572873,1,10192759000,1447157000,5212625000,831530000,4980134000,0,0,0,2908285000,498319000,-65893000,-65893000,-0.38,-0.38,0.25,240240000,-233285000,-67049000,-61280000,997207000,269920000,24.96,27.71,22.21,-0.0179,-0.0087,28.86,0.87,None,30.78,None,0.584,0.4886,None,0.21,-0.17,1.7404
2017-06-30,172572873,172572873,1,10136801000,1540583000,5159113000,1357642000,4977688000,0,0,0,2367059000,474497000,-17571000,-17571000,-0.1,-0.1,0.25,285949000,-48834000,-46738000,182634000,1058487000,219817000,26.5,29.39,23.61,-0.0079,-0.0038,28.84,0.92,None,30.53,None,0.4755,0.4911,None,0.21,0.38,1.1347
2017-03-31,172546147,172546147,1,10271987000,1609856000,5313504000,1468649000,4958483000,0,0,0,2421611000,664619000,58464000,58464000,0.34,0.34,0.25,305513000,-246985000,-58604000,3056000,875853000,147534000,28.92,32.62,25.22,-0.0037,-0.0018,28.74,1.01,None,30.28,None,0.4884,0.4827,None,0.21,0.92,1.0961
2016-12-31,172396581,172396581,1,10295860000,1559183000,5379181000,1502432000,4916679000,0,0,0,2422750000,505839000,-63922000,-63922000,-0.37,-0.37,0.35,317615000,-141284000,-42972000,119704000,872797000,144759000,29.65,34.3,25,-0.0542,-0.0262,28.52,1,None,30.03,None,0.4928,0.4775,None,0.18,1,1.0378
2016-09-30,172200075,172200075,1,10394015000,1605124000,5308427000,914201000,5085588000,0,0,0,2973888000,500533000,-16176000,-16176000,-0.09,-0.09,0.25,164617000,-163887000,484121000,485610000,753093000,175783000,28.87,33.35,24.39,-0.1539,-0.0739,29.53,0.96,None,29.68,None,0.5848,0.4893,None,0.19,-0.06,1.7558
2016-06-30,172199108,172199108,1,9914632000,1037855000,4742939000,880749000,5171693000,0,0,0,2435486000,437462000,2930000,2930000,0.02,0.02,0.25,72939000,785206000,-1039021000,-157892000,267483000,-758734000,30.38,37.48,23.29,-0.4382,-0.2091,30.03,1,None,29.43,None,0.4709,0.5216,None,0.2,4.83,1.1784
2016-03-31,172195169,172195169,1,11460697000,1698930000,6255609000,1377755000,5205088000,0,0,0,3409518000,430295000,-198802000,-198802000,-1.16,-1.16,0.35,45624000,-193948000,306991000,139880000,423063000,209996000,21.59,27.94,15.23,-0.4024,-0.1936,30.23,0.7,None,29.18,None,0.655,0.4542,None,0.2,-0.95,1.2331
2015-12-31,172034472,172034472,1,11493812000,1448416000,6187084000,1674629000,5306728000,0,0,0,3040594000,658094000,-587132000,-587132000,-3.41,-3.41,0.35,76702000,-338528000,-348487000,-595484000,283183000,574598000,26.37,31.03,21.71,-0.3314,-0.1669,30.85,0.75,None,28.83,None,0.573,0.4617,None,0.22,-2.89,0.8649
2015-09-30,172024733,172024733,1,12627962000,2165803000,6599508000,1651235000,6028454000,0,0,0,3327689000,714949000,-1595426000,-1595426000,-9.26,-9.26,0.35,461896000,-586104000,-662000,-30601000,878667000,540718000,32.59,41.42,23.76,-0.1706,-0.0877,35.04,0.72,10.97,28.48,None,0.552,0.4774,None,0.25,-0.46,1.3116
2015-06-30,172751942,172751942,1,15149964000,2499433000,7283918000,1806788000,7866046000,0,0,0,3264868000,738290000,-73834000,-73834000,-0.42,-0.42,0.35,160781000,-621122000,353430000,-71734000,909268000,603911000,45.99,50.56,41.42,0.0645,0.0328,45.53,1,11.19,28.13,0.4637,0.4151,0.5192,0.1184,0.28,-2.57,1.3834
2015-03-31,177969015,177969015,1,15160837000,2588188000,6956359000,2176919000,8204478000,0,0,0,2591709000,921747000,-14441000,-14441000,-0.08,-0.08,0.35,468985000,-371053000,-368842000,-212306000,981002000,406598000,47.59,51.77,43.4,0.0877,0.0435,46.1,0.99,9.44,27.78,0.3289,0.3159,0.5412,0.144,0.3,0.35,1.1889
2014-12-31,177501534,177501534,1,16742307000,3279149000,8168873000,3147887000,8573434000,0,0,0,2536238000,1407626000,375239000,375239000,2.11,2.1,0.35,655059000,801972000,-1037292000,418497000,1193308000,-591149000,50.26,56.13,44.39,0.1076,0.0517,48.3,1.06,15.14,27.43,0.2604,0.2958,0.5121,0.1654,0.31,7.02,1.0417
2014-09-30,177494772,177494772,1,17845766000,3287118000,9443258000,2620217000,8402508000,0,0,38198000,3986261000,1433037000,245707000,245707000,1.38,1.37,0.35,894334000,-1008165000,137716000,12935000,674021000,966112000,61.97,67.75,56.18,0.0719,0.0342,47.34,1.31,17.91,27.08,0.3805,0.4744,0.4708,0.1122,0.31,-0.4,1.2545
