"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2012-03-31,72168068,72168068,1,2074918000,1554040000,846766000,518099000,801222000,426930000,0,137446000,106048000,326722000,44446000,44446000,0.63,0.59,0,32762000,-275899000,60844000,-180927000,343974000,5240000,45.36,50.54,40.18,0.202,0.1013,11.1,2.91,14.54,0,0,0.1324,0.3861,0.157,0.65,0.38,2.9995
2011-12-31,70634645,70634645,1,1936635000,1409139000,836105000,232231000,1100530000,0,0,137578000,375361000,282711000,38506000,38506000,0.58,0.56,0,84658000,12153000,77484000,171774000,524901000,3250000,33.81,41.4,26.22,0.2242,0.1319,15.58,2.32,9.8,0,0,0.3411,0.5683,0.1853,0.71,1.15,6.0678
2011-09-24,66589390,66589390,1,1873273000,1261016000,903092000,251632000,970181000,0,0,139121000,379526000,306731000,51082000,51082000,0.74,0.73,0,99703000,-117000,-149910000,-53112000,353127000,5642000,31.57,36.9,26.24,0.2499,0.1567,14.57,2.06,8.92,0,0,0.3912,0.5179,0.2019,0.78,1.41,5.0113
2011-06-25,69629867,69629867,1,1965559000,1344790000,900914000,240448000,1064645000,0,0,140957000,385195000,350223000,64733000,64733000,0.81,0.79,0,95178000,-36755000,71747000,130900000,406239000,4828000,34.19,37.46,30.91,0.2569,0.1744,15.29,2.28,10.03,0,0,0.3618,0.5416,0.2105,0.83,1.3,5.5929
2011-03-26,89307628,89307628,1,1827031000,1202836000,489323000,266451000,1337708000,0,0,126170000,112798000,413185000,96358000,96358000,1.07,1.04,0,83765000,44994000,-102614000,28284000,275339000,5039000,36.28,41.69,30.87,0.2497,0.1827,14.98,2.46,12.96,0,0,0.0843,0.7322,0.2136,0.86,0.88,4.5143
2010-12-31,90180509,90180509,1,1832397000,1202401000,504259000,291011000,1328138000,0,0,125043000,105592000,384357000,81503000,81503000,0.92,0.89,0,88409000,-38346000,-11108000,39168000,247055000,6992000,29.39,33,25.78,0.2114,0.1561,14.73,2.15,12.89,0,0,0.0795,0.7248,0.1944,0.8,0.9,4.1318
2010-09-25,90187631,90187631,1,1688244000,1072362000,453189000,251907000,1235055000,0,0,125223000,106773000,367203000,76265000,76265000,0.83,0.82,0,81758000,-2696000,-38325000,43208000,207887000,6261000,25.76,28.26,23.25,0.1794,0.134,13.69,2,18.14,0,0,0.0865,0.7316,0.1787,0.75,0.84,4.257
2010-06-26,91913821,91913821,1,1600270000,983656000,415926000,224423000,1184344000,0,0,123903000,98329000,321369000,63308000,63308000,0.67,0.66,0,104205000,-35683000,-101735000,-33991000,164679000,2962000,26.2,28.47,23.93,0.1147,0.0864,12.89,2.07,109.17,0,0,0.083,0.7401,0.1332,0.65,1.1,4.383
2010-03-27,96049896,96049896,1,1602123000,967214000,385326000,187566000,1216797000,0,0,204311000,106227000,276229000,41256000,41256000,0.43,0.43,0,62048000,8964000,-12434000,56623000,198670000,3693000,23.1,25.31,20.9,0.019,0.0145,12.67,1.88,None,0,0,0.0873,0.7595,0.0274,0.53,0.61,5.1567
2009-12-31,95874987,95874987,1,1558978000,897822000,379201000,171494000,1179777000,0,0,210177000,114147000,244194000,35191000,35191000,0.37,0.37,0,38294000,-44375000,-22356000,-29145000,142047000,2780000,22.02,24.49,19.55,-0.0728,-0.0558,12.31,1.85,None,0,None,0.0968,0.7568,None,0.42,0.37,5.2353
