"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-30,546277691,546277691,1,7471000000,3502000000,5365000000,3233000000,2106000000,0,0,1331000000,632000000,2769000000,8000000,8000000,0.01,0.01,0.025,60000000,-52000000,-64000000,-54000000,606000000,46000000,3.16,3.82,2.5,0.0331,0.0107,3.86,0.8,16.63,0.24,0.7326,0.3001,0.2819,0.0065,1.66,0.03,1.0832
2018-12-29,540977359,540977359,1,6166000000,2683000000,4040000000,2185000000,2126000000,0,0,1336000000,690000000,2670000000,-13000000,-13000000,-0.02,-0.02,0.02,61000000,-68000000,-255000000,-267000000,660000000,51000000,2.85,3.63,2.08,0.0482,0.0164,3.93,0.71,23.75,0.21,0.503,0.3246,0.3448,0.0094,1.74,0.02,1.2279
2018-09-29,547197827,547197827,1,6472000000,3010000000,4275000000,2228000000,2197000000,0,0,1342000000,887000000,2887000000,60000000,60000000,0.11,0.11,0.025,304000000,-76000000,-52000000,177000000,927000000,47000000,2.92,3.44,2.4,0.0306,0.0103,4.02,0.75,16.22,0.2,0.7966,0.4037,0.3395,0.006,1.71,0.47,1.351
2018-06-30,554453337,554453337,1,6359000000,2916000000,4203000000,2120000000,2156000000,0,0,1319000000,903000000,2628000000,16000000,16000000,0.03,0.03,0.025,45000000,-3000000,-66000000,-27000000,750000000,37000000,2.55,3.11,2,0.0463,0.016,3.89,0.66,12.75,0.17,0.5286,0.4188,0.339,0.0092,1.74,0.01,1.3755
2018-03-31,557846581,557846581,1,6390000000,2928000000,4215000000,2106000000,2157000000,18000000,0,1330000000,918000000,2830000000,41000000,41000000,0.07,0.07,0.025,217000000,-36000000,-41000000,138000000,777000000,37000000,2.84,3.66,2.02,0.0511,0.018,3.87,0.74,8.11,0.15,0.4802,0.4256,0.3376,0.0102,1.77,0.32,1.3903
2017-12-30,554488284,554488284,1,6323000000,2871000000,4185000000,2046000000,2120000000,18000000,0,1299000000,936000000,2581000000,-51000000,-51000000,-0.09,-0.09,0.02,40000000,-899000000,672000000,-188000000,636000000,77000000,3.81,4.65,2.97,0.0895,0.0321,3.82,0.96,4.43,0.12,0.2755,0.4415,0.3353,0.0177,1.82,-0.07,1.4032
2017-09-30,516118302,516118302,1,5397000000,2832000000,3355000000,1858000000,2042000000,0,0,413000000,265000000,2620000000,92000000,92000000,0.18,0.17,0.025,282000000,-154000000,-127000000,4000000,824000000,9000000,5.11,6.26,3.95,0.2357,0.0846,3.96,1.34,6.64,0.1,0.0841,0.1298,0.3784,0.0508,1.67,0.53,1.5242
2017-07-01,518406220,518406220,1,5412000000,2912000000,3437000000,1827000000,1975000000,0,0,395000000,347000000,2363000000,24000000,24000000,0.05,0.05,0.025,34000000,23000000,-42000000,18000000,820000000,25000000,5.17,5.76,4.58,0.2165,0.0742,3.81,1.37,4.7,0.08,0.0946,0.1757,0.3649,0.0444,1.67,0.02,1.5939
2017-04-01,516639998,516639998,1,5435000000,2924000000,3481000000,1846000000,1954000000,0,0,395000000,353000000,2676000000,116000000,116000000,0.22,0.22,0.025,102000000,-71000000,-38000000,-5000000,802000000,30000000,4.55,4.95,4.15,0.3188,0.104,3.78,1.26,4.74,0.05,0.0436,0.1807,0.3595,0.059,1.76,0.14,1.584
2016-12-31,514820686,514820686,1,5540000000,2973000000,3688000000,2031000000,1852000000,0,0,396000000,358000000,1423000000,229000000,229000000,0.45,0.42,0,36000000,-93000000,-69000000,-136000000,807000000,40000000,4.12,5.22,3.01,0.293,0.0896,3.6,1.18,7.23,0.03,0.025,0.1933,0.3343,0.048,1.87,-0.01,1.4638
2016-09-24,528383116,528383116,1,5881000000,3400000000,4032000000,2322000000,1849000000,0,0,401000000,360000000,2836000000,44000000,44000000,0.08,0.08,0.025,186000000,-24000000,-338000000,-175000000,943000000,22000000,3.48,3.86,3.11,0.1807,0.0514,3.5,1.02,6.96,0.03,0.0419,0.1947,0.3144,0.0241,2.13,0.31,1.4643
2016-06-25,543929704,543929704,1,6173000000,3845000000,4313000000,2289000000,1860000000,0,0,425000000,617000000,3218000000,210000000,210000000,0.38,0.38,0,287000000,-12000000,-37000000,238000000,1118000000,23000000,5.54,7.91,3.18,0.1653,0.0441,3.42,1.83,554,0,0,0.3317,0.3013,0.0199,2.22,0.49,1.6798
2016-03-26,550112142,550112142,1,6034000000,3696000000,4373000000,2315000000,1661000000,0,0,429000000,624000000,3544000000,46000000,46000000,0.08,0.08,0,-139000000,-25000000,-26000000,-190000000,879000000,26000000,6.02,7.2,4.83,0.0056,0.0014,3.02,2.06,602,0,0,0.3757,0.2753,0.0006,2.24,-0.3,1.5965
2015-12-26,548986561,548986561,1,6442000000,4060000000,4839000000,2743000000,1603000000,0,0,432000000,634000000,3478000000,15000000,15000000,0.03,0.03,0,126000000,-7000000,-8000000,111000000,1069000000,40000000,6.62,7.99,5.24,0.005,0.0012,2.92,2.3,None,0,0,0.3955,0.2488,0.0006,2.24,0.16,1.4801
2015-09-26,548727485,548727485,1,6459000000,4025000000,4879000000,2652000000,1580000000,0,0,454000000,643000000,3690000000,6000000,6000000,0.01,0.01,0,135000000,-28000000,-8000000,91000000,958000000,52000000,7.81,8.98,6.64,-0.0568,-0.0139,2.88,2.7,None,0,None,0.407,0.2446,None,2.26,0.15,1.5177
2015-06-27,548138078,548138078,1,6360000000,3878000000,4777000000,2511000000,1583000000,0,0,460000000,648000000,3440000000,-58000000,-58000000,-0.11,-0.11,0,-89000000,31000000,-1000000,-60000000,867000000,44000000,9.11,9.41,8.8,-0.0412,-0.0103,2.89,3.07,None,0,None,0.4093,0.2489,None,2.29,-0.24,1.5444
2015-03-28,546282587,546282587,1,6548000000,4009000000,4926000000,2639000000,1622000000,0,0,464000000,658000000,3877000000,45000000,45000000,0.08,0.08,0,-46000000,-70000000,-8000000,-144000000,927000000,27000000,8.59,9.77,7.4,-0.1174,-0.0295,2.97,2.89,None,0,None,0.4057,0.2477,None,2.3,-0.13,1.5191
2014-12-27,545374602,545374602,1,6844000000,4218000000,5223000000,2893000000,1621000000,0,0,463000000,674000000,3832000000,-84000000,-84000000,-0.14,-0.14,0,121000000,-29000000,25000000,106000000,1071000000,33000000,6.58,8.9,4.26,-0.198,-0.0511,2.97,1.99,None,0,None,0.4158,0.2368,None,2.32,0.16,1.458
2014-09-27,538621477,538621477,1,6780000000,4089000000,5001000000,2751000000,1778000000,1000000,0,481000000,680000000,4069000000,29000000,29000000,0.05,0.05,0,197000000,16000000,-1000000,193000000,965000000,24000000,5.37,5.91,4.83,-0.2184,-0.055,3.3,1.61,None,0,None,0.3825,0.2622,None,2.22,0.32,1.4864
