"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,529210278,529210278,1,82287000000,10693000000,69158000000,4808000000,12877000000,252000000,258000000,0,0,4011000000,136000000,136000000,0.25,0.25,0,2244000000,-1247000000,300000000,1297000000,2972000000,1224000000,14.95,24.83,5.07,-0.4562,-0.0951,23.84,0.64,None,26.43,None,0,0.1534,None,0.22,1.93,2.224
2018-12-31,527561429,527561429,1,76995000000,9195000000,64092000000,41695000000,12651000000,252000000,258000000,0,9000000,4088000000,-6869000000,-6873000000,-13.21,-13.21,0,516000000,-1947000000,2669000000,1238000000,1675000000,1995000000,33.34,49.42,17.26,-0.3937,-0.0955,23.49,0.9,128.23,26.43,None,0.0007,0.161,None,0.23,-2.8,0.2205
2018-09-30,518674276,518674276,1,71385000000,6349000000,51689000000,9489000000,19444000000,252000000,258000000,0,18407000000,4381000000,567000000,564000000,1.09,1.09,0,1483000000,-1722000000,152000000,-87000000,430000000,1695000000,44.63,48.69,40.57,0.0071,0.0022,36.99,1.24,185.96,26.43,0,0.9594,0.2688,0.0081,0.24,-0.41,0.6691
2018-06-30,517151337,517151337,1,69889000000,6367000000,50828000000,9786000000,18809000000,252000000,258000000,0,17612000000,4234000000,-980000000,-984000000,-1.91,-1.91,0,1241000000,-1420000000,552000000,373000000,517000000,1427000000,43.45,48.9,38.01,0.0064,0.002,35.87,1.15,14.78,26.43,2.2348,0.9494,0.2654,0.0072,0.24,-0.36,0.6506
2018-03-31,516427502,516427502,1,68154000000,5855000000,48171000000,6920000000,19731000000,252000000,258000000,0,17407000000,4056000000,445000000,442000000,0.86,0.86,0,1512000000,-1475000000,-342000000,-305000000,144000000,1470000000,42.15,47,37.3,0.08,0.022,37.71,1.14,13.13,26.43,0.3601,0.8939,0.2857,0.0893,0.24,0.08,0.8461
2017-12-31,514969045,514969045,1,68012000000,6281000000,48540000000,7129000000,19220000000,252000000,258000000,0,17760000000,4100000000,118000000,114000000,0.23,0.22,0,1240000000,-1700000000,718000000,258000000,449000000,1786000000,55.64,69.67,41.61,0.0887,0.0238,36.82,1.52,12.79,26.43,0.4829,0.9366,0.2788,0.0961,0.25,-1.06,0.881
2017-09-30,514422806,514422806,1,71526000000,6383000000,52240000000,7473000000,19034000000,252000000,258000000,0,16619000000,4517000000,553000000,550000000,1.07,1.07,0.53,1981000000,-1461000000,-507000000,13000000,191000000,1464000000,68.2,71.57,64.84,0.122,0.032,36.5,1.9,16.84,26.43,0.4693,0.8851,0.2625,0.1253,0.25,1.01,0.8541
2017-06-30,512821658,512821658,1,70055000000,6071000000,51164000000,6948000000,18639000000,252000000,258000000,0,16616000000,4250000000,410000000,406000000,0.79,0.79,0.53,1182000000,-1254000000,86000000,14000000,178000000,1258000000,67.73,70.32,65.14,0.1158,0.0303,35.84,1.91,18.46,25.9,0.4941,0.904,0.2624,0.1143,0.26,-0.15,0.8738
2017-03-31,511000943,511000943,1,69164000000,5980000000,50559000000,6538000000,18353000000,252000000,258000000,0,16813000000,4268000000,579000000,576000000,1.13,1.13,0.49,1574000000,-1235000000,-352000000,-13000000,164000000,1216000000,64.09,68.29,59.89,0.1074,0.0278,35.41,1.84,23.22,25.37,0.5324,0.9292,0.2616,0.1037,0.27,0.7,0.9147
2016-12-31,507782249,507782249,1,68598000000,6164000000,50406000000,7564000000,17940000000,252000000,258000000,0,16238000000,4713000000,696000000,692000000,1.37,1.36,0.49,1161000000,-1443000000,388000000,106000000,177000000,1581000000,60.08,62.12,58.04,0.0824,0.0212,34.82,1.78,35.98,24.88,0.6956,0.9183,0.2578,0.0789,0.27,-0.83,0.8149
