"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-15,1398169503,1398169503,1,75084000000,17212000000,61047000000,19928000000,13952000000,85000000,0,29780000000,27712000000,16449000000,2035000000,2035000000,1.45,1.44,0.955,1733000000,-971000000,-2563000000,-1834000000,3471000000,685000000,127.4,134.71,120.08,0.9668,0.1696,9.98,12.58,14.4,40.93,0.4102,1.9862,0.1858,0.1959,0.87,0.75,0.8637
2019-03-23,1401821663,1401821663,1,75466000000,17917000000,61170000000,19090000000,14202000000,94000000,0,29279000000,28458000000,12884000000,1413000000,1413000000,1.01,1,0.9275,-345000000,-2300000000,-2876000000,-5464000000,5305000000,440000000,114.01,121.29,106.73,None,0.1648,10.13,11.03,12.97,39.98,0.4154,2.0038,0.1882,0.1937,0.85,-0.56,0.9386
2018-12-29,1404686108,1404686108,1,77648000000,21893000000,63046000000,22138000000,14518000000,84000000,0,30633000000,28295000000,19524000000,6854000000,6854000000,4.87,4.82,0.93,4683000000,-1034000000,-4898000000,-1274000000,10769000000,1689000000,113.27,122,104.53,None,0.1605,10.34,15.54,32.64,39.05,0.4051,1.949,0.187,0.1935,0.83,2.13,0.9889
2018-09-08,1411568000,1411568000,1,73632000000,25842000000,63243000000,19704000000,10286000000,103000000,0,27798000000,30643000000,16485000000,2498000000,2498000000,1.77,1.75,0.9275,3645000000,1771000000,-7213000000,-1851000000,12043000000,557000000,111.63,118.44,104.83,0.4676,0.0631,7.29,15.61,34.78,38.12,0.99,2.9791,0.1397,0.0765,0.82,2.19,1.3115
2018-06-16,1414321635,1414321635,1,78731000000,30370000000,68510000000,24558000000,10111000000,110000000,0,28221000000,30638000000,16090000000,1820000000,1820000000,1.28,1.28,0.9275,2396000000,2431000000,-4340000000,419000000,13894000000,559000000,103.56,111.18,95.94,0.4039,0.0577,7.15,13.48,30.55,37.19,1.0307,3.0302,0.1284,0.0713,0.81,1.3,1.2367
2018-03-24,1417848788,1417848788,1,81887000000,33047000000,70902000000,25885000000,10883000000,102000000,0,28638000000,31931000000,12562000000,1343000000,1341000000,0.94,0.94,0.805,-1309000000,1396000000,2682000000,2818000000,13475000000,343000000,114.22,122.51,105.94,0.4071,0.0616,7.68,14.68,33.99,36.27,0.9368,2.934,0.1329,0.0762,0.81,-1.17,1.2767
2017-12-30,1419908267,1419908267,1,79804000000,31027000000,68823000000,20502000000,10889000000,92000000,-156000000,28582000000,33796000000,19526000000,-710000000,-711000000,-0.5,-0.5,0.8,3932000000,-2125000000,-1411000000,367000000,10610000000,1397000000,113.38,120.57,106.19,0.398,0.0627,7.78,11.99,23.47,35.46,0.9279,3.0598,0.1384,0.0764,0.82,1.79,1.5134
2017-09-09,1422143357,1422143357,1,78463000000,30197000000,65052000000,22358000000,13295000000,116000000,-155000000,28585000000,31452000000,16240000000,2144000000,2143000000,1.5,1.49,0.805,3821000000,-1707000000,-2193000000,-39000000,10243000000,544000000,115.82,119.39,112.25,0.5686,0.0916,9.46,13.15,24.59,34.66,0.6374,2.3384,0.1714,0.1096,0.84,2.3,1.3506
2017-06-17,1425510474,1425510474,1,76943000000,29248000000,64413000000,22113000000,12404000000,126000000,-153000000,28383000000,31205000000,15710000000,2105000000,2105000000,1.47,1.46,0.805,2440000000,-840000000,-839000000,754000000,10282000000,543000000,114.73,118.12,111.34,0.5625,0.091,8.81,13.97,24.78,33.86,0.642,2.4851,0.1632,0.1076,0.85,1.33,1.3227
2017-03-25,1428501223,1428501223,1,74622000000,27150000000,62939000000,21644000000,11569000000,114000000,-154000000,28181000000,30081000000,12049000000,1318000000,1316000000,0.92,0.91,0.7525,-199000000,269000000,257000000,370000000,9528000000,305000000,106.72,112.38,101.06,0.5544,0.091,8.21,13.54,24.48,33.05,0.6421,2.566,0.1571,0.1065,0.85,-0.35,1.2544
2016-12-31,1427214232,1427214232,1,74129000000,27089000000,62930000000,21135000000,11095000000,104000000,-151000000,27863000000,30053000000,19515000000,1401000000,1398000000,0.98,0.97,0.75,3809000000,-4117000000,-556000000,-1098000000,9158000000,1434000000,104.1,109.71,98.5,0.5259,0.0871,7.88,11.58,22.83,32.3,0.6717,2.6723,0.1517,0.1007,0.86,1.66,1.2817
2016-09-03,1434183120,1434183120,1,73897000000,27099000000,61179000000,20589000000,12750000000,-32000000,-148000000,27675000000,29322000000,16027000000,1992000000,1991000000,1.38,1.37,0.7525,3674000000,-1423000000,-1636000000,610000000,10256000000,635000000,106.12,110.94,101.3,0.5431,0.0929,8.99,12.18,29.89,31.55,0.6307,2.2734,0.1745,0.1073,0.86,2.12,1.3162
2016-06-11,1439157837,1439157837,1,72711000000,25878000000,60335000000,18459000000,12395000000,-19000000,-147000000,27745000000,30847000000,15395000000,2005000000,2004000000,1.39,1.38,0.7525,2790000000,-196000000,-1081000000,1522000000,9646000000,508000000,103.47,106.94,100,0.4177,0.0735,8.71,13.11,29.56,30.8,0.7977,2.4595,0.1725,0.0833,0.88,1.59,1.4019
2016-03-19,1444417034,1444417034,1,70019000000,23966000000,58788000000,16842000000,11257000000,-26000000,-146000000,27181000000,31068000000,11862000000,931000000,930000000,0.64,0.64,0.7025,131000000,-1412000000,331000000,-972000000,8124000000,364000000,97.69,102.12,93.25,0.3851,0.0733,7.89,11.7,26.62,30.04,0.7917,2.7245,0.1629,0.0822,0.89,-0.16,1.423
2015-12-26,1445412743,1445412743,1,69667000000,23031000000,57637000000,17578000000,11923000000,107000000,-145000000,27258000000,29213000000,18585000000,1718000000,1716000000,1.19,1.17,0.7,3805000000,-2263000000,-1070000000,398000000,9096000000,1272000000,96.94,103.44,90.43,0.3746,0.0775,8.35,10.38,28.77,29.34,0.7407,2.4207,0.1732,0.0864,0.9,1.75,1.3102
2015-09-05,1456850777,1456850777,1,69902000000,22814000000,56323000000,19071000000,13461000000,118000000,-143000000,27800000000,26318000000,16331000000,533000000,531000000,0.36,0.36,0.7025,4014000000,-1148000000,-1659000000,1136000000,8698000000,594000000,88.55,100.61,76.48,0.3165,0.0715,9.34,7.9,20.45,28.64,0.7942,1.9346,0.1946,0.0782,0.91,2.35,1.1963
2015-06-13,1468993138,1468993138,1,72262000000,23069000000,55798000000,21546000000,16332000000,132000000,-142000000,28943000000,23075000000,15923000000,1980000000,1979000000,1.34,1.33,0.7025,2491000000,-478000000,-889000000,1152000000,7562000000,547000000,95.58,98.44,92.72,0.3555,0.0891,11.21,8.81,22.28,27.94,0.6078,1.4007,0.228,0.0997,0.89,1.32,1.0707
2015-03-21,1476050863,1476050863,1,69625000000,20922000000,53636000000,20127000000,15869000000,120000000,-141000000,28439000000,22403000000,12217000000,1221000000,1220000000,0.82,0.81,0.655,270000000,320000000,-210000000,276000000,6410000000,259000000,96.5,100.76,92.24,0.3238,0.0866,10.85,8.14,22.6,27.24,0.6012,1.3993,0.2299,0.0982,0.88,0.01,1.0395
