,Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
0,1993-12-31,0.03292716795112138,0.051874034003091214,0.08913591683392519,0.13902439024390234,-0.08357333333333339,0.06841807909604514,-0.047459893048128365,-0.047459893048128365,-0.05102040816326525,-0.04395604395604402,-0.1701553004726536,-0.6962106615285806,-6.9421487603305785,0.21052631578947367,0.026370575988896583,0.049999999999999815,-0.018286814244465988,-0.6990521327014219,-0.10483870967741926,0.022950819672131303,0.11431938715380086,inf,-0.13491124260355036,-0.015686274509803866,-0.048000000000000036,-0.07648801508214388
1,1994-03-31,0.03292716795112138,0.051874034003091214,0.08913591683392519,0.13902439024390234,-0.08357333333333339,0.06841807909604514,-0.047459893048128365,-0.047459893048128365,-0.05102040816326525,-0.04395604395604402,-0.1701553004726536,-0.6962106615285806,-6.9421487603305785,0.21052631578947367,0.026370575988896583,0.049999999999999815,-0.018286814244465988,-0.6990521327014219,-0.10483870967741926,0.022950819672131303,0.11431938715380086,inf,-0.13491124260355036,-0.015686274509803866,-0.048000000000000036,-0.07648801508214388
2,1994-06-30,0.02515585877766391,0.054871889062356516,0.00987572650380386,-0.08710165008187433,0.06279462259209677,0.06841807909604514,-0.047459893048128365,-0.047459893048128365,-0.05102040816326525,-0.04395604395604402,-0.1701553004726536,-0.6962106615285806,-6.9421487603305785,0.21052631578947367,0.03110209601081815,-0.08333333333333337,-0.018286814244465988,-0.6990521327014219,0.09009009009009006,0.022950819672131303,0.11431938715380086,0.5555555555555558,0.057911536707706324,-0.015686274509803866,-0.048000000000000036,0.155511811023622
3,1994-09-30,0.012654493000688438,-0.0031341139598659584,0.0104108178925697,0.03642635391514326,0.01790603438834748,0.020940193538152352,0.059649122807017514,0.059649122807017514,0.07526881720430101,0.06896551724137945,1.0927583401139138,1.0274841437632136,0.8553546592489569,5.173913043478262,0.18622950819672132,-0.024531024531024515,-0.018286814244465988,-0.6990521327014219,0.03305785123966953,-0.10416666666666674,0.11431938715380086,0.3571428571428571,0.010775862068965305,-0.015686274509803866,-0.048000000000000036,-0.03817275537888831
4,1994-12-31,-0.005730195215125078,-0.049080826164796254,0.00013892426312245298,0.017905877654263547,-0.019366291893055054,0.03387372455586046,-0.09205298013245032,-0.09205298013245032,-0.08999999999999997,0.096774193548387,0.1710730948678072,0.6558915537017727,0.12293853073463268,-1.3873239436619718,-0.06080707573244881,0.12573964497041426,-0.018286814244465988,-0.6990521327014219,-0.024000000000000018,0.0894454382826475,0.11431938715380086,0.0,-0.01791044776119399,-0.015686274509803866,-0.048000000000000036,-0.06579637890317502
5,1995-03-31,0.254802682990362,0.1411121825779491,0.3482115985646488,0.12313628040805645,0.03346316309177677,-0.007915435098441947,0.1415025528811087,0.1415025528811087,0.15384615384615394,-0.0490196078431373,-0.5415006640106241,7.459697732997483,-9.054739652870492,-1.1454545454545455,0.009417304296645002,0.03942181340341655,-0.018286814244465988,-0.6990521327014219,0.04098360655737698,0.0640394088669951,0.11431938715380086,0.5263157894736841,-0.16804168475901005,-0.015686274509803866,-0.048000000000000036,0.016010111649462866
6,1995-06-30,0.014946480700616329,0.03315895372233402,0.002249467683220097,0.026259097525473063,0.0541960825946175,0.05574912891986061,-0.08498402555910545,-0.08498402555910545,-0.09523809523809534,-0.09278350515463918,-0.4156408399710355,-0.9001786511835641,-0.9609646941819989,-4.8125,-0.035568513119533574,0.1327433628318584,-0.02671568627450971,-0.6990521327014219,0.07086614173228356,0.08950617283950613,0.11431938715380086,0.2068965517241379,0.054801670146137786,-0.023904382470119608,-0.03361344537815125,0.0067039878360630745
7,1995-09-30,-0.015033172689736253,0.00447923969774866,0.03609916562441096,0.04482015204811085,-0.16530715005035246,0.020902090209020896,-2.7472067039106145,-2.7472067039106145,-2.8526315789473684,-3.0,2.655514250309789,0.02162565249813575,-3.070063694267516,-10.60655737704918,0.3542926239419588,-0.03125000000000011,-0.6716192394862756,-0.6990521327014219,-0.2058823529411765,-0.09631728045325773,-0.033844526705446916,0.17142857142857149,-0.1954477981197428,-0.6897959183673469,-0.02608695652173898,-0.03858300151036642
8,1995-12-31,-0.00815044580862023,-0.08480359843344065,-0.014039091179680495,-0.04805603822762816,0.01333172467877186,0.008620689655172377,-1.4896083133493203,-1.4896083133493203,-1.4602272727272727,-1.4261363636363638,0.004745762711864332,-0.06058394160583945,0.8461538461538463,-1.25938566552901,-0.06785714285714284,0.026497695852534697,-0.055981595092024494,-0.12204724409448807,0.0092592592592593,0.2931034482758621,2.5150519978106187,0.0,0.027060270602706105,-0.0964912280701754,-0.0357142857142857,-0.0386318194801486
9,1996-03-31,0.02084451016055366,0.024150495720701715,0.023832285115303886,0.08887114254748729,0.01023931420407198,-0.046033073206986234,0.17142857142857149,0.17142857142857149,0.1728395061728394,0.1866666666666668,-0.4095816464237517,0.15384615384615374,-0.8488888888888889,-0.875,-0.009099616858237571,0.06621773288439957,-0.04386677497969127,-0.08071748878923768,0.018348623853211118,0.05696969696969713,0.4089068825910933,0.14634146341463405,-0.0059880239520958565,-0.08252427184466016,0.0092592592592593,-0.05942211988412693
10,1996-06-30,0.011587366694011392,0.03375806718517293,-0.0068472954820955065,-0.00901042485200898,0.0779021803182085,0.05531479768223213,0.037630662020905925,0.037630662020905925,0.03157894736842115,0.033707865168539415,-0.4885714285714286,-0.22356902356902356,-1.2573529411764706,8.0,-0.0826486225229579,0.05894736842105264,0.06542056074766367,0.034146341463414664,0.09909909909909898,0.038990825688073334,0.1703138815207781,0.1276595744680853,0.09096385542168672,0.02645502645502651,0.00917431192660545,0.04311774461028195
11,1996-09-30,0.0036619361378611437,-0.0004802305106451632,-0.009055222009632493,0.018660464132790544,0.045812376995407744,0.029206847229271467,0.08059100067159175,0.08059100067159175,0.08163265306122458,0.07608695652173902,2.5329608938547485,0.02775368603642669,-23.957142857142852,-2.9239766081871346,0.1733403582718651,0.03677932405566597,2.3285486443381176,2.4764150943396226,0.05737704918032782,-0.056291390728476776,-0.015015582207951628,0.1132075471698113,0.05797901711761444,2.4484536082474224,0.0,-0.018775077598606967
