Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
1996-03-31,0.033269373703573635,-0.003834240785026588,0.06615569161932244,0.7812595071493764,-0.1462371206491394,0.7730725637253719,2.1233901121728294,2.0384206328104226,1.9999999999999996,1.9999999999999996,-4.158803815416345,-0.689139733012005,-0.9983667227950758,-1.6038627419456308,-0.5241576817362708,0.05305039787798416,-0.03073394495412851,-0.1707317073170731,-0.0030991735537189147,0.6464853771164703,inf,-0.1945866861741038,-0.46803069053708446,0.0,-0.4407477774071442
1996-06-30,0.033269373703573635,-0.003834240785026588,0.06615569161932244,0.7812595071493764,-0.1462371206491394,0.7730725637253719,2.1233901121728294,2.0384206328104226,1.9999999999999996,1.9999999999999996,-4.158803815416345,-0.689139733012005,-0.9983667227950758,-1.6038627419456308,-0.5241576817362708,0.05305039787798416,-0.03073394495412851,-0.1707317073170731,-0.0030991735537189147,0.6464853771164703,inf,-0.1945866861741038,-0.46803069053708446,0.0,-0.4407477774071442
1996-09-30,0.09566949080274689,-0.023350887838669787,0.13910986711395346,1.2852946199829205,-0.2004328596969982,-0.4232903541700669,0.17575596346546063,0.1734412601181361,0.1578947368421053,0.1578947368421053,-1.3395086917489594,-0.1456487962710833,-5.240437158469946,-0.45193776913460204,-0.603710551482308,-0.17380352644836283,-0.03073394495412851,-0.23529411764705888,-0.0030991735537189147,0.6464853771164703,inf,-0.3024523160762944,-0.46803069053708446,0.0,-0.5726511241928374
1996-12-31,0.0451001487924918,0.06863914449367581,0.09091652771619962,0.4821006845834206,-0.3998175826762387,0.27394934201216925,0.6853835130854513,0.6776911890823669,0.6515151515151516,0.6515151515151516,-3.2832932692307693,-1.5429524916569801,-0.22207903780068727,-1.1721792759684029,0.26229930177933647,0.06707317073170738,-0.03073394495412851,-0.5,0.39481865284974105,0.6464853771164703,inf,-0.51171875,-0.46803069053708446,0.0,-0.278961102008617
1997-03-31,0.012800294380486799,-0.047989271588382065,0.060481418426322264,0.19328731134430255,-0.8288151379969606,0.3333148209855974,0.4066184861163942,0.40389829755078455,0.4128440366972477,0.4128440366972477,-0.7197978628204453,-1.0166436464088398,0.6421866372170071,-2.076913640824338,-0.22377711503657827,-0.25428571428571434,-0.03073394495412851,-1.1538461538461537,0.49182763744427915,0.6464853771164703,inf,0.0,-0.46803069053708446,0.0,-0.20215451944117147
1997-06-30,0.32741632713085744,0.6013515923112585,0.38570807515228966,0.16397765400900943,-6.046582665139367,0.39985837857351125,0.014682022078707169,0.014612060094669754,0.0,0.0,-0.2733421003193688,422.6473029045643,-122.20578345662408,-18.359608155826404,5.004597399185603,-0.2183908045977011,-0.03073394495412851,10.0,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.0,0.3757383966244727
1997-09-30,-0.07143266774412182,-0.4590288062177781,0.006103261540632454,-0.07231544476957374,2.2565635166830598,0.23808295808454494,0.8052799071940304,0.8014978935871431,0.805194805194805,0.805194805194805,6.985522233712513,-0.4199306555402109,-1.0070519827112683,-1.9965813648293964,-0.830611642202437,0.1568627450980391,-0.03073394495412851,1.4545454545454546,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.2272727272727273,-0.4168839135101978
1997-12-31,0.2672373861999848,1.799873412510549,0.061618523314439955,0.21544885667659397,-0.48328957762185776,0.43998045279028397,-0.3833375305018366,-0.3196487034246219,-0.3525179856115107,-0.3525179856115107,-2.298951048951049,1.3142449493030757,-137.99134539732495,-1.752138215289803,3.688180027766119,0.07203389830508478,-0.03073394495412851,0.09259259259259256,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.18518518518518512,1.3036160420775809
1998-03-31,-0.0060620963356050606,-0.0175940305639537,0.021791944642196803,0.02398415867087378,0.6105372016951249,0.19300461203803132,-0.29750890681987807,-0.2574472960586618,-0.2777777777777778,-0.2777777777777778,-1.5030407257863516,-1.4118014008463446,-1.011070206069517,-0.22225432007983614,0.6118506683562088,-0.015810276679841695,-0.13487931850449597,0.2542372881355932,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.1875,-0.0405845082481876
1998-06-30,0.03819579874073664,0.04301706913711434,0.06509792829559169,0.22385694386361,0.35484208689582974,0.14642392475249366,-0.08357054083309945,-0.06746215433146463,-0.06923076923076932,-0.06923076923076932,-2.9628400138730617,-1.0973308647006192,-0.19325551232166016,-0.7127694299060161,0.10903132637191737,0.34136546184738936,-0.10503282275711157,0.20270270270270263,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.1578947368421053,-0.14778676820561643
1998-09-30,-0.026275057024017223,-0.0020806204553689422,0.0014334761389902528,-0.07398605423126137,0.30094531592097473,-0.042430380982598326,0.13679812761117316,0.11924109276758466,0.11570247933884303,0.11570247933884303,-1.897288974151858,0.14835714935833266,0.14212218649517694,-3.0265684392021632,-0.19923643242118727,-0.11676646706586813,-0.2658924205378973,0.1797752808988764,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.09090909090909083,0.07763194638369186
1998-12-31,-0.004101322112801009,-0.03328923766010139,0.05657724549601961,0.19519178747312194,0.47125326194992345,0.21908864222389313,1.1802158896307557,1.0120565045992116,1.007407407407407,1.007407407407407,-0.9781697470953948,6.713957359118649,-0.09769144144144148,0.9589295382473508,-0.4873974645786726,0.45423728813559316,0.19400499583680264,0.31428571428571406,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.12500000000000022,-0.1911764705882354
1999-03-31,-0.04043441300117556,0.2063066496853183,0.3084317700580941,0.10095478635117483,1.2089923023093072,0.07799095413649626,2.28600804885798,2.0395856123565235,2.0590405904059037,2.0590405904059037,-7.908505154639175,-1.860367626660639,15.145085803432139,-1.3687073084060488,0.35057767933400275,12.953379953379953,1.2545327754532773,0.6304347826086958,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.11111111111111094,0.09571485782939537
1999-06-30,0.674595525532748,0.0859686870959886,0.04602818061461211,0.22696756672415908,-1.2818226235456527,0.13095899975433478,-0.7955340812341707,-0.7955340812341707,-0.9034981905910736,-0.9034981905910736,11.395821675060622,-0.1555107061394605,-0.9319547782394434,2.57797231815383,0.9287560806115358,-0.11977948546608752,-0.08042066192390962,-1.2266666666666666,0.0,0.6464853771164703,inf,1.1253333333333333,-0.46803069053708446,-0.050000000000000044,-0.11491228070175441
1999-09-30,-0.032873504943511045,-0.15641734188874834,0.010046397929420303,0.04422684646568453,-0.5287073065283182,0.2218430424319333,0.6340816246108578,0.6340816246108578,-0.3125,-0.3125,-3.0829596412556053,-1.240726861344835,-0.05339392218119854,-2.1880237639171556,-0.5720704166486518,-0.1930157525147086,-0.0020181634712411745,-0.5294117647058824,3.1518924302788847,0.6464853771164703,inf,-0.5131744040150564,-0.46803069053708446,0.03508771929824572,-0.1921043937892304
1999-12-31,0.38826520491588723,1.832719802683159,0.4622765841641203,0.4760411095294128,-1.4441610861388863,0.20726977562363147,0.7683619906592392,0.7683619906592392,0.7636363636363634,0.7636363636363634,-1.0584665621545863,10.763790166245668,-294.6363636363636,-5.953664573584335,6.622222596425053,-0.09595484477892768,-0.05763397371081902,-1.8333333333333335,0.9211946743432886,0.6464853771164703,inf,0.0,-0.46803069053708446,-0.03389830508474578,0.9190349621754244
2000-03-31,-0.018807451357540694,-0.09099510303231884,0.014221329866389132,0.05778624141356592,2.6734065843281423,0.09613972404733162,-0.15844644659205587,-0.15844644659205587,-0.5876288659793814,-0.5876288659793814,-13.9219078215742,-0.40887867968340363,-1.002614719676302,-1.2867170653810163,-0.24910112570542997,-0.7926638917793964,-0.3551502145922748,1.0999999999999996,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,-0.0350877192982455,-0.14063498828041765
2000-06-30,-0.000928658042068875,-0.06393977864562062,0.028013609701171616,0.11999203151976623,0.6504197144929411,0.1421336665953712,-0.28234213795711127,-0.28234213795711127,-0.29999999999999993,-0.29999999999999993,-0.6871491819424922,0.3843041182682154,-2.1520125048847207,-0.14134565497913631,-0.2848476289666778,0.8707653701380176,0.023849140321686058,0.5476190476190477,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.09090909090909083,-0.1642077857674188
2000-09-30,0.22984663422763107,0.5259983750143093,0.243493588123447,0.004830699646802827,0.42114927335781593,0.08023629956247125,-0.01480505795574294,-0.01480505795574294,0.0,0.0,1.6357551120212732,-0.13488377769776705,332.8049525101764,-4.904537379412919,1.5551905576856622,0.289067739771965,-0.10780065005417105,0.3999999999999999,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.0,0.5185789512719721
2000-12-31,-0.007168634193257306,-0.05736514883440946,0.034672208664505044,0.145512085656057,0.5060347534680356,0.15391161823110378,0.3165562711527736,0.3165562711527736,0.2857142857142856,0.2857142857142856,-2.21588932439641,2.441995146863802,-1.002330149574669,-1.5097393192859287,-0.31024761493820296,0.8532778355879291,-0.1129326047358834,0.4835164835164836,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.06666666666666665,-0.17709401709401706
2001-03-31,-0.036991180788478184,-0.100757141602415,-0.008755022932565248,-0.053773392844440715,0.20094609306856315,0.07019138363889654,-0.03067986630147157,-0.03067986630147157,-0.02777777777777779,-0.02777777777777779,-1.1938274313072836,-0.9328846544017739,0.16223288268643699,-0.8553762003980352,-0.06505115438751286,-0.2164514317798989,-0.0657084188911704,0.19259259259259265,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.0625,-0.049676538666983294
2001-06-30,0.2566672401065486,0.56854720557929,0.21402028671839446,0.10341931447808195,-0.03995408977410686,0.12105623426496348,-1.0134637603941548,-1.0134637603941548,-1.0,-1.0,-9.590710032967573,13.153684081956701,-368.88330206378987,-13.40610366542871,0.8631823748160299,0.1522751701898959,-0.29670329670329676,-0.05590062111801242,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.0,0.4215588308768423
2001-09-30,0.019871438749403003,-0.019435545574142288,0.026518843066970277,0.13064410538482507,0.07833703770172695,0.058196863823023026,0.37616718541574024,0.37616718541574024,inf,inf,0.02108380253051445,0.008265033364328156,-0.9998480226109715,-1.417844938168766,-0.19358082757142092,-0.2086442786069651,-0.32291666666666663,0.07236842105263142,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.04411764705882337,-0.1327212020033388
2001-12-31,0.1321151743037765,0.23216449690938523,0.11582455513168344,0.03084785722399075,-0.0042797795459055266,0.12510831232286157,-18.383198707592893,-18.383198707592893,-12.0,-12.0,-0.1196107028664386,-0.32491494597196957,4246.073825503356,-2.6414299607864855,0.39402506918660163,-0.025540275049115824,-0.4092307692307693,-0.006134969325153228,0.0,0.6464853771164703,inf,0.0,-0.46803069053708446,0.0,0.19527886125322924
