,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
102,0.1349291692157406,0.2760485872968379,0.09891176570822191,0.1168023640056608,0.21721850029739542,0.14538078895947915,0.4606505088202748,0.4606505088202748,0.467741935483871,0.45967741935483875,-3.8702928870292888,1.6200707164956047,-1.2900162293541648,-2.1750531762913106,0.8126572154641969,0.021043771043770976,-0.09754115017272913,0.058490566037735725,0.21333333333333337,-0.15327564894932022,0.03554868624420404,inf,0.07263294422827493,0.011682242990654235,-0.008130081300813052,0.14264354066985652
101,0.1349291692157406,0.2760485872968379,0.09891176570822191,0.1168023640056608,0.21721850029739542,0.14538078895947915,0.4606505088202748,0.4606505088202748,0.467741935483871,0.45967741935483875,-3.8702928870292888,1.6200707164956047,-1.2900162293541648,-2.1750531762913106,0.8126572154641969,0.021043771043770976,-0.09754115017272913,0.058490566037735725,0.21333333333333337,-0.15327564894932022,0.03554868624420404,inf,0.07263294422827493,0.011682242990654235,-0.008130081300813052,0.14264354066985652
100,0.03831916970173066,0.021943849045996,0.021417230884614336,0.07352667796515644,0.2742941127449867,0.14538078895947915,0.4606505088202748,0.4606505088202748,0.467741935483871,0.45967741935483875,-3.8702928870292888,1.6200707164956047,-1.2900162293541648,-2.1750531762913106,-0.5268042044136381,0.027205276174773196,-0.09754115017272913,0.058490566037735725,0.26923076923076916,-0.15327564894932022,0.03554868624420404,inf,0.22732769044740042,0.011682242990654235,-0.008130081300813052,-0.04806769606560246
99,0.013888281385509904,-0.024306671374596522,-0.005378229738459139,-0.004174023217237477,0.16669738351872443,-0.045205242408739355,-0.48460270065510935,-0.48460270065510935,-0.48901098901098905,-0.4861878453038674,2.084027488546439,0.4529965793542945,-0.8622148441683624,-1.649109772242185,0.7226474967289791,0.1685393258426966,-0.09754115017272913,0.058490566037735725,0.16450216450216448,-0.08029197080291972,0.03554868624420404,inf,0.15073891625615765,0.011682242990654235,-0.008130081300813052,-0.020252932551319658
98,-0.0028458241658522176,-0.06728328212190171,-0.005098191948856634,-0.08061917099947258,0.061189755505956844,0.028652758899198272,-0.27075947542873613,-0.27075947542873613,-0.3655913978494625,-0.3763440860215055,-0.7378082601418974,-0.41740302627675085,-6.035950252623397,-1.3355393228028554,-0.14094147227266374,0.041208791208791284,-0.09754115017272913,0.058490566037735725,0.059479553903345694,-0.10476190476190483,0.03554868624420404,inf,0.06421232876712324,0.011682242990654235,-0.008130081300813052,0.014498176035918187
97,0.06253021035357298,0.13375499527719237,0.04914441897372601,0.035653715816849285,0.13696758703481393,-0.01167616220615697,1.0725663017272042,1.0725663017272042,1.3728813559322033,1.396551724137931,-2.232501241699012,-0.14532753218860361,6.354813814393209,-3.952304161756497,0.4837398373983739,-0.02704485488126651,-0.09754115017272913,0.058490566037735725,0.13684210526315788,-0.08156028368794321,0.03554868624420404,inf,0.06999195494770727,0.011682242990654235,-0.008130081300813052,0.0947814862622165
96,0.14107192501130283,0.10050391345223963,0.13928101896936607,0.3187747737875921,0.2103656025695444,0.10427590403001097,0.48194057744383834,0.48194057744383834,0.47142857142857153,0.48201438848920874,-2.251686567164179,4.001968911917098,0.4823504721930745,-1.394264705882353,-0.12876712328767126,0.06983050847457628,-0.07700968250394058,0.058490566037735725,0.20987654320987637,-0.059845559845559726,0.03554868624420404,inf,0.06090225563909768,0.036951501154734556,-0.032786885245901676,-0.16548762001010608
95,0.024552367860016133,0.018221396076896657,0.0026832377893355464,-0.028534565530484834,0.06637879144748893,0.03208148905275987,-0.2658731180028311,-0.2658731180028311,-0.2669902912621359,-0.27184466019417475,-2.6497740362257494,-1.2599442706498996,-0.9565683665090466,0.4077902701550593,-0.2077044025157233,0.16032953105196457,-0.00048792388387408625,0.058490566037735725,0.061224489795918435,-0.04106776180698157,0.10223880597014912,inf,0.04039688164422395,0.07795100222717144,-0.016949152542372947,0.048037137955394105
94,0.03312256617739617,0.03219784707137885,0.027077497665732864,0.06479908577076321,0.06902526296156308,0.035667075558230454,-0.5021297481112728,-0.5021297481112728,-0.5960264900662251,0.0,-1.130765060894077,-2.2216421925123035,4.508353027463125,0.13221044663133985,-0.29648739829331217,-0.026761332605133692,-0.08933365877471322,-0.044563279857397387,0.06490384615384603,-0.08351177730192716,-0.12728503723764384,inf,0.03474114441416898,-0.024793388429752095,-0.017241379310344862,-0.030621088107847916
93,0.041361512171305126,0.08521719858156018,0.030226628083545926,0.07357617002287054,0.08004285277012557,-0.06074654356697973,0.9434566771115727,0.9434566771115727,1.377049180327869,0.0,-4.7972584567764756,-0.21794725425276862,1.9929134673708817,-2.2268913181559857,0.5176304654442878,0.006172839506172867,-0.07960332350576249,-0.04104477611940305,0.06997742663656892,-0.053738317757009435,0.0007757951900697613,inf,0.037524687294272496,-0.010593220338983023,-0.0350877192982455,0.010926790503625883
