,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,Book value of equity per share,P/B ratio,Cumulative dividends per share,Equity to assets ratio,Current ratio
12,0.04445814231228562,0.09121184088806666,0.028699650950191113,0.013923863131388048,0.08031908158527834,0.0079094591987654,-0.05023022185014647,-0.05023022185014647,-0.04347826086956508,-0.05797101449275355,-0.04252110977080825,-0.8329297820823245,-2.586021505376344,-0.6687790452049007,0.48768472906403937,0.022736259391063607,0.07871720116618075,-0.05156037991858886,inf,0.034176799211304454,0.07625530851861106
11,0.04445814231228562,0.09121184088806666,0.028699650950191113,0.013923863131388048,0.08031908158527834,0.0079094591987654,-0.05023022185014647,-0.05023022185014647,-0.04347826086956508,-0.05797101449275355,-0.04252110977080825,-0.8329297820823245,-2.586021505376344,-0.6687790452049007,0.48768472906403937,0.022736259391063607,0.07871720116618075,-0.05156037991858886,inf,0.034176799211304454,0.07625530851861106
10,0.006946749781761463,0.05489148864021698,-0.0128004883215741,0.07121986851716589,0.05012501953430215,0.0,0.0,0.0,0.0,0.0,-0.04252110977080825,-0.8329297820823245,-2.586021505376344,-0.6687790452049007,0.10816777041942616,0.022736259391063607,0.04999999999999982,-0.05156037991858886,1.0,0.04289799809342232,-0.015261417048685777
9,0.005433588121810162,0.011532125205930832,-0.02844256928784461,-0.044664166382543447,0.07459354886714542,-0.020543575347709564,-0.11987659762009695,-0.11987659762009695,-0.12121212121212133,-0.1230769230769232,-0.5329133858267716,-0.20579710144927532,-0.3254237288135593,-0.8163265306122449,0.017928286852589626,0.09607577807848466,0.07207207207207222,0.044349070100142995,0.4999999999999998,0.06886045094454607,0.05886859163229241
8,0.028271984260957117,0.0732104552315882,-0.009040880503144666,-0.021556031406138487,0.09732031574574163,0.060969254820218755,0.20230345518277426,0.20230345518277426,0.18965517241379315,0.19298245614035103,0.6567768037761295,0.13868613138686126,-0.3241206030150754,9.472222222222221,0.1844422700587085,0.10017636684303355,0.09603841536614643,0.026027397260274032,0.3333333333333335,0.06698973774230343,0.0968334353608995
7,0.10155779428611922,-0.002368878854054901,0.1047581269715343,0.0062007586810621795,0.09613503707209348,0.03468811394891946,0.115368596418159,0.115368596418159,0.11594202898550732,0.11764705882352944,0.29833129833129823,25.59294871794872,-6.463444857496902,-1.3812997347480107,-0.05937629078893014,0.06700865662071176,0.09529025191675777,-0.026702269692923886,0.24999999999999978,-0.004808976756612404,-0.00852402455730894
6,0.12582824059183007,0.08960041553815912,0.1442542787286063,0.16167621257159426,0.09098497495826385,0.07203465258410957,0.2580283793876026,0.2580283793876026,0.2597402597402596,0.25,0.45266457680250793,-0.058213812221284855,-0.18598321614878655,-1.8904347826086956,0.056208145789878206,0.10126201923076916,0.08899999999999997,0.005486968449931462,0.19999999999999996,-0.03087248322147651,-0.06202343789980036
5,0.014742014742014753,0.04865840370471264,-0.021920387305002675,-0.08793609186793983,0.0797034535524892,-0.03653069131565834,-0.22469575541703768,-0.22469575541703768,-0.22680412371134018,-0.2210526315789474,-0.6309883470004316,-0.9500895828001024,-1.2624686542212316,0.046875,0.05571146450472919,0.01869031377899044,0.07805325987144163,-0.06412005457025916,0.16666666666666674,0.06398891966759002,0.14976267117682363
4,0.1248850348180266,0.4622852875280059,-0.030783567838428283,0.5729437525660326,0.37440132929332415,0.06623772045728726,0.1294027565084226,0.1294027565084226,0.11999999999999988,0.12162162162162149,0.9988304093567251,-0.35641025641025637,-12.390658174097664,24.23320895522388,1.3315939745987988,0.008437123342707853,0.37223168654173766,-0.06559766763848396,0.14285714285714302,0.22181723509502738,-0.07037107336053905
3,0.15657303042691106,-0.24183949904516588,0.26315374672929615,0.5136816461478226,0.03657148952814415,-0.008566810344827536,-0.16847457627118645,-0.16847457627118645,-0.22619047619047616,-0.22891566265060237,0.13165593914569929,112.57370517928287,0.1702702702702703,-1.9043253234750463,-0.5164682036990119,0.08897742363877836,0.08379888268156432,-0.20592823712948527,0.125,-0.1037715746857022,-0.499106732683375
2,-0.06904809995094785,-0.07120053890987899,-0.21475722824662768,-0.36999568903578095,0.13124539046018224,-0.447910439650019,7.6110884631064,7.6110884631064,8.538461538461538,8.484375,0.14994829369183038,-1.3326200582313117,-2.079397945369117,-1.027225901398087,0.02908042965679858,-0.09829268292682924,0.12886597938144329,-0.1689587426326129,0.11111111111111094,0.21516880646695213,0.47416692143075534
1,0.21313228365980663,0.8277938950554995,0.397412875236385,0.2041421467998723,0.03869304829050102,0.5679692883157792,-0.9303602707948682,-0.9303602707948682,-0.9290322580645162,-0.929159802306425,-0.6488309352517986,-1.0253111157983548,-2.7789582411096356,75.5915915915916,2.1643754243041413,0.0064917500676224815,0.03703703703703698,-0.10638297872340441,0.10000000000000009,-0.1438074740755234,0.5179731784874877
0,0.051858049846067455,-0.40715628935700365,0.07411155967475969,0.05743294438551305,0.023486650999168024,0.17063218030008165,0.07002039428959894,0.07002039428959894,0.06818181818181812,0.06976744186046524,0.6568501920614596,134.9,-0.8485401459854014,-2.03383650264654,-0.7071254257287671,0.09567320612738528,0.02250489236790587,0.05555555555555558,0.09090909090909083,-0.02696526508226682,-0.4393642697754906
