,Assets,Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover
58,0.00018331275084904064,0.006776873906208181,-0.01892588146331664,0.010059077119591198,0.5462274176408077,0.5462274176408077,0.5000000000000002,0.9583333333333333,0.11276824923357354,-0.6849486887115166,0.597672485453034,-0.8514713564339196,-0.2504403992953611,0.015027322404371546,-0.0670209625036906,0.0066225165562914245,-0.021276595744680882,0.11787072243346008,-0.3651877133105802,0.9836490641427096,-0.019218846869187844,-0.01786896095301127,0.0
57,0.00018331275084904064,0.006776873906208181,-0.01892588146331664,0.010059077119591198,0.5462274176408077,0.5462274176408077,0.5000000000000002,0.9583333333333333,0.11276824923357354,-0.6849486887115166,0.597672485453034,-0.8514713564339196,-0.2504403992953611,0.015027322404371546,-0.0670209625036906,0.0066225165562914245,-0.021276595744680882,0.11787072243346008,-0.3651877133105802,0.9836490641427096,-0.019218846869187844,-0.01786896095301127,0.0
56,0.03418431819465906,-0.038191666352093256,0.2509438645538036,-0.09423191765904382,4.040137457044674,4.040137457044674,3.9259259259259256,0.9583333333333333,0.25331347728965015,-9.284654361201593,5.485015608740895,-1.1711606096131302,0.05718762240501363,0.09286675639300124,-0.0670209625036906,0.0066225165562914245,0.14130434782608692,0.11787072243346008,-0.3651877133105802,0.4999999999999998,0.20986093552465213,-0.01786896095301127,0.0
55,0.1710688756661609,0.18228854559343555,0.14968252642132085,0.018732184064069513,-0.69741184171053,-0.69741184171053,-0.736842105263158,0.9583333333333333,-0.3846839353612167,-1.8188112972630566,-1.6045795157330596,35.12671232876713,1.9542423119673953,0.14408866995073888,-0.0670209625036906,0.0066225165562914245,0.11746031746031749,0.003401360544217802,-0.3651877133105802,0.3333333333333335,-0.018286311389759557,-0.01786896095301127,0.0
54,0.014027855451133497,-0.02314033259572512,0.10437312840822721,0.24351384791091646,3.28805768364128,3.28805768364128,3.4000000000000004,0.9583333333333333,1.4971516848508255,-1.8355919543296164,-2.5788523806996126,-1.2182197364679117,-0.14435316987521163,0.10226049515608193,-0.0670209625036906,0.0066225165562914245,0.10511363636363646,-0.013559322033898313,-0.3651877133105802,0.26785714285714257,0.0888770622671633,-0.01786896095301127,0.0
53,0.08612838831805214,0.12194600383093812,0.0012529541753258933,0.06683198628459475,-0.7661215739028081,-0.7661215739028081,-0.7662337662337663,0.9583333333333333,-0.5439430847156169,-4.123583309389266,-2.326133001613771,2.1086012163336227,-0.5244411872480762,0.0400390625,-0.0670209625036906,0.0066225165562914245,-0.11311053984575836,-0.05841924398625431,-0.3651877133105802,0.21126760563380276,-0.07820136852394921,-0.01786896095301127,0.0
52,0.05604820942544686,-0.04092359746457652,0.35132189652103674,0.06463971073550101,0.37386537251730023,0.37386537251730023,0.2777777777777779,0.9583333333333333,-2.073844849512505,-0.2706970564186427,0.06038864733993332,-0.9485746226942426,-0.056711357682231456,0.07042253521126751,-0.30664556962025324,0.0066225165562914245,0.3159420289855073,0.20437956204379537,0.04301075268817178,0.17441860465116288,0.2799575821845175,-0.2697663971248877,0.0
51,0.02608553162557037,0.029672052225153678,0.010150031611198429,0.104138869796089,0.017923726041734866,0.017923726041734866,0.021739130434782483,0.9583333333333333,-5.794252329069951,-0.5913811225562329,-1.140939356627975,-54.74184782608695,3.2310080052279035,0.00877192982456143,-0.05066179826563211,0.0066225165562914245,0.006607929515418665,-0.2333333333333334,0.33298969072164963,0.14851485148514842,-0.0157415078707539,-0.05382959089510919,0.0714285714285714
50,0.030814899421705233,0.05864764136193412,-0.01472402483425439,-0.018052876986548783,-0.4566544566544567,-0.4566544566544567,-0.4893617021276596,0.9583333333333333,-0.42396745932415525,2.428576328154474,-4.861407972858355,-1.9840724073418619,-0.7514866012819523,0.040000000000000036,-0.4754807692307692,-0.4627192982456141,-0.01750547045951867,0.035573122529644285,-0.004640371229698403,0.1293103448275863,-0.04419191919191923,-0.46456436931079315,0.0
49,0.5699925081855011,0.6291251131511091,-0.003542597701383432,0.10156997774932575,1.1455943228858665,1.0037847427557658,0.9583333333333333,0.9583333333333333,-0.08616598530546904,8.227034921524103,19.074484909721917,-2.2062994553488853,3.647762585456806,0.0033444816053511683,0.045829514207149424,-0.032653061224489854,-0.00222717149220486,0.01908396946564883,0.8562548562548564,0.11450381679389299,-0.3650374284456187,0.050394656952033934,-0.1333333333333333
48,0.15684724890857993,0.31995211336640006,0.10217704449098441,0.2757566182942517,-0.005567499035334378,-0.2962460158186755,-0.2978723404255318,-0.2978723404255318,0.4297825746910684,-0.5690845284958028,-0.619179548117924,-1.1591770669165566,-0.1249289606525591,-0.016666666666666607,-0.08150744960560907,-0.12236286919831219,0.10044642857142838,-0.014981273408239737,-0.08246128087065718,0.1095890410958904,-0.04715672676837723,-0.16011560693641602,0.0
47,0.02548933535130904,0.032617971875177565,0.08578266439020221,0.2777497678121268,0.20892461197339252,0.8291537364757191,0.303030303030303,0.2727272727272727,-1.246504605824563,-0.8197803137799515,-0.7806175223252767,0.7516724645437516,-0.25007640586797064,-0.015254237288135686,0.07156488549618323,-0.05288461538461542,-0.0020283975659228792,-0.1026615969581749,0.06934306569343063,0.09259259259259256,0.05822416302765654,-0.04611149346180321,0.0
46,0.02777125314775475,0.029798850282083178,0.03040598797692362,-0.07058204574403282,-0.32890091246733,-0.6093814480260442,-0.5116279069767442,-0.5,-4.290076335877862,0.46601426716736705,-0.17673175906644145,-0.22242590895203174,-0.25929699439633214,-0.015490533562822706,-0.049866429207479857,-0.045685279187817174,0.004065040650406582,-0.012711864406779627,0.018344709897610834,0.09039548022598876,0.0027510316368639653,-0.11111111111111105,-0.07692307692307698
45,0.02921372147419321,0.020495220295342342,0.07384062725760376,0.012334276776404085,0.6681470347089369,1.1479046836483153,1.0952380952380953,1.0952380952380953,0.5562240328063455,-0.30886063895633953,-0.6983407308420433,-1.7986247544204321,0.27957359009628613,0.0008741258741258306,-0.04498594189315841,0.02659574468085113,-0.1659919028340081,-0.0042918454935623185,0.021784666945957154,0.08290155440414493,0.043209876543209846,-0.06899350649350655,0.08333333333333348
44,0.23385522013160265,0.20518088021182845,0.4230449944451302,0.14796639100620967,-0.029694859717386834,-0.03962181659197728,-0.20454545454545459,-0.20454545454545459,-0.15078966073193145,11.537365665472581,43.74021727665858,-4.102829028290283,-0.6779360386992743,-0.04366812227074235,-0.05789990186457317,-0.010362694300518283,0.4223300970873787,0.14655172413793127,-0.022960229602296156,0.08133971291866016,0.15318869165023008,0.011333914559721103,0.0
43,-0.057382553655188406,-0.07770793172832036,0.00597562258267037,0.19299223852281977,0.6202617138032924,0.836226028566551,0.7714285714285716,0.7714285714285716,0.6004899459018067,-0.8163220002593514,-0.8722942039030417,-2.5540315547451042,3.271194926568758,-0.15068493150684914,0.030208333333333393,0.1361256544502618,0.0,-0.4022556390977443,-0.16281997482165333,0.07079646017699126,0.06727480045610035,0.07931034482758625,0.0
42,0.011753629491644046,0.01724733061134187,-0.004382608395723908,-0.12708782146675335,-0.2642507294706128,-0.31436717491012767,-0.30645161290322587,-0.30645161290322587,-0.2746045918367347,-0.44900083762115595,-0.7125095762453735,-1.2079485740523443,-0.1592622982846872,0.004301075268817067,0.0667340748230536,0.0875576036866359,-0.005119453924914752,0.0,-0.11979949874686724,0.0702479338842974,-0.015491452991453047,0.12539936102236404,0.0
41,0.013354523009862396,-0.026462376520023922,-0.006547637091151581,0.015650868090815617,-0.010304167699444089,-0.013153136864943016,-0.023255813953488413,-0.023255813953488413,0.3696611629828912,-0.45578430733815445,-1.2898834558705494,-5.599116781157998,0.8712181066133755,0.12205567451820132,-0.03696682464454981,-0.012711864406779627,-0.00857632933104624,0.13207547169811318,-0.011958997722095521,0.0656370656370655,-0.02007596310363524,-0.005677785663591117,0.0
40,0.0181914422230669,0.025464795024727094,0.001835134322242693,0.05005271896549646,0.12211091234347049,0.15632299729766874,0.1428571428571428,0.1428571428571428,-0.07647572341900533,1.2764620203914685,-5.160593642706834,-1.244905579857036,-0.11402528375928267,0.037213740458015065,0.08267716535433078,0.06866952789699554,0.0,0.04444444444444429,0.04841498559077806,0.05797101449275366,-0.01605758582502781,0.054246966452533796,0.0769230769230771
39,0.021577401234800675,0.16579337622704182,0.020765167600682144,0.1424581327978025,0.6067978190861845,0.7538619979402679,0.7708333333333333,0.7708333333333333,0.4286389479683612,0.07786561957684013,-0.6868711068519406,0.839032890437813,-0.2366842341332137,-0.015639374425022945,0.11545454545454548,0.08032128514056236,0.01730103806228378,-0.015957446808510523,-0.08081363386476104,0.06164383561643838,-0.0005627462014631268,0.09952606635071093,0.0
38,0.014283026980543845,0.018659424541948022,-0.005983474315283788,-0.03031741862485604,-0.4694408064452117,-0.5343059758796693,-0.5411764705882353,-0.5411764705882353,-0.6100396995290547,-0.08137227796841706,4.760435263113151,-0.39192230249911164,-0.18854897352087852,0.09439252336448622,-0.015484922575387139,-0.029739776951672847,-0.006802721088435382,0.07567567567567557,-0.021531100478468845,0.05483870967741944,-0.020270270270270396,-0.05295566502463056,0.0
37,0.0019555647768472184,0.014016301713166257,-0.0552806969960431,-0.012647809553576028,-1.697198638590717,-2.200678952473327,-2.2051282051282053,-2.2051282051282053,-0.3698879656660927,-0.7143249152437351,-0.5176210153482881,-5.999220880405142,1.1616202760805612,0.024765157984628416,-0.4105960264900662,-0.34865900383141757,-0.05650684931506855,0.03015075376884413,0.044009779951100114,0.05504587155963314,-0.05689655172413788,-0.43498049414824447,0.0
36,0.024330463469854458,0.030256274420387808,-0.005854270758036684,0.03549081470069959,-2.896679362695134,-2.180992002585023,-2.1914893617021276,-2.1914893617021276,2.5923652635330456,5.216496761999195,1.9005996451079974,-1.5882490454297513,-0.3161156592198656,-0.010833333333333361,0.074438202247191,0.0235294117647058,-0.00907441016333932,0.04878048780487809,0.6937939110070259,0.0608695652173914,-0.029250457038391242,0.028768699654775576,0.0
35,0.02655891580620251,-0.033521124689597226,0.3437091217905255,0.1511140322720348,0.3818870912999208,0.461814699545128,0.3214285714285714,0.3214285714285714,-0.4369695099098304,-0.8928498442367602,0.03905747344661381,-9.484037620876938,3.9216238557389094,0.035383319292333626,-0.08235294117647063,-0.028735632183908066,0.1410256410256412,0.04651162790697683,-0.026961631524369256,0.05737704918032782,0.3088512241054613,-0.055928411633109465,0.0714285714285714
34,-0.003559710824187934,-0.005320594870294126,0.003126077774776359,-0.09644222938281222,-0.23142576446027263,-0.2645641289598053,-0.31081081081081074,-0.31081081081081074,0.47913933864557423,1.3600967576871192,-1.7085938768880948,-1.3512319270524311,-0.27986687816864175,0.10496338486574452,0.08974358974358965,0.10059171597633143,0.0016051364365969878,-0.03111111111111109,0.2046181172291297,0.056847545219638196,0.006714628297362246,0.14218009478672977,0.0
33,0.0054358624744210715,0.006540508053385796,0.0012770202409402298,0.03160101695413409,0.08686852547202473,0.10377298466628493,0.0980392156862746,0.0980392156862746,0.3105493050959629,0.1629052922045926,0.0975001790702672,-0.18650811291398084,-0.3161490951496566,0.150957290132548,0.6352941176470588,0.5591397849462367,0.0,0.14678899082568808,0.04777351813624309,0.05134474327628369,-0.004287756074321192,0.7116182572614109,0.0
32,0.23292062704205474,0.2986189666384351,-0.015725036409552917,0.22684362980198491,0.2394090118344645,0.28161747751902233,0.26785714285714257,0.26785714285714257,0.2013291318224053,9.429881355932203,-6.769132370025193,0.4874176890078963,-0.6876436854205088,-0.021753039027511245,0.04236610711430866,0.02758620689655178,-0.017628205128205177,-0.019999999999999907,-0.4469462426118773,0.05581395348837215,-0.20143540669856463,0.033939393939393936,0.0
31,0.043846645272137996,0.04699440029887092,0.028128810291212503,0.18971516598867466,0.5876561758658865,0.6685182269997976,0.676056338028169,0.647887323943662,0.40388915978679396,-0.608891012296807,-0.7678645365503791,-1.5310995995444359,1.16920090585571,0.0457815565729236,0.20015337423312896,0.1006711409395975,0.021207177814029254,0.06530612244897949,-0.016284987277353724,0.05066079295154169,-0.015578190533253378,0.10492379835873389,0.0
30,-0.005420679148590679,-0.009290144777613585,0.01425544806836454,-0.10895125188693977,-0.35763914830033616,-0.3865946033371971,-0.38655462184873945,-0.3846153846153846,-0.2618587075640618,-0.8838220996036132,-2.216737005233969,-2.021617321527393,-0.5506524981357196,0.05628517823639778,0.06837060702875397,0.0030487804878047697,0.012779552715654896,0.034482758620689724,-0.09777547853078106,0.05031446540880502,0.020085209981740793,0.004774535809018543,0.0
29,0.07065859911577332,0.08371051796409712,0.005830673164236133,0.039432320628580486,-0.011339846475924675,-0.03210212915558874,-0.04109589041095896,-0.02777777777777779,-0.06612039591108232,17.928865205107112,-4.284885770130411,-0.8615973186173274,-0.1696054433058125,0.13380698638247468,0.0388755980861244,-0.03039513677811556,-0.1151419558359621,0.11851851851851847,0.0584862385321101,0.04790419161676662,-0.06085918854415262,-0.022175290390707536,0.0
28,0.14290175220775292,0.11178240149312013,0.3094372051795016,0.14991200862701848,0.2044977746407075,0.3946197502837685,0.24285714285714288,0.22857142857142865,-0.15197637042828593,-0.21714436865871867,0.060891745839754874,-29.942270058708417,5.911366475143642,0.15143603133159278,-0.008059873344847368,-0.01567398119122254,0.30659536541889487,0.3013245033112584,0.10292524377031409,0.043809523809523965,0.14612452350698857,0.018898488120950407,0.0
27,0.0814764665460399,0.08948960725165378,0.04506702119339945,0.17541276556748575,0.6178112740709392,0.6178112740709392,-0.4482758620689655,-0.4651162790697674,1.4842341419439435,0.8677372798316367,-0.0719815558038075,-2.0789242367896144,-0.9228155655637564,0.16009070294784578,0.01915264074289036,0.0031847133757962887,0.0300136425648021,-0.11195928753180662,0.10952848722986253,0.39963503649635035,-0.033813747228381374,0.04398516163222044,0.0
26,0.0342869176200058,0.042059084323413876,-0.002528722007604123,-0.060303179144933994,-0.40512340648173306,-0.40512340648173306,-0.4374999999999999,-0.4130434782608695,-0.44955278534933873,-0.8111107378127415,-0.9728653273127633,-0.9863772384727466,-0.1628734663294933,0.20132916340891338,-0.023348519362186737,-0.04761904761904767,-0.0026490066225165476,0.16618911174785111,0.13235945108455072,0.03780964797913944,-0.035570854847963296,-0.01370558375634523,0.0
25,0.1247783248994978,0.14836257834785482,0.008069332036958698,0.04054648284635709,-0.13488828374744177,-0.13488828374744177,-0.14814814814814814,-0.14814814814814814,0.5560966108297625,7.902707657787081,99.41013235965313,-4.638297872340425,0.7078764824345491,-0.04490725675235918,-0.04431486880466484,-0.08666666666666656,0.005312084993359889,-0.04176904176904184,-0.06802189210320553,0.03768844221105527,-0.10350981558596073,-0.0375707668553783,0.0
24,0.034935233047915126,0.04968627261706127,-0.0482207390913475,0.056492294934696874,0.25074294205052006,0.25074294205052006,0.26086956521739113,0.26086956521739113,-0.14762606275937107,-0.6693517650494091,-0.7645921383136074,-0.09941520467836262,0.3732721912872585,0.015332197614991383,0.009762050030506453,-0.054744525547445355,-0.04887714663143994,0.01025641025641022,0.018036912751677736,0.07869249394673128,-0.08029197080291972,-0.03743315508021394,-0.06666666666666654
23,1.2291011890966508,1.3720098814481778,0.34061078281060686,0.679273762833301,0.4632423053475685,0.4632423053475685,0.48275862068965525,0.4482758620689655,0.31975713075402434,15.674826109286798,25.878534989785553,2.2674622674622675,0.8881362400419788,0.12046979865771812,-0.08640483383685804,-0.28957528957528955,0.2333333333333334,0.17766497461928932,0.11742892459826959,0.0,-0.398989898989899,-0.1744444444444444,-0.14285714285714302
22,0.0012204773777757527,-0.030232816093843318,-0.008637286237547559,0.06295008486726106,-0.8604285958465089,-0.8604285958465089,-0.8604651162790697,-0.8571428571428572,-0.4199552346755798,-0.9846220872256386,-1.0022473763368311,-0.4868406918036309,0.24137843915009727,0.019466906259359096,-0.2222222222222222,-0.34782608695652173,-0.009009009009009028,-0.17456896551724133,0.05346607669616521,0.03928170594837255,-0.009603841536614532,-0.30619111709286684,0.0
21,-0.015192923778604595,-0.010496038048312895,-0.03783936941758104,0.08079962454177614,-0.7970149253731343,-0.7970149253731343,-0.8333333333333333,-0.8333333333333333,0.8010919688641311,-1.162109498907911,15.659250735200104,-0.8519991626543856,0.02877785692479895,0.0916568742655699,-0.2551020408163265,-0.3500000000000001,-0.039772727272727404,0.10182767624020883,0.32061603080154,0.0388768898488121,-0.023030303030303068,-0.3385063045586809,0.0
20,-0.0020351518266088497,0.0042599145974888675,-0.04593287298385129,-0.013257909170216853,-3.576923076923077,-3.576923076923077,-4.0,-4.0,-0.21075248554960657,-8.990328171297591,-0.6947164829766985,-22.082743988684584,-0.5897446042453857,0.17007534983853612,-0.4337899543378996,-0.4871794871794871,-0.04852071005917158,0.2203791469194314,0.5001325205406839,0.03638253638253652,-0.043424317617866026,-0.48240469208211145,-0.08333333333333326
19,-6.638430419037e-06,0.0008248557107723986,-0.008935850356808439,0.11051730153192296,-10.755633596722271,-10.755633596722271,-10.333333333333334,-10.333333333333334,0.3996802723913133,-1.5304254738565521,2.311356094127112,-3.7524403743584585,3.9566496287009354,-0.004829806807727599,-0.24395161290322576,-0.25,-0.01741293532338295,0.044660194174757084,0.6876325088339221,0.04112337011033107,-0.00907911802853445,-0.3031161473087818,0.09090909090909083
18,-0.005702568129418939,-0.004896150100284213,-0.010035604200488546,-0.013929151136942375,-0.6548072596370181,-0.6548072596370181,-0.6428571428571428,-0.6428571428571428,-0.2731951881572897,-2.748911753066878,-0.6167068425548068,-1.4577285413086662,-0.3653821832650719,0.121562283337185,0.16266666666666674,0.1333333333333333,-0.010126582278481067,0.1412639405204461,0.6122278056951425,0.038535645472061564,-0.005235602094240788,0.08943089430894302,0.08333333333333348
