,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
22,-0.006362472705368605,-0.03692824171212761,-0.01525621466391458,-0.07282913165266103,0.03965161586064636,0.12865002115954294,0.6991869918699187,0.6991869918699187,0.75,0.75,1.4829931972789114,-0.34246575342465757,-0.09913793103448276,-1.691823899371069,-0.2676767676767676,-0.07331917905166319,0.03373155305692199,0.1519999999999999,0.039879608728367266,-0.014198782961460377,0.03674081479630087,inf,0.04625684723067547,0.01716068642745694,0.02499999999999991,0.03874157303370773
21,-0.006362472705368605,-0.03692824171212761,-0.01525621466391458,-0.07282913165266103,0.03965161586064636,0.12865002115954294,0.6991869918699187,0.6991869918699187,0.75,0.75,1.4829931972789114,-0.34246575342465757,-0.09913793103448276,-1.691823899371069,-0.2676767676767676,-0.07331917905166319,0.03373155305692199,0.1519999999999999,0.039879608728367266,-0.014198782961460377,0.03674081479630087,inf,0.04625684723067547,0.01716068642745694,0.02499999999999991,0.03874157303370773
20,0.00394043875269956,0.05315904139433547,-0.008931012485190903,0.06747230614300093,0.0656966490299824,0.12865002115954294,0.6991869918699187,0.6991869918699187,0.75,0.75,1.4829931972789114,-0.34246575342465757,-0.09913793103448276,-1.691823899371069,0.2528735632183907,0.025507866198258844,0.03373155305692199,0.1519999999999999,0.06584659913169322,-0.014198782961460377,0.03674081479630087,inf,0.061082024432809856,0.01716068642745694,0.02499999999999991,-0.013412945655936426
19,-0.00652904102351215,-0.0012412081092263438,-0.008091954022988457,0.009433962264151052,-0.009102192800993003,-0.008623922009748819,-0.12440191387559807,-0.12440191387559807,-0.09523809523809523,-0.09523809523809523,0.0602739726027397,0.6458333333333333,0.4449760765550239,-1.018181818181818,-0.003669724770642202,0.09636580280011908,0.03373155305692199,0.1519999999999999,-0.00950441276306857,0.028806584362139898,0.03674081479630087,inf,-0.002192982456140413,0.01716068642745694,0.02499999999999991,-0.010613104113674221
18,-0.007559641391885696,0.035211267605633756,-0.007555390748122726,0.05467289719626178,-0.007933194154488565,0.06959152798789714,-0.13661202185792354,-0.13661202185792354,-0.1578947368421053,-0.1578947368421053,0.20671834625323005,0.39240506329113933,0.08278145695364247,-12.5,0.0423572744014733,-0.03708735226192095,0.03373155305692199,0.1519999999999999,-0.007539410555174708,-0.027999999999999914,0.03674081479630087,inf,-0.0005494505494504365,0.01716068642745694,0.02499999999999991,-0.018439716312056653
17,-0.008421052631578996,-0.00400160064025612,-0.005978235486432171,0.018165706690296934,-0.018939393939393923,-0.08097595473833097,-0.05063291139240511,-0.05063291139240511,-0.0625,-0.0625,-0.3875802997858673,-5.2272727272727275,1.3272171253822629,-1.8260869565217392,-0.03356890459363959,0.15166478555304752,0.03373155305692199,0.1519999999999999,-0.02209944751381221,0.16049382716049365,0.03674081479630087,inf,-0.010445299615173265,0.01716068642745694,0.02499999999999991,-0.021766618497109813
16,0.005635977610499943,0.004821213338690233,-0.014142743034346705,0.05570060922541331,0.09502359502359492,0.12427856868026166,0.07333333333333325,0.07333333333333325,0.06666666666666665,0.06666666666666665,0.26573426573426584,-1.4451612903225808,-0.7490144546649146,0.894736842105263,-0.06581352833638021,0.08232267548695327,-0.08157715839564927,0.1519999999999999,0.09533898305084754,0.1063829787234043,0.03674081479630087,inf,0.08888888888888902,-0.09049079754601219,0.024390243902439046,-0.04819499584525899
15,-0.004567962842117357,0.057976809276289565,-0.01096177676103327,0.054410552349546615,0.021351616062683654,-0.00924024640657084,0.7329192546583851,0.7329192546583851,0.7500000000000002,0.7500000000000002,-0.0524861878453039,-2.241545893719807,1.486910994764398,-4.25,0.22896281800391383,-0.1604980192416524,0.12213175425610667,0.1519999999999999,0.02127659574468077,-0.23397435897435892,-0.09691417550626802,inf,0.02602040816326534,0.12141652613828002,0.023809523809523725,0.003395091667474981
14,-0.008329477093937943,-0.023053665910808818,-0.047561680801850414,-0.035574667709147745,0.1478711162255466,-0.013471502590673534,1.9175627240143371,1.9175627240143371,1.964285714285714,1.964285714285714,0.17492711370262382,-1.4785992217898833,-0.37473684210526315,-1.1623931623931625,-0.030254777070063743,-0.04584063637589331,0.7671503957783641,0.8819444444444444,0.1477272727272727,-0.06485355648535573,-0.16043780032034172,2.0,0.15713575335653895,0.8736842105263156,0.023255813953488413,0.012954369682907974
13,0.00019443148234565832,0.059187620889748604,-0.012598026815077157,0.03161734900689095,0.042105263157894646,-0.03711484593837533,-0.6203931203931203,-0.6203931203931203,-0.6265060240963856,-0.6265060240963856,-0.22580645161290325,-0.2195121951219512,-0.5387205387205387,-5.368421052631579,0.13628899835796382,-0.172248127737742,0.03546099290780114,0.11623616236162371,0.03960396039603964,-0.279642058165548,-0.5627980922098569,0.11111111111111116,0.04211431027073487,0.0979133226324238,0.0,0.026722656995609828
