,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
24,0.16073637234261162,0.18704514506327907,0.22288801125788726,0.27331839657103885,0.14635529760915778,0.15517297876756042,0.1665013280424974,0.1665013280424974,0.16129032258064502,0.16393442622950816,-1.006372844237613,0.2544953003677972,0.15488733992543358,-1.1219058477602089,0.35267962015699106,0.032602979842243585,-0.03774442928603916,0.025962399283795845,0.1365384615384615,0.035304501323918824,-0.19218695500523197,-0.01243689200837339,0.010010010010010006,-0.0393258426966292,-0.06774595267745964
23,0.16073637234261162,0.18704514506327907,0.22288801125788726,0.27331839657103885,0.14635529760915778,0.15517297876756042,0.1665013280424974,0.1665013280424974,0.16129032258064502,0.16393442622950816,-1.006372844237613,0.2544953003677972,0.15488733992543358,-1.1219058477602089,0.35267962015699106,0.032602979842243585,-0.03774442928603916,0.025962399283795845,0.1365384615384615,0.035304501323918824,-0.19218695500523197,-0.01243689200837339,0.010010010010010006,-0.0393258426966292,-0.06774595267745964
22,0.14091572607718228,0.14625042155930967,0.084865133010944,0.043310700965860205,0.154750957088452,0.15517297876756042,0.1665013280424974,0.1665013280424974,0.16129032258064502,0.16393442622950816,-1.006372844237613,0.2544953003677972,0.15488733992543358,-1.1219058477602089,-0.03178410278554844,0.17721948735359017,-0.03774442928603916,0.025962399283795845,0.15059221658206434,0.035304501323918824,-0.19218695500523197,0.012219451371570988,0.010010010010010006,-0.0393258426966292,0.09865526761065113
21,0.17519238494086453,0.18892952960048026,0.19141649324835064,0.2614826900338225,0.17143007595053583,0.36731716607929465,0.5749684516624602,0.5749684516624602,0.5694444444444444,0.563380281690141,-231.54725085910653,0.23454678719765454,-0.9133623412169275,-11.312576913610632,0.33853606984669726,0.11881759192501806,-0.03774442928603916,0.025962399283795845,0.1705882352941177,-0.02728047740835471,-0.19218695500523197,-0.0032027593003202126,0.010010010010010006,-0.0393258426966292,-0.057502755982102416
20,0.10464069342583793,0.11057167442909743,0.07265810821042629,0.1203147649616898,0.11218387265617791,-0.09363197458282657,-0.29874631493230797,-0.29874631493230797,-0.2920353982300884,-0.28828828828828834,-0.322037435207578,0.09862128108714296,5.2434183880113405,-0.3947303102625298,0.153081882944343,0.1287537053744039,-0.03774442928603916,0.025962399283795845,0.11055276381909551,-0.03593339176161259,-0.19218695500523197,0.006796836381611326,0.010010010010010006,-0.0393258426966292,-0.008703579476065149
19,0.11068515493873865,0.10554595539309997,0.053945312309841675,0.046239906605700876,0.12359181033933853,0.0018551379254718725,0.16566276282616532,0.16566276282616532,0.1499999999999999,0.1518987341772151,0.21856586931668276,0.16625135102678046,0.48050600064871873,0.33980000630894924,0.1778703757021185,0.054236126969627874,-0.03774442928603916,0.025962399283795845,0.11877828054298645,-0.050909090909090904,-0.19218695500523197,0.011660734012520102,0.010010010010010006,-0.0393258426966292,0.056688240703788084
18,0.0922168538381285,0.0858285718939178,0.026087458574381328,0.010030096488536477,0.10632693950882888,0.14954077336333182,0.10267638347290586,0.10267638347290586,0.09782608695652173,0.09890109890109877,-1.1054889242718797,0.21908586580170164,-0.38931732538778374,-1.663032985661479,-0.10012470700963616,-0.11708003899057728,-0.036389413988657915,0.025962399283795845,0.10212335692618812,-0.2107279693486589,-0.19218695500523197,0.0128609560786217,-0.0034687809712586892,-0.023391812865497075,0.07504351538638376
17,-0.021878985509940718,-0.07033650468061614,0.07832978093679732,0.10880886256578637,-0.041709852752336296,0.24429280573156475,0.4670998598966134,0.4670998598966134,0.48514851485148514,0.48,-21.257023132509513,0.47204155756398336,-28.963980770610604,-0.4447374027910941,-0.0617813438062097,-0.09261530912659466,0.024031387935262494,0.025962399283795845,-0.016513761467889854,-0.17597087378640774,-0.16191709844559588,-0.02024436990896028,0.015415216310293411,0.0059880239520957446,-0.16155984603164908
16,0.02330467560864724,0.01719945202965323,-0.058807813768646855,-0.08646304404381688,0.04158987861872143,-0.1777876150619977,-0.3985609615542932,-0.3985609615542932,-0.3866666666666666,-0.3986486486486487,-0.6078024109711642,-0.4509396069430498,-0.7903210907952604,-1.2082753769165588,0.03061127803875574,-0.05799648506151134,-0.02634099616858243,-0.02123327515997664,0.05223880597014907,-0.04270986745213545,-0.14116434827408542,0.01785059298202718,-0.013222331047992086,-0.005952380952380931,0.11346122315133633
15,-0.05023416606826492,-0.10091051441164534,0.036704307561295835,0.027020640388268236,-0.0677279654077596,-0.08789121763134333,-0.045372915320681995,-0.045372915320681995,-0.03260869565217395,-0.022471910112359605,0.5051936449161483,0.49319399085564997,3.1338856324722526,-14.079143317724725,-0.1740506393767839,-0.2022101033295064,-0.021888834235120558,-0.02407132243684995,-0.04255319148936154,-0.2415384615384616,-0.22075584883023402,-0.0183783783783783,-0.02977667493796532,0.0059880239520957446,-0.1245602840360609
14,-0.05347115855480644,-0.10453780382181332,0.13635906639656548,0.14200884955752202,-0.09821897396549573,0.14605441314434953,0.10771701413782231,0.10771701413782231,0.146067415730337,0.16091954022988508,-0.595256569326101,-0.2280147676371781,0.17864701894812862,1.2126691786691084,-0.46627130383159765,-0.24950530670983995,0.026401810409856674,0.00974421437271622,-0.05185185185185193,-0.21703853955375252,-0.2424942263279446,-0.04735682819383269,-0.0322250639386189,0.04166666666666674,-0.21588233095353793
13,0.04721441676721927,0.023048388933867292,0.04342800777073319,0.09280598025008979,0.04859258881809936,0.23672787418549524,0.5252775246458454,0.5252775246458454,0.5882352941176472,0.5742574257425743,4.016643844692787,0.06473181400936068,-0.48595689748271453,-1.7036676489858062,0.6147318563010236,-0.012224352828379637,0.010779029887310276,-0.0012062726176116367,0.0751953125,0.041450777202072464,-0.014227642276422814,0.0012845215157353262,-0.028012684989429215,0.028571428571428692,-0.06383029436300791
12,0.012857225722974874,0.0048920634710480915,0.023464082237945938,0.02938048077150346,0.010205316118790941,-0.14226618074403985,-0.40383113929378855,-0.40383113929378855,-0.38888888888888895,-0.37735849056603776,-0.5286241831158791,-0.09952848764807931,-0.08322462440454381,-0.9804019873191547,0.007429433299417587,0.1417131764134918,0.022297624818225836,0.003925120772946933,0.027247956403269713,0.062189054726368154,0.1123711340206186,-0.0025657472738934706,-0.03317020119630232,0.03888888888888897,-0.023805280444025745
11,0.048270219728845154,-0.2477542220625225,0.6446324695928081,0.6117106773823191,-0.12080974094302754,-0.17583311433970295,-0.16241039043860994,-0.16241039043860994,-0.1515151515151515,-0.16161616161616166,0.20481927710843384,5.237441195243611,-0.16755932871813728,-71.18657434121947,-0.5198005698005699,0.03145589798087145,0.009957325746799306,-0.045112781954887216,-0.08222811671087527,0.004683840749414525,0.008341056533827773,-0.16128617363344044,-0.03318335208098999,-0.010695187165775444,-0.5332533514162016
10,0.02400862229159695,0.04776689754000474,0.1489817792068595,0.18578145034905247,-0.042231847714578774,0.10152849478692172,0.09381373215499655,0.09381373215499655,0.15476190476190488,0.14457831325301207,-0.9302325581395349,-0.8904680689785863,-0.2714468629961587,-0.587010139764319,-0.44704835360427175,0.02699361219864005,-0.013380281690140827,-0.07055118110236225,-0.014450867052023142,0.11888111888111874,0.03676470588235281,-0.06471400092010426,-0.030831878999418305,-0.043243243243243246,-0.1163947250782299
9,0.0056981090988277305,0.03920674720765893,-0.14505597014925375,-0.19283912050943175,0.10211246652781902,0.24315383201617347,0.6861404599129894,0.6861404599129894,0.7113402061855669,0.7263157894736842,23.093333333333334,-0.18166089965397925,1.7082601054481548,-2.210351692103517,0.9785407725321889,-0.051966292134831504,-0.013561741613133393,-0.05116909522195845,0.11436950146627556,-0.03749999999999998,-0.03900709219858156,0.09591736350221347,-0.021008403361344574,-0.02824858757062154,0.2874849807120723
8,-0.13042223024179,-0.14842436206770493,-0.11118385160938349,-0.15778505507591545,-0.14011122509583718,-0.2128917800118273,-1.0987836343531145,-1.0987836343531145,-1.0963855421686748,-1.0975609756097562,-0.7400848551927688,-0.6173361522198731,-0.13887086307592478,-1.763157894736842,-0.37744034707158347,-0.15788359788359785,-0.22527737578388818,-0.25714285714285723,-0.10350877192982455,-0.24458874458874458,-0.16789667896678973,-0.011220825852782723,-0.24647455548743102,-0.01744186046511631,0.011100741686723481
7,0.001411022576361276,0.017429380956469398,0.020991897863982256,0.02686461647225169,-0.007346477458244349,-0.1055597295266717,-5.682835820895522,-5.682835820895522,-6.0625,-6.0,0.37899219304471266,-0.10497237569060769,-0.48116051243406177,-1.3168103448275863,0.19207317073170738,-0.10354360392058304,-0.014009962640099682,-0.013461538461538414,0.020547945205479312,0.0,0.21286031042128606,-0.008624602814344184,-0.030919446704637865,0.01775147928994092,-0.009181442798153916
6,0.04919187733112307,0.12295358649789034,-0.12648791631597933,-0.18296041308089506,0.14175469669175778,0.20390592188156242,0.6167330677290837,0.6167330677290837,0.654320987654321,0.6499999999999999,-0.30622748327328875,3.9259259259259256,0.11401597676107489,-3.165532879818594,-0.34892217756667887,0.1410148584244464,0.05936217240290498,0.1028265107212476,0.13806327900287618,0.11747851002865328,0.15173674588665453,0.08821733821733813,0.06465155331654082,0.03488372093023262,0.37438713473230045
5,0.6656001895959236,0.08559404824528438,1.9408121128699243,0.5211712660627765,0.15063711911357336,0.25597418454561316,0.08132084770823056,0.08132084770823056,0.07462686567164178,0.07575757575757569,3.0370919881305634,16.55388471177945,-7.467405475880052,-2.4575916230366492,0.7811447811447811,0.36363636363636354,-0.11952309985096876,-0.20415377817057,0.1499578770008425,0.19999999999999996,0.2238095238095239,-0.30925666199158486,-0.10725552050473186,-0.10674157303370779,-0.2863156392694064
4,-0.03742174160500855,-0.1263325488024366,-0.04633746782120285,0.32987120897382627,-0.02850402041504163,-0.1809596555794737,-0.7989972652689152,-0.7989972652689152,-0.7916666666666666,-0.8028169014084507,-0.6523337008452774,-0.9738720731010851,-1.3138796492289084,-2.1063218390804597,-0.48519218651543794,0.1526126126126126,0.0714285714285714,-0.005552470849528035,-0.01391941391941387,0.002136752136752351,0.22762645914396895,0.009340101522842703,0.1077738515901061,-0.10062893081761015,-0.3430470858742377
3,-0.024193151022419368,0.02543380080817692,-0.058012269938650274,-0.015203582213891509,0.010011399117807462,0.019499788045782118,3.2267573696145124,3.2267573696145124,3.166666666666667,3.3571428571428568,0.09038054968287534,0.11202185792349728,-0.5077071290944124,-1.044155844155844,0.041615667074663465,-0.006565577614506823,0.03949447077409163,-0.012841987716359582,0.014115898959881079,0.006396588486140553,-0.12097200211304804,0.035003017501508804,0.047846889952152916,-0.055944055944055826,0.04123868218823712
2,0.03698747727731777,0.1390047906042342,0.0024488094617829415,0.05519720841704556,0.06958143186613674,0.04266112266112265,-0.2618025751072961,-0.2618025751072961,-0.264,-0.25409836065573765,-0.7217644207464857,-0.47911547911547914,-0.6823222439660797,-3.161764705882353,-0.08636897767332552,0.09771833202203006,-0.14072948328267476,-0.18665158371040724,0.063003663003663,0.08262711864406791,-0.011418269230769273,0.0314868804664723,-0.11948249619482487,-0.0814814814814816,0.07943003288271822
1,0.4677281912692035,1.3332881079981007,0.95493762993763,0.39031967130975054,0.03853741340551453,0.14691338331472314,0.4505813953488371,0.4505813953488371,0.4565217391304348,0.4615384615384617,7.9198606271777,6.25,-35.36755646817249,-139.1360544217687,13.058520900321543,-0.24928325688073405,-0.05482844004244791,-0.1300417246175245,0.035148173673328786,-0.29354207436399227,-0.16899696048632218,-0.2924439419634445,-0.032843560933448535,-0.09677419354838701,0.6782426211751962
0,0.103111936832327,-0.49731065561854926,0.1203573232658921,0.11143145451924452,0.07302204355700836,-0.06557719054242006,-0.9028056112224448,-0.9028056112224448,-0.9104477611940298,-0.9097744360902256,-1.1595703125,11.422901756668836,-1.0123678078508693,-1.9916773367477592,-0.9213210740588262,-0.18273820889822423,-0.08757485029940126,-0.16306954436450827,0.07123834886817582,-0.21052631578947367,-0.1631309436722751,-0.027163781624500616,-0.07327971403038425,-0.09821428571428581,-0.5476987616473721
