,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Equity to assets ratio,Net margin,Asset turnover,Current ratio
21,0.07569556792120746,0.04337961315832639,0.20607389646301866,0.20752004096826937,0.02111470084564737,0.15231328486450768,-1.3540881896742742,-1.3540881896742742,-1.2857142857142856,-1.5,-0.480979833265468,6.83906280007682,-473.12439024390244,-2.9895355504587156,0.03954043315365552,0.01236053380004365,0.6433823529411764,0.6195652173913044,0.01941747572815533,-0.19991095280498672,-0.32938606130337544,-0.05078734572279753,0.5945945945945945,0.012048192771084265,-0.13595950418586544
20,0.07569556792120746,0.04337961315832639,0.20607389646301866,0.20752004096826937,0.02111470084564737,0.15231328486450768,-1.3540881896742742,-1.3540881896742742,-1.2857142857142856,-1.5,-0.480979833265468,6.83906280007682,-473.12439024390244,-2.9895355504587156,0.03954043315365552,0.01236053380004365,0.6433823529411764,0.6195652173913044,0.01941747572815533,-0.19991095280498672,-0.32938606130337544,-0.05078734572279753,0.5945945945945945,0.012048192771084265,-0.13595950418586544
19,0.44396497583742645,0.48223083881058404,0.24237868078623337,0.23237150733195233,0.5436420803560622,0.0,0.0,0.0,0.0,0.0,-0.480979833265468,6.83906280007682,-473.12439024390244,-2.9895355504587156,-0.0756748799092708,-0.1843327930848191,0.6433823529411764,0.6195652173913044,0.45238095238095233,-0.19991095280498672,-0.32938606130337544,0.06904797489164549,0.5945945945945945,0.012048192771084265,0.20275649692053488
18,0.08894731239777642,0.07711794712140474,0.18726027066798534,0.1644496799156443,0.04982247403512763,0.3511715277180303,-4.122027534418022,-4.122027534418022,-3.5,-3.0,1.6102485754397557,-0.7031905858526467,-0.9381622247134127,-1.115282080841559,0.009438191642481275,0.11445224533050746,0.6433823529411764,0.6195652173913044,0.040983606557376984,-0.2326099053978854,-0.32938606130337544,-0.03592898084719709,0.5945945945945945,0.012048192771084265,-0.07499921940862408
17,0.1973407889343186,0.03837147289518339,0.20553822813273603,0.1360837788378111,0.19365143716745647,0.2109298722248163,-0.43656043295249547,-0.43656043295249547,-0.4,-0.25,-0.2565372142687653,0.8152040830364145,1.4950710108604843,-18.46,-0.1632500409060097,0.23986687269701656,0.6433823529411764,0.6195652173913044,0.1669291338582679,0.19144307469180566,-0.32938606130337544,-0.003045243619489546,0.5945945945945945,0.012048192771084265,-0.08600843881856535
16,0.07854019006954238,0.0901464690754663,0.12242862801169707,0.12981824245456064,0.05859099179621419,0.10438330112573224,-0.18107435076485234,-0.18107435076485234,-0.33333333333333326,-0.33333333333333326,0.8639729350185115,-0.09794693404269827,-0.4949106006830509,-0.7221685280641466,-0.05420496130960695,0.04103154060013425,0.6433823529411764,0.6195652173913044,0.04183535762483115,-0.10833840535605599,-0.32938606130337544,-0.018472727272727307,0.5945945945945945,0.012048192771084265,-0.03512205931233148
15,0.12509685568990547,0.1510490869424237,0.18603999299246698,0.22611696224053657,0.09572504830760553,0.204699477835796,3.999131190269331,3.999131190269331,4.5,4.0,-0.20945629715877312,-0.08117622348246167,1.6279085183957576,-0.9713328609160601,-0.001642957619077512,0.004972833594253601,0.6433823529411764,0.6195652173913044,0.07901554404145084,-0.034812286689419825,-0.32938606130337544,-0.02608180201541188,0.5945945945945945,0.012048192771084265,-0.06120339891296023
14,0.09201999522545279,0.09696828710724503,0.09344469156330582,0.12723079404591942,0.0912767606315994,0.06945240400766761,0.9652415710809872,0.9652415710809872,0.909090909090909,1.0,0.4992491408438502,0.2116803672174319,-0.37871449472781393,11.289887640449438,-0.020224993343392228,0.3467424173004674,0.6433823529411764,0.6195652173913044,0.078031212484994,0.24752475247524752,-0.32938606130337544,-0.0007608034083993465,0.5945945945945945,0.012048192771084265,-0.026868349166225047
13,0.11820087285330816,0.041662938399481764,0.11338119222678933,0.09329215681249314,0.12072019545222545,0.11997351442078186,-0.8348956490979837,-0.8348956490979837,-0.8571428571428572,-0.85,0.1958605014013426,0.13514900424863985,0.014292094685127266,-0.5851161089778754,-0.008564235541011378,0.23535415390896097,-0.06487695749440714,-0.07046979865771819,0.10356347438752778,0.14625850340136037,-0.32938606130337544,0.0022841480127913094,-0.08757062146892647,0.023809523809523725,-0.04721803251215029
12,0.862768075072869,1.2091981273890822,0.06274969971037003,0.06647262214061067,1.2782117645364561,0.08056679159986913,-1.9006427423674344,-1.9006427423674344,-2.0,-2.0,0.014988120645914815,1.3945765911901185,53.68207837956847,-500.6130453944469,4.315765028362584,0.1974553866490416,-0.4043062200956937,-0.3537906137184116,1.1392532795156405,0.08506429277942651,0.19745922812969874,0.22303251291400805,-0.22910216718266263,-0.16279069767441867,1.071544786948683
