,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
96,0.03519231325789374,0.0401908124553958,0.04825680272108834,0.06927281368821303,0.008146444316657009,0.005987522505547904,-0.03353658536585369,-0.03353658536585369,-0.02857142857142847,-0.02857142857142847,-3.928270042194093,-1.2727272727272727,-1.432608695652174,-1.8487046632124353,0.28348909657320864,0.05434782608695654,-0.01344743276283622,-0.11111111111111105,0.014529914529914478,0.08376963350785327,0.5193939393939395,1.0,-0.026158940397351005,-0.07228915662650603,0.047457627118643986,-0.02718593917936407
95,0.03519231325789374,0.0401908124553958,0.04825680272108834,0.06927281368821303,0.008146444316657009,0.005987522505547904,-0.03353658536585369,-0.03353658536585369,-0.02857142857142847,-0.02857142857142847,-3.928270042194093,-1.2727272727272727,-1.432608695652174,-1.8487046632124353,0.28348909657320864,0.05434782608695654,-0.01344743276283622,-0.11111111111111105,0.014529914529914478,0.08376963350785327,0.5193939393939395,1.0,-0.026158940397351005,-0.07228915662650603,0.047457627118643986,-0.02718593917936407
94,0.027258240375744425,0.025385476474199198,0.03139322652605969,0.047449716635181716,0.019678676680292773,0.07429451427620082,0.03785488958990535,0.03785488958990535,0.02941176470588225,0.02941176470588225,-3.7953890489913547,-0.9166666666666666,-1.1055276381909547,-3.31013431013431,-0.5102481121898598,0.09995517705064993,-0.01344743276283622,-0.11111111111111105,0.011794439764111209,0.08376963350785327,0.5193939393939395,0.52,-0.007480448826929553,-0.07228915662650603,0.047457627118643986,-0.021056736205888105
93,-0.08551055954713693,-0.13262431328356106,-0.09725116992410243,-0.1287396562698918,-0.007458512026850661,0.00023245902909607707,0.1550151975683891,0.1550151975683891,0.15714285714285725,0.15714285714285725,-1.784020618556701,28.51851851851852,-63.04761904761905,-1.5364693446088795,0.4361233480176212,0.04034229828850866,-0.01344743276283622,-0.11111111111111105,0.032472939217318864,0.02898550724637694,0.5193939393939395,0.3157894736842106,0.08530318602261056,-0.07228915662650603,0.047457627118643986,-0.004514372966872404
92,-0.031902862924825914,-0.05286236297198543,0.005750130684788246,0.007245053272450619,-0.1130941198572234,0.034434674826664624,-1.4763157894736842,-1.4763157894736842,-1.5061728395061729,-1.5061728395061729,-1.5404339250493098,-1.4843161856963614,-0.8119723714504988,-2.431527093596059,-0.5571319018404908,-0.06619663141402277,-0.01344743276283622,-0.11111111111111105,-0.11048387096774204,-0.09859154929577463,0.5193939393939395,0.26,-0.08364898989898994,-0.07228915662650603,0.047457627118643986,-0.05961987329109708
91,0.04073163233937893,0.043081275720164625,0.06366943866943875,0.09018375241779486,-0.015356915907646651,0.022579195686362574,-2.552486187845304,-2.552486187845304,-2.5609756097560976,-2.5609756097560976,-1.313868613138686,-2.3963730569948187,1.526530612244898,-1.1225051617343427,0.1541125541125541,-0.06417785234899331,-0.01344743276283622,-0.11111111111111105,0.004533091568449832,0.05208333333333348,0.5193939393939395,0.19047619047619047,-0.05408198415432308,-0.07228915662650603,0.047457627118643986,-0.043259343308985176
90,0.33873873873873883,0.53684297045165,0.43545891359231215,0.590707473941007,0.08325266214908034,0.2767219597934747,2.0676156583629894,2.0676156583629894,2.015625,2.015625,-4.054263565891473,-6.192949907235621,-8.951534733441033,6.5,1.0015003750937734,0.14881219184222316,0.6864931846344486,-0.11111111111111105,0.08032490974729245,0.14356435643564347,0.175109692859992,0.17333333333333334,-0.19082301529497447,0.5194805194805194,0.02265372168284796,-0.033800311318656795
89,0.1413189771197847,0.005749277997646907,0.10972427096334969,-0.08079470198675498,0.2519114288551285,0.1468479320828313,-0.5626450116009281,-0.5626450116009281,-0.5544041450777202,-0.5544041450777202,-5.7373096446700504,1.4994640943194,-0.6255587159691183,-2.0636704119850187,-0.5322338830584707,0.17401482637534138,-0.04996326230712711,-0.11111111111111105,0.1478696741854637,0.08658008658008653,-0.3122878479293958,0.13636363636363646,0.09675967596759683,-0.11111111111111116,-0.0031645569620254443,0.09413118527042563
88,-0.029906433652953868,-0.04597059370928713,-0.04833844580777091,-0.06590323069922643,0.027284263959390875,0.08605511929175202,-0.0026525198938992522,-0.0026525198938992522,-0.09302325581395343,-0.09302325581395343,-1.0739351727832842,-0.9626929674099486,-0.9690721649484536,-0.6619718309859155,-0.3846153846153846,0.18909936856098386,0.30549110595514306,0.2774390243902438,0.026200873362445476,0.03585657370517947,0.16979269496544913,0.1299999999999999,0.05908904390644243,0.25,0.022222222222222365,0.02131538353667084
87,0.043323170124150545,0.05272838749233588,0.04864487362002734,0.07826581148006828,0.028026559604694246,0.02880696340986022,0.05319148936170204,0.05319148936170204,0.025641025641025772,0.025641025641025772,3.1231884057971016,1.8544061302681993,32.473684210526315,-1.0520833333333333,0.03255208333333326,0.2769703745108998,-0.02665876777251186,-0.038186157517899666,0.021985815602836967,0.24615384615384617,-0.08396624472573833,0.10619469026548689,-0.014722975590856113,-0.053846153846153766,0.01552795031055898,-0.023685294521488376
