Quarter end,Assets,Current Assets,Liabilities,Current Liabilities,Shareholders equity,Revenue,Earnings,Earnings available for common stockholders,EPS basic,EPS diluted,Cash from operating activities,Cash from investing activities,Cash from financing activities,Cash change during period,Cash at end of period,Price,ROE,ROA,Book value of equity per share,P/B ratio,P/E ratio,Cumulative dividends per share,Equity to assets ratio,Net margin,Asset turnover,Current ratio
1997-12-31,0.01700819194801717,,0.014587717806719969,,0.03983198503165619,0.020720353902228483,-0.3878398791540786,-0.3878398791540786,-0.38888888888888895,-0.39252336448598135,-0.4025517644564651,-0.997331906828073,-0.47109457793541964,-2.6223719612371723,-0.1633458697791278,0.006644518272425293,-0.07703081232493003,-0.23611111111111116,0.03526170798898076,0.040000000000000036,-0.009783728115345114,inf,0.02274881516587679,-0.039087947882736285,-0.040000000000000036,
1998-03-31,0.01700819194801717,,0.014587717806719969,,0.03983198503165619,0.020720353902228483,-0.3878398791540786,-0.3878398791540786,-0.38888888888888895,-0.39252336448598135,-0.4025517644564651,-0.997331906828073,-0.47109457793541964,-2.6223719612371723,-0.1633458697791278,0.006644518272425293,-0.07703081232493003,-0.23611111111111116,0.03526170798898076,0.040000000000000036,-0.009783728115345114,inf,0.02274881516587679,-0.039087947882736285,-0.040000000000000036,
1998-06-30,0.010684303295715347,,0.011425677319043315,,0.004942340326836492,0.020720353902228483,-0.3878398791540786,-0.3878398791540786,-0.38888888888888895,-0.39252336448598135,-0.4025517644564651,-0.997331906828073,-0.47109457793541964,-2.6223719612371723,0.31674708764492054,0.07737440410707741,-0.07703081232493003,-0.23611111111111116,0.0037253858435337683,0.040000000000000036,-0.009783728115345114,1.0,-0.00556070435588496,-0.039087947882736285,-0.040000000000000036,
1998-09-30,-0.036383425328461505,,-0.04621511674176093,,0.029489209390825666,-0.005821672964967828,0.3916101172115978,0.3916101172115978,0.39393939393939403,0.3999999999999999,0.4083465058012623,-249.10148514851485,3.17297076262523,0.8954915025389651,0.4559656282655973,-0.12321307011572491,-0.07703081232493003,-0.23611111111111116,0.035524920466596166,-0.1217948717948718,-0.009783728115345114,0.5,0.06803355079217144,-0.039087947882736285,-0.040000000000000036,
1998-12-31,0.015372849168920455,,0.023783204816680836,,-0.040555816449751814,-0.06609588642804254,-1.686585690220764,-1.686585690220764,-1.684782608695652,-1.6923076923076923,-0.955570656323489,-1.2387437271158201,-0.04381185693287604,-1.8957454221671635,-0.2805211306196973,-0.037655279503105654,-0.07703081232493003,-0.23611111111111116,-0.03942652329749097,-0.07299270072992703,-0.009783728115345114,0.36363636363636354,-0.054973821989528826,-0.039087947882736285,-0.040000000000000036,
1999-03-31,-0.008573130934327544,,-0.0039903727792169885,,-0.03931762283260998,-0.15547744617613424,-2.427169421487603,-2.427169421487603,-2.4444444444444446,-2.428571428571429,23.945866987454888,0.09703301295445055,-0.2585699791963435,-1.40245483620019,0.15691508184456104,0.04477611940298498,-0.07703081232493003,-0.23611111111111116,-0.023987206823027907,0.0866141732283463,-0.009783728115345114,0.24444444444444446,-0.030470914127423754,-0.039087947882736285,-0.040000000000000036,
1999-06-30,0.024682418634495606,,0.03569001056006105,,-0.053342601235760734,0.021587958519858397,-0.2519905899384727,-0.2519905899384727,-0.2417582417582418,-0.24444444444444446,-0.587599889776798,0.5308928843516685,-1.6304942776579865,0.4022766323024054,0.19019403928559986,-0.09420849420849409,0.03338391502276172,-0.23611111111111116,-0.04751501911523748,-0.0724637681159419,-0.009783728115345114,0.1964285714285714,-0.07619047619047625,0.06440677966101682,-0.04166666666666663,
1999-09-30,-0.004879883680947605,,0.003934697556547739,,-0.08256452806494297,0.02738060154807509,-0.2721664449014153,-0.2721664449014153,-0.2753623188405796,-0.26470588235294124,0.5968194574368568,-0.2784095150414293,-4.564266140523951,-2.470240465614949,-0.23494570099199408,-0.11892583120204603,-0.1879588839941262,-0.23611111111111116,-0.06307339449541294,-0.07031250000000011,-0.13312532501300045,0.25373134328358193,-0.07835051546391747,-0.19108280254777066,-0.0434782608695653,
1999-12-31,0.0022175536079944713,,0.009433796907397873,,-0.06419059538009853,-0.022123406836057735,-0.509390061492438,-0.509390061492438,-0.48,-0.5,-0.18805967026529413,-3.956103448275862,-0.4754034837376372,-1.8130990082506875,0.24970007582083253,-0.11707789066279639,0.7106690777576854,0.6181818181818182,-0.06425948592411268,-0.05882352941176461,0.13257348530293922,0.3333333333333335,-0.06599552572706924,0.6692913385826773,-0.045454545454545525,
2000-03-31,0.006242838656228988,,0.006885356145280408,,0.006294879468170311,0.05157191740639022,2.0301490514905147,2.0301490514905147,1.923076923076923,2.04,1.364581588610449,-3.6372088140259193,-0.2865835785721823,-2.32478763885152,-0.26470317179940095,-0.13479452054794527,-0.025369978858350906,-0.0898876404494382,0.003924133420536435,-0.0803571428571429,-0.46133474576271183,0.1428571428571428,0.0,-0.09198113207547176,0.0,
