"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,172224129,172224129,1,3255353000,950603000,2013602000,649797000,1241751000,0,0,57221000,0,886290000,40752000,40752000,0.24,0.23,0.1375,7719000,10358000,-46639000,-28659000,304671000,36574000,21.95,24.3,19.59,0.2067,0.1169,7.21,2.94,14.93,8.09,0.3344,0,0.3814,0.0641,1.82,-0.17,1.4629
2019-02-02,172584549,172584549,1,1903378000,1046253000,615823000,542645000,1287555000,0,0,58167000,0,1244199000,76168000,76168000,0.43,0.43,0.09,213056000,-58486000,-102368000,53458000,333330000,45206000,20.05,23.1,17,0.2074,0.1403,7.46,2.73,12.94,7.95,0.3378,0,0.6765,0.0649,2.16,0.97,1.9281
2018-11-03,176432192,176432192,1,1981482000,1123468000,686070000,607147000,1295412000,0,0,59062000,0,1003707000,85472000,85472000,0.48,0.48,0.1375,91192000,-82555000,-49251000,-43450000,279872000,42699000,25.3,29.88,20.73,0.2233,0.1516,7.34,3.56,17.69,7.86,0.3433,0,0.6538,0.0696,2.18,0.27,1.8504
2018-08-04,177365947,177365947,1,1850749000,997080000,590172000,508020000,1260577000,0,0,59990000,0,964853000,60333000,60333000,0.34,0.34,0.1375,124407000,-74571000,-16603000,33622000,323322000,54571000,22.84,26.24,19.45,0.2115,0.1433,7.11,3.34,18.88,7.72,0.3641,0,0.6811,0.0649,2.21,0.39,1.9627
2018-05-05,176613476,176613476,1,1730914000,874596000,523533000,434804000,1207381000,0,0,60928000,0,822961000,39929000,39929000,0.23,0.22,0.1375,27990000,-67217000,-84281000,-123913000,289700000,47217000,19.09,22.03,16.14,0.1846,0.1244,6.84,2.72,16.89,7.59,0.4189,0,0.6975,0.0567,2.19,-0.11,2.0115
2018-02-03,177607606,177607606,1,1816313000,968530000,569522000,485221000,1246791000,0,0,61736000,0,1228723000,93958000,93958000,0.53,0.51,0.13,206326000,-36585000,-13925000,156086000,413613000,36585000,16,19.48,12.51,0.1755,0.1177,7.02,2.44,17.39,7.45,0.4384,0,0.6864,0.0538,2.19,0.96,1.9961
2017-10-28,177307946,177307946,1,1801780000,930212000,638581000,552840000,1163199000,0,0,61951000,0,960433000,63733000,63733000,0.36,0.36,0.125,134880000,-48874000,-23916000,64969000,257527000,48874000,12.36,14.49,10.23,0.143,0.0955,6.56,1.95,12.74,7.32,0.5467,0,0.6456,0.045,2.12,0.49,1.6826
2017-07-29,177048991,177048991,1,1686323000,817185000,562024000,471982000,1124299000,0,0,62589000,0,844557000,21236000,21236000,0.12,0.12,0.125,42512000,-46545000,-27341000,-32639000,192558000,46545000,12.57,14.57,10.56,0.1532,0.1022,6.35,1.99,11.64,7.19,0.5127,0,0.6667,0.0485,2.11,-0.02,1.7314
2017-04-29,176975145,176975145,1,1633193000,763672000,515320000,420591000,1117873000,0,0,63234000,0,761836000,25236000,25236000,0.14,0.14,0.125,10708000,-40146000,-123590000,-153416000,225197000,40146000,14.45,15.86,13.04,0.1717,0.1138,6.32,2.19,12.46,7.07,0.4628,0,0.6845,0.0544,2.09,-0.17,1.8157
2017-01-28,182221528,182221528,1,1782660000,901229000,578091000,493783000,1204569000,0,0,64260000,0,1097246000,54621000,54621000,0.31,0.3,0.13,162742000,-54191000,-21552000,86946000,378613000,54191000,16.68,18.91,14.45,0.1866,0.1233,6.61,2.59,13.13,6.94,0.4319,0,0.6757,0.0589,2.09,0.6,1.8252
2016-10-29,181879272,181879272,1,1822540000,936849000,650580000,562879000,1171960000,0,0,67308000,0,940609000,75760000,75760000,0.41,0.41,0.125,101488000,-47258000,-9920000,43733000,291667000,47258000,18.01,19.55,16.47,0.2177,0.1425,6.44,2.98,14.52,6.81,0.3822,0,0.643,0.0662,2.15,0.3,1.6644
2016-07-30,181763310,181763310,1,1693188000,826219000,592791000,498531000,1100397000,0,0,68160000,0,822594000,41592000,41592000,0.23,0.23,0.125,71497000,-36479000,-24478000,8958000,247934000,36479000,15.65,17.99,13.32,0.2144,0.1401,6.05,2.63,13.26,6.69,0.3916,0,0.6499,0.0661,2.12,0.19,1.6573
2016-04-30,180894777,180894777,1,1596296000,729327000,518988000,418486000,1077308000,0,0,68952000,0,749416000,40476000,40476000,0.22,0.22,0.125,29869000,-25094000,-29114000,-21091000,238976000,25094000,14.95,17.13,12.78,0.2039,0.1339,5.96,2.57,13.47,6.56,0.4132,0,0.6749,0.0643,2.08,0.03,1.7428
2016-01-30,180659762,180659762,1,1612246000,723375000,560870000,463682000,1051376000,0,0,69018000,0,1105828000,81706000,81706000,0.42,0.41,0.13,179036000,-42663000,-237124000,-103050000,260067000,42663000,14.94,16.64,13.24,0.1909,0.1259,5.82,2.41,14.65,6.44,0.4432,0,0.6521,0.0619,2.03,0.75,1.5601
2015-10-31,194635687,194635687,1,1887836000,1050347000,678563000,578143000,1209273000,0,0,59734000,0,919072000,74112000,74112000,0.38,0.38,0.125,108561000,-30231000,-42015000,35827000,363116000,30231000,16.52,18.35,14.68,0.17,0.1129,6.21,2.77,23.94,6.31,0.4976,0,0.6406,0.0568,1.99,0.4,1.8168
2015-08-01,195429368,195429368,1,1760209000,922975000,594531000,492144000,1165678000,0,0,60160000,0,797428000,33265000,33265000,0.17,0.17,0.125,60247000,-37786000,-20735000,383000,327290000,37786000,17.02,18.31,15.74,0.1164,0.0771,5.96,2.9,30.95,6.18,0.741,0,0.6622,0.0388,1.98,0.11,1.8754
2015-05-02,195420953,195420953,1,1672760000,859639000,527355000,428788000,1145405000,0,0,60662000,17500000,699520000,29055000,29055000,0.15,0.15,0.125,-12731000,-42821000,-29292000,-83790000,326907000,42821000,15.93,17.9,13.96,0.093,0.0619,5.86,2.73,37.93,6.06,0.9326,0.0153,0.6847,0.0316,1.96,-0.28,2.0048
2015-01-31,195022073,195022073,1,1696908000,890513000,557162000,459093000,1139746000,0,0,60302000,13700000,1071853000,61608000,61608000,0.32,0.32,0.13,204563000,-34648000,-27474000,130252000,410697000,34648000,13.27,14.63,11.91,0.0707,0.0472,5.84,2.3,82.94,5.93,1.2234,0.012,0.6717,0.0245,1.93,0.87,1.9397
2014-11-01,194490669,194490669,1,1772072000,931488000,651825000,546481000,1120247000,0,0,61376000,44600000,854290000,9035000,9035000,0.05,0.05,0.125,105186000,-64398000,-25204000,17817000,280445000,64398000,12.62,14.81,10.42,0.0256,0.0172,5.76,2.16,52.58,5.8,3.3573,0.0398,0.6322,0.009,1.91,0.21,1.7045
