"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2018-09-30,327400000,327400000,1,57103000000,19371000000,38540000000,16670000000,18291000000,272000000,0,11634000000,7782000000,15484000000,1000000000,1000000000,3.05,3.03,0.5,-700000000,197000000,-175000000,-678000000,6769000000,117000000,195.06,206.66,183.47,0.2166,0.0638,55.87,3.67,18.4,8.61,0.2008,0.4255,0.3203,0.0599,1.07,-2.5,1.162
2018-06-30,327400000,327400000,1,58316000000,19625000000,40645000000,17991000000,17403000000,268000000,0,11681000000,7784000000,15561000000,1212000000,1212000000,3.7,3.67,0.5,1044000000,-296000000,-1176000000,-428000000,7447000000,120000000,179.19,191.5,166.88,0.2157,0.0609,53.16,3.57,17.02,8.11,0.2099,0.4473,0.2984,0.0577,1.06,2.82,1.0908
2018-03-31,327100000,327100000,1,59197000000,20701000000,42532000000,19693000000,16398000000,267000000,0,11728000000,7785000000,15335000000,1209000000,1209000000,3.69,3.67,0.5,3341000000,684000000,-226000000,3799000000,7875000000,99000000,181.2,194.4,168.01,0.222,0.0612,50.13,3.8,31.51,7.61,0.2111,0.4748,0.277,0.0576,1.06,9.91,1.0512
2017-12-31,326800000,326800000,1,55151000000,15523000000,39314000000,16837000000,15580000000,257000000,0,11751000000,8160000000,14853000000,244000000,244000000,0.74,0.74,0.75,-2688000000,2061000000,-1225000000,-1852000000,4076000000,109000000,171.03,192.37,149.69,0.1252,0.0338,47.67,3.58,31.44,7.11,0.3451,0.5237,0.2825,0.0315,1.07,-8.56,0.922
2017-09-30,326100000,326100000,1,57383000000,16434000000,41565000000,19647000000,15583000000,235000000,0,11956000000,8161000000,14994000000,838000000,838000000,2.54,2.52,0.5,1532000000,494000000,328000000,2354000000,5928000000,121000000,157.48,164.52,150.43,0.1147,0.0302,47.79,3.4,34.09,6.36,0.2763,0.5237,0.2716,0.0295,1.03,4.33,0.8365
2017-06-30,332100000,332100000,1,56714000000,15501000000,41139000000,19740000000,15404000000,171000000,0,11961000000,7175000000,15523000000,1203000000,1203000000,3.62,3.6,0.5,-207000000,231000000,-327000000,-303000000,3574000000,109000000,141.12,155.15,127.08,0.0957,0.0248,46.38,3.28,43.42,5.86,0.2695,0.4658,0.2716,0.0253,0.98,-0.95,0.7853
2017-03-31,331700000,331700000,1,56351000000,15018000000,42013000000,19548000000,14261000000,77000000,0,12019000000,8174000000,15165000000,-381000000,-381000000,-1.11,-1.11,0.25,899000000,-56000000,-14962000000,-14119000000,3877000000,71000000,125.4,134.76,116.04,0.0683,0.0174,42.99,2.47,19.53,5.36,0.2976,0.5732,0.2531,0.0186,0.93,2.5,0.7683
2016-12-31,351700000,351700000,1,69146000000,28449000000,51203000000,18694000000,17881000000,62000000,0,12079000000,19027000000,15727800000,149700000,149700000,0.42,0.43,0.25,-902000000,-55100000,-112800000,-1069900000,17996000000,73100000,120.05,134.9,105.2,0.1285,0.0339,50.84,2.3,17.4,5.11,0.1546,1.0641,0.2586,0.036,0.94,-2.77,1.5218
2016-09-30,350900000,350900000,1,71882600000,29943400000,53538100000,19335500000,18283700000,60800000,0,12139100000,20022100000,15781500000,603900000,603900000,1.72,1.7,0.25,2411200000,-361800000,-102600000,1946800000,19066200000,68200000,116.93,121.04,112.81,0.1417,0.0387,52.11,2.32,17.22,4.86,0.1435,1.0951,0.2544,0.0391,0.99,6.68,1.5486
2016-06-30,350800000,350800000,1,70602000000,29125300000,52824300000,18273900000,17710600000,67100000,0,12200500000,20019100000,15952300000,790800000,790800000,2.25,2.23,0.25,428900000,212600000,12711500000,13353000000,17119400000,74100000,115.31,122.72,107.9,0.1442,0.041,50.49,2.4,17.37,4.61,0.1459,1.1303,0.2509,0.0389,1.05,1.01,1.5938
