"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,148828469,148828469,1,6283769000,None,4222302000,None,1883636000,177831000,125000000,0,3929023000,230235000,274133000,271568000,1.88,1.88,0.46,81617000,252404000,-208227000,125794000,198389000,-250982000000,46.48,50.89,42.06,0.4963,0.1359,11.82,4.39,11.09,37.58,0.2881,2.2341,0.2799,0.8866,0.15,1686.93,None
2018-12-31,148766616,148766616,1,6190004000,None,4325072000,None,1699419000,165513000,125000000,37800000,4075665000,232022000,7407000,5226000,0.03,0.04,0.38,93462000,-117276000,-7890000,-31704000,72595000,-117684000,44.69,47.66,41.73,0.3973,0.1059,10.58,3.48,7.67,37.12,0.3583,2.5887,0.2543,0.6752,0.15,1.42,None
2018-09-30,155644246,155644246,1,6185021000,None,3889571000,None,2125682000,169768000,125000000,0,3646789000,242481000,569991000,567029000,3.62,3.61,0.38,117300000,532809000,-684750000,-34641000,104299000,-493405000,43.04,44.9,41.18,0.5558,0.1473,12.85,4.54,18.47,36.74,0.2577,1.8228,0.3235,0.9175,0.16,3.92,None
2018-06-30,157351428,157351428,1,6544356000,None,4788239000,None,1614941000,141176000,125000000,0,4261209000,250187000,5037000,2817000,0.02,0.02,0.38,104303000,-122059000,17665000,-91000,138940000,83688000,40.61,42.69,38.54,0.2466,0.0595,9.47,4.14,16.85,36.36,0.6397,2.86,0.2277,0.3611,0.16,0.13,None
2018-03-31,157350160,157350160,1,6255290000,None,4491265000,None,1670190000,93835000,125000000,0,4254845000,247720000,83792000,81525000,0.52,0.52,0.38,81323000,-171628000,86795000,-3510000,139031000,166760000,40.89,43.82,37.97,0.2607,0.0625,9.82,4.18,20.86,35.98,0.6089,2.7536,0.247,0.3744,0.16,-0.54,None
2017-12-31,157330262,157330262,1,6079040000,None,4321750000,None,1663144000,94146000,125000000,37800000,4088911000,255229000,264389000,262097000,1.68,1.68,0.36,109114000,288843000,-376852000,21105000,76786000,-298113000,44.27,45.64,42.9,0.2116,0.0513,9.78,5.23,33.54,35.6,0.7372,2.6583,0.253,0.3052,0.16,2.59,None
2017-09-30,157023314,157023314,1,6169338000,None,4632112000,None,1454186000,83040000,125000000,0,4390522000,254635000,19635000,17430000,0.11,0.11,0.36,109012000,-96985000,-20108000,-8081000,55681000,91476000,44.3,46.72,41.87,0.1395,0.0348,8.46,5.08,34.61,35.24,1.0708,3.3032,0.2155,0.2068,0.16,0.11,None
2017-06-30,157022720,157022720,1,6199202000,None,4619566000,None,1494502000,85134000,125000000,0,4300000000,249092000,18052000,15843000,0.1,0.1,0.36,107497000,-90916000,-17893000,-1312000,63762000,88696000,43.66,45.12,42.19,0.1302,0.034,8.72,4.39,16.86,34.88,1.0805,3.1398,0.2209,0.2017,0.16,0.12,None
2017-03-31,157022248,157022248,1,6187440000,None,4249457000,None,1688136000,249847000,125000000,0,4000000000,246481000,13698000,11491000,0.07,0.07,0.36,68516000,-86238000,21552000,3830000,65074000,82782000,44.85,46.86,42.84,0.2537,0.0669,9.95,4.22,16.8,34.52,0.5216,2.559,0.2526,0.4076,0.16,-0.09,None
2016-12-31,157017376,157017376,1,6232818000,None,4184651000,None,1793903000,254264000,125000000,40668000,3884632000,249493000,164407000,162000000,1.04,1.04,0.33,101268000,136488000,-224420000,13336000,61244000,-121779000,42.67,45.45,39.88,0.266,0.069,10.63,4.3,20.71,34.16,0.4954,2.3277,0.2678,0.4195,0.16,1.42,None
